"hour","mode1","mode2","mode3"
"4am",0.558533442645471,0.650285382526145,0.559929775260143
"5am",0.554049060354873,0.646362565011722,0.552506140260767
"6am",0.59394380604997,0.653400683591809,0.54231995508807
"7am",0.583512236830644,0.650620971768953,0.48261022544051
"8am",0.653879770725664,0.6036913855123,0.366324756186483
"9am",0.657225950741113,0.592512322682872,0.305069845364199
"10am",0.647822643295315,0.560963558353581,0.28260876907019
"11am",0.618591633306375,0.584336145591921,0.313755579378833
"12am",0.577911665344417,0.593545642389513,0.406030771866435
"1pm",0.599346785058371,0.582456840371771,0.382829572178373
"2pm",0.631649608627116,0.591389695201186,0.383152618376123
"3pm",0.589867498132867,0.557795607662421,0.377189344225129
"4pm",0.660101622646368,0.603270990216107,0.418501000600786
"5pm",0.620878444921103,0.623875886471749,0.470904593252714
"6pm",0.620554231778498,0.634523552123608,0.49970608577885
"7pm",0.595937702376058,0.637518888085446,0.517711993208226
"8pm",0.617313229036209,0.65415959011448,0.527124702322586
"9pm",0.589163072055825,0.649001319626049,0.521939876803443
"10pm",0.578201647416455,0.642732442724271,0.528819659760139
"11pm",0.56841584656727,0.643162212639631,0.543028457462512
"12pm",0.549215776552643,0.637384052104351,0.54660750092427
"1am",0.545906497132201,0.643114280770005,0.553141458258192
"2am",0.548558311604356,0.644984836720622,0.557369628398725
"3am",0.549358154563234,0.643405536253092,0.553299864937143
