"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.352952958184873,0.526360304999455,0.386355456796008,0.33275044153142,0.357120023202517
"5am",0.345306651500585,0.528014475595704,0.395396532694911,0.33748465576518,0.35922754269956
"6am",0.341788190575323,0.556619442541339,0.389485080380101,0.33244293745411,0.361201108599335
"7am",0.257058271262889,0.498957757199089,0.324920704484654,0.285106010043694,0.32347244021406
"8am",0.180985461026367,0.498417115435507,0.262883656815908,0.286292295878672,0.321670356153915
"9am",0.0873703836244506,0.434257967127568,0.209035857808268,0.255087298158253,0.319738488368508
"10am",0.060504515216164,0.38897011740705,0.191982467471634,0.260967312019464,0.269993924293116
"11am",0.106288027164397,0.405209078146995,0.187804365593163,0.253504464686335,0.235195838810856
"12am",0.136030023428521,0.447705950689027,0.226356010977559,0.27808614080013,0.303640190195945
"1pm",0.103810772626408,0.431632534073195,0.190754800853193,0.240173317767541,0.322602336489135
"2pm",0.106609030089194,0.418390149363891,0.176012283944781,0.260291787885566,0.268889758305032
"3pm",0.10938108609309,0.428580101857032,0.192489819054171,0.26961965979794,0.307231076203785
"4pm",0.0784390356871373,0.505093485302317,0.222657429931665,0.254624976295881,0.321007892068687
"5pm",0.162784804220982,0.513624303777853,0.270894665505737,0.258762435524083,0.31481649215963
"6pm",0.282039835363971,0.512739674596388,0.321540062838176,0.287574169321046,0.312986438643617
"7pm",0.361738793654762,0.537289523971951,0.339498022591076,0.327453652435024,0.304246669920339
"8pm",0.380428615763483,0.539790583549128,0.362766894801798,0.319371860088321,0.342614793093151
"9pm",0.348645006791606,0.523735853363757,0.390673035449632,0.303313119333025,0.352268637106287
"10pm",0.341016032951144,0.523559667043996,0.391166572290855,0.321927101852473,0.364750595057441
"11pm",0.350687357544013,0.524481907936568,0.364517244644783,0.325767568465881,0.369104481634498
"12pm",0.358535297430114,0.527368137647948,0.366048638580997,0.347023071947052,0.366099753324091
"1am",0.367784134162308,0.531637874420295,0.379594228701253,0.342333137928348,0.3622491184215
"2am",0.362334209937413,0.526586137443154,0.380371959282751,0.344506105080089,0.361234207822727
"3am",0.355379401402852,0.521945477055393,0.381027826877212,0.345050743688108,0.360373958096405
