"hour","sex1","sex2"
"4am",0.106953459859235,0.106953459859235
"5am",0.0754943785231183,0.0754943785231185
"6am",0.0155452583588508,0.0155452583588508
"7am",0.0267339030972691,0.0267339030972688
"8am",0.0412184903918245,0.0412184903918246
"9am",0.0535939661677627,0.0535939661677626
"10am",0.131085117235361,0.13108511723536
"11am",0.110135183214768,0.110135183214768
"12am",0.0177301826165435,0.0177301826165435
"1pm",0.0729502144443167,0.0729502144443167
"2pm",0.128264938295589,0.128264938295589
"3pm",0.0907911106111438,0.090791110611144
"4pm",0.0539933916610507,0.0539933916610508
"5pm",0.0312800518421769,0.0312800518421769
"6pm",0.0023633526994908,0.00236335269949063
"7pm",-0.0519952958480539,-0.0519952958480539
"8pm",0.00692222484286181,0.0069222248428617
"9pm",0.00349334038113655,0.00349334038113648
"10pm",0.0244540254975535,0.0244540254975536
"11pm",0.0654159568845158,0.0654159568845152
"12pm",0.0676873178737644,0.0676873178737642
"1am",0.0731704940009864,0.0731704940009863
"2am",0.06836560561791,0.0683656056179096
"3am",0.0714372657312183,0.0714372657312179
