"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063";"10281.44063"
"4am";" 436.4772";" 327.2948";"1859.1613";"1875.1355";"1722.5168";"2914.8894";"2764.7463";"1697.6416";"2436.7631";"2435.9547";"3654.5237";"3356.0291";"3561.8410";"5436.6668";"2283.4556";"3566.4402";"3218.8104";"3658.9686";"2542.7950";"1889.5748";"2765.8758";"4978.2826";"3729.8327";"3311.9947";"2769.9070";"4513.5345";"4145.1082";"3610.2971";"4200.2650";"2943.1605";"5115.4645";"4567.2703";"7496.7671";"1640.2597";"4444.1476";"4309.1395";"5470.4687";"4438.3827";"3558.4052";"7352.4813";"4156.2612";"2684.5529";"4568.2654";"2939.8548";"3515.4794";"4162.9712";"4877.2110";"4014.9970";"3729.5718";"2407.4271";"2648.8568";"4526.6895";"5509.1906";"5102.3565";"3490.0448";"3984.1285";"2806.0313";"5130.7007";"7400.6211";"4259.8673";"7014.3752";"6860.3497";"2664.1253";"4654.3094";"4121.4038";"4391.1561";"7402.7341";"5137.8067";"3152.8278";"6504.8777";"6404.0758";"4855.0965";"4261.2946";"5288.7815";"7377.1705";"3685.5431";"5428.4160";"6024.4523";"5743.4043";"4270.2988"
"5am";" 566.8246";" 327.2948";"1951.2940";"1845.8112";"1722.5168";"2914.8894";"2788.3456";"1697.6416";"2515.9958";"2397.3550";"3679.6657";"3296.1104";"3777.0296";"5293.3716";"2239.6880";"3513.5590";"3332.8161";"3598.2998";"2542.7950";"1775.6229";"2734.6583";"5150.9380";"3963.6484";"3377.0096";"2813.4127";"4513.5345";"4138.3385";"3589.5072";"4365.7039";"2943.1605";"5004.9582";"4611.8019";"7535.3668";"1671.1077";"4642.6064";"4370.1243";"5496.4934";"4408.3866";"3563.4715";"7413.9619";"4156.2612";"2641.0193";"4597.3033";"2939.8548";"3467.9966";"4250.7602";"4582.0148";"4014.9970";"3832.9614";"2389.7924";"2591.4028";"4488.1614";"5509.1906";"5022.8265";"3454.6180";"3874.3627";"2854.7195";"4957.4628";"7339.3695";"4377.1769";"6864.9026";"6834.9634";"2564.6145";"4654.3094";"4068.0668";"4391.1561";"7155.8879";"4929.9487";"3003.2144";"6790.4952";"6222.6520";"4705.6029";"4261.2946";"5259.6477";"7441.2827";"3651.5112";"5378.2698";"5947.8410";"5743.4043";"4270.2988"
"6am";" 624.2878";" 327.2948";"2056.1350";"1802.1907";"1698.0165";"2934.8237";"2739.5331";"1676.6784";"2723.8781";"2325.4167";"3840.7466";"3234.8964";"4106.3399";"5235.0412";"2137.4367";"3635.9713";"3288.5938";"3634.1948";"2437.0753";"1678.1318";"2585.7144";"5721.7407";"3926.0794";"3122.4829";"2944.3408";"4506.1838";"4231.1418";"3798.9454";"4210.5246";"3040.2277";"4977.5069";"5062.6317";"7365.9367";"1654.0087";"5081.0734";"4398.0466";"5392.5154";"4289.7326";"3423.4994";"7403.1376";"3976.9616";"2516.3235";"4648.0906";"2759.3945";"3354.5467";"4103.7798";"4504.8335";"3757.8774";"3751.0663";"2398.9015";"2448.5943";"4152.5904";"5068.8918";"4973.8848";"3243.1900";"3839.5842";"2814.7588";"5024.9949";"6365.2763";"4182.3372";"6193.1249";"6445.6848";"2462.9104";"4496.7723";"3850.1944";"3997.6770";"7237.4519";"4816.8134";"2936.3949";"7132.3782";"6101.2101";"4671.8936";"4055.1514";"5492.9565";"7363.2372";"3373.3486";"5069.3517";"5713.0800";"5563.7350";"4052.5694"
"7am";" 998.3930";" 370.6477";"2396.8023";"1662.2943";"1718.6918";"2753.1063";"2217.1901";"1382.1562";"3950.9566";"2153.5540";"4072.3041";"2865.2956";"4058.2484";"4114.4924";"1654.2006";"3032.5745";"3478.7886";"3991.3805";"2963.6146";"1866.9914";"2217.9508";"6529.2104";"4596.0977";"3089.7409";"4490.9441";"3741.1378";"5190.8174";"4551.4465";"4329.1187";"3220.8257";"4136.4869";"5765.1051";"7002.8587";"1920.2466";"5894.7552";"3920.3439";"5209.9983";"3403.3748";"2735.1160";"6639.9584";"3746.8157";"2120.3103";"4667.8531";"2037.2065";"2998.3936";"3044.7794";"4173.4456";"3613.2314";"3238.4571";"2010.4456";"2048.5958";"3256.8111";"3614.7423";"4174.5854";"3013.3661";"3427.4587";"2065.6303";"4394.1170";"6549.3147";"4252.7926";"5358.4838";"4940.9789";"1974.5603";"3547.7830";"3738.0683";"3170.7781";"6238.0736";"4558.3428";"2694.0289";"6003.0385";"5630.8951";"3907.8818";"4899.8218";"5465.5209";"7312.3118";"3389.4340";"4028.3716";"5514.1816";"4966.7400";"3543.2652"
"8am";"1474.1292";" 523.8598";"2577.9988";"1820.8509";"1771.5764";"2823.9843";"1479.9019";"1269.4438";"5470.1042";"2018.1165";"5018.0923";"2330.2824";"4486.0529";"4388.9999";"1441.6378";"2241.2258";"3691.2338";"4340.5530";"5133.1056";"1757.8526";"1546.7916";"7702.3091";"6326.6041";"2821.7921";"6411.4782";"2800.6735";"9171.9274";"5638.5656";"4949.1757";"3203.0917";"3524.9398";"7077.3592";"6146.5010";"2567.4486";"5878.2943";"3395.1082";"4557.2264";"2993.1016";"2328.8610";"7283.9709";"3402.3158";"1882.2413";"5008.2707";"2263.2335";"2250.4858";"2408.0729";"3900.6182";"3096.1724";"2452.6764";"1382.7924";"1558.7023";"2880.5622";"2820.0346";"3627.4162";"2438.2595";"3408.6919";"1938.7570";"3492.6292";"6131.7236";"3953.1615";"4309.3975";"4093.8669";"1434.3356";"2399.0175";"3114.4534";"2903.3153";"4604.6726";"3966.9195";"2402.9524";"5419.4927";"5442.4049";"3907.3919";"4627.8910";"5504.0146";"8174.0792";"2924.3329";"2851.5128";"6473.1667";"4989.5309";"2885.0424"
"9am";" 1998.484";" 1210.507";" 2864.567";" 1495.698";" 1707.718";" 2868.477";" 1373.049";" 1186.427";" 5947.127";" 1988.186";" 5175.490";" 2098.628";" 4788.900";" 4188.407";" 1083.626";" 1918.921";" 4415.838";" 4456.744";" 5664.665";" 1491.258";" 1466.931";" 8517.017";" 7195.651";" 2969.977";" 7180.239";" 2922.261";"10066.112";" 7344.319";" 5196.131";" 2882.472";" 3303.301";" 8419.881";" 7034.709";" 2550.534";" 6581.998";" 3492.186";" 4801.013";" 3160.463";" 1994.881";" 7817.004";" 3716.266";" 1680.744";" 5070.143";" 2192.879";" 2031.305";" 2202.996";" 4395.514";" 2438.173";" 2173.553";" 1203.989";" 1411.162";" 2844.521";" 2155.126";" 3737.634";" 1935.646";" 3452.112";" 1838.496";" 2473.685";" 6382.152";" 4191.928";" 3915.171";" 3370.930";" 1143.005";" 2241.991";" 3228.663";" 2680.210";" 4264.612";" 3934.295";" 2094.548";" 5711.853";" 5024.387";" 4007.502";" 5032.143";" 5111.169";" 9243.181";" 2788.725";" 2634.099";" 6750.273";" 5019.288";" 3226.801"
"10am";" 2023.294";" 1510.413";" 3048.512";" 1245.080";" 1652.021";" 3036.472";" 1237.529";" 1084.939";" 5969.862";" 1967.697";" 5033.182";" 2323.263";" 4593.139";" 4161.937";" 1215.932";" 1969.394";" 4648.494";" 3734.526";" 5451.388";" 1417.886";" 1358.853";" 8630.293";" 7143.813";" 2512.628";" 7358.426";" 2705.707";"10281.441";" 7365.348";" 4581.712";" 2958.815";" 3174.663";" 8625.637";" 7645.185";" 2573.609";" 6484.387";" 3226.078";" 4773.339";" 3016.515";" 2002.040";" 7982.134";" 3700.092";" 2062.904";" 5596.908";" 2229.865";" 2130.997";" 2173.295";" 4369.979";" 2403.047";" 2121.612";" 1223.598";" 1334.112";" 2610.806";" 2197.375";" 3119.184";" 1845.562";" 3098.107";" 1751.378";" 2740.897";" 6022.255";" 4456.760";" 4185.299";" 3329.035";" 1127.677";" 1952.390";" 2986.579";" 2426.517";" 3855.102";" 4193.863";" 2295.133";" 6207.657";" 4672.575";" 4105.819";" 5156.995";" 5502.078";" 8881.956";" 2702.513";" 2599.411";" 7591.815";" 4800.466";" 3391.793"
"11am";"1763.213";"1527.620";"2806.649";"1185.447";"1877.549";"3676.800";"1334.870";"1061.822";"5840.673";"2287.017";"4365.885";"2494.181";"4194.829";"4421.160";"1281.596";"2244.042";"4205.170";"3604.526";"5429.991";"1665.711";"1576.158";"7894.927";"6947.899";"2322.156";"7020.800";"2284.534";"9957.088";"6599.539";"4747.214";"2609.104";"3447.651";"7766.075";"7603.499";"2369.823";"6528.775";"3257.525";"4946.293";"2879.816";"2106.907";"7395.796";"3853.532";"2076.917";"4881.803";"2702.577";"2191.753";"2313.823";"5142.301";"2408.111";"2263.870";"1221.296";"1469.756";"2535.404";"2803.315";"3254.389";"1862.410";"3384.993";"1853.984";"3111.386";"4948.683";"4057.222";"4692.022";"3837.797";"1313.194";"2220.672";"2777.274";"2763.225";"3498.793";"4086.150";"2157.858";"5906.884";"4786.645";"4119.536";"4346.869";"6177.176";"8255.621";"2600.019";"3207.591";"7121.849";"4574.871";"3116.895"
