"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064"
"4am";"71.827284";"73.611651";"67.120358";"45.778472";"52.783306";"49.798758";"45.285166";"28.421935";"49.452043";"34.106769";"18.553319";"31.043958";"27.568422";"24.897327";"22.757752";"14.383837";"23.677087";"33.834058";"31.588157";"41.212934";"22.088977";"31.010153";"26.500449";"20.154723";"28.322117";"22.508092";"19.880152";"28.315031";"16.319828";"15.376630";"25.752508";"22.999176";"15.857233";"15.512347";"23.719388";"15.090663";"19.079246";" 7.036742";" 8.810257";"15.292806";"16.759641";"15.664769";"15.767034";"26.601522";"22.867284";"20.010287";"18.844327";"12.992436";"12.764397";"11.790019";" 9.464007";"12.709886";"17.117352";"10.148634";"17.392657";"34.648706";"11.503113";"13.791454";"28.355053";"20.818019";"16.865886";"14.843169";"10.420405";"23.828919";"32.968328";"23.144284";"19.251761";"28.060578";"19.764871";"27.530189";"19.155566";"19.854008";"51.455596";"34.718889";"15.242452";"28.046348";"29.874919";"26.222044";"28.929938";"33.709493"
"5am";"69.892705";"72.786256";"66.832515";"46.076023";"52.783306";"49.798758";"45.124190";"28.560485";"47.725852";"33.197720";"19.205329";"30.614283";"26.660976";"25.267939";"23.023127";"14.685127";"22.568989";"33.366684";"31.588157";"42.337723";"22.231173";"30.597030";"25.476671";"20.253647";"28.126944";"22.508092";"19.248164";"28.335614";"15.749067";"15.376630";"26.150059";"22.844112";"15.793884";"15.277428";"22.991042";"14.934014";"18.086944";" 7.077831";" 8.021892";"15.192444";"16.759641";"15.861442";"15.690716";"26.746368";"22.542119";"19.706316";"19.806020";"12.992436";"12.490081";"11.864765";" 9.640857";"12.800743";"17.117352";"10.286583";"16.357839";"35.242421";"11.338789";"14.181564";"28.906469";"20.736726";"17.158901";"14.886683";"10.759302";"23.828919";"33.226101";"23.144284";"19.759460";"28.882862";"20.517946";"26.698810";"19.570874";"20.350096";"53.610855";"33.039605";"15.144852";"28.220045";"30.067014";"26.470393";"28.929938";"32.555270"
"6am";"69.320071";"72.473087";"65.323737";"46.172582";"53.037807";"49.260328";"45.278631";"28.907306";"45.603447";"33.899661";"18.911926";"31.060436";"25.382395";"24.806657";"23.918883";"15.351153";"23.153598";"33.424981";"33.462385";"42.212687";"22.935614";"28.735561";"25.678242";"21.426372";"27.787912";"21.673751";"18.930785";"28.009721";"16.426474";"15.014939";"27.001598";"21.530065";"16.218129";"15.406757";"21.114380";"14.863371";"18.675562";" 6.582978";" 8.348755";"15.210018";"17.126387";"17.295346";"15.558996";"27.535176";"21.939825";"20.739766";"19.928490";"13.702081";"11.582912";"10.493569";"10.110465";"13.942096";"17.825431";" 9.715070";"18.140471";"35.785339";"11.589854";"14.026894";"31.681599";"21.504106";"18.955116";"17.010070";"10.617500";"23.997938";"34.811576";"25.040099";"19.588767";"29.584934";"20.873139";"25.767374";"20.897287";"21.039826";"55.697472";"32.143197";"15.302409";"28.186496";"31.307119";"27.261582";"30.798283";"32.215686"
"7am";"62.107659";"69.072691";"56.563853";"48.971917";"50.858251";"47.646794";"46.708842";"30.666989";"34.632848";"35.125980";"18.195026";"31.619240";"25.252197";"27.299688";"24.950941";"15.406455";"22.482653";"34.167726";"28.695487";"42.712310";"23.834814";"27.238425";"20.987680";"21.156540";"27.357077";"24.930191";"17.256894";"25.215692";"17.993196";"14.151699";"29.831818";"18.890510";"16.134331";"14.462900";"16.484002";"15.571452";"17.883235";" 7.475298";" 9.915883";"15.960926";"14.679370";"18.483280";"14.208666";"38.983994";"22.538646";"25.438160";"19.913145";"11.251890";"11.972826";"12.312278";"13.013462";"16.396779";"22.982134";"10.105480";"16.493123";"38.838541";"14.817046";"16.175744";"29.555980";"20.035579";"20.521495";"19.974224";"13.711323";"27.040720";"36.866874";"27.724265";"20.435739";"29.621909";"21.062549";"28.468653";"23.645423";"21.564228";"50.590611";"30.083632";"14.316075";"28.640415";"34.706762";"26.670662";"31.510701";"34.341369"
"8am";"57.376340";"57.449998";"47.064480";"43.361916";"48.596868";"42.787084";"48.476390";"31.647788";"29.114139";"34.654837";"14.620427";"35.405368";"26.366724";"26.706201";"24.451272";"18.791896";"22.212245";"30.941812";"25.087136";"43.565066";"24.414393";"25.895602";"16.602757";"25.148365";"29.262974";"25.694339";"11.302908";"24.062650";"17.059770";"10.446544";"34.050310";"15.586659";"15.083321";"11.178605";"17.188276";"18.119710";"19.981821";"12.646677";" 9.880051";"15.297967";"14.949677";"18.026457";"12.332519";"34.505526";"22.022490";"28.129416";"25.123492";"11.886752";"22.643276";"19.198941";"16.990174";"15.681058";"27.190611";"13.624024";"22.325424";"37.904771";"14.708179";"16.975612";"32.796302";"25.842929";"23.590175";"17.253341";"17.423199";"35.590803";"35.841416";"30.762968";"25.122265";"33.652151";"28.901552";"29.037480";"25.979104";"23.529577";"52.650283";"29.929480";"13.879421";"32.461740";"44.435998";"23.873666";"30.037988";"37.495549"
"9am";"51.798603";"49.723592";"44.791542";"42.104610";"52.485686";"41.857513";"45.673091";"31.528509";"26.556888";"30.952772";"16.553235";"39.869186";"22.568746";"28.218113";"22.658557";"22.746102";"24.623393";"33.234472";"22.428665";"44.651642";"21.278290";"18.902165";"12.437514";"26.701545";"30.475948";"27.082712";"10.499451";"21.467184";"16.102829";"13.963040";"33.667451";"12.356820";"15.513701";"10.073619";"14.555034";"12.047582";"18.999886";"12.598407";"13.521333";"14.386984";"15.069588";"19.856319";"10.671496";"35.311850";"22.368309";"28.160302";"21.869440";"18.144881";"22.688029";"20.332136";"17.959417";"17.420922";"33.865423";"13.301913";"28.306278";"37.227557";"17.001172";"18.806587";"33.605450";"21.237427";"27.683744";"23.564473";"18.528930";"34.774511";"33.402734";"32.299209";"26.468194";"32.821677";"23.632122";"28.343582";"25.732968";"25.829144";"52.803325";"25.266209";" 9.757954";"32.982116";"44.848920";"24.779314";"30.017731";"33.912168"
"10am";"52.703750";"45.545266";"45.721640";"44.712953";"53.640417";"43.473533";"43.719291";"27.190161";"29.118828";"28.996640";"16.908309";"38.323572";"22.537291";"26.722190";"24.085578";"25.721500";"25.084242";"34.922138";"25.177635";"41.510485";"26.224574";"18.218365";"11.909944";"21.800536";"30.246645";"26.896667";" 9.888936";"18.517274";"18.251549";"16.661601";"34.969470";"12.362851";"13.601750";"10.941788";"13.888126";"13.641123";"16.213622";"10.835954";"11.942870";"17.614294";"16.281313";"17.468403";" 9.423146";"36.527799";"25.560789";"30.873455";"25.963773";"14.851980";"21.912291";"20.075402";"20.684745";"19.148803";"29.654650";"16.062305";"29.147995";"41.301127";"17.229345";"19.609779";"33.238521";"20.150856";"25.659865";"23.556441";"17.873690";"37.782633";"32.720183";"35.145824";"33.602458";"30.017565";"22.659426";"26.712032";"30.327360";"21.164458";"51.906927";"23.177469";"10.624121";"31.700269";"44.439097";"21.519425";"32.592377";"33.509968"
"11am";"57.441803";"47.518886";"48.714202";"48.511879";"51.564335";"38.681733";"46.682600";"29.490433";"29.864643";"30.087155";"19.395358";"34.774670";"23.385150";"30.161964";"24.961647";"17.838283";"26.398954";"37.739476";"22.158805";"48.178898";"27.082359";"23.279097";"12.735341";"28.905014";"30.805504";"32.717752";" 9.282495";"18.750562";"16.763023";"15.888256";"35.693682";"12.511268";"13.819673";"11.060551";"13.777612";"12.413340";"16.841427";"12.865788";"12.222854";"20.090208";"15.231596";"18.700884";"12.010204";"32.162376";"24.502642";"28.829102";"21.712371";"14.639106";"17.795220";"27.470672";"18.087298";"19.192863";"23.629967";"14.103596";"28.528296";"39.688149";"19.566988";"18.428544";"39.901675";"22.600874";"24.209860";"19.548822";"16.399599";"32.565292";"33.871591";"31.492883";"35.238745";"33.027070";"23.110023";"30.372471";"32.141710";"19.897684";"54.423555";"24.614146";"14.677382";"32.480867";"37.747281";"22.758127";"32.525529";"37.355730"
