"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328";"16232.17328"
"4am";"1897.992";"1303.632";"5669.047";"2131.346";"2244.535";"4090.497";"3457.407";"1373.449";"3889.879";"3186.278";"3790.951";"3608.153";"3689.260";"5546.008";"2385.713";"2821.929";"2979.777";"3892.405";"2628.806";"1866.921";"2224.565";"3161.273";"3456.954";"2082.910";"2081.823";"3880.035";"3798.993";"4831.328";"3629.233";"1832.549";"4500.840";"3367.741";"5780.689";"1147.084";"3599.260";"3313.875";"4765.584";"3121.947";"2719.655";"4695.805";"3061.143";"1991.905";"3417.994";"2143.767";"3482.601";"2989.357";"4041.473";"2858.806";"2559.634";"1969.394";"1796.122";"3511.537";"3627.133";"3969.248";"2858.384";"2419.473";"2027.271";"3830.478";"5089.828";"3510.023";"5295.073";"5587.775";"2349.346";"4171.956";"4184.619";"3407.644";"6333.747";"3843.759";"2705.469";"5627.511";"4978.919";"3483.075";"4710.240";"3291.181";"4235.348";"1939.809";"4396.601";"4407.940";"5461.328";"3382.363"
"5am";"1990.879";"1342.333";"5851.897";"2102.022";"2244.535";"4090.497";"3481.006";"1358.830";"4099.028";"3058.660";"3870.153";"3474.274";"3904.449";"5402.713";"2341.946";"2720.892";"3033.630";"3733.857";"2628.806";"1700.830";"2193.348";"3333.929";"3690.769";"2057.207";"2125.329";"3880.035";"3692.166";"4804.691";"3754.502";"1832.549";"4390.334";"3412.272";"5819.288";"1177.932";"3797.719";"3374.860";"4711.561";"3091.951";"2686.020";"4757.285";"3061.143";"1948.372";"3447.032";"2121.053";"3399.051";"3077.146";"3746.277";"2858.806";"2663.024";"1951.759";"1709.630";"3473.009";"3627.133";"3889.718";"2760.783";"2363.350";"2075.959";"3657.240";"5087.966";"3652.258";"5145.600";"5562.389";"2249.836";"4171.956";"4131.282";"3407.644";"6015.052";"3635.901";"2578.224";"5913.129";"4797.495";"3333.581";"4605.940";"3162.487";"4299.460";"1905.777";"4346.454";"4331.329";"5461.328";"3266.078"
"6am";"2077.667";"1303.065";"6150.266";"2029.077";"2192.926";"3844.254";"3458.361";"1322.849";"4412.723";"2986.722";"3903.081";"3365.964";"4233.759";"5266.085";"2201.383";"2903.456";"2867.512";"3813.261";"2579.982";"1607.183";"2044.404";"3981.763";"3694.600";"1870.169";"2256.257";"3728.925";"3717.482";"5058.341";"3529.646";"1929.616";"4399.956";"3937.864";"5566.542";"1160.833";"4199.792";"3353.195";"4689.553";"2862.219";"2565.578";"4746.461";"2949.256";"1857.716";"3458.743";"1889.486";"3213.467";"2930.166";"3698.927";"2605.637";"2543.248";"1897.184";"1605.975";"3303.481";"3413.621";"3842.796";"2650.025";"2363.350";"2035.998";"3724.772";"4111.572";"3460.375";"4469.342";"5174.464";"2157.580";"3988.945";"3803.145";"2982.954";"6096.616";"3513.496";"2511.405";"6159.990";"4676.053";"3299.872";"4139.346";"3349.874";"4092.449";"1509.333";"4037.536";"4027.613";"5482.573";"2817.448"
"7am";"2315.1965";"1351.7955";"6428.3672";"2057.5803";"2005.3636";"3737.9113";"3112.9122";" 973.1975";"5191.1457";"2843.7910";"4074.1622";"2955.3868";"3899.6969";"3691.9643";"1657.8609";"2347.3846";"2686.6179";"3963.0733";"2729.7593";"1760.5893";"1699.4886";"4867.0558";"4084.3232";"1938.2651";"2515.2032";"3194.1383";"4787.3368";"5685.6527";"3929.0276";"2219.5335";"3483.8171";"4828.2211";"4967.6521";"1401.0223";"5051.5371";"2819.6859";"4381.2149";"1792.7584";"2002.3992";"4163.1368";"2514.1159";"1348.3577";"3513.3803";"1437.0909";"2739.3677";"2233.1877";"3368.9742";"2435.2508";"2037.0352";"1515.9482";"1263.9491";"2378.0198";"1997.9213";"3351.1256";"2265.9362";"2142.4220";"1427.2875";"3078.0912";"4352.1068";"3383.8105";"3430.0854";"3655.7614";"1752.2138";"3253.1692";"3727.8787";"2083.6882";"4933.8261";"3291.0614";"2227.4256";"4969.2525";"4225.0109";"2617.4388";"4601.4215";"3267.8494";"4358.1717";"1608.4503";"3032.3855";"3821.9377";"5299.1938";"2260.0272"
"8am";"3283.4434";"2074.5920";"6430.2682";"1927.5339";"1841.4034";"3060.4962";"2288.0682";" 780.2291";"7184.9564";"2778.8087";"4871.3585";"2166.0391";"5040.8486";"3451.8291";"1291.5247";"1891.7671";"3272.6777";"4479.2542";"4763.8636";"1646.6730";"1001.2449";"6058.2449";"5777.2835";"2008.1535";"4529.3802";"2502.0300";"8774.2955";"6864.5695";"4290.9662";"1939.3299";"2778.5434";"5872.1906";"4189.9521";"2126.1174";"5057.8770";"2173.3520";"3739.7448";"1574.5691";"1633.7532";"5149.5572";"2298.5772";"1050.0319";"3672.5500";"2034.2619";"1772.9703";"1735.2916";"3369.0085";"1903.9865";"1549.4450";"1072.6742";" 845.2754";"1983.0004";"1350.6218";"2511.9380";"1876.6585";"2156.3474";"1270.8307";"2296.7051";"3806.8761";"3332.4981";"2901.6694";"2578.7134";"1271.7962";"2259.0026";"3148.2946";"2013.9162";"3463.9678";"2984.2920";"2191.8542";"4153.3068";"4500.7753";"2563.9644";"4538.9740";"3480.3550";"5089.0073";"1444.7579";"2064.3620";"4542.7370";"5022.1696";"1629.0060"
"9am";"4163.2122";"3151.1911";"6101.9652";"1738.2295";"1876.3411";"3351.6347";"2192.4525";" 705.7205";"7710.2188";"2824.4220";"4773.0924";"1937.8273";"5084.0522";"3795.3518";" 828.8746";"1844.0065";"3809.6204";"4504.4118";"5189.6754";"1345.6704";" 946.3961";"7094.9567";"6321.2601";"2009.3104";"4945.5458";"3000.7675";"9972.1897";"8347.8498";"4461.2837";"1692.2879";"2537.4729";"6401.7649";"4890.0853";"2005.0270";"5034.0643";"2137.2684";"3801.3559";"1495.9135";"1602.2837";"5045.6455";"2567.5502";" 818.7182";"3637.0188";"1626.9665";"1680.2234";"1591.9306";"3701.9776";"1480.5673";"1331.0017";" 913.9891";" 744.6722";"1993.6793";"1301.6135";"2661.9966";"1609.6346";"2184.6249";"1287.3878";"1647.1238";"3904.1019";"3248.6995";"2794.9082";"2315.9904";"1028.4730";"1979.4471";"3174.6647";"1966.5132";"3333.4787";"3070.8843";"1786.2287";"4381.3259";"4285.4546";"2409.6112";"4664.4693";"3458.7876";"5898.3754";"1448.1844";"1826.7753";"4891.7580";"5289.5232";"1942.9836"
"10am";" 4143.3360";" 3728.2301";" 6460.3685";" 1589.4937";" 2094.9137";" 3543.8777";" 2030.6865";"  507.6848";" 7746.6258";" 2559.8918";" 4682.9073";" 2346.7902";" 4879.4594";" 3463.0133";"  811.6432";" 1812.5255";" 3911.4748";" 3794.4558";" 5128.6738";" 1415.8236";" 1091.3563";" 7080.3991";" 6622.2985";" 1834.1352";" 4974.6337";" 2904.6120";"10183.7154";" 8090.0102";" 4335.6193";" 1581.4243";" 2551.0427";" 6168.8175";" 5218.7812";" 2042.7885";" 4839.4646";" 2136.5478";" 3920.3904";" 1353.2268";" 1655.7265";" 5317.2609";" 2603.6780";" 1048.6057";" 3758.0233";" 1742.6550";" 1781.5859";" 1540.2395";" 3597.1566";" 1465.4934";" 1281.0911";"  890.7006";"  700.4232";" 1913.0160";" 1308.8370";" 2452.0239";" 1618.0875";" 2288.9238";" 1268.7059";" 1835.3451";" 3775.1377";" 3230.5850";" 2644.0296";" 2279.3245";" 1025.3998";" 1890.8227";" 2937.7652";" 1899.8232";" 2985.3127";" 2932.1400";" 1843.3317";" 4568.6970";" 4027.4113";" 2684.8864";" 4959.4307";" 3390.5098";" 5743.4398";" 1481.1382";" 1754.0307";" 5242.4858";" 5144.1115";" 2227.0166"
"11am";"4505.6536";"3939.5725";"6265.3749";"1533.8428";"2149.1760";"3812.4452";"2353.3014";" 618.2709";"7889.9749";"2912.2716";"4480.9647";"2509.4706";"4305.9278";"3607.4667";" 966.7699";"1810.2745";"3724.5603";"4002.9643";"4989.4068";"1552.0440";"1019.8068";"6746.4045";"6302.6184";"1795.7052";"5122.7266";"2762.0896";"9797.4294";"7587.5146";"4252.8273";"1449.7058";"2886.9475";"6014.5104";"4906.8575";"1985.4868";"5179.4295";"2101.2679";"3970.1651";"1395.1744";"1807.2756";"5124.3938";"2358.7127";"1060.7551";"3458.6850";"1990.6697";"1664.4366";"1505.9855";"4192.4863";"1359.0578";"1203.5385";" 986.1589";" 749.0024";"1815.0716";"1553.5469";"2704.9244";"1569.9535";"2428.9625";"1502.2728";"1991.6095";"3296.2301";"3202.3720";"2635.4791";"2408.2564";"1144.7262";"1940.1694";"2592.0021";"2131.6446";"2899.9675";"3084.4585";"1727.6347";"4548.0730";"4072.4066";"2818.5784";"4230.7809";"3930.6012";"5686.1049";"1409.5300";"1932.1622";"5241.5413";"4727.7580";"2076.6733"
"12am";"4121.0020";"4446.4765";"6460.4137";"1916.4128";"1767.8582";"3602.0337";"2320.6047";" 645.9814";"8113.6088";"2715.6724";"4088.0448";"2689.5117";"4040.7325";"3618.5346";"1169.9146";"2062.2090";"3338.6653";"3925.4889";"4500.4921";"1574.1243";"1113.6022";"6559.5154";"5760.0968";"1976.0365";"4646.4362";"3232.9152";"8687.6339";"7482.2800";"3758.9581";"1715.4652";"3466.5530";"5095.6899";"5719.1192";"1937.0061";"4467.0435";"2294.6072";"3932.4382";"2058.6567";"1664.3837";"5373.8918";"2776.5190";"1042.2752";"4102.9700";"1932.7722";"1722.3206";"1587.2981";"3461.3794";"1799.4853";"1695.7735";"1129.7677";" 870.4905";"1909.7688";"1520.4581";"3037.2575";"1795.3520";"2153.6412";"1499.2785";"2019.7727";"3154.1116";"3345.3889";"3065.9067";"2654.7896";"1200.7495";"2276.1280";"2735.6963";"2222.2739";"4035.9107";"3262.8194";"1652.4713";"4844.1485";"4246.9362";"3075.0937";"4087.7378";"4553.6844";"4057.9731";"1459.9604";"2178.1060";"4806.5913";"5059.5328";"2265.5265"
"1pm";"3922.2380";"4353.6024";"6716.1578";"1798.1581";"1894.1200";"3380.5310";"2207.5593";" 678.7256";"7793.7353";"2445.5617";"4468.1650";"2591.9471";"4401.3467";"3555.6934";"1122.4046";"2060.2989";"3428.9688";"4194.7063";"4461.9840";"1935.9652";"1013.0879";"7069.3396";"6066.4991";"2089.7108";"4968.1893";"3243.7159";"9588.1970";"7193.6499";"4246.9663";"1342.8419";"2810.5504";"5184.3720";"4860.1143";"2059.4849";"4924.1644";"2031.2674";"3736.2939";"1655.2300";"1910.5206";"5070.4874";"2453.9934";"1151.7194";"4010.4318";"2529.1641";"1814.8340";"1485.5713";"3663.6412";"1520.3099";"1536.1537";" 984.4316";" 751.7972";"1794.0116";"1118.0408";"2979.9330";"1853.6630";"2356.2509";"1272.9385";"1898.3167";"3154.1396";"2772.9740";"3154.2737";"2724.3000";"1113.1283";"2104.5904";"2912.8574";"2156.6981";"3537.1282";"2843.5535";"1624.1088";"4679.5268";"4318.7104";"2677.7290";"3593.8911";"3990.5077";"5914.0004";"1642.2092";"2013.4116";"5395.0861";"4986.2967";"2235.5324"
"2pm";"3831.3899";"3609.2885";"6077.3477";"1519.8679";"2034.8746";"3367.5859";"1982.4322";" 682.8025";"7663.2334";"1900.2854";"4402.2465";"2435.0108";"4765.5720";"3728.9900";"1199.2744";"1872.1525";"3586.6074";"3729.2108";"4493.0354";"2070.3444";" 909.8949";"6233.8318";"6529.1077";"2407.4331";"5325.1691";"3222.4995";"9809.7865";"8092.2677";"4438.7611";"1794.4074";"2915.2697";"5568.9384";"4976.1775";"2031.4128";"5058.4640";"1907.8572";"3796.4456";"1602.7734";"1917.2243";"4511.3727";"2708.7427";"1074.6876";"4294.3334";"2368.4350";"1836.4090";"1748.6591";"3652.3470";"1502.1669";"1248.4953";" 975.4203";" 711.3648";"1807.3521";"1329.6293";"2870.2735";"1809.9949";"2360.0562";"1323.8844";"1907.1188";"3901.6403";"2696.3394";"3391.6837";"2896.9890";"1029.4624";"1849.1590";"2956.5791";"1935.4126";"3496.7808";"2848.7180";"1744.4503";"4752.9478";"3822.1164";"3028.0185";"3995.9164";"3939.1089";"5646.3377";"1653.8933";"2109.3316";"5116.6942";"4782.2754";"2257.8098"
"3pm";"3697.0184";"4098.5210";"5774.8197";"1520.0706";"1961.7755";"3113.2023";"2159.7283";" 845.5425";"7534.2540";"2387.3403";"5036.8113";"2841.2607";"4580.1389";"3795.4024";"1188.9337";"1872.5435";"3743.8681";"3909.5589";"4269.8425";"2127.8603";" 869.8715";"5833.3657";"6472.9534";"2450.1264";"5256.2668";"3109.0657";"9691.0081";"8553.9380";"4351.2784";"1536.7873";"2509.7266";"6105.1369";"5115.6530";"1897.3357";"5028.9361";"2039.2856";"3557.0581";"1434.6247";"1872.0539";"4196.4239";"2855.7384";"1227.3168";"3866.7557";"2200.1160";"1753.7267";"1692.6248";"3848.8443";"1856.1862";"1579.4531";" 927.9542";" 752.4876";"1961.4544";"1419.5273";"2745.6751";"1638.9440";"2351.2561";"1280.7522";"2289.8598";"3985.9716";"2853.6049";"3169.9981";"2842.7134";"1169.9932";"1763.8732";"3086.7878";"2075.8806";"3600.2211";"2834.5769";"1726.7687";"4556.2429";"3971.3215";"2732.5840";"4078.7411";"3578.0404";"5853.5664";"1641.1312";"2257.8688";"5006.4664";"5058.0328";"2204.1829"
"4pm";"3721.2383";"3400.7852";"5090.2812";"1551.7049";"1793.3851";"3218.7490";"2166.4703";" 835.1371";"6768.2193";"2609.9429";"4564.1106";"2503.4136";"4525.4064";"3916.3686";"1787.0609";"1786.9503";"4042.0384";"3327.9038";"4531.6426";"1920.0370";" 950.3083";"5246.3237";"5165.4886";"2023.1166";"4914.7951";"3584.9792";"9298.7890";"7707.0885";"3981.2799";"1627.9679";"2958.0138";"6229.4679";"5035.1569";"1792.7187";"4407.8751";"2481.2604";"3682.0992";"1479.5735";"1851.0255";"4792.1440";"2711.7161";"1543.3903";"4032.7807";"2234.6652";"1715.7612";"1444.5210";"3728.6700";"1900.4555";"1726.1455";"1165.2382";" 819.3605";"2000.9108";"1419.4136";"2983.9141";"1826.7237";"2329.5717";"1474.9198";"2403.4930";"3850.9271";"3160.8947";"2993.3990";"2906.1570";"1363.3941";"2274.0522";"3256.7672";"2124.2180";"3799.5086";"2864.4069";"1771.5169";"4299.3827";"4376.4577";"2440.5939";"4651.0253";"3126.4738";"6114.8903";"1617.0682";"2604.1028";"4539.0463";"4882.6060";"2406.7576"
