"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912";"79.5662493230912"
"4am";" 1.1334540";" 4.9815272";" 4.7758299";"10.2212140";" 3.5858821";" 4.0774494";" 5.8834650";" 7.3550091";" 3.0443414";" 2.2315889";" 7.0439749";" 5.3525777";" 6.7812020";" 5.2751282";" 4.3219342";" 2.2133264";" 8.5481266";" 9.6778165";"12.8530495";"19.7398727";" 4.4912542";" 1.2980702";" 5.2943059";"14.6518300";" 1.6144014";" 2.9526575";" 4.0399080";" 0.5832729";" 4.0920854";" 6.2915225";" 6.7173014";" 8.1584518";" 2.6338468";" 8.0278286";" 0.5974881";" 5.3224398";" 6.9656740";" 4.0386321";" 4.6775607";" 4.3419394";" 4.9497866";" 5.3940976";" 5.6546719";" 3.3884961";" 2.1775395";" 1.6316929";" 3.8849905";" 2.6993500";" 6.8881264";" 4.8176428";" 4.6548930";" 4.0735095";" 8.2762126";" 5.0147402";" 5.7437876";" 4.5640392";" 6.3782660";" 4.7365403";" 9.1173902";" 5.8779660";"10.4431213";" 5.1539683";" 2.4624737";" 5.5919114";" 4.1445670";" 8.7668265";" 7.5614492";" 5.9453416";" 3.9805481";" 4.5851875";"11.9524971";" 7.4303034";"10.0945431";"12.4911754";" 9.4754133";" 5.8517829";" 5.1692078";" 6.9536213";" 5.0230267";" 6.9810658"
"5am";" 1.1164848";" 4.9320383";" 4.7048062";"10.2789423";" 3.5858821";" 4.0774494";" 5.8652932";" 7.3886093";" 2.9211240";" 2.2802534";" 6.9696042";" 5.4362580";" 6.5736072";" 5.3462529";" 4.3615734";" 2.2566185";" 8.4847023";" 9.8206937";"12.8530495";"20.2404551";" 4.5169772";" 1.2831761";" 5.1055883";"14.7123417";" 1.6050451";" 2.9526575";" 4.1111657";" 0.5849698";" 3.9879736";" 6.2915225";" 6.8098206";" 8.1076286";" 2.6242967";" 7.9239150";" 0.5805509";" 5.2723829";" 7.0088781";" 4.0593818";" 4.7079595";" 4.3175722";" 4.9497866";" 5.4571255";" 5.6303949";" 3.4047808";" 2.2070986";" 1.6080865";" 4.0592609";" 2.6993500";" 6.7557989";" 4.8452815";" 4.7756317";" 4.1003443";" 8.2762126";" 5.0711635";" 5.8580642";" 4.6345084";" 6.2991490";" 4.8522265";" 9.1188572";" 5.7538723";"10.6013226";" 5.1675211";" 2.5297436";" 5.5919114";" 4.1730152";" 8.7668265";" 7.7893827";" 6.1055059";" 3.6045585";" 4.4648432";"12.1678346";" 7.5874364";"10.1994468";"12.8230801";" 9.4247834";" 5.8849330";" 5.1981534";" 7.0121781";" 5.0230267";" 7.0899087"
"6am";" 1.1010828";" 4.9822585";" 4.5933405";"10.4254119";" 3.6199898";" 4.1921520";" 5.8827276";" 7.4726283";" 2.8227670";" 2.3213569";" 6.8836522";" 5.5058956";" 6.2794253";" 5.4158779";" 4.4939441";" 2.1795867";" 8.6834401";" 9.8358125";"12.9609078";"21.1679726";" 4.6438766";" 1.2153674";" 5.1322958";"15.4226196";" 1.5887433";" 3.0095464";" 4.0491211";" 0.5692019";" 4.1393812";" 6.1607334";" 6.7710857";" 7.6748258";" 2.6881180";" 7.9811792";" 0.5490201";" 5.2497769";" 7.2935984";" 4.2256569";" 4.8751371";" 4.3218424";" 5.0460974";" 5.5932220";" 5.6206631";" 3.5801977";" 2.2757167";" 1.6882030";" 4.1139888";" 2.9735114";" 7.0485404";" 4.8969544";" 4.9893079";" 4.4349196";" 8.9375241";" 5.1374823";" 6.1472508";" 4.6345084";" 6.4199082";" 4.8064636";"10.1364784";" 5.9225512";"11.3344581";" 5.4824012";" 2.6376177";" 5.7806045";" 4.4379619";" 9.3856904";" 7.7297490";" 5.6332390";" 3.7512190";" 4.5281394";"12.5523327";" 7.6237909";"10.0378824";"12.9829247";"10.3472129";" 6.4834982";" 5.3838734";" 7.2543588";" 5.0427930";" 7.5436648"
"7am";" 0.9806526";" 5.1960465";" 4.4739865";"10.0652840";" 3.5571168";" 4.1473374";" 6.1111474";" 8.4659546";" 2.1928889";" 2.5287876";" 6.8164882";" 6.1292235";" 6.6777406";" 7.4178797";" 5.4941887";" 2.5545700";" 7.8997458";"10.4586775";"11.0624233";"23.2608627";" 5.4496788";" 1.5799797";" 4.4127997";"14.8819981";" 0.9688237";" 3.6212165";" 3.4866841";" 0.5455535";" 4.0501473";" 5.8692794";" 7.9837890";" 7.1011531";" 2.7499072";" 7.2879757";" 0.5033763";" 5.7492479";" 7.7447335";" 5.4597115";" 5.6538443";" 4.7524983";" 5.6710623";" 6.7492110";" 5.3674974";" 4.0407027";" 2.5952812";" 2.1048525";" 4.4465710";" 3.2206379";" 7.4479866";" 5.6515467";" 5.9368314";" 5.5595336";"11.8417448";" 6.0616608";" 6.8527261";" 3.5244280";" 8.0490312";" 5.3246050";"10.3384668";" 5.2578942";"13.3955598";" 6.8367805";" 3.0812058";" 6.9543506";" 4.7454098";"11.6015645";" 9.0973413";" 5.9886542";" 4.0839264";" 5.1013199";"13.2822771";" 8.7912580";"10.4252833";"12.9181839";" 9.1314639";" 6.4199592";" 6.3540873";" 7.1993339";" 4.1557308";" 8.4128736"
"8am";" 1.4933159";" 2.9270538";" 5.7590231";"12.8464602";" 3.5806260";" 3.8568462";" 6.2088972";" 8.5909643";" 1.8125160";" 4.3812061";" 5.5592769";" 6.8902513";" 4.7709255";" 6.9707222";" 5.5215848";" 2.9803317";" 6.5458977";" 9.7721289";" 7.5795089";"24.3314150";" 5.3368649";" 2.0983011";" 3.4959034";"16.1648104";" 0.9341472";" 3.4803501";" 2.9669245";" 0.4517919";" 4.8114450";" 3.4617112";" 8.9573179";" 6.1492918";" 3.0547089";" 5.4970444";" 0.5052524";" 6.8728371";" 8.6998340";" 5.9838332";" 5.8454557";" 3.5324286";" 6.0634796";" 7.5704000";" 5.4525336";" 3.4903103";" 3.2827413";" 2.4938529";" 4.4624519";" 3.7384899";" 8.8186389";" 5.7594173";" 7.2921016";" 6.2544897";"14.0368682";" 7.8419935";" 7.7092043";" 3.5798236";" 7.6403456";" 6.4877847";"10.7584972";" 5.2685608";"13.8661240";" 8.5149331";" 3.9434711";" 8.7031769";" 5.2709418";"12.2483273";"11.1866777";" 5.7447730";" 4.2087189";" 5.2760296";"12.3354533";" 9.7717279";"10.2887231";"12.6899595";" 8.7663654";" 5.7291016";" 7.4747650";" 6.4898720";" 4.1852000";" 8.2251457"
"9am";" 1.0155492";" 2.2179585";" 4.6054840";"13.1104287";" 4.7232539";" 4.6263219";" 6.7669837";" 6.9730693";" 1.8443941";" 2.4727027";" 5.9435779";" 7.7697802";" 5.9657617";" 4.6173368";" 6.1369616";" 4.3131887";" 8.0848442";"10.3699998";" 8.6213563";"26.5595106";" 4.6316362";" 1.5229333";" 2.8964362";"15.9997880";" 1.0878833";" 3.2904294";" 2.1183189";" 1.4379380";" 3.2034009";" 4.4559008";"10.6703991";" 6.2543228";" 3.4588697";" 4.6555821";" 0.4756007";" 8.5656152";" 8.4851377";" 4.7525930";" 7.4987141";" 5.3752343";" 5.6611470";" 7.4120118";" 4.7260788";" 3.6327982";" 3.6129150";" 2.0085262";" 4.1756545";" 4.2142285";" 9.6345917";" 6.8246036";" 7.8562624";" 7.8646742";"14.6792859";" 6.8988359";" 6.4778842";" 4.5798870";" 7.9042397";" 5.7158099";" 9.0176009";" 6.5762165";"14.8099460";" 5.3244753";" 3.4706190";" 9.7646369";" 5.2750637";"11.2454533";"11.6496359";" 5.2877066";" 5.8437884";" 5.6958034";"11.9762693";"10.1454067";"11.6016218";"12.0013967";" 7.5721116";" 5.3501797";" 7.8525854";" 6.8501695";" 4.1285184";" 7.9114813"
"10am";" 1.546547";" 1.624611";" 6.859264";"12.802518";" 3.706267";" 5.785584";" 6.828672";" 8.465033";" 2.107500";" 2.787771";" 6.198478";" 7.381682";" 5.032224";" 5.568713";" 7.151225";" 3.134341";" 8.505398";"11.256933";" 9.429364";"21.982034";" 4.555202";" 1.872884";" 2.833961";"12.654420";" 0.545028";" 3.657682";" 2.367685";" 1.148154";" 4.396928";" 2.287107";" 9.410362";" 6.279334";" 5.464142";" 3.177021";" 2.400940";" 8.788560";" 8.363709";" 5.035813";" 8.800641";" 5.004304";" 5.256207";" 7.040363";" 6.101234";" 3.615998";" 3.383691";" 1.961190";" 4.151655";" 4.393218";" 9.913834";" 6.959669";" 6.025912";" 6.609012";"13.359639";" 7.440225";" 4.256498";" 3.743919";" 7.321942";" 6.897625";" 9.811039";" 5.413643";"16.665130";" 6.565447";" 2.438794";" 9.172864";" 5.569166";"10.827415";"12.191813";" 6.484337";" 6.004051";" 5.414458";"13.487137";" 8.964064";"11.673100";"10.692785";" 8.322980";" 6.788931";" 8.049156";" 6.821751";" 4.135934";" 8.894879"
"11am";" 1.1609718";" 3.6249464";" 4.2090636";"12.5600742";" 8.2722234";" 3.8739301";" 7.2215161";" 7.5158569";" 2.1296150";" 2.5587781";" 5.6578251";" 8.2967277";" 6.8944275";" 8.2184040";" 4.7156625";" 3.0361376";" 7.5059033";"10.8485790";" 6.9220292";"24.5934362";" 5.5334126";" 2.1742433";" 2.8462642";"12.2438171";" 0.5885328";" 5.1138340";" 2.5277959";" 0.7239842";" 5.5343948";" 2.5508518";" 8.1527347";" 4.2309888";" 5.9951969";" 4.4315482";" 1.1428215";" 5.4583844";" 8.2880406";" 5.1323568";" 7.2121889";" 4.3364076";" 6.4867944";" 7.7078568";" 5.9722661";" 3.3390182";" 3.5060625";" 1.9092912";" 4.4347518";" 4.4598707";" 9.8149139";" 6.8116870";" 7.7261125";" 6.7800786";"14.8805835";" 6.1911236";" 9.2801904";" 3.5189495";" 4.5709476";" 6.3311581";"11.3708041";" 4.5934519";"17.1407569";" 7.6935265";" 2.2141944";" 8.0189079";" 5.7982332";"12.5340689";"11.1042752";" 7.0677845";" 4.9584958";" 5.5191017";"14.7721650";" 7.0921637";"10.3023897";"12.7190112";" 7.6453335";" 6.9370003";" 7.3666243";" 6.0797319";" 4.3031617";" 9.0766192"
