"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815";"1790.24815"
"max";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896";"22159.95896"
"4am";" 6265.823";" 3876.579";"12493.290";" 5506.658";" 5504.617";"11701.632";" 7617.082";" 3248.649";" 8638.405";" 6064.199";" 7604.790";" 8805.918";" 7152.429";"11035.140";" 4857.251";" 5371.801";" 7390.908";"11238.531";" 6100.544";" 7165.275";" 5544.428";"14874.806";" 6455.173";" 6412.549";" 7463.253";" 8223.718";" 6218.226";" 9300.534";" 7180.447";" 4664.033";" 8184.767";" 7229.232";"10739.554";" 2462.510";" 6875.304";" 6496.377";" 8961.472";" 5900.812";" 5243.505";"10893.595";" 5991.853";" 3769.254";" 6793.444";" 4880.045";" 6286.507";" 6118.830";" 6969.815";" 6024.581";" 5278.417";" 3091.501";" 3454.092";" 5925.377";" 7643.461";" 7147.927";" 5105.664";" 7353.876";" 3876.466";" 7359.249";"11960.041";" 6766.627";"10271.916";" 9679.522";" 3779.087";" 7656.450";" 7998.919";" 7431.236";"10962.922";" 8162.124";" 4685.399";"11096.396";"10338.054";" 7450.594";"12818.812";"10203.504";"12380.987";" 6359.038";" 9179.527";" 9551.610";"10746.258";" 7922.624"
"5am";" 6358.710";" 3915.280";"12676.141";" 5477.334";" 5504.617";"11701.632";" 7640.682";" 3234.029";" 9002.785";" 5936.582";" 7683.992";" 8672.039";" 7367.618";"10891.845";" 4813.484";" 5270.763";" 7444.761";"11079.984";" 6100.544";" 6999.184";" 5513.210";"15047.461";" 6688.989";" 6386.846";" 7506.759";" 8223.718";" 6111.399";" 9273.896";" 7363.669";" 4664.033";" 8074.261";" 7273.763";"10778.154";" 2493.358";" 7073.762";" 6557.361";" 8907.449";" 5870.816";" 5209.870";"10955.076";" 5991.853";" 3725.721";" 6822.482";" 4857.331";" 6202.957";" 6206.619";" 6674.619";" 6024.581";" 5381.806";" 3073.866";" 3367.600";" 5886.849";" 7643.461";" 7068.397";" 5008.062";" 7244.110";" 3925.155";" 7186.012";"11958.179";" 6908.863";"10122.444";" 9654.135";" 3679.576";" 7656.450";" 7945.582";" 7431.236";"10644.226";" 7954.266";" 4535.786";"11382.014";"10156.630";" 7301.100";"12690.418";" 9943.672";"12445.099";" 6325.006";" 9129.381";" 9474.999";"10746.258";" 7806.339"
"6am";" 6445.498";" 3876.012";"12974.510";" 5404.389";" 5453.007";"11381.460";" 7618.037";" 3198.049";" 9316.480";" 5832.961";" 7777.660";" 8563.729";" 7696.928";"10755.216";" 4672.921";" 5453.328";" 7278.643";"11063.476";" 6051.720";" 6712.200";" 5364.267";"15887.000";" 6654.855";" 6100.229";" 7583.785";" 8072.608";" 6204.202";" 9527.547";" 7100.257";" 4761.100";" 8120.159";" 7676.885";"10525.408";" 2476.259";" 7475.835";" 6585.284";" 8567.437";" 5641.084";" 5032.392";"10944.251";" 5879.966";" 3635.065";" 6834.193";" 4625.764";" 6017.373";" 5918.650";" 6587.075";" 5486.656";" 5158.288";" 3041.430";" 3224.792";" 5445.627";" 7088.186";" 6977.152";" 4777.283";" 7244.110";" 3851.322";" 7253.544";"10796.630";" 6716.979";" 9484.231";" 9099.653";" 3530.597";" 7408.015";" 7481.678";" 6963.177";"10725.790";" 7785.939";" 4365.112";"11723.897";" 9848.168";" 7267.391";"11862.450";"10176.980";"12371.579";" 5770.391";" 8820.462";" 9171.283";"10704.811";" 7357.709"
"7am";" 7218.092";" 3717.344";"13217.036";" 5178.981";" 5548.911";"11504.444";" 6498.298";" 2826.796";"11992.515";" 5361.425";" 7852.497";" 7703.854";" 7258.003";" 8417.600";" 3829.734";" 4668.275";" 7982.211";"10424.886";" 7050.204";" 6180.031";" 4609.589";"15450.401";" 7718.798";" 5963.086";"12436.409";" 6747.831";" 7196.142";" 9935.454";" 7253.119";" 4992.968";" 6894.490";" 8286.949";"10291.887";" 2701.310";" 8147.109";" 6019.522";" 8026.468";" 4373.381";" 4344.009";" 9952.519";" 5246.272";" 3012.460";" 6620.917";" 4113.526";" 5282.354";" 4774.499";" 6101.413";" 5080.257";" 4373.040";" 2635.340";" 2715.386";" 4351.800";" 5383.882";" 5913.395";" 4296.012";" 6740.529";" 3071.815";" 6556.759";"10593.272";" 7544.394";" 8064.260";" 7296.994";" 3027.624";" 6165.407";" 7008.290";" 5696.761";" 9124.196";" 7338.015";" 3975.627";"10462.769";" 9359.455";" 6333.105";"12422.781";"10227.157";"12830.518";" 5824.359";" 7500.237";" 9238.495";"10542.905";" 6633.464"
"8am";" 8745.522";" 4567.281";"13565.801";" 4856.259";" 5512.657";"10633.422";" 5440.029";" 2531.861";"14509.253";" 5375.183";" 8664.485";" 6394.374";" 7813.215";" 8253.908";" 3385.819";" 4016.401";" 8863.541";"10214.788";"10090.541";" 5827.149";" 3439.954";"16423.720";" 9776.788";" 5707.322";"16959.873";" 5629.734";"11823.036";"11973.022";" 7786.148";" 5108.628";" 6099.692";" 9550.313";" 9635.459";" 3346.956";" 8117.128";" 5047.367";" 7161.107";" 3993.165";" 3561.112";"11402.234";" 4915.136";" 2685.687";" 7043.110";" 4661.043";" 4186.207";" 4051.369";" 6080.033";" 4402.909";" 3693.353";" 2058.250";" 2216.860";" 3872.513";" 4563.674";" 5297.737";" 3830.108";" 6638.312";" 2838.521";" 5353.155";"10239.598";" 7529.468";" 6885.592";" 5858.877";" 2373.683";" 4935.699";" 6326.987";" 5413.514";" 7433.489";" 6840.053";" 3886.762";" 9708.884";" 9237.374";" 6461.352";"12303.267";"10244.280";"13643.628";" 5418.291";" 6401.842";"10207.176";"10469.882";" 5736.892"
"9am";"10927.868";" 6048.302";"13869.912";" 4355.992";" 5287.540";"10701.100";" 5144.927";" 2370.843";"15303.180";" 5481.115";" 9019.133";" 6067.427";" 7821.469";" 8046.202";" 2808.681";" 3677.321";" 9843.017";" 9981.369";"10629.005";" 4774.839";" 3151.554";"16106.140";"10551.324";" 6182.441";"20367.429";" 5782.435";"12722.883";"13926.258";" 7929.593";" 4710.262";" 5734.196";"10703.983";"10824.583";" 3292.628";" 8618.657";" 4771.430";" 7294.750";" 4228.922";" 3261.557";"11990.461";" 5255.233";" 2426.309";" 6995.099";" 4480.211";" 3759.974";" 3732.102";" 6491.184";" 3927.357";" 3380.563";" 1825.679";" 2060.040";" 3882.289";" 3949.198";" 5408.816";" 3308.997";" 6644.909";" 2743.753";" 4194.975";"10875.175";" 7399.400";" 6463.065";" 5329.398";" 2009.560";" 4584.728";" 6322.180";" 5179.120";" 7140.936";" 6717.575";" 3223.452";"10041.502";" 8726.720";" 6703.888";"13002.032";" 9254.918";"14529.138";" 5251.572";" 6046.050";"10746.589";"10611.262";" 5950.548"
"10am";"11257.114";" 7209.377";"13848.488";" 3785.242";" 5299.590";"10922.118";" 4843.664";" 2039.635";"15974.091";" 4871.197";" 8649.073";" 6396.802";" 7511.119";" 7775.677";" 2951.931";" 3824.218";"10231.348";" 8677.100";"10728.499";" 5000.510";" 3202.368";"15967.640";"10775.672";" 5446.305";"22159.959";" 5149.349";"12909.251";"14111.091";" 7329.820";" 4790.767";" 5637.859";"10848.251";"11363.873";" 3346.187";" 8571.523";" 4520.025";" 7022.124";" 3992.911";" 3205.232";"12536.792";" 5338.925";" 2854.696";" 7620.798";" 4472.849";" 4014.688";" 3818.837";" 6496.744";" 3645.563";" 3285.343";" 1790.248";" 1982.952";" 3666.836";" 3814.196";" 4817.730";" 3157.066";" 6353.271";" 2587.115";" 4558.674";"10281.730";" 7643.668";" 6679.040";" 5274.118";" 1979.403";" 4413.667";" 5997.554";" 4961.712";" 7042.472";" 6795.308";" 3423.812";"10537.306";" 8684.690";" 6448.203";"12975.591";" 9385.207";"14113.789";" 5076.034";" 5901.278";"11403.298";"10592.544";" 6168.502"
"11am";"11487.087";" 7769.446";"13006.225";" 3992.123";" 5659.768";"11515.519";" 5286.781";" 2002.264";"15781.102";" 5319.146";" 7843.366";" 6467.289";" 6965.996";" 7992.672";" 3186.013";" 3944.510";" 9549.941";" 8916.667";"10059.340";" 5979.686";" 3412.489";"15977.001";"10555.864";" 5553.885";"20525.828";" 5063.422";"12412.085";"13277.648";" 7349.148";" 4308.881";" 6118.364";" 9883.036";"11488.260";" 3120.917";" 8835.880";" 4501.650";" 7273.115";" 3918.412";" 3378.467";"12147.554";" 5433.168";" 2912.092";" 7153.577";" 4922.472";" 3955.229";" 3918.875";" 7033.917";" 3687.355";" 3318.454";" 1927.610";" 2094.185";" 3575.285";" 4425.311";" 4887.579";" 3142.203";" 6750.813";" 2804.138";" 4962.223";" 9378.747";" 7228.664";" 7239.916";" 5684.454";" 2176.443";" 4558.802";" 5767.527";" 5253.701";" 6640.588";" 6903.768";" 3311.186";"10493.128";" 8954.914";" 6446.231";"12165.428";"10531.186";"13805.606";" 4973.762";" 6375.320";"10956.997";"10187.594";" 6049.467"
