"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541";"17756.42541"
"4am";"    0.00000";"    0.00000";"    0.00000";"   89.94952";"   44.44442";"   29.82601";"    0.00000";"    0.00000";"  103.85420";"   32.77678";"    0.00000";"    0.00000";"   54.15303";"   35.82293";"   21.85929";"    0.00000";"    0.00000";"    0.00000";"  103.57402";"    0.00000";"    0.00000";"  127.03730";"    0.00000";"    0.00000";"   42.55212";"   60.70486";"  117.27350";"    0.00000";"    0.00000";"    0.00000";" 8184.76720";" 7182.13569";"    0.00000";"    0.00000";"   83.09536";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"   48.12976";" 4880.04474";"   43.14698";"    0.00000";"   37.88057";" 6024.58130";" 5278.41679";" 3035.70552";"    0.00000";" 5906.81991";" 7643.46082";" 7099.23500";" 5105.66407";"    0.00000";"   45.66374";"    0.00000";"    0.00000";"    0.00000";"10271.91636";" 9594.44793";" 3779.08695";" 7656.45011";" 7945.72783";" 7310.53755";"10789.30495";" 8096.37044";" 4685.39897";"    0.00000";"    0.00000";"   63.59414";"    0.00000";"  120.43450";"  164.87457";"    0.00000";" 9179.52671";" 9551.61020";"10746.25830";" 7875.64744"
"5am";"   76.61134";"    0.00000";"    0.00000";"   89.94952";"   44.44442";"   29.82601";"    0.00000";"    0.00000";"  103.85420";"   32.77678";"   22.71364";"    0.00000";"   54.15303";"    0.00000";"   21.85929";"    0.00000";"   53.33701";"    0.00000";"  103.57402";"    0.00000";"    0.00000";"  127.03730";"  248.48530";"    0.00000";"   42.55212";"   60.70486";"  117.27350";"    0.00000";"   17.63470";"    0.00000";" 8074.26091";" 7155.34212";"    0.00000";"    0.00000";"  118.52220";"   60.98482";"   35.79166";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"   48.12976";" 4857.33110";"   43.14698";"    0.00000";"    0.00000";" 6024.58130";" 5352.48218";" 3018.07082";"    0.00000";" 5868.29176";" 7643.46082";" 6986.66195";" 5008.06229";"    0.00000";"  114.84797";"    0.00000";"   31.08747";"    0.00000";"10122.44375";" 9569.06163";" 3679.57619";" 7656.45011";" 7892.39082";" 7310.53755";"10470.60959";" 7888.51247";" 4535.78556";"    0.00000";"    0.00000";"   63.59414";"    0.00000";"  120.43450";"  244.97118";"    0.00000";" 9129.38052";" 9474.99886";"10746.25830";" 7759.36184"
"6am";"   76.61134";"    0.00000";"   27.94293";"   89.94952";"   44.44442";"    0.00000";"    0.00000";"    0.00000";"  219.42423";"   32.77678";"   47.21177";"    0.00000";"   54.15303";"  176.02698";"   21.85929";"    0.00000";"   53.33701";"    0.00000";"  182.99610";"    0.00000";"   59.79540";"  349.71485";"  296.61506";"    0.00000";"   88.21586";"  121.68968";"  159.57636";"    0.00000";"   59.30500";"    0.00000";" 8047.97666";" 7511.59391";"    0.00000";"   43.98354";"  369.27646";"  194.90512";"   78.09452";"   20.15669";"    0.00000";"    0.00000";"    0.00000";"    0.00000";"  106.09170";" 4625.76412";"   43.14698";"    0.00000";"   59.79540";" 5486.65598";" 5128.96384";" 2985.63526";"    0.00000";" 5427.07001";" 7088.18623";" 6803.61999";" 4777.28345";"    0.00000";"  114.84797";"  232.42856";"  102.38093";"    0.00000";" 9484.23133";" 9014.57914";" 3530.59678";" 7408.01533";" 7428.48703";" 6873.68888";"10470.15482";" 7720.18607";" 4339.33595";"   76.10889";"    0.00000";"   63.59414";"    0.00000";"  314.34402";"  244.97118";"    0.00000";" 8820.46244";" 9171.28284";"10704.81096";" 7310.73242"
"7am";"   76.61134";"    0.00000";"  350.11305";"  175.90556";"  226.05020";"  347.61094";"    0.00000";"    0.00000";" 1214.31928";"  147.48633";"  304.82036";"    0.00000";"  268.86465";"  211.81864";"  125.46862";"    0.00000";"  433.33401";"  171.19926";"  601.66517";"  158.07595";"  115.37893";"  907.56004";"  460.24250";"  260.67554";"  918.20065";"  154.01024";"  808.69355";"  379.29763";"  247.88908";"   91.42134";" 6727.36018";" 6865.77850";"  388.73153";"  127.47412";"  751.08823";"  133.92030";"  403.00318";"   74.38223";"    0.00000";"  405.16309";"  141.33068";"   44.54079";"  136.70392";" 4070.27451";"   96.43700";"  170.14219";"  539.19300";" 4877.94177";" 4259.19921";" 2579.54467";"   13.03104";" 4308.83250";" 5383.88154";" 5289.10376";" 4255.51150";"  175.55830";"  114.84797";"  406.42452";"  199.15741";" 1051.30868";" 7841.41831";" 7172.02369";" 2873.64445";" 6165.40744";" 6843.05413";" 5607.27294";" 8646.74618";" 7192.88115";" 3793.77902";"  313.60455";"  119.59827";"   63.59414";"  119.73914";"  508.13253";"  637.40225";"  147.98840";" 7500.23690";" 9120.01118";"10475.80198";" 6517.65824"
"8am";"  469.37815";"   48.96102";"  704.64560";"  291.73316";"  327.07625";"  523.46186";"  121.37864";"    0.00000";" 2037.38317";"  191.80259";"  851.76923";"    0.00000";"  686.06982";"  228.74013";"  171.88622";"  132.33588";"  792.77715";"  758.98704";" 1533.27040";"  129.81140";"  149.61843";" 2133.69979";" 1165.72009";"  301.61515";" 1297.63250";"  220.89181";" 1845.74452";" 1177.94391";"  349.01545";"  811.60654";" 5621.06122";" 6415.63988";"  701.21760";"  642.12182";" 1040.98303";"  182.88132";"  604.11140";"   20.15669";"  344.31346";" 1308.75523";"  561.03665";"  150.46886";"  577.04677";" 3897.00495";"  147.88174";"  170.14219";"  773.95557";" 4128.89945";" 3449.20793";" 1962.67234";"   70.99298";" 3605.86538";" 4523.51300";" 4175.28100";" 3577.70602";"  258.64617";"  127.14725";"  406.42452";"  475.22871";" 1345.90685";" 6470.96121";" 5540.98281";" 2099.84603";" 4808.51689";" 6076.53041";" 5376.79032";" 6689.98248";" 6565.36149";" 3411.63305";"  813.48345";"  223.89298";"  160.82210";"  225.94188";"  701.05735";" 1254.70652";"  215.20261";" 6304.06644";" 9922.97340";"10289.10631";" 5621.08667"
"9am";"  699.45322";"  569.17332";"  934.15236";"  414.19113";"  329.82527";"  766.10771";"  283.42564";"   54.41388";" 2140.95053";"  356.15137";"  929.15674";"    0.00000";"  797.13846";"  578.01731";"  171.88622";"  132.33588";" 1115.00795";" 1044.77801";" 1759.83917";"   81.35352";"  294.16253";" 2289.57782";" 1228.71992";"  343.15976";" 1690.11530";"  252.15721";" 2576.01363";" 1850.46725";"  456.92476";"  872.02907";" 5175.47552";" 6610.11689";" 1386.33325";"  600.62012";" 1193.05259";"  751.74461";"  753.85433";"  178.48312";"  265.61407";" 1669.99789";"  788.69229";"  210.48952";"  991.71075";" 3595.64881";"  129.04180";"  194.64032";" 1149.90984";" 3572.90960";" 3121.82668";" 1691.50161";"   70.99298";" 3528.39231";" 3909.03688";" 4230.19958";" 2979.25745";"  599.26294";"  203.50524";"  406.42452";"  747.32088";" 1519.67115";" 5947.23193";" 4942.96638";" 1669.97012";" 4457.54561";" 5940.29147";" 5047.24673";" 6382.75218";" 6413.60750";" 2748.32318";" 1065.26564";"  246.26193";"  107.46381";"  390.57283";"  716.86476";" 1355.95100";"  215.20261";" 5948.27453";"10462.38615";"10350.61219";" 5804.53976"
"10am";"  636.38092";"  975.67390";"  996.84653";"  352.93918";"  329.82527";"  813.50188";"  121.37864";"   54.41388";" 2479.10886";"  288.27115";" 1072.48459";"    0.00000";"  889.50383";"  490.35252";"  171.88622";"  132.33588";" 1150.66664";"  840.09848";" 1708.32078";"   81.35352";"  275.32259";" 2368.27387";" 1332.57412";"  301.61515";" 1829.58198";"  252.15721";" 2614.78027";" 1884.64999";"  486.02364";"  907.24268";" 5079.13855";" 6646.38169";" 1828.57172";"  748.81586";" 1164.99289";"  583.25448";"  816.85768";"  258.05622";"  265.61407";" 1799.17928";"  796.00462";"  217.40221";"  880.80413";" 3581.87057";"  116.88820";"  222.78591";" 1169.47015";" 3362.48611";" 3057.81680";" 1656.07097";"  132.76886";" 3289.46033";" 3774.03438";" 3755.37146";" 2849.58099";"  341.53478";"  178.74544";"  406.42452";"  638.10833";" 1856.37162";" 5877.19442";" 4887.68646";" 1616.65324";" 4347.30429";" 5571.55091";" 4888.66540";" 6220.77808";" 6457.16686";" 2812.63176";"  999.64682";"  131.42530";"  418.25171";"  402.28212";"  716.86476";" 1355.95100";"  215.20261";" 5836.00710";"11066.43074";"10411.76818";" 5962.38169"
"11am";"  902.56990";"  889.93542";"  678.20354";"  394.76731";"  324.98147";"  989.35069";"  121.37864";"    0.00000";" 2306.33120";"  219.31610";"  762.64172";"    0.00000";"  641.15842";"  411.65313";"  246.16921";"  132.33588";"  982.36588";"  867.68675";" 1761.13374";"   81.35352";"  275.32259";" 2538.47567";" 1267.98154";"  292.75749";" 1662.62990";"  239.12617";" 2440.47888";" 1702.28418";"  533.63556";"  838.58272";" 5548.12444";" 6152.32580";" 1794.96470";"  600.62012";" 1301.55722";"  482.92126";"  639.07023";"  122.06574";"  344.31346";" 1671.34529";"  762.77155";"  226.64031";"  626.81585";" 3878.83802";"  107.94839";"  170.14219";" 1294.36644";" 3519.55730";" 3061.23185";" 1793.43282";"  132.76886";" 3231.58265";" 4356.95923";" 3798.89068";" 2834.71801";"  341.53478";"  271.68021";"  406.42452";"  570.91313";" 1411.83699";" 6671.88132";" 5211.47476";" 1813.69399";" 4558.80163";" 5356.94094";" 5180.65392";" 5968.27472";" 6599.80018";" 2937.53125";"  816.01643";"  410.13548";"  362.70569";"  506.13632";"  659.57425";" 1227.24395";"  215.20261";" 6259.24423";"10672.79497";" 9957.34255";" 5854.74639"
