"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"  1.6105082";"  0.0000000";"  1.2023446";"  0.0000000";"  4.0642685";"  0.4571565";"  1.3490481";"  0.0000000";"  0.0000000";"  0.0000000";"  0.3609003";"  0.3241081";"  2.4962125";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.1102703";"  0.0000000";"  0.0000000";"  0.0000000";"  0.4898507";"  0.8602899";"  0.0000000";" 99.1825816";" 98.1423404";"  0.0000000";"  0.0000000";" 98.2297248";"100.0000000";" 98.7913936";" 97.6419939";" 98.1762593";"100.0000000";" 99.2743213";" 98.7656737";" 98.2408461";"100.0000000";" 99.2915264";"  0.0000000";" 99.3136574";"100.0000000";" 96.5345574";"  0.0000000";"  0.0000000";"  1.8047918";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 99.2744423";" 98.8220266";"100.0000000";"100.0000000";"100.0000000";"  0.0000000";"  0.8789047";"  0.0000000";"  0.0000000";"  0.0000000";"  1.0001035";"  1.2406164";"  0.8055907";"  0.0000000";"100.0000000";"100.0000000";" 99.1464554";" 99.1593298";" 98.0438465";" 98.6683245";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"5am";"  1.5869822";"  0.9884670";"  1.6073146";"  0.0000000";"  4.0642685";"  0.4571565";"  1.6537446";"  0.0000000";"  2.6043534";"  0.0000000";"  1.7958652";"  0.3291116";"  4.1174103";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.4539741";"  0.4697445";"  1.0179498";"  0.0000000";"  0.4898507";"  0.8753277";"  0.0000000";" 96.4997851";" 98.1423404";"  0.0000000";"  0.9805818";" 97.8779362";" 97.9779023";" 96.6909930";" 96.7339031";" 96.6645423";" 99.2276423";" 98.4295479";" 98.2712233";" 98.2408461";"100.0000000";" 99.2945418";"  0.0000000";" 99.3044128";"100.0000000";" 96.9488240";"  0.0000000";"  0.0000000";"  1.8151458";"100.0000000";"  0.0000000";"  0.0000000";"  0.4674757";"  0.0000000";" 99.2634484";" 97.0740523";"100.0000000";" 99.7400317";"100.0000000";"  0.0000000";"  0.8812158";"  0.0000000";"  0.0000000";"  0.0000000";"  1.0001035";"  1.2777612";"  0.8266421";"  0.0000000";"100.0000000";"100.0000000";" 99.1289786";" 99.6925576";" 97.9927313";" 97.5971972";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"6am";"  2.4571376";"  0.9984811";"  2.7496173";"  0.0000000";"  4.8487075";"  1.1988253";"  2.0021612";"  0.0000000";"  3.5920143";"  0.0000000";"  1.5226178";"  0.3332741";"  7.7455430";"  0.1746343";"  0.0000000";"  2.2447264";"  0.5530903";"  0.3932614";"  0.4089960";"  0.0000000";"  0.0000000";"  4.0248184";"  1.7074872";"  1.0657779";"  0.6157131";"  0.8822979";"  1.3232169";"  1.0732858";" 95.3433795";" 94.9801358";"  0.0000000";"  1.8800319";" 97.3147799";" 96.1877304";" 90.1242926";" 93.4529055";" 95.2274180";" 98.8388688";" 98.3741624";" 98.0370269";" 96.3654031";"100.0000000";" 98.4476338";"  0.0000000";" 99.2829599";"100.0000000";" 96.0005048";"  0.0000000";"  0.0000000";"  1.8345036";"100.0000000";"  0.0000000";"  0.0000000";"  0.6668495";"  0.0000000";" 99.2634484";" 97.0179597";" 96.7956550";" 99.0517325";"100.0000000";"  0.0000000";"  0.9349123";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6191101";"  2.0327317";"  0.8445135";"  0.5904994";" 99.2006730";"100.0000000";" 99.1249385";" 99.6710989";" 96.1333744";" 97.6473335";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"7am";" 6.5830979";" 4.2229920";" 7.5283480";" 2.3339895";" 9.8093783";" 4.6933848";" 3.2041153";" 0.0000000";"11.0982970";" 1.1260164";" 5.2009595";" 1.5914224";"12.0500196";" 1.2124885";" 0.0000000";" 5.5806700";" 8.3350236";" 2.4912886";"11.7585106";" 0.7103865";" 0.0000000";" 7.2115026";" 9.0525813";" 3.9890259";" 5.8540098";" 3.9874207";" 9.7793027";" 5.8549885";"87.1299300";"88.3406192";" 0.8419751";" 9.9266481";"90.8185795";"83.5818443";"78.4069008";"92.7438553";"90.5477109";"94.5420252";"98.1165204";"91.0697810";"92.0285386";"96.4474042";"94.5230420";" 0.0000000";"98.1743557";"96.4364386";"85.0730215";" 3.9823899";" 0.0000000";" 2.1171900";"99.5201036";" 0.5609387";" 0.0000000";" 6.3786520";" 0.9427400";"96.9365688";"96.2612339";"93.8014416";"96.7021587";"84.1660463";" 1.9790557";" 1.7126309";" 4.5736262";" 0.0000000";" 0.9517496";" 0.7567411";" 4.5230233";" 1.9778326";" 1.6700333";"96.5488850";"98.7221663";"98.9958458";"98.7220666";"93.7205105";"94.4058671";"97.4591468";" 0.0000000";" 0.8103403";" 0.6364784";" 1.0376015"
"8am";"11.2825006";"17.0961589";"12.6423914";" 5.2655753";"10.6885629";" 8.3409544";" 5.5866720";" 3.2234955";"19.3233966";"11.7838951";" 9.3566545";" 4.4265856";"16.9386332";" 4.8851971";" 1.9434286";"14.5386189";"10.7294278";" 7.7845391";"16.5415428";" 1.5641756";" 1.3144037";"11.4567895";"18.7666040";" 7.4931024";" 9.4030113";" 6.9638196";"25.3804665";"14.8932141";"75.9985564";"73.5651656";" 6.0585026";"17.7088278";"80.9392764";"65.8654800";"66.3424440";"90.0274806";"85.1251788";"88.9442060";"84.2408861";"77.7163862";"74.0728540";"88.6708046";"75.9090012";"12.2998455";"95.8433064";"93.4925078";"77.2497433";" 5.1765541";" 1.7251173";" 0.0000000";"94.4121809";" 3.3798955";" 0.0000000";"11.2589915";" 3.8293286";"93.9072719";"92.9779060";"92.4077573";"92.9184761";"79.6442480";" 5.1031997";" 4.7764008";" 5.8336441";" 0.0000000";" 1.0542359";" 0.6783644";" 7.5269543";" 2.9497175";" 5.6435084";"91.1322342";"96.8593602";"95.7265891";"97.8464451";"91.8477620";"90.2147695";"96.0282201";" 0.5077344";" 1.8530092";" 0.8280163";" 1.1997597"
"9am";"16.1729494";"16.3882108";"12.5062566";" 6.2281112";"12.3227019";"10.8594352";" 5.8596861";" 6.0093083";"20.2831529";"13.8467310";" 9.6773551";" 4.1992989";"19.8801981";" 6.4657083";" 2.3427710";"18.5540552";"14.3651187";" 7.9665839";"16.6734679";" 1.9088987";" 1.4346855";"16.6744462";"22.9531646";" 6.8661966";"11.6022087";" 6.7277000";"26.9176560";"19.0508630";"71.0308765";"70.7276151";" 7.8413860";"22.2252511";"73.6541439";"66.8266124";"63.3123560";"75.4425725";"83.3449418";"79.4671731";"77.5636699";"74.9490960";"69.7368095";"84.9859442";"69.2299910";" 9.4871241";"95.0743409";"92.2794004";"68.9649503";" 5.6829007";" 0.9232284";" 0.0000000";"93.9868079";" 4.0799507";" 0.0000000";"12.2925076";" 4.4323834";"88.7873397";"86.1498764";"90.3116338";"90.4496497";"76.9380768";" 7.0026751";" 5.8209579";"10.1626975";" 0.0000000";" 1.6412628";" 2.5462428";" 8.0408644";" 3.4393191";" 6.8048083";"88.5666837";"96.4192551";"96.6771251";"96.3246720";"90.8054776";"89.0007916";"95.9021296";" 0.5376130";" 1.7599995";" 1.5697143";" 1.1566820"
"10am";"15.9286847";"17.4516737";"12.5030263";" 7.2086509";"12.2946835";"12.0384246";" 7.7907294";" 6.9851374";"20.8920255";"14.9606319";"10.8888527";" 4.9133241";"21.7501278";" 6.5299739";" 3.2350873";"15.2692445";"14.3930073";" 8.3176116";"16.4087408";" 1.8227510";" 2.1926747";"18.0878995";"22.8160815";" 7.7942480";"11.6153264";" 8.6835537";"26.8054313";"22.4337730";"69.4370231";"71.3011758";" 7.9753758";"21.3595091";"68.2902596";"60.4380993";"61.7620566";"77.4732797";"81.8011169";"81.5697431";"76.8022805";"73.3364207";"70.0545636";"82.5179504";"68.9571740";" 8.8577106";"92.4636622";"91.4071549";"68.0781271";" 4.1644458";" 0.0000000";" 0.0000000";"93.3044860";" 4.9599823";" 0.0000000";"12.1108896";" 4.6456871";"91.8047339";"82.8608314";"91.0845891";"91.2837946";"73.2701035";" 9.5927309";" 5.8819694";"11.4875578";" 0.0000000";" 1.7300986";" 1.4722099";" 9.0550998";" 3.9028751";" 7.6511140";"88.3723507";"97.7242140";"91.7256061";"96.2269415";"91.7765930";"88.3002285";"95.7604181";" 0.0000000";" 2.1204775";" 0.8184279";" 1.1158126"
"11am";"14.2169936";"18.4188238";"14.4967052";" 5.7276499";"13.8152332";"10.3101596";" 8.5228473";" 9.3389891";"22.9985778";"15.4062252";"11.4080108";" 5.3691163";"20.8943783";" 5.1395744";" 2.0653075";"16.7577116";"14.7813196";" 8.6435633";"16.8853164";" 2.7694336";" 3.3826450";"17.2139502";"22.5756718";" 8.5096495";"11.5989092";" 6.9423164";"25.1562409";"20.8051929";"69.1315095";"71.5892324";" 7.5372931";"20.2000794";"68.9950706";"63.3130820";"59.4392980";"79.5037788";"84.8735966";"83.4178598";"78.0753774";"73.9363199";"71.1856613";"81.5499568";"71.6104037";" 9.3514579";"91.5994782";"92.9698427";"69.5528722";" 2.2408842";" 0.8948913";" 0.0000000";"93.6601188";" 4.1451562";" 0.6370282";"11.7635102";" 4.6676618";"91.4890608";"83.8265475";"91.8096277";"90.1108491";"77.8851271";" 6.9723074";" 6.0295487";"10.4475505";" 0.0000000";" 1.7991003";" 1.3903879";" 8.0671845";" 3.3465617";" 6.6245073";"90.8753061";"94.6805170";"92.5847574";"95.5188420";"93.2154529";"88.9713351";"95.6732424";" 0.7968993";" 1.7262020";" 1.3366011";" 1.7075929"
