"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068";"12838.27068"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"   0.0000";"   0.0000";" 995.0245";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1330.9650";"   0.0000";"   0.0000";"   0.0000";" 874.5907";"   0.0000";"   0.0000";"   0.0000";" 665.3192";"   0.0000";" 828.9989";"   0.0000";"   0.0000";"1114.2061";" 698.7505";"   0.0000";" 728.0286";"   0.0000";" 703.7325";" 581.7197";" 616.6439";"   0.0000";"   0.0000";" 822.6163";"   0.0000";"   0.0000";" 707.8286";"   0.0000";" 432.0621";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 887.9789";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1114.9555";"   0.0000";"   0.0000";"1256.5261";" 983.9557";"1544.0459";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";" 986.7136";"   0.0000";"1715.0416";"   0.0000";" 589.2238";" 886.9289";"   0.0000";"   0.0000";"2803.6805";"   0.0000";" 810.7060";"   0.0000";"1323.4518";"   0.0000";"   0.0000";"   0.0000";" 951.0073";" 795.1742";"1669.1312";"   0.0000";"   0.0000";"1881.6310";"1834.7710";"   0.0000";"1594.7388";"   0.0000";"3000.7417";"1783.1678";"1250.7371";" 914.6726";"   0.0000";"1691.2485";"1303.4051";"   0.0000";"1016.7792";" 575.4929";" 560.2972";"   0.0000";"   0.0000";"1169.0248";"   0.0000";"   0.0000";"1045.5322";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 596.4717";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 986.4558";"1324.7762";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1415.9286";" 985.4713";"1435.0123";"2263.6555";"1794.6663";"2674.3461";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"1767.3585";" 991.2084";"1734.6068";"   0.0000";" 651.5678";"1162.0790";"   0.0000";"   0.0000";"3103.9674";" 758.9553";" 872.8136";"   0.0000";"1554.9235";"   0.0000";"   0.0000";" 682.2922";"1413.9611";" 795.1742";"1772.2238";"   0.0000";"   0.0000";"2685.6096";"2421.8628";"   0.0000";"2363.0716";"   0.0000";"3424.7020";"2653.0724";"1397.5121";" 839.0152";"   0.0000";"2378.9870";"1735.2541";"   0.0000";"1223.2026";" 632.1083";" 821.9487";"   0.0000";"   0.0000";"1361.0556";"   0.0000";"   0.0000";"1249.9246";"   0.0000";"   0.0000";"   0.0000";" 627.3965";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 664.8791";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1969.0038";"1667.4013";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1819.6207";"1146.8104";"2045.7797";"2951.5527";"1701.8546";"3833.3258";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"1793.1103";"1258.1569";"1731.4801";"   0.0000";" 651.5678";"1314.8510";"   0.0000";"   0.0000";"3337.3111";" 728.7619";" 941.7848";"   0.0000";"1633.6780";"   0.0000";"   0.0000";"   0.0000";"1472.5986";" 721.7275";"1760.4116";"   0.0000";"   0.0000";"2888.2107";"2458.5861";"   0.0000";"2573.9516";"   0.0000";"3460.3805";"3165.6501";"1436.5235";"1114.2805";"   0.0000";"2317.1331";"1804.8392";"   0.0000";"1161.0429";" 739.6906";" 795.2475";"   0.0000";"   0.0000";"1536.5462";" 547.8449";" 682.0393";"1527.2882";"   0.0000";"   0.0000";"   0.0000";" 642.8381";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 583.4699";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1628.9307";"1540.3220";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2190.3077";"1040.8110";"1589.7915";"3336.1922";"1672.0895";"4022.8403";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"1633.1185";"1431.0406";"1885.4741";"   0.0000";" 781.9102";"1187.2683";"   0.0000";"   0.0000";"3629.4290";" 819.4796";" 894.7720";"   0.0000";"1455.5015";"   0.0000";"   0.0000";" 661.0096";"1411.6072";" 770.7178";"1698.5513";"   0.0000";"   0.0000";"2750.2730";"2383.0573";"   0.0000";"2380.7721";"   0.0000";"3122.4140";"2762.4403";"1306.6280";" 848.5462";"   0.0000";"1996.3811";"1646.8787";"   0.0000";"1195.5592";"   0.0000";" 855.7878";"   0.0000";"   0.0000";"1436.0951";"   0.0000";" 410.6192";"1308.6364";"   0.0000";"   0.0000";"   0.0000";" 612.8061";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 574.9508";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1098.1550";"1462.3019";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2056.8663";" 935.0701";"1473.3350";"2593.6744";"1995.7968";"3582.1633";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"12am";"1535.0725";"1918.1006";"1623.0008";"   0.0000";"   0.0000";" 809.6823";"   0.0000";"   0.0000";"3615.4187";"   0.0000";" 611.2161";"   0.0000";"1406.9638";"   0.0000";"   0.0000";"   0.0000";"1344.8978";"   0.0000";"1244.6298";"   0.0000";"   0.0000";"2327.1579";"1988.4775";"   0.0000";"2137.2220";"   0.0000";"2795.9909";"2533.4186";" 998.3337";" 686.8074";"   0.0000";"1555.2984";"1720.5952";"   0.0000";" 762.1617";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 902.3939";"   0.0000";"   0.0000";"1213.0128";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1172.7444";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1382.5142";"   0.0000";"1144.7237";"1629.1511";"1643.7770";"1613.9948";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"1pm";"1272.1117";"1983.2556";"2279.2674";"   0.0000";" 561.1983";" 768.6682";"   0.0000";"   0.0000";"3508.0706";"   0.0000";" 983.1296";"   0.0000";"1600.2764";"   0.0000";"   0.0000";" 638.4022";"1280.5332";" 894.7866";"1317.4535";"   0.0000";"   0.0000";"2882.2618";"2114.5687";"   0.0000";"2389.5106";"   0.0000";"3101.2872";"2567.1495";"1509.0162";" 874.2418";"   0.0000";"1947.5661";"1595.0674";"   0.0000";"1074.9996";" 619.7083";" 758.4521";"   0.0000";"   0.0000";" 892.9415";"   0.0000";"   0.0000";"1469.6107";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 926.1345";"1317.0856";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1235.0143";" 927.7471";"1244.0129";"1914.4249";"1677.8959";"2542.1307";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"2pm";"1088.3640";"1941.1738";"2129.0788";"   0.0000";" 657.7405";"1030.4348";"   0.0000";"   0.0000";"3375.4706";"   0.0000";" 923.7397";"   0.0000";"1636.2728";"   0.0000";"   0.0000";"   0.0000";"1138.9623";" 874.4125";"1478.4618";"   0.0000";"   0.0000";"2662.3471";"2440.1905";"   0.0000";"2433.7547";"   0.0000";"3108.6907";"3379.6393";"1648.7741";" 974.3592";"   0.0000";"2152.1045";"1694.1238";" 681.1059";"1271.6825";" 698.1930";" 974.5712";"   0.0000";"   0.0000";" 703.3986";" 724.7094";" 457.5030";"1708.0790";" 643.7575";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1139.8459";"1311.9321";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1696.1770";"1010.9225";"1249.6834";"2900.0670";"1666.3819";"3485.8938";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"3pm";" 942.0377";"2328.2179";"1948.0871";"   0.0000";"   0.0000";" 896.0334";"   0.0000";"   0.0000";"3472.4030";"   0.0000";"1009.2396";" 528.4103";"1842.4159";"   0.0000";"   0.0000";"   0.0000";"1176.6322";" 856.3683";"1223.9529";"   0.0000";"   0.0000";"2941.6753";"2503.0301";"   0.0000";"2387.7214";"   0.0000";"3201.0425";"3963.2872";"1527.3579";" 825.4629";"   0.0000";"2725.9675";"1821.3979";"   0.0000";"1347.5855";"1239.6083";" 778.6040";"   0.0000";"   0.0000";" 676.8679";" 700.2534";" 369.5175";"1240.2010";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1316.5055";"1468.7665";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2037.9593";"1136.1947";"   0.0000";"3349.6152";"1844.7231";"3495.5820";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
