"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962";"31.3572912159962"
"max";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038";"68.6427087840038"
"4am";"53.46270";"44.00483";"46.81138";"42.17785";"50.13114";"50.51050";"45.45089";"38.62736";"35.19231";"42.66339";"39.67870";"47.02332";"49.03231";"42.98213";"43.01675";"41.57469";"45.40428";"49.55572";"47.68185";"50.72932";"54.71674";"44.55631";"45.46507";"43.85111";"48.72141";"45.85179";"41.69368";"41.19738";"49.26691";"48.11935";"43.90699";"48.53127";"47.46174";"47.31706";"47.12770";"51.93670";"49.51994";"44.66601";"48.58261";"49.25065";"45.68035";"45.52430";"48.47718";"42.56133";"50.06266";"41.14453";"49.88446";"39.78215";"42.96003";"50.52468";"51.50373";"44.09465";"43.69478";"53.56503";"47.80696";"40.98463";"45.86925";"47.13539";"42.08602";"45.43037";"43.27849";"53.04799";"52.13837";"49.51929";"50.36827";"52.16755";"47.90231";"47.24782";"46.80208";"50.55550";"46.66850";"47.01648";"45.85188";"43.36697";"49.79103";"50.27384";"45.85976";"39.48539";"47.89563";"49.40069"
"5am";"54.14251";"44.55833";"46.85180";"42.40366";"50.13114";"50.51050";"45.61938";"38.34993";"35.81616";"42.93032";"39.67084";"46.20546";"51.11144";"42.72535";"42.49862";"41.45800";"46.60719";"48.83389";"47.68185";"51.93313";"54.46033";"44.04507";"48.06041";"43.62514";"48.43904";"45.85179";"42.46851";"41.25266";"49.45565";"48.11935";"43.13928";"49.33887";"47.64989";"45.94676";"46.97758";"51.45368";"49.21378";"45.02493";"48.25066";"49.03408";"45.68035";"46.05623";"48.69647";"42.29274";"49.97149";"41.97701";"49.17590";"39.78215";"43.51094";"50.24084";"50.25817";"44.90400";"43.69478";"53.90535";"47.41052";"40.86514";"45.39827";"47.27915";"41.88413";"45.62536";"42.44092";"53.18748";"50.84399";"49.51929";"50.03511";"52.16755";"46.34247";"47.72981";"45.99860";"51.49129";"45.71587";"47.21040";"47.35936";"41.29725";"50.04969";"50.00628";"45.56237";"38.99609";"47.89563";"50.13658"
"6am";"53.41349";"43.99665";"47.37794";"42.16886";"49.89675";"49.95055";"45.75498";"37.65632";"35.63555";"42.64454";"41.08860";"46.07504";"53.87886";"43.81545";"42.74252";"42.31481";"45.99619";"48.03984";"47.99640";"50.78292";"53.95822";"42.51222";"47.56556";"42.60877";"47.71958";"45.11551";"43.12317";"40.88422";"50.57789";"46.97655";"44.62984";"50.20767";"46.49425";"45.57352";"49.92719";"51.04890";"48.39264";"45.49490";"49.77142";"48.64097";"44.62456";"46.91625";"49.62520";"39.40390";"49.27637";"41.02811";"48.50044";"38.69393";"41.79753";"50.13863";"48.63894";"43.70132";"41.72194";"53.29735";"48.30850";"40.86514";"45.14030";"47.77000";"42.34167";"43.08280";"41.15810";"51.31157";"49.63807";"48.44278";"47.42609";"50.81545";"46.34824";"47.46305";"44.88598";"51.72972";"45.29417";"48.13192";"47.80093";"39.82344";"50.63019";"49.30081";"45.07448";"37.70521";"48.13956";"47.96184"
"7am";"48.04020";"44.28854";"45.54667";"39.52711";"51.86705";"48.53535";"44.68158";"35.51911";"41.25486";"44.81364";"45.24462";"47.47504";"53.52733";"44.31976";"36.63713";"40.84452";"42.88169";"46.42333";"49.79651";"44.34743";"55.33664";"45.73895";"47.56936";"41.51126";"47.85764";"45.03750";"49.87888";"41.71562";"54.26673";"45.07616";"45.53126";"55.94384";"45.41454";"45.26264";"52.95943";"51.64153";"50.32386";"47.18847";"47.34451";"47.54800";"38.39342";"48.91843";"56.00215";"38.59263";"46.83714";"43.67338";"45.87356";"37.66789";"42.50735";"50.29838";"47.58961";"44.01391";"42.84189";"57.90832";"48.20659";"40.85901";"43.55744";"44.05408";"43.01540";"42.16070";"43.37725";"47.88780";"45.03102";"41.45556";"50.70804";"51.10863";"45.97724";"46.31141";"45.56716";"49.70836";"44.77388";"45.68999";"47.34283";"41.20250";"53.85829";"51.38486";"41.76083";"34.95207";"45.80187";"49.40616"
"8am";"46.37550";"39.62742";"43.03096";"36.10087";"50.94940";"43.38509";"45.28029";"38.38204";"40.22620";"44.74749";"50.11484";"47.11086";"57.10667";"46.82611";"39.83269";"43.78030";"43.26895";"41.86879";"45.89434";"43.51419";"61.95118";"44.09587";"44.00771";"42.95286";"47.08124";"44.11069";"55.60092";"38.70134";"51.16846";"42.61895";"47.09678";"54.90282";"43.51950";"48.61092";"55.82136";"50.37633";"50.94316";"49.97129";"50.95797";"47.76191";"46.33531";"42.51919";"57.90562";"38.23690";"45.96235";"43.86827";"44.06731";"37.37530";"42.81735";"44.38310";"48.47080";"39.74178";"43.42951";"54.79644";"50.61309";"44.39218";"43.05400";"43.28696";"45.35645";"40.65496";"45.87124";"48.70115";"45.05136";"38.41812";"51.21910";"49.67568";"47.45759";"44.46396";"50.21045";"51.54758";"40.18671";"47.06055";"43.45260";"41.00976";"55.43854";"52.91581";"42.35028";"35.50818";"45.42002";"47.42629"
"9am";"42.20265";"39.45722";"44.49216";"33.48283";"51.09249";"42.62410";"43.31603";"39.68711";"39.31759";"45.83837";"50.42373";"47.64563";"55.45852";"46.52889";"37.40640";"39.53585";"43.73581";"42.79037";"43.29310";"40.94173";"52.59987";"44.27685";"46.80428";"43.61748";"47.29138";"41.84298";"56.38381";"42.30492";"51.44666";"45.50568";"47.42770";"52.76774";"45.97049";"45.77276";"55.15522";"43.96069";"52.54124";"51.23665";"52.39709";"45.62112";"47.80741";"39.60231";"54.52263";"36.89593";"46.16085";"43.87297";"42.84657";"34.48628";"45.52196";"46.51968";"48.24671";"42.01589";"44.30529";"58.81245";"50.77253";"45.00116";"46.78817";"45.92224";"42.83041";"41.67013";"45.16115";"50.49951";"47.81843";"37.50068";"53.89900";"49.89206";"47.48725";"43.90745";"52.79718";"52.94697";"37.08607";"48.84339";"46.66134";"39.55301";"52.31138";"54.92129";"41.99329";"34.46080";"44.90737";"49.20729"
"10am";"42.80510";"42.59066";"44.34390";"36.69606";"46.47963";"41.73873";"42.25056";"43.32654";"42.04574";"47.93394";"51.03223";"46.92185";"57.38346";"43.71563";"34.53077";"38.51024";"42.83123";"42.20449";"47.31744";"38.33335";"52.15135";"44.15370";"46.21967";"40.43230";"47.30416";"42.64940";"56.30394";"41.93188";"51.48992";"47.87244";"48.97859";"51.04136";"46.13725";"47.53937";"50.82110";"45.42025";"51.46688";"48.93859";"52.89101";"45.75382";"48.59577";"40.73683";"49.73659";"36.62735";"49.97816";"44.85163";"46.06379";"33.61630";"45.00700";"49.03049";"44.29810";"43.31672";"46.44884";"59.63377";"49.89822";"46.02060";"44.98454";"45.82427";"42.44886";"41.76047";"45.78345";"51.55229";"46.20411";"35.79413";"50.71878";"48.45272";"47.62565";"44.14179";"50.18069";"51.91740";"36.92139";"46.09404";"43.88139";"41.27802";"52.24450";"54.48269";"43.75888";"36.35562";"43.61395";"51.75214"
"11am";"43.55514";"38.97105";"43.74405";"38.39324";"42.84288";"41.75745";"47.43659";"46.49535";"41.99225";"44.00097";"50.26929";"45.82417";"56.29348";"44.29829";"35.89740";"40.10937";"41.98102";"41.72615";"46.66859";"40.85809";"57.49783";"42.91369";"46.13907";"41.29893";"47.03667";"45.70167";"55.65413";"40.86201";"52.64604";"47.90654";"46.95358";"51.13945";"45.67878";"46.77313";"53.81688";"42.86306";"52.68292";"50.81827";"49.53324";"46.22613";"47.19472";"42.61072";"51.69590";"39.34794";"49.06358";"42.72005";"45.64208";"39.48502";"47.77973";"51.58073";"46.38245";"45.50797";"45.36688";"62.02790";"47.25985";"46.28909";"49.07589";"45.57191";"42.02541";"41.50145";"46.09949";"51.99029";"47.83849";"42.24757";"48.56701";"47.35139";"50.16143";"43.92438";"51.67873";"49.28894";"37.33408";"46.21345";"43.63906";"40.77036";"54.59269";"54.11683";"44.80834";"34.28622";"45.40768";"50.28523"
