"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487";"9063.88487"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"858.6199";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";" 761.9935";"   0.0000";"1656.3904";"   0.0000";" 843.5786";" 924.5150";"   0.0000";"   0.0000";"2515.5400";"   0.0000";"1288.3587";"   0.0000";"1536.5116";"   0.0000";"   0.0000";"   0.0000";"1098.6999";"   0.0000";"1340.6195";"   0.0000";"   0.0000";"1752.4084";"1230.9311";"   0.0000";"2908.9283";" 622.4806";"1599.8219";"1168.2377";"1034.2774";"   0.0000";"   0.0000";"1868.8968";" 834.9683";"   0.0000";"1904.0628";"   0.0000";" 847.0631";"   0.0000";"   0.0000";" 761.0752";"   0.0000";"   0.0000";"1046.9742";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 841.4952";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 941.3478";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1153.9279";"   0.0000";"   0.0000";"   0.0000";" 858.7731";"1739.0338";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1776.6258";" 663.2715";"2925.2251";"   0.0000";" 991.1409";"1279.6611";"   0.0000";"   0.0000";"4040.5136";"   0.0000";"2320.7691";"   0.0000";"2723.7321";"1086.4173";"   0.0000";"   0.0000";"1991.3559";" 832.4963";"2675.0939";"   0.0000";"   0.0000";"3025.1256";"2478.1916";" 849.7021";"5396.4002";" 750.1254";"4941.4920";"2460.3087";"1733.5454";" 913.2730";"   0.0000";"3020.1526";"1383.2115";" 742.5262";"2657.6108";" 588.5755";"1015.6340";"   0.0000";"   0.0000";"1746.2605";" 988.1433";"   0.0000";"1879.7376";" 598.7587";"   0.0000";"   0.0000";" 903.6177";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1045.0789";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 832.2968";"1085.1295";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1050.6045";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1457.2364";"   0.0000";"1021.4808";"1246.8488";"1109.4311";"2756.0332";"   0.0000";"   0.0000";"1187.2330";"   0.0000";"   0.0000"
"9am";"2559.5572";"1435.3638";"3582.8434";"   0.0000";"1343.8317";"1669.2549";" 611.2504";"   0.0000";"4538.6857";"1093.8550";"2834.3873";"   0.0000";"2930.7229";"1277.7001";"   0.0000";"   0.0000";"2634.1306";"1150.4396";"2881.8646";"   0.0000";"   0.0000";"3653.1971";"3449.2372";"1225.4371";"7125.0781";" 993.1374";"6055.4257";"4060.3876";"2102.1967";" 929.6957";"   0.0000";"3894.6780";"2041.5462";" 770.3593";"2862.0480";" 868.2212";"1171.3697";" 925.9035";" 607.9312";"1893.1112";"1274.2345";"   0.0000";"2012.4461";" 741.2354";"   0.0000";"   0.0000";"1146.6229";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1349.5658";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1036.7626";"1409.7347";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1315.8743";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1940.9857";"   0.0000";"1401.8247";"1829.3762";"1182.8354";"3298.6419";"   0.0000";"   0.0000";"1322.3781";"   0.0000";"   0.0000"
"10am";"2747.0519";"2280.2828";"3781.2963";"   0.0000";"1129.5450";"1975.3246";"   0.0000";"   0.0000";"5228.8069";" 927.4352";"2899.8482";" 574.8359";"3049.0491";"1267.1664";"   0.0000";"   0.0000";"2761.3154";" 938.3473";"3286.0636";"   0.0000";"   0.0000";"3960.0433";"3709.5778";" 895.2354";"8177.9194";"1239.1458";"6209.0123";"4370.5433";"2184.9843";"1123.5389";"   0.0000";"3734.6771";"2517.4963";" 872.1345";"2640.1826";" 907.1915";"1176.0696";" 743.6850";" 607.9312";"2158.9899";"1333.1811";" 492.9721";"1870.9824";" 796.0030";"   0.0000";"   0.0000";"1263.5068";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1227.8384";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 897.9366";"1493.4613";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1086.9307";"   0.0000";" 696.0367";"   0.0000";"   0.0000";"2155.3029";"   0.0000";"1125.2591";"1904.0823";"1138.9234";"3521.5068";"   0.0000";"   0.0000";"1764.7569";"   0.0000";"   0.0000"
"11am";"2935.8057";"2211.9046";"3140.8516";"   0.0000";"1112.2606";"1926.7945";" 852.2079";"   0.0000";"4957.4450";" 930.9678";"2207.8711";"   0.0000";"2589.7045";"1271.2052";"   0.0000";"   0.0000";"2482.2948";" 880.8900";"3073.9869";"   0.0000";"   0.0000";"3898.0103";"3589.9461";" 812.0915";"7335.8947";"1128.4721";"5689.4985";"3647.9723";"2141.5297";" 993.5612";"   0.0000";"3118.1076";"2397.5478";" 738.6236";"2943.3623";" 760.7531";"1143.4330";" 751.1837";"   0.0000";"1947.1218";"1405.1930";"   0.0000";"1760.3738";" 942.3496";"   0.0000";"   0.0000";"1223.2067";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1285.9473";"   0.0000";"   0.0000";" 609.3871";"   0.0000";" 761.5312";"1268.4994";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 816.1959";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1670.4640";"   0.0000";"1085.7554";"1506.5472";"1106.7387";"3380.5527";"   0.0000";"   0.0000";"1297.4258";"   0.0000";"   0.0000"
