"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962";"807.23962"
"max";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769";"11677.3769"
"4am";"3349.878";"1705.882";"5848.282";"2322.590";"2759.527";"5910.552";"3462.032";"1254.867";"3040.054";"2587.193";"3017.481";"4140.835";"3507.001";"4743.138";"2089.432";"2233.310";"3355.788";"5569.334";"2908.852";"3634.895";"3033.730";"6627.665";"2934.849";"2811.974";"3636.202";"3770.722";"2592.607";"3831.576";"3537.584";"2244.302";"3593.685";"3508.438";"5097.179";"1165.187";"3240.173";"3374.004";"4437.716";"2635.657";"2547.432";"5365.166";"2737.099";"1715.927";"3293.270";"2077.012";"3147.193";"2517.564";"3476.855";"2396.708";"2267.609";"1561.971";"1778.986";"2612.774";"3339.793";"3828.789";"2440.863";"3013.959";"1778.106";"3468.811";"5033.506";"3074.103";"4445.530";"5134.791";"1970.354";"3791.420";"4028.917";"3876.694";"5251.493";"3856.426";"2192.864";"5609.839";"4824.615";"3503.006";"5877.667";"4424.951";"6164.621";"3196.932";"4209.709";"3771.490";"5146.988";"3913.831"
"5am";"3442.765";"1744.583";"5938.999";"2322.590";"2759.527";"5910.552";"3485.631";"1240.248";"3224.452";"2548.594";"3048.304";"4006.956";"3765.695";"4653.579";"2045.664";"2185.153";"3469.794";"5410.787";"2908.852";"3634.895";"3002.512";"6627.665";"3214.756";"2786.271";"3636.202";"3770.722";"2595.420";"3825.729";"3641.750";"2244.302";"3483.178";"3588.793";"5135.779";"1145.617";"3323.082";"3374.004";"4383.693";"2643.331";"2513.797";"5371.720";"2737.099";"1715.927";"3322.308";"2054.298";"3099.710";"2605.353";"3282.304";"2396.708";"2341.675";"1544.336";"1692.494";"2643.430";"3339.793";"3810.244";"2374.348";"2960.316";"1781.952";"3397.486";"5008.579";"3152.194";"4296.058";"5134.791";"1870.843";"3791.420";"3975.580";"3876.694";"4932.798";"3796.556";"2086.398";"5860.746";"4643.192";"3446.879";"6010.101";"4106.463";"6228.733";"3162.900";"4159.562";"3694.879";"5146.988";"3913.831"
"6am";"3442.765";"1705.316";"6147.055";"2278.969";"2720.874";"5685.102";"3485.631";"1204.267";"3319.979";"2487.439";"3195.732";"3945.742";"4147.017";"4712.446";"1997.324";"2307.566";"3347.899";"5314.876";"2904.608";"3408.651";"2894.462";"6753.916";"3165.419";"2599.232";"3618.950";"3641.998";"2675.449";"3895.263";"3591.160";"2236.601";"3624.014";"3854.385";"4893.710";"1128.518";"3732.474";"3361.715";"4146.009";"2566.406";"2504.693";"5323.390";"2623.909";"1705.436";"3391.482";"1822.731";"2965.143";"2428.310";"3194.761";"2123.003";"2156.037";"1524.932";"1568.505";"2379.811";"2957.329";"3718.637";"2307.834";"2960.316";"1738.498";"3465.018";"4571.473";"2893.863";"3903.530";"4669.174";"1752.520";"3588.649";"3548.267";"3538.370";"4971.215";"3695.444";"1959.323";"6064.739";"4460.646";"3497.935";"5670.361";"4052.824";"6263.754";"2844.850";"3975.777";"3458.051";"5153.249";"3528.893"
"7am";"3467.586";"1646.357";"6019.920";"2047.101";"2878.057";"5583.723";"2903.542";"1004.053";"4947.495";"2402.650";"3552.832";"3657.408";"3885.015";"3730.660";"1403.104";"1906.734";"3422.907";"4839.579";"3510.755";"2740.685";"2550.792";"7066.851";"3671.783";"2475.352";"5951.772";"3039.054";"3589.355";"4144.636";"3936.030";"2250.638";"3139.148";"4636.038";"4674.013";"1222.684";"4314.662";"3108.574";"4039.229";"2063.732";"2056.650";"4732.223";"2014.223";"1473.648";"3707.856";"1587.518";"2474.103";"2085.185";"2798.935";"1913.626";"1858.864";"1325.533";"1292.242";"1915.397";"2306.557";"3424.348";"2070.961";"2754.114";"1338.004";"2888.520";"4556.738";"3180.770";"3498.054";"3494.370";"1363.370";"2555.904";"3553.767";"2911.536";"4195.054";"3398.338";"1811.580";"5200.871";"4190.591";"2893.595";"5881.296";"4213.844";"6910.297";"2992.838";"3132.162";"3229.045";"4828.848";"3277.340"
"8am";"4055.779";"1809.896";"5837.495";"1753.152";"2808.666";"4613.320";"2463.261";" 971.780";"5836.521";"2405.260";"4342.193";"3012.445";"4461.867";"3864.984";"1348.663";"1758.392";"3835.161";"4276.808";"4630.988";"2535.637";"2131.092";"7242.182";"4302.540";"2451.458";"7984.918";"2483.314";"6573.716";"4633.720";"3984.052";"2177.244";"2872.758";"5243.391";"4193.304";"1626.986";"4531.091";"2542.678";"3648.094";"1995.436";"1814.670";"5445.925";"2277.444";"1141.932";"4078.356";"1782.239";"1924.079";"1777.265";"2679.307";"1645.601";"1581.396";" 913.515";"1074.530";"1539.005";"1981.981";"2902.971";"1938.536";"2946.892";"1222.097";"2317.218";"4644.318";"3061.102";"3158.506";"2853.340";"1069.376";"1896.203";"3240.626";"2689.200";"3527.755";"3041.358";"1951.561";"5004.695";"3712.196";"3040.747";"5346.089";"4201.154";"7563.828";"2867.133";"2711.198";"3624.382";"4755.422";"2720.795"
"9am";"4611.8492";"2386.4918";"6171.0232";"1458.5095";"2701.5359";"4561.2473";"2228.5784";" 940.9192";"6016.8418";"2512.4537";"4547.7839";"2890.8637";"4337.6706";"3743.8080";"1050.6266";"1453.8602";"4304.9233";"4271.0646";"4601.6263";"1954.9020";"1657.7132";"7131.2907";"4938.4714";"2696.6247";"9632.0378";"2419.5429";"7173.6460";"5891.4926";"4079.5106";"2143.4368";"2719.5975";"5648.2496";"4976.1138";"1507.1268";"4753.6394";"2097.5534";"3832.7519";"2166.7580";"1708.9610";"5470.1823";"2512.3909";" 960.8743";"3813.9122";"1653.0155";"1735.6357";"1637.3838";"2781.2496";"1354.3994";"1538.8985";" 849.3000";" 993.9014";"1631.1783";"1749.7037";"3181.0573";"1680.0613";"2990.2863";"1283.7517";"1926.4262";"4657.8823";"3083.3398";"2918.7946";"2691.3195";" 960.9400";"1719.3042";"3407.5917";"2583.9694";"3391.0346";"2949.5162";"1701.8920";"5316.6708";"3236.3976";"3274.4063";"6066.9221";"3660.5988";"7600.3930";"2884.2308";"2538.9354";"3703.3607";"4765.2384";"2928.1033"
"10am";" 4818.6188";" 3070.5214";" 6140.9596";" 1389.0348";" 2463.2295";" 4558.7535";" 2046.4753";"  883.7030";" 6716.4247";" 2334.9568";" 4413.8150";" 3001.4980";" 4310.1402";" 3399.1860";" 1019.3243";" 1472.7155";" 4382.2117";" 3662.1255";" 5076.4515";" 1916.8631";" 1670.0782";" 7050.3036";" 4980.4805";" 2202.0663";"10482.5821";" 2196.1666";" 7268.4166";" 5917.0455";" 3774.1189";" 2293.4574";" 2761.3441";" 5537.0950";" 5242.9789";" 1590.7561";" 4356.1420";" 2053.0065";" 3614.0680";" 1954.0744";" 1695.2796";" 5736.0610";" 2594.4919";" 1162.9127";" 3790.3248";" 1638.2860";" 2006.4672";" 1712.8108";" 2992.6464";" 1225.5035";" 1478.6344";"  877.7675";"  878.4102";" 1588.3531";" 1771.6497";" 2872.9940";" 1575.3199";" 2923.8136";" 1163.8020";" 2088.9791";" 4364.4778";" 3192.0320";" 3057.8945";" 2718.9287";"  914.5654";" 1579.8336";" 3041.8861";" 2404.0845";" 3354.0234";" 2999.5703";" 1718.0925";" 5470.6946";" 3206.5077";" 2972.2375";" 5693.8700";" 3874.0275";" 7373.6787";" 2765.5598";" 2582.3334";" 4145.7395";" 4619.8267";" 3192.3317"
"11am";"5003.2169";"3027.8344";"5689.4490";"1532.7054";"2424.8078";"4808.5868";"2507.8685";" 930.9598";"6626.8396";"2340.4758";"3942.8040";"2963.5813";"3921.4016";"3540.6168";"1143.6960";"1582.1180";"4009.1621";"3720.5816";"4694.5520";"2443.1853";"1962.1072";"6856.3200";"4870.3780";"2293.6950";"9654.6660";"2314.0686";"6907.8380";"5425.5145";"3869.0358";"2064.2357";"2872.7909";"5054.1302";"5247.6972";"1459.7505";"4755.1951";"1929.5450";"3831.6896";"1991.2696";"1673.4641";"5615.3435";"2564.1683";"1240.8635";"3698.1058";"1936.8912";"1940.5770";"1674.1452";"3210.4263";"1455.9528";"1585.5486";" 994.2753";" 971.3345";"1627.0398";"2007.6255";"3031.6623";"1485.0007";"3124.8902";"1376.1557";"2261.3797";"3941.4568";"3000.0002";"3337.5642";"2955.3642";"1041.1776";"1925.9829";"2801.1152";"2487.7003";"3331.0138";"3032.4373";"1711.1787";"5171.9512";"3343.2349";"2979.0258";"5308.8784";"4293.6019";"7536.8516";"2691.6419";"2856.6752";"3756.7405";"4625.9500";"3041.9884"
