"district","hour","act1","act2","act3","act4","act5"
"001","4am",6009.838,0,0,0,255.98501
"002","4am",3689.415,0,0,0,187.16334
"003","4am",12259.326,83.7517,0,0,150.2124
"004","4am",5476.669,0,0,0,29.9887
"005","4am",5222.598,195.59832,72.5685,0,13.85169
"006","4am",11505.32,29.82601,0,0,166.48581
"007","4am",7412.321,92.32089,0,0,112.4406
"008","4am",3248.649,0,0,0,0
"009","4am",8414.177,170.8227,0,0,53.40467
"010","4am",5996.574,34.84876,0,0,32.77678
"011","4am",7577.344,27.44571,0,0,0
"012","4am",8695.455,81.92225,0,0,28.54069
"013","4am",6835.544,316.88531,0,0,0
"014","4am",10933.283,101.85689,0,0,0
"015","4am",4756.182,51.02428,0,0,50.04491
"016","4am",5371.801,0,0,0,0
"017","4am",7329.065,61.84262,0,0,0
"018","4am",11171.043,0,0,0,67.48797
"019","4am",6029.767,29.87425,40.90296,0,0
"020","4am",7165.275,0,0,0,0
"021","4am",5544.428,0,0,0,0
"022","4am",14227.274,511.52945,0,0,136.00257
"023","4am",6116.806,180.97674,0,0,157.39033
"024","4am",6386.412,0,0,0,26.13708
"025","4am",7310.427,81.61272,0,0,71.21412
"026","4am",8017.667,0,0,0,206.05077
"027","4am",6000.424,164.30712,0,0,53.49477
"028","4am",9188.449,82.80744,0,0,29.27661
"029","4am",7121.752,39.0606,0,0,19.63369
"030","4am",4547.048,69.4035,0,0,47.58125
"031","4am",8067.494,117.2735,0,0,0
"032","4am",6834.973,394.25871,0,0,0
"033","4am",10549.435,139.09539,0,0,51.02428
"034","4am",2462.51,0,0,0,0
"035","4am",6741.118,134.18522,0,0,0
"036","4am",6349.996,104.22077,0,0,42.15996
"037","4am",8457.79,465.63072,0,0,38.051
"038","4am",5803.227,97.58486,0,0,0
"039","4am",5170.323,35.13131,0,0,38.051
"040","4am",10747.885,11.4842,0,0,134.22554
"041","4am",5886.447,64.57153,0,0,40.83438
"042","4am",3769.254,0,0,0,0
"043","4am",6745.315,48.12976,0,0,0
"044","4am",4852.102,27.94293,0,0,0
"045","4am",6243.36,43.14698,0,0,0
"046","4am",6118.83,0,0,0,0
"047","4am",6739.843,152.16201,0,0,77.80946
"048","4am",5982.501,42.07982,0,0,0
"049","4am",5278.417,0,0,0,0
"050","4am",2962.774,105.43864,0,0,23.2884
"051","4am",3429.681,24.41093,0,0,0
"052","4am",5925.377,0,0,0,0
"053","4am",7594.5,48.96102,0,0,0
"054","4am",6704.713,394.5224,0,0,48.69161
"055","4am",4863.194,153.27199,32.33603,0,56.862
"056","4am",7080.402,273.47385,0,0,0
"057","4am",3830.803,0,0,0,45.66374
"058","4am",7359.249,0,0,0,0
"059","4am",11791.932,168.10946,0,0,0
"060","4am",6717.355,0,0,0,49.2719
"061","4am",10075.279,196.6369,0,0,0
"062","4am",9528.265,151.25676,0,0,0
"063","4am",3737.645,41.44232,0,0,0
"064","4am",7617.683,38.76664,0,0,0
"065","4am",7885.932,59.7954,0,0,53.19088
"066","4am",7245.689,64.84859,0,0,120.69834
"067","4am",10606.421,356.50076,0,0,0
"068","4am",7869.892,235.31363,0,0,56.9182
"069","4am",4543.051,142.34815,0,0,0
"070","4am",10943.592,152.80387,0,0,0
"071","4am",10019.585,318.46935,0,0,0
"072","4am",6974.365,476.22873,0,0,0
"073","4am",12534.059,156.53718,0,0,128.21492
"074","4am",9888.467,199.59621,0,0,115.4412
"075","4am",12129.414,251.5729,0,0,0
"076","4am",6359.038,0,0,0,0
"077","4am",9118.85,0,0,0,60.67677
"078","4am",9329.429,68.95505,0,0,153.2266
"079","4am",10536.003,210.2556,0,0,0
"080","4am",7875.647,0,0,0,46.97672
"001","5am",5972.378,130.34746,0,0,255.98501
"002","5am",3689.415,38.70125,0,0,187.16334
"003","5am",12259.326,228.00247,0,0,150.2124
"004","5am",5447.345,0,0,0,29.9887
"005","5am",5222.598,195.59832,72.5685,0,13.85169
"006","5am",11505.32,29.82601,0,0,166.48581
"007","5am",7412.321,115.92015,0,0,112.4406
"008","5am",3234.029,0,0,0,0
"009","5am",8414.177,379.97187,155.2316,0,53.40467
"010","5am",5868.956,34.84876,0,0,32.77678
"011","5am",7469.224,214.7678,0,0,0
"012","5am",8509.41,134.08801,0,0,28.54069
"013","5am",6792.038,575.57949,0,0,0
"014","5am",10825.811,66.03396,0,0,0
"015","5am",4712.415,51.02428,0,0,50.04491
"016","5am",5270.763,0,0,0,0
"017","5am",7268.913,175.84835,0,0,0
"018","5am",11012.496,0,0,0,67.48797
"019","5am",6029.767,29.87425,40.90296,0,0
"020","5am",6999.184,0,0,0,0
"021","5am",5513.21,0,0,0,0
"022","5am",14227.274,684.18479,0,0,136.00257
"023","5am",6070.715,460.8832,0,0,157.39033
"024","5am",6295.694,65.01489,0,0,26.13708
"025","5am",7310.427,125.11837,0,0,71.21412
"026","5am",8017.667,0,0,0,206.05077
"027","5am",5845.44,212.46372,0,0,53.49477
"028","5am",9072.213,172.40684,0,0,29.27661
"029","5am",7081.582,262.45297,0,0,19.63369
"030","5am",4547.048,69.4035,0,0,47.58125
"031","5am",7764.69,309.5707,0,0,0
"032","5am",6834.973,438.79034,0,0,0
"033","5am",10549.435,177.69503,0,0,51.02428
"034","5am",2442.94,50.41814,0,0,0
"035","5am",6741.118,332.64392,0,0,0
"036","5am",6349.996,165.20559,0,0,42.15996
"037","5am",8223.559,645.83934,0,0,38.051
"038","5am",5727.887,142.92856,0,0,0
"039","5am",5044.101,78.89883,48.81917,0,38.051
"040","5am",10674.392,146.45823,0,0,134.22554
"041","5am",5886.447,64.57153,0,0,40.83438
"042","5am",3725.721,0,0,0,0
"043","5am",6745.315,77.1676,0,0,0
"044","5am",4810.548,46.78287,0,0,0
"045","5am",6108.796,43.14698,0,0,51.01418
"046","5am",6118.83,87.78898,0,0,0
"047","5am",6547.543,49.26655,0,0,77.80946
"048","5am",5982.501,42.07982,0,0,0
"049","5am",5314.24,67.56669,0,0,0
"050","5am",2945.139,105.43864,0,0,23.2884
"051","5am",3343.189,24.41093,0,0,0
"052","5am",5856.192,30.65608,0,0,0
"053","5am",7594.5,48.96102,0,0,0
"054","5am",6653.124,366.58062,0,0,48.69161
"055","5am",4765.592,153.27199,32.33603,0,56.862
"056","5am",6883.563,317.99383,0,0,42.55292
"057","5am",3727.014,152.47679,0,0,45.66374
"058","5am",7152.952,0,0,0,33.05923
"059","5am",11643.47,314.70961,0,0,0
"060","5am",6711.129,148.46178,0,0,49.2719
"061","5am",9925.807,196.6369,0,0,0
"062","5am",9330.134,324.00092,0,0,0
"063","5am",3638.134,41.44232,0,0,0
"064","5am",7617.683,38.76664,0,0,0
"065","5am",7832.595,59.7954,0,0,53.19088
"066","5am",7245.689,64.84859,0,0,120.69834
"067","5am",10359.575,284.65161,0,0,0
"068","5am",7662.034,235.31363,0,0,56.9182
"069","5am",4363.666,172.1192,0,0,0
"070","5am",10869.322,512.69177,0,0,0
"071","5am",9838.161,318.46935,0,0,0
"072","5am",6794.794,506.30595,0,0,0
"073","5am",12273.231,87.78898,0,0,198.25937
"074","5am",9569.979,258.2514,0,0,115.4412
"075","5am",12059.37,385.72953,0,0,0
"076","5am",6325.006,0,0,0,0
"077","5am",9068.704,0,0,0,60.67677
"078","5am",9154.518,167.25416,0,0,153.2266
"079","5am",10536.003,210.2556,0,0,0
"080","5am",7759.362,0,0,0,46.97672
"001","6am",5972.378,217.13484,0,0,255.98501
"002","6am",3650.148,38.70125,0,0,187.16334
"003","6am",12259.326,484.2265,0,27.10908,203.84804
"004","6am",5374.4,0,0,0,29.9887
"005","6am",5130.311,236.27629,72.5685,0,13.85169
"006","6am",11132.025,82.94906,0,0,166.48581
"007","6am",7363.508,142.08817,0,0,112.4406
"008","6am",3198.049,0,0,0,0
"009","6am",8237.486,834.53449,155.2316,0,53.40467
"010","6am",5765.335,34.84876,0,0,32.77678
"011","6am",7214.964,430.11192,0,71.84375,60.74
"012","6am",8299.626,235.56251,0,0,28.54069
"013","6am",6567.252,1086.17036,0,0,43.50565
"014","6am",10446.626,308.59023,0,0,0
"015","6am",4571.852,51.02428,0,0,50.04491
"016","6am",5270.763,182.56474,0,0,0
"017","6am",7062.537,216.10582,0,0,0
"018","6am",10916.585,79.40334,0,0,67.48797
"019","6am",5710.02,218.52737,40.90296,0,0
"020","6am",6669.829,42.37143,0,0,0
"021","6am",5304.471,59.7954,0,0,0
"022","6am",14083.938,1475.35572,130.96461,0,196.74257
"023","6am",5833.499,663.96571,0,0,157.39033
"024","6am",6009.077,65.01489,0,0,26.13708
"025","6am",7217.009,295.56159,0,0,71.21412
"026","6am",7774.632,91.92533,0,0,206.05077
"027","6am",5623.672,527.03527,0,0,53.49477
"028","6am",8845.176,653.09423,0,0,29.27661
"029","6am",6590.759,489.86402,0,0,19.63369
"030","6am",4472.628,240.89065,0,0,47.58125
"031","6am",7480.896,602.98673,0,0,36.27642
"032","6am",6647.163,1029.72175,0,0,0
"033","6am",10242.778,231.60609,0,0,51.02428
"034","6am",2381.858,94.40168,0,0,0
"035","6am",6638.971,836.86426,0,0,0
"036","6am",6078.973,382.18056,0,0,124.13015
"037","6am",7612.293,803.99033,0,0,71.10657
"038","6am",5477.999,163.08525,0,0,0
"039","6am",4794.402,151.11967,48.81917,0,38.051
"040","6am",10600.618,209.40826,0,0,134.22554
"041","6am",5666.253,131.98479,0,0,40.83438
"042","6am",3533.942,34.04005,0,0,67.08309
"043","6am",6547.909,286.28344,0,0,0
"044","6am",4511.192,114.57261,0,0,0
"045","6am",5887.145,79.21416,0,0,51.01418
"046","6am",5830.861,87.78898,0,0,0
"047","6am",6337.831,171.43486,0,0,77.80946
"048","6am",5444.576,42.07982,0,0,0
"049","6am",5090.721,67.56669,0,0,0
"050","6am",2850.295,145.70656,0,0,23.2884
"051","6am",3165.909,58.88228,0,0,0
"052","6am",5414.971,30.65608,0,0,0
"053","6am",6936.359,100.39409,0,0,0
"054","6am",6201.966,726.49427,0,0,48.69161
"055","6am",4534.813,153.27199,32.33603,0,56.862
"056","6am",6848.785,317.99383,0,0,77.33141
"057","6am",3625.153,180.50511,0,0,45.66374
"058","6am",6887.517,332.96763,0,0,33.05923
"059","6am",10242.442,439.49784,0,0,114.6903
"060","6am",6408.979,258.72742,0,0,49.2719
"061","6am",9249.549,196.6369,38.04563,0,0
"062","6am",8588.022,511.6306,0,0,0
"063","6am",3489.154,41.44232,0,0,0
"064","6am",7181.015,185.17215,0,0,41.82813
"065","6am",7038.255,390.23162,0,0,53.19088
"066","6am",6850.28,23.40883,0,0,89.48802
"067","6am",10187.109,538.68091,0,0,0
"068","6am",7379.73,349.29103,0,0,56.9182
"069","6am",4167.217,197.89516,0,0,0
"070","6am",10585.882,966.6338,0,0,95.02145
"071","6am",9269.223,578.94508,0,0,0
"072","6am",6477.564,745.88093,0,0,43.94534
"073","6am",11170.705,286.53446,0,0,274.07162
"074","6am",9470.419,545.1995,0,0,161.36232
"075","6am",11582.041,532.35552,0,0,257.18307
"076","6am",5709.083,61.30806,0,0,0
"077","6am",8686.027,73.7584,0,0,60.67677
"078","6am",8764.065,253.99119,0,0,153.2266
"079","6am",10193.944,510.86664,0,0,0
"080","6am",7175.384,95.04084,0,40.30758,46.97672
"001","7am",5268.373,562.1804,1017.20744,0,296.99672
"002","7am",3095.823,396.9737,0,0,224.54737
"003","7am",10285.252,1896.8529,792.1256,0,150.2124
"004","7am",4634.048,514.9447,0,0,29.9887
"005","7am",3961.397,524.6764,942.08701,0,46.97683
"006","7am",8816.743,854.878,1256.5955,41.24449,358.22115
"007","7am",5846.448,364.2514,0,0,159.56834
"008","7am",2785.784,0,0,0,0
"009","7am",7036.532,2198.6007,2421.61015,0,96.6799
"010","7am",4866.065,380.6611,0,0,32.77678
"011","7am",6018.096,1589.2753,0,17.60338,105.25998
"012","7am",7250.44,388.5504,0,0,64.86416
"013","7am",5235.11,1981.838,0,41.05452,0
"014","7am",7623.266,700.6713,0,0,52.53893
"015","7am",3517.818,178.7254,83.14576,0,50.04491
"016","7am",4235.133,391.7409,0,0,0
"017","7am",5249.113,1081.5433,1375.24019,73.36423,0
"018","7am",9501.203,712.2502,47.74699,96.19816,67.48797
"019","7am",4559.925,1339.4198,955.88244,35.89496,125.95595
"020","7am",5517.302,567.7299,0,63.69139,31.30818
"021","7am",4392.771,115.3789,0,40.8939,0
"022","7am",11362.119,2879.2988,867.05381,0,264.20399
"023","7am",4945.957,1682.5321,753.43569,74.74163,150.07888
"024","7am",5304.319,658.7671,0,0,0
"025","7am",5690.704,1163.9925,5312.51946,0,238.25212
"026","7am",5693.369,737.8215,106.99123,0,179.27061
"027","7am",4542.633,2535.628,64.38646,0,53.49477
"028","7am",7251.957,1979.617,603.03944,0,29.27661
"029","7am",5593.888,1493.576,146.02125,0,19.63369
"030","7am",3920.151,722.5112,180.87117,0,169.43516
"031","7am",5922.398,863.1553,0,51.01341,28.96207
"032","7am",5411.476,2571.5915,123.13288,89.76845,90.9809
"033","7am",8211.496,905.7368,861.30798,0,245.07623
"034","7am",2071.673,539.2828,30.93318,59.4208,0
"035","7am",5363.259,2405.1054,214.50222,0,98.48915
"036","7am",5257.518,599.4995,0,0,162.50487
"037","7am",6464.11,1347.8764,0,57.65409,156.8276
"038","7am",4002.627,332.9629,0,0,37.79139
"039","7am",4012.705,244.4332,48.81917,0,38.051
"040","7am",8130.069,1466.8641,71.24465,47.58125,236.75984
"041","7am",4603.455,471.5385,0,0,40.83438
"042","7am",2800.636,177.7839,0,0,34.04005
"043","7am",5543.331,934.9764,0,0,0
"044","7am",3551.015,539.7974,0,0,22.71364
"045","7am",4781.085,334.8051,0,0,0
"046","7am",4344.589,290.9867,0,54.14185,84.7814
"047","7am",5102.418,921.1856,0,0,77.80946
"048","7am",4676.392,361.0978,0,0,42.76729
"049","7am",4030.626,342.4144,0,0,0
"050","7am",2352.054,259.9971,0,0,23.2884
"051","7am",2363.887,289.4177,0,0,0
"052","7am",3672.211,432.6091,0,22.14009,108.9164
"053","7am",5094.261,264.8608,0,0,0
"054","7am",4280.358,1437.7239,57.83791,0,81.62166
"055","7am",3787.184,380.5577,32.33603,0,95.9341
"056","7am",5572.998,874.7319,0,0,106.88687
"057","7am",2656.159,303.8989,0,0,111.75689
"058","7am",5672.712,691.3034,0,129.80783,0
"059","7am",9442.501,1097.6065,0,0,0
"060","7am",5209.965,998.4895,1246.04969,0,49.2719
"061","7am",7147.2,583.2095,38.04563,0,159.59619
"062","7am",6059.921,1053.7285,0,0,183.34461
"063","7am",2743.865,283.7586,0,0,0
"064","7am",5825.279,238.5053,0,59.7954,41.82813
"065","7am",5756.742,982.9108,0,0,160.55965
"066","7am",5189.977,310.8406,0,0,195.9433
"067","7am",7648.824,1314.7064,0,0,160.66585
"068","7am",6343.633,623.9143,0,0,222.47868
"069","7am",3568.376,407.2509,0,0,0
"070","7am",8353.39,1693.3514,151.02401,43.34871,136.72254
"071","7am",7296.651,1665.7732,97.61983,0,126.34113
"072","7am",5164.729,944.4772,0,43.94534,179.95314
"073","7am",10511.65,1125.3568,239.95089,0,128.21492
"074","7am",8460.573,1269.5974,335.62392,0,161.36232
"075","7am",9815.135,2030.0888,792.64345,0,192.6506
"076","7am",5406.006,418.353,0,0,0
"077","7am",7092.529,186.6549,0,0,60.67677
"078","7am",7021.337,1377.9228,469.50349,0,211.76674
"079","7am",8313.876,1667.1941,428.82928,0,0
"080","7am",6038.375,325.5061,0,116.2856,153.29712
