"district","hour","age1","age2","age3","age4"
"001","4am",2628.3926,1653.9473,1576.751,406.7328
"002","4am",1546.9752,823.2658,1005.473,500.8649
"003","4am",3515.6301,2439.3614,4786.937,1751.3621
"004","4am",984.9709,926.0667,2568.991,1026.6295
"005","4am",1601.5533,1100.0519,1841.61,961.401
"006","4am",4695.0568,2161.7096,3286.384,1558.4816
"007","4am",1795.5,1400.8264,3197.079,1223.6768
"008","4am",361.9937,548.5784,1459.977,878.0995
"009","4am",1333.5817,2699.3415,2819.79,1785.6915
"010","4am",862.2324,1409.1898,2587.184,1205.5932
"011","4am",1062.1217,1568.2448,3516.967,1457.4565
"012","4am",1261.4112,1453.189,3547.855,2543.4623
"013","4am",1186.5264,1269.9565,3631.192,1064.754
"014","4am",1550.9076,2130.7167,5152.614,2200.9017
"015","4am",756.8352,762.2208,2285.466,1052.7292
"016","4am",575.9936,872.3467,2901.109,1022.3522
"017","4am",1401.1115,1235.4959,3088.619,1665.6812
"018","4am",3011.9515,2790.8042,3874.884,1560.8912
"019","4am",1107.8993,1087.5188,2872.053,1033.0728
"020","4am",1571.2228,1369.2474,3156.264,1068.5411
"021","4am",1309.9486,1585.4024,1894.097,754.9796
"022","4am",8262.1882,3259.7816,2446.796,906.0405
"023","4am",1589.9529,1586.6201,2837.531,441.0694
"024","4am",1229.1508,1142.9119,3202.361,838.1253
"025","4am",3881.0012,1512.385,1569.926,499.9408
"026","4am",2072.1567,1799.0451,3137.781,1214.7348
"027","4am",737.1324,1537.9662,2869.432,1073.6953
"028","4am",2625.5887,2947.1233,2705.891,1021.9307
"029","4am",1044.1137,1225.4933,3435.992,1474.8473
"030","4am",641.2259,213.5329,2533.515,1275.7586
"031","4am",1117.1312,773.2051,4242.259,2052.1715
"032","4am",808.7825,1366.5403,3792.072,1261.8365
"033","4am",1421.7996,1751.3881,5359.466,2206.9009
"034","4am",186.4259,288.6831,1369.246,618.1552
"035","4am",931.4228,918.3109,3433.71,1591.8596
"036","4am",749.5724,621.2332,3485.792,1639.7795
"037","4am",1011.2314,1396.7108,4801.802,1751.7275
"038","4am",677.409,670.5488,3188.046,1364.8085
"039","4am",888.3407,1143.5346,2388.126,823.5039
"040","4am",1895.679,953.9622,5800.899,2243.0547
"041","4am",835.3807,804.6405,3065.4,1286.431
"042","4am",542.6183,514.4694,2086.086,626.0807
"043","4am",727.0772,847.6432,3503.856,1714.8684
"044","4am",366.4751,507.0021,2510.911,1495.6566
"045","4am",837.9091,634.8653,3703.161,1110.5719
"046","4am",881.9431,658.8483,3363.259,1214.78
"047","4am",765.3566,749.4595,4073.245,1381.7538
"048","4am",950.744,876.8474,3209.197,987.7926
"049","4am",471.5884,663.5387,3198.588,944.7022
"050","4am",207.7762,533.7284,1867.998,481.9984
"051","4am",429.4073,306.0907,1969.944,748.6497
"052","4am",768.2705,516.8861,3600.265,1039.9551
"053","4am",768.515,954.7686,4598.33,1321.8474
"054","4am",940.7643,1063.1655,3892.047,1251.95
"055","4am",625.6044,434.5883,3192.381,853.0903
"056","4am",367.4357,639.739,3620.345,2726.3557
"057","4am",540.1866,353.893,2227.097,755.2898
"058","4am",966.9428,681.7471,4190.473,1520.0867
"059","4am",1570.6417,1661.2701,5835.589,2892.5403
"060","4am",688.3665,1066.8537,3700.308,1311.0988
"061","4am",1125.8654,1834.6007,5604.722,1706.7285
"062","4am",1088.9889,959.92,6022.035,1608.5777
"063","4am",440.8646,423.962,2357.704,556.5558
"064","4am",771.9691,939.525,4294.365,1650.5912
"065","4am",881.1907,1239.2805,4277.424,1601.0234
"066","4am",998.787,623.5575,4205.588,1603.3037
"067","4am",1107.3974,1779.851,5803.35,2272.3236
"068","4am",841.7104,435.522,4718.491,2166.4002
"069","4am",262.8693,331.199,3254.568,836.7627
"070","4am",1194.2794,1467.3898,5932.989,2501.738
"071","4am",638.3574,2182.6469,5113.658,2403.3913
"072","4am",771.1008,691.5361,4272.114,1715.843
"073","4am",1354.3275,1638.5015,5860.24,3965.7424
"074","4am",333.1805,1675.7877,4636.499,3558.0367
"075","4am",1887.8397,1690.1124,5796.816,3006.2188
"076","4am",693.0254,715.506,3094.377,1856.1288
"077","4am",701.3051,1578.2017,4573.177,2326.8431
