"district","hour","cs1","cs2","cs3","cs4","cs5"
"001","4am",3.1377423,17.005852,16.62018,29.172923,34.0633
"002","4am",8.9634958,4.050532,10.56111,45.986701,30.438164
"003","4am",3.8285299,10.506942,25.11447,30.23485,30.315209
"004","4am",11.5216466,11.506174,25.70784,30.61034,20.654005
"005","4am",2.9517148,11.325843,17.1221,35.577734,33.022614
"006","4am",5.2867605,8.517787,18.73855,37.8341,29.622799
"007","4am",4.8135221,6.981988,17.86208,36.464967,33.87744
"008","4am",6.2274503,8.059666,34.98912,32.491208,18.232553
"009","4am",2.1441998,11.319849,21.90655,38.799032,25.830369
"010","4am",2.502671,14.298307,36.02001,27.683028,19.495986
"011","4am",8.1850882,17.030907,34.34377,32.565563,7.874672
"012","4am",6.6575751,12.509647,29.77676,30.059319,20.996697
"013","4am",6.1310303,14.162293,27.35874,30.670626,21.677309
"014","4am",4.8213354,14.209949,31.55308,33.572781,15.842858
"015","4am",4.3848338,9.148705,25.32585,36.276514,24.864101
"016","4am",1.0024316,11.562814,27.73901,24.133487,35.562256
"017","4am",7.7972931,9.597247,26.48293,27.813216,28.309311
"018","4am",9.6902953,33.244045,24.1239,19.891204,13.05056
"019","4am",11.8597503,30.315268,31.1687,18.289356,8.366925
"020","4am",20.0569968,29.671964,40.83425,9.436787,0
"021","4am",5.0355656,17.195959,24.37275,29.783126,23.6126
"022","4am",9.4108376,7.094623,28.60005,32.896986,21.997502
"023","4am",6.3326691,6.38377,34.89475,31.485637,20.903172
"024","4am",9.7531164,17.688284,41.87241,18.69939,11.986795
"025","4am",6.2654745,9.030901,26.22431,27.589026,30.89029
"026","4am",3.3253977,8.115701,25.52434,29.157104,33.877457
"027","4am",5.4264637,11.886255,29.86682,29.313862,23.506604
"028","4am",0.7810867,4.553881,37.47826,36.716649,20.470122
"029","4am",4.2925095,11.015442,30.10872,30.824897,23.758433
"030","4am",5.6906213,7.737842,24.85882,28.478649,33.234065
"031","4am",5.3834688,10.831509,28.83435,32.665755,22.284917
"032","4am",6.4654606,9.169166,30.41456,30.581896,23.36892
"033","4am",4.200277,10.341815,31.92856,25.648625,27.880724
"034","4am",4.7432015,11.380898,30.42939,25.407264,28.039251
"035","4am",4.1331314,13.919835,27.91749,27.730189,26.299352
"036","4am",5.160374,14.81209,23.70455,29.076281,27.246707
"037","4am",2.1039634,15.439417,31.51084,26.858498,24.087278
"038","4am",4.4306152,2.636745,29.20203,41.425192,22.305416
"039","4am",5.324416,7.747008,25.64065,31.180594,30.107334
"040","4am",5.6970242,12.046924,17.68682,33.242099,31.327134
"041","4am",4.2536881,9.503983,22.27687,27.358257,36.607198
"042","4am",5.0964335,7.412951,34.58475,28.844288,24.061576
"043","4am",3.0043743,5.881577,30.79657,33.962358,26.355122
"044","4am",3.636474,16.160654,35.35103,29.326994,15.524849
"045","4am",4.4265588,11.666418,34.59311,31.868647,17.445266
"046","4am",3.1700415,6.948124,34.32281,27.221355,28.337668
"047","4am",1.8086847,12.617635,29.20269,37.081768,19.289223
"048","4am",5.4964394,17.468518,33.50444,31.253355,12.277248
"049","4am",4.5412507,6.617361,32.0118,37.721471,19.108115
"050","4am",3.6492328,12.647724,35.97852,32.241184,15.483336
"051","4am",4.7434178,8.015106,27.04556,26.21385,33.982062
"052","4am",3.7905235,9.385017,17.71714,37.35277,31.754553
"053","4am",6.2755576,10.314467,28.19029,31.102872,24.116813
"054","4am",4.2285767,15.291047,38.63571,26.834257,15.010414
"055","4am",3.5137874,10.618233,38.20793,22.706581,24.953467
"056","4am",3.1309554,7.070078,40.20645,34.878562,14.713953
"057","4am",5.9102304,4.315616,26.12112,31.617431,32.035606
"058","4am",6.1687579,17.919817,29.8435,29.782398,16.285526
"059","4am",5.8909669,19.208002,36.91734,26.119691,11.864
"060","4am",6.0837819,16.109745,42.34442,19.546264,15.91579
"061","4am",3.626047,17.000302,29.60197,32.013399,17.758285
"062","4am",3.6263173,7.385149,23.94182,41.303832,23.742884
"063","4am",1.273378,10.710844,26.51672,33.752184,27.746873
"064","4am",3.3410642,10.573441,33.97676,38.367165,13.741573
"065","4am",2.5624242,17.545705,27.77332,38.811325,13.307225
"066","4am",4.067612,13.786525,24.28132,43.722705,14.141838
"067","4am",3.807966,22.327218,23.0025,37.139468,13.722846
"068","4am",7.4437222,13.947568,33.111,34.721612,10.776101
"069","4am",3.3747057,13.916863,28.75466,39.134007,14.819769
"070","4am",3.3803396,16.841523,28.98941,37.167351,13.621377
"071","4am",8.3013414,27.378746,36.86868,21.514834,5.936397
"072","4am",7.2312253,18.761107,37.17011,25.049798,11.787762
"073","4am",9.1959134,18.705292,36.05773,26.101668,9.9394
"074","4am",10.8218795,20.530862,30.24639,23.211227,15.189647
"075","4am",11.3160051,21.11196,31.49303,21.950167,14.128839
"076","4am",8.2631912,15.507439,29.81298,37.545287,8.871101
"077","4am",5.1544313,12.56225,34.81203,28.690008,18.781284
"078","4am",5.449308,5.181054,52.21643,25.019812,12.133399
"079","4am",1.0305722,11.148842,51.91096,21.968127,13.941495
"080","4am",2.6540247,13.851095,47.24436,18.331712,17.91881
"001","5am",3.0542832,16.553522,15.10542,32.129504,33.157268
"002","5am",8.8303469,3.990364,11.88968,45.303588,29.986019
"003","5am",3.7582764,10.314139,26.10125,29.680041,30.146293
"004","5am",11.5953079,11.579736,25.87219,30.166711,20.786052
"005","5am",2.9517148,11.325843,17.1221,35.577734,33.022614
"006","5am",5.2867605,8.517787,18.73855,37.8341,29.622799
"007","5am",4.7942993,6.954105,17.79075,36.718694,33.74215
"008","5am",6.2583211,8.099619,34.66685,32.652274,18.322936
"009","5am",2.0835697,10.999765,24.45869,38.287448,24.170525
"010","5am",2.5640391,14.648917,35.9345,27.620172,19.232375
"011","5am",8.0944576,17.383338,33.96349,32.771232,7.787478
"012","5am",6.7707243,11.022699,30.28283,30.570194,21.353548
"013","5am",5.935233,16.590787,26.43553,30.05342,20.985034
"014","5am",4.8923575,13.866864,31.64962,33.514925,16.076236
"015","5am",4.4289378,9.240726,25.58058,35.635563,25.114192
"016","5am",1.0239678,10.787261,27.21053,24.65197,36.326274
"017","5am",7.72969,10.372735,27.23006,26.603652,28.063867
"018","5am",9.8599456,32.745253,23.87632,20.239444,13.279039
"019","5am",11.8597503,30.315268,31.1687,18.289356,8.366925
"020","5am",20.6263951,30.514322,40.04578,8.813505,0
"021","5am",5.0739525,16.56473,24.55855,30.010168,23.792603
"022","5am",9.0987446,6.859343,29.93768,32.836236,21.267996
"023","5am",6.0522395,6.101078,37.18271,30.686453,19.977517
"024","5am",9.7955649,18.866178,40.51852,18.780775,12.038966
"025","5am",6.1797876,8.907394,27.23327,27.211717,30.467834
"026","5am",3.3253977,8.115701,25.52434,29.157104,33.877457
"027","5am",5.5297781,12.970817,28.64841,28.896849,23.954146
"028","5am",0.7841326,4.571639,37.86846,36.225822,20.549947
"029","5am",4.2109789,11.073602,29.29686,31.069004,24.349558
"030","5am",5.6906213,7.737842,24.85882,28.478649,33.234065
"031","5am",5.4614799,10.519125,29.25219,32.159365,22.607845
"032","5am",6.4224014,8.12575,30.212,31.495612,23.744236
"033","5am",4.1838135,10.301279,31.80341,25.940054,27.771442
"034","5am",4.6826114,11.235517,32.12848,24.272315,27.681075
"035","5am",4.0052722,14.326846,28.75753,27.424574,25.485777
"036","5am",5.1055629,14.654763,24.51492,28.767446,26.957306
"037","5am",2.1179095,17.181857,31.05124,26.38422,23.264774
"038","5am",4.454703,2.65108,30.18263,40.284905,22.426683
"039","5am",5.3643605,6.941911,24.96979,32.390733,30.333204
"040","5am",5.6603088,11.198896,18.14859,33.027865,31.964337
"041","5am",4.2536881,9.503983,22.27687,27.358257,36.607198
"042","5am",5.1639771,7.511195,33.7178,29.226564,24.380467
"043","5am",2.9906146,5.85464,30.65552,33.806815,26.692406
"044","5am",3.6546426,15.741774,35.52765,29.473518,15.602415
"045","5am",4.4914254,11.837377,33.63464,32.335649,17.700908
"046","5am",3.118461,6.83507,33.76434,26.77843,29.503703
"047","5am",1.8946664,10.443408,30.59093,36.864793,20.206199
"048","5am",5.4964394,17.468518,33.50444,31.253355,12.277248
"049","5am",4.4456301,7.25686,32.06732,36.793967,19.436223
"050","5am",3.6708676,12.129848,36.19182,32.432329,15.575131
"051","5am",4.8830562,7.126404,27.84174,26.154692,33.994106
"052","5am",3.8176448,10.021478,17.8439,36.335217,31.981757
"053","5am",6.2755576,10.314467,28.19029,31.102872,24.116813
"054","5am",4.283925,15.185975,38.13772,27.185494,15.206887
"055","5am",3.5886216,10.844373,37.66496,22.417135,25.484908
"056","5am",3.1808169,7.182672,40.06847,34.619759,14.948278
"057","5am",5.8266957,4.254619,25.04528,33.290591,31.582818
"058","5am",6.3319738,18.393948,29.81551,29.831498,15.627072
"059","5am",5.8919393,19.211173,36.4093,26.621635,11.865958
"060","5am",5.9502013,15.756026,42.78966,19.937779,15.566329
"061","5am",3.6840383,16.697191,30.07539,31.501086,18.042293
"062","5am",3.6365008,7.405888,25.29541,39.852644,23.80956
"063","5am",1.3104631,9.006354,27.28898,33.839248,28.554957
"064","5am",3.3410642,10.573441,33.97676,38.367165,13.741573
"065","5am",2.5813003,16.938306,27.97791,39.097229,13.405253
"066","5am",4.067612,13.786525,24.28132,43.722705,14.141838
"067","5am",3.9278043,21.529436,22.07979,38.308263,14.15471
"068","5am",7.6499462,13.536003,32.05585,35.683554,11.074646
"069","5am",3.4928688,14.404153,29.76148,37.526329,14.815169
"070","5am",3.2909771,18.88678,28.05489,36.506067,13.261283
"071","5am",8.4574301,26.594714,36.98046,21.919373,6.048018
"072","5am",7.3889822,18.525476,36.95087,25.089745,12.044925
"073","5am",9.1754028,20.335534,34.52838,26.043451,9.917231
"074","5am",11.1131622,18.69366,31.66811,23.835982,14.689086
"075","5am",11.2531261,21.550313,31.31803,21.828198,14.05033
"076","5am",8.3098521,15.030324,29.98133,37.757299,8.921194
"077","5am",5.1832405,12.632463,35.0066,28.29144,18.886257
"078","5am",5.4963017,5.225735,52.66673,24.373197,12.238035
"079","5am",1.0305722,11.148842,51.91096,21.968127,13.941495
"080","5am",2.6957988,14.06911,46.41399,18.620251,18.20085
"001","6am",2.9802193,17.757686,14.73913,32.169736,32.353232
"002","6am",8.9654733,4.051426,11.3065,45.231721,30.44488
