"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",4.1396676,20.3448,15.07775,28.368145,32.069639
"002","4am",13.5446298,5.954325,11.14279,44.018313,25.339942
"003","4am",5.0305724,12.57221,25.98689,32.288617,24.121714
"004","4am",21.3791687,6.277789,26.43979,31.783836,14.119411
"005","4am",4.2736964,10.976055,19.47653,39.23649,26.037224
"006","4am",6.8555533,9.699148,24.2293,33.801873,25.414122
"007","4am",8.5076062,7.497469,23.85911,37.623289,22.512527
"008","4am",12.4754114,11.294072,35.90271,29.256993,11.070817
"009","4am",3.2293899,18.157272,23.70121,34.598699,20.313428
"010","4am",5.8817742,22.320399,34.92873,24.207778,12.661319
"011","4am",13.2099509,28.985229,31.14052,21.502289,5.162007
"012","4am",11.5076326,19.836019,32.08987,27.948974,8.617505
"013","4am",9.6388048,17.254978,35.03624,28.006188,10.063785
"014","4am",9.1554558,18.931421,40.65192,24.054002,7.207203
"015","4am",10.7056858,8.685097,33.487,30.809704,16.312511
"016","4am",3.0225879,18.108958,30.30938,24.037732,24.521338
"017","4am",13.606569,11.76429,25.52835,30.542905,18.557889
"018","4am",18.7726055,32.575953,24.32255,16.173914,8.154974
"019","4am",26.6359002,32.25031,25.44787,10.791033,4.874891
"020","4am",43.8326951,29.231025,25.49462,1.441661,0
"021","4am",9.136321,18.188563,27.30151,32.041524,13.332083
"022","4am",16.300405,7.733158,36.38956,30.145096,9.431785
"023","4am",9.5465049,12.30642,35.22489,32.814877,10.107306
"024","4am",22.8537174,21.115465,37.50182,11.271259,7.257742
"025","4am",7.7316383,10.993276,30.83215,22.11176,28.331178
"026","4am",2.4516309,10.290105,26.95568,37.879767,22.42282
"027","4am",9.0978393,19.654936,25.35857,30.505667,15.382989
"028","4am",1.2064751,5.657862,45.00507,33.238658,14.891936
"029","4am",7.3710459,21.90328,31.84186,28.379027,10.504784
"030","4am",9.5591478,13.638456,28.40565,29.188629,19.208116
"031","4am",6.3351267,18.876377,38.52008,22.58966,13.678752
"032","4am",11.4350352,15.064616,35.22195,25.982416,12.295979
"033","4am",8.18087,19.596092,33.98227,20.331404,17.909368
"034","4am",9.2884971,14.801064,47.04939,15.384076,13.476977
"035","4am",10.3813784,14.581847,36.10925,19.429065,19.498459
"036","4am",12.5564615,18.911175,35.66176,21.649529,11.221072
"037","4am",3.8280431,21.875658,35.43038,25.397192,13.468726
"038","4am",9.2446173,5.897439,47.3846,27.836684,9.636661
"039","4am",7.4801176,10.480844,36.40448,25.749504,19.885054
"040","4am",11.1509178,15.839072,24.86457,32.303099,15.84234
"041","4am",12.9825884,17.581214,24.96414,25.323345,19.148711
"042","4am",8.613804,10.01882,47.95655,18.095334,15.315489
"043","4am",3.4313334,11.999352,39.75448,33.799278,11.01556
"044","4am",6.2475482,22.240357,33.06187,29.613881,8.836342
"045","4am",7.498161,17.452513,42.99121,24.231964,7.826148
"046","4am",4.765737,17.065339,41.09111,21.815454,15.262364
"047","4am",3.3760518,16.57988,33.69159,37.365579,8.986901
"048","4am",14.5059558,20.933092,32.09501,27.465517,5.00043
"049","4am",6.6353951,11.379462,40.35474,36.055198,5.5752
"050","4am",5.7663652,22.235507,41.1178,23.708441,7.171887
"051","4am",6.7731365,15.057898,34.7871,21.504077,21.877787
"052","4am",7.3545536,11.90447,23.47456,41.744946,15.521471
"053","4am",13.4330761,21.716429,33.01532,23.26248,8.572689
"054","4am",8.5879632,23.886867,36.10539,22.331099,9.08868
"055","4am",5.2982258,13.475125,49.82269,16.366378,15.037586
"056","4am",4.3841395,10.544675,42.16685,32.144952,10.759385
"057","4am",11.1902718,6.751776,29.91747,34.461992,17.678487
"058","4am",15.3004945,26.350123,22.62593,26.992658,8.730792
"059","4am",10.3392947,27.364403,35.94899,20.803934,5.543383
"060","4am",10.9761176,28.284931,38.54801,16.638242,5.552701
"061","4am",5.7384457,23.990173,43.10833,17.610443,9.552607
"062","4am",7.2056706,12.540919,30.26666,36.771144,13.21561
"063","4am",2.2594095,24.598641,35.15338,25.072652,12.915917
"064","4am",7.9834023,18.85876,35.51726,33.272339,4.368234
"065","4am",5.3811626,30.08249,31.57209,29.270705,3.693552
"066","4am",8.7259812,21.827394,31.75206,29.339936,8.354629
"067","4am",4.5730228,37.879866,20.10732,32.608607,4.831188
"068","4am",13.7298363,18.500052,43.15883,23.538415,1.072863
"069","4am",6.197272,22.334915,30.58942,33.355134,7.52326
"070","4am",6.4280656,25.459937,31.00711,31.053254,6.051636
"071","4am",18.9737607,30.893185,35.80316,11.057776,3.272114
"072","4am",16.3555451,18.782131,41.92033,16.476249,6.465747
"073","4am",19.0594144,20.502913,29.25313,23.026604,8.157936
"074","4am",16.8653867,27.070457,29.87553,15.877288,10.311335
"075","4am",19.1917059,30.97776,26.76438,14.709276,8.356881
"076","4am",22.0123415,26.405785,25.70105,22.236581,3.644242
"077","4am",5.1081353,13.162895,35.35055,28.265697,18.112723
"078","4am",7.3699762,6.760589,53.67886,20.526063,11.664512
"079","4am",0.9896658,12.947351,53.8076,20.213099,12.042287
"080","4am",1.2421761,14.143284,48.35115,17.697771,18.565615
"001","5am",4.0346116,19.828492,15.76476,29.116358,31.25578
"002","5am",14.712793,5.873871,10.99223,43.423548,24.997555
"003","5am",4.9437276,12.355171,27.26461,31.731206,23.70529
"004","5am",21.5067882,6.315264,26.59762,31.376631,14.203695
"005","5am",4.2736964,10.976055,19.47653,39.23649,26.037224
"006","5am",6.8555533,9.699148,24.2293,33.801873,25.414122
"007","5am",8.475428,7.469111,24.1471,37.480987,22.427378
"008","5am",12.5345122,11.347577,35.59905,29.395595,11.123264
"009","5am",3.0827969,17.641396,25.23943,35.501489,18.534889
"010","5am",6.0174136,22.835129,33.42812,24.766032,12.953301
"011","5am",13.0718092,29.193067,30.81487,21.812223,5.108026
"012","5am",11.6867046,18.588575,32.58922,28.383892,8.751603
"013","5am",9.3481353,19.454904,34.27503,27.161629,9.7603
