"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",0,22.26947,24.48114,53.2493951
"002","4am",0,17.28631,39.52656,43.1871302
"003","4am",5.479486,23.54135,34.69066,36.288499
"004","4am",6.774507,37.25562,30.9413,25.0285683
"005","4am",3.130518,25.97919,31.47529,39.4149918
"006","4am",10.189059,20.42645,28.64281,40.7416861
"007","4am",0,19.47533,32.99367,47.5310034
"008","4am",11.307551,28.0533,29.46172,31.1774212
"009","4am",4.16808,30.82761,29.70178,35.3025287
"010","4am",2.197646,38.67066,33.56793,25.5637686
"011","4am",2.860569,62.91873,25.46499,8.7557146
"012","4am",9.723015,46.57278,27.44795,16.2562555
"013","4am",10.544258,44.72695,26.43722,18.2915678
"014","4am",7.219389,41.67762,28.17313,22.9298568
"015","4am",3.366798,35.81048,35.12979,25.692929
"016","4am",6.442306,31.91456,33.61993,28.0232024
"017","4am",6.001217,39.44264,20.02323,34.5329091
"018","4am",22.257849,40.83083,21.33237,15.5789482
"019","4am",16.513684,42.1159,31.2654,10.1050204
"020","4am",45.945599,39.15675,13.94327,0.9543813
"021","4am",10.969453,30.49483,38.7643,19.7714207
"022","4am",8.355475,38.93324,18.34109,34.3701927
"023","4am",6.166344,26.2643,36.80307,30.7662816
"024","4am",16.927213,60.65415,12.29021,10.1284194
"025","4am",0,24.36393,21.96148,53.6745979
"026","4am",4.939561,20.44771,22.36425,52.2484784
"027","4am",1.305127,49.43376,24.2983,24.9628078
"028","4am",2.659704,29.66612,41.20515,26.4690251
"029","4am",5.255204,40.94732,35.39172,18.405753
"030","4am",3.28368,29.83779,36.08553,30.7930011
"031","4am",18.17969,42.15899,28.52615,11.1351763
"032","4am",3.133716,40.47903,36.55693,19.8303221
"033","4am",4.648385,50.6461,27.1013,17.6042178
"034","4am",6.861886,34.97105,38.10106,20.066009
"035","4am",1.711667,49.62878,25.01023,23.6493185
"036","4am",4.787616,35.6636,38.54898,20.9998006
"037","4am",5.338865,44.21878,32.14443,18.2979267
"038","4am",8.036967,34.38792,37.30061,20.274503
"039","4am",1.751496,29.6145,46.07674,22.5572628
"040","4am",6.411429,28.5385,32.15979,32.8902811
"041","4am",5.920668,40.76222,27.11329,26.2038314
"042","4am",6.110403,37.76447,35.91056,20.2145711
"043","4am",20.569914,31.40148,31.12649,16.902114
"044","4am",11.280064,51.19806,28.22713,9.2947486
"045","4am",1.850635,62.76751,21.38298,13.9988731
"046","4am",3.911265,53.89326,25.71266,16.4828082
"047","4am",6.69101,41.03535,39.34233,12.9313089
"048","4am",13.87456,39.7139,31.25074,15.160797
"049","4am",4.078918,47.2082,30.43948,18.2734056
"050","4am",7.633917,46.32174,34.3016,11.742746
"051","4am",9.406065,43.448,26.22682,20.9191165
"052","4am",6.88486,35.57517,28.4763,29.0636716
"053","4am",14.702038,38.79247,25.94372,20.5617766
"054","4am",8.604957,52.72463,27.77106,10.8993581
"055","4am",7.103548,45.71711,34.43071,12.7486335
"056","4am",9.454849,44.07063,36.83089,9.6436366
"057","4am",2.237983,30.85294,36.87827,30.0308015
"058","4am",9.378842,66.02225,15.00212,9.596783
"059","4am",12.116284,58.84913,21.61389,7.4207026
"060","4am",23.969731,43.61996,29.98334,2.4269728
"061","4am",10.751868,51.39156,26.78268,11.0738904
"062","4am",1.833567,50.71245,24.75478,22.6991976
"063","4am",4.135901,43.10632,34.54822,18.2095585
"064","4am",5.56443,48.53656,29.73929,16.1597219
"065","4am",14.878628,47.44709,25.97743,11.6968538
"066","4am",5.811477,50.0075,22.71698,21.4640487
"067","4am",11.10361,48.71341,29.162,11.0209786
"068","4am",8.796172,51.17964,34.7224,5.3017934
"069","4am",8.942285,46.68232,31.37743,12.9979635
"070","4am",10.599654,45.82442,35.13022,8.4457066
