"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",0,794.4127,873.3089,1899.55112
"002","4am",0,495.1804,1132.2703,1237.1304
"003","4am",581.8765,2499.8987,3683.8638,3853.54107
"004","4am",334.78263,1841.0987,1529.0575,1236.86202
"005","4am",146.32159,1214.2772,1471.167,1842.27137
"006","4am",814.52281,1632.909,2289.7328,3256.92814
"007","4am",0,1210.5528,2050.8298,2954.44544
"008","4am",350.59423,869.8017,913.4702,966.66594
"009","4am",319.39139,2362.2563,2275.9865,2705.16019
"010","4am",124.42046,2189.352,1900.4593,1447.30116
"011","4am",214.38764,4715.4946,1908.4942,656.20408
"012","4am",849.52775,4069.1975,2398.2062,1420.35572
"013","4am",729.72748,3095.3803,1829.6183,1265.889
"014","4am",771.86582,4455.9908,3012.1493,2451.56097
"015","4am",160.27228,1704.7139,1672.3105,1223.0803
"016","4am",329.67868,1633.1962,1720.4668,1434.05977
"017","4am",377.56268,2481.5081,1259.7487,2172.61553
"018","4am",2213.59044,4060.7132,2121.5495,1549.35954
"019","4am",956.34246,2439.0208,1810.6455,585.20315
"020","4am",3292.12864,2805.6889,999.0737,68.38405
"021","4am",485.65737,1350.1164,1716.2356,875.35229
"022","4am",488.2498,2275.0529,1071.7564,2008.41242
"023","4am",329.21931,1402.2436,1964.9052,1642.60283
"024","4am",1079.1629,3866.8926,783.5397,645.71851
"025","4am",0,835.0323,752.6923,1839.60582
"026","4am",339.43694,1405.1265,1536.8278,3590.41324
"027","4am",80.42715,3046.3061,1497.3584,1538.30797
"028","4am",195.31414,2178.5184,3025.8815,1943.74095
"029","4am",367.6089,2864.3225,2475.7004,1287.50818
"030","4am",150.14263,1364.2999,1649.9706,1407.97576
"031","4am",1487.96534,3450.6148,2334.7988,911.38826
"032","4am",222.34099,2872.0369,2593.7596,1406.98579
"033","4am",496.66263,5411.347,2895.6733,1880.9452
"034","4am",168.97464,861.1657,938.2424,494.12752
"035","4am",117.68229,3412.1295,1719.5294,1625.96243
"036","4am",311.02157,2316.8417,2504.2872,1364.22614
"037","4am",478.44087,3962.6534,2880.6143,1639.76361
"038","4am",474.24632,2029.1663,2201.0389,1196.36027
"039","4am",88.97998,1504.4842,2340.8041,1145.96057
"040","4am",673.7069,2998.799,3379.32,3456.07967
"041","4am",349.21852,2404.2761,1599.2218,1545.57953
"042","4am",230.31661,1423.4388,1353.5603,761.93857
"043","4am",1376.75517,2101.7178,2083.3123,1131.26738
"044","4am",548.59031,2489.9467,1372.7875,452.03725
"045","4am",116.34033,3945.8844,1344.2424,880.04018
"046","4am",239.32368,3297.6373,1573.3142,1008.55507
"047","4am",466.35101,2860.0882,2742.0874,901.28829
"048","4am",835.88414,2392.5962,1882.7264,913.37454
"049","4am",215.30229,2491.8456,1606.7224,964.54651
"050","4am",236.00261,1432.0369,1060.4341,363.02707
"051","4am",324.89413,1500.7338,905.8986,722.56554
"052","4am",407.95391,2107.9626,1687.3281,1722.13201
"053","4am",1123.74453,2965.0871,1982.9978,1571.63134
"054","4am",615.07598,3768.7177,1985.0548,779.07812
"055","4am",362.6833,2334.162,1757.9164,650.9024
"056","4am",691.08855,3221.2789,2692.1008,704.88772
"057","4am",86.75466,1196.0039,1429.5738,1164.13389
"058","4am",690.21239,4858.7423,1104.0435,706.25119
"059","4am",1433.82223,6964.1145,2557.7539,878.15445
"060","4am",1621.94224,2951.5998,2028.8606,164.22419
"061","4am",1104.42286,5278.8982,2751.0946,1137.50076
"062","4am",177.48047,4908.7229,2396.1446,2197.17376
"063","4am",156.29931,1629.0252,1305.6074,688.15505
"064","4am",423.94119,3697.8891,2265.7684,1231.17219
"065","4am",1169.41037,3729.1823,2041.7389,919.33354
"066","4am",431.86458,3716.175,1688.1522,1595.04409
"067","4am",1217.2801,5340.4128,3197.0076,1208.22126
"068","4am",712.73561,4146.9803,2813.4839,429.59335
"069","4am",418.98174,2187.2531,1470.1577,609.00645
"070","4am",1176.17963,5084.8591,3898.1884,937.16907
"071","4am",1725.8267,6857.9604,1483.3104,270.95663
"072","4am",1183.43571,4363.0872,1374.6883,529.38239
"073","4am",1174.73406,7023.5532,2310.7277,2290.41446
"074","4am",1386.19124,5670.601,1952.3515,1063.73315
"075","4am",1721.78008,7322.3923,2254.9952,1081.81977
"076","4am",1401.53371,3703.2871,967.589,286.62788
"077","4am",1419.83761,2526.2993,3742.5442,1415.1783
"078","4am",1509.59491,3449.7963,2836.1825,1495.58312
"079","4am",1674.90804,4574.9921,2554.7532,1479.98255
"080","4am",1704.75335,2435.2538,2104.384,1396.78692
"001","5am",0,871.024,889.5846,1899.55112
"002","5am",0,495.1804,1170.9716,1237.1304
"003","5am",581.8765,2553.4318,3722.4635,3944.25878
"004","5am",334.78263,1841.0987,1529.0575,1207.53779
"005","5am",146.32159,1214.2772,1471.167,1842.27137
"006","5am",814.52281,1632.909,2289.7328,3256.92814
"007","5am",0,1234.1521,2050.8298,2954.44544
"008","5am",350.59423,855.1825,913.4702,966.66594
"009","5am",319.39139,2571.4055,2275.9865,2860.39179
"010","5am",124.42046,2100.3342,1861.8596,1447.30116
"011","5am",214.38764,4802.5722,1900.6186,656.20408
"012","5am",849.52775,4009.2788,2324.2459,1420.35572
"013","5am",729.72748,3196.4383,1943.7488,1265.889
"014","5am",771.86582,4366.4317,2958.4132,2451.56097
"015","5am",160.27228,1660.9464,1672.3105,1223.0803
"016","5am",329.67868,1532.1585,1720.4668,1434.05977
"017","5am",430.89969,2542.1768,1259.7487,2112.46309
"018","5am",2213.59044,3902.166,2121.5495,1549.35954
"019","5am",956.34246,2439.0208,1810.6455,585.20315
"020","5am",3292.12864,2805.6889,832.9827,68.38405
"021","5am",454.43988,1350.1164,1716.2356,875.35229
"022","5am",488.2498,2347.9818,1171.4829,2008.41242
"023","5am",329.21931,1682.15,1918.8144,1642.60283
"024","5am",1079.1629,3931.9075,783.5397,555.0008
"025","5am",0,878.5379,752.6923,1839.60582
"026","5am",339.43694,1405.1265,1536.8278,3590.41324
"027","5am",80.42715,3094.4627,1442.4321,1438.25076
"028","5am",195.31414,2062.2816,3115.4809,1943.74095
"029","5am",367.6089,2922.276,2477.5074,1410.96989
"030","5am",150.14263,1364.2999,1649.9706,1407.97576
"031","5am",1413.25071,3414.8232,2334.7988,911.38826
"032","5am",297.05562,2907.5392,2528.0743,1406.98579
"033","5am",496.66263,5449.9467,2895.6733,1880.9452
"034","5am",168.97464,911.5838,918.6723,494.12752
"035","5am",117.68229,3501.2924,1828.8251,1625.96243
"036","5am",311.02157,2377.8265,2504.2872,1364.22614
"037","5am",478.44087,3908.6304,2880.6143,1639.76361
"038","5am",436.57642,2029.1663,2163.369,1241.70397
"039","5am",88.97998,1509.5505,2302.1028,1145.96057
"040","5am",673.7069,3005.3533,3434.2463,3456.07967
"041","5am",349.21852,2404.2761,1599.2218,1545.57953
"042","5am",230.31661,1398.6875,1334.778,761.93857
"043","5am",1376.75517,2130.7556,2083.3123,1131.26738
"044","5am",548.59031,2467.2331,1372.7875,452.03725
"045","5am",116.34033,3909.8172,1296.7596,880.04018
"046","5am",239.32368,3385.4263,1573.3142,1008.55507
"047","5am",466.35101,2665.5374,2641.4419,901.28829
"048","5am",835.88414,2392.5962,1882.7264,913.37454
"049","5am",215.30229,2565.911,1606.7224,993.87074
"050","5am",236.00261,1432.0369,1042.7994,363.02707
"051","5am",324.89413,1414.242,905.8986,722.56554
"052","5am",407.95391,2138.6187,1618.1439,1722.13201
"053","5am",1123.74453,2965.0871,1982.9978,1571.63134
"054","5am",615.07598,3740.776,1933.4666,779.07812
"055","5am",331.59583,2267.6477,1757.9164,650.9024
"056","5am",691.08855,3167.6358,2635.978,704.88772
"057","5am",86.75466,1172.4046,1501.8613,1164.13389
"058","5am",690.21239,4685.5045,1104.0435,706.25119
"059","5am",1464.9097,6815.6528,2673.2665,878.15445
"060","5am",1621.94224,3153.2256,1969.4707,164.22419
"061","5am",1104.42286,5225.1582,2655.3619,1137.50076
"062","5am",177.48047,4908.7229,2370.7583,2197.17376
"063","5am",156.29931,1529.5144,1305.6074,688.15505
"064","5am",423.94119,3697.8891,2265.7684,1231.17219
"065","5am",1116.07336,3729.1823,2041.7389,919.33354
"066","5am",431.86458,3716.175,1688.1522,1595.04409
"067","5am",1217.2801,5173.6632,3045.0618,1208.22126
"068","5am",712.73561,4087.1107,2665.4954,429.59335
"069","5am",418.98174,2144.1061,1470.1577,502.54002
"070","5am",1176.17963,5444.747,3823.918,937.16907
"071","5am",1725.8267,6676.5367,1483.3104,270.95663
"072","5am",1183.43571,4139.3232,1448.9587,529.38239
"073","5am",1305.87246,6988.0009,2310.7277,2066.43466
"074","5am",1255.05284,5541.9068,1952.3515,1063.73315
"075","5am",1721.78008,7306.4078,2335.0918,1081.81977
"076","5am",1367.50185,3703.2871,967.589,286.62788
"077","5am",1419.83761,2476.1531,3742.5442,1415.1783
"078","5am",1509.59491,3373.1849,2836.1825,1495.58312
"079","5am",1674.90804,4574.9921,2554.7532,1479.98255
"080","5am",1704.75335,2435.2538,1988.0984,1396.78692
"001","6am",0,928.4872,889.5846,1928.87535
"002","6am",0,495.1804,1151.3379,1217.49671
"003","6am",581.8765,2870.8304,3703.4339,3944.25878
"004","6am",334.78263,1797.4781,1529.0575,1178.21356
"005","6am",146.32159,1210.2427,1436.548,1829.31544
"006","6am",814.52281,1486.9267,2327.4027,3118.99776
"007","6am",0,1234.1521,2076.9978,2905.63293
"008","6am",350.59423,834.2193,913.4702,951.64859
"009","6am",356.80722,2823.4835,2315.2712,2845.30792
"010","6am",124.42046,2019.2678,1870.9878,1415.61822
"011","6am",214.38764,4983.2232,1813.6353,656.20408
"012","6am",849.52775,3900.969,2324.2459,1420.35572
"013","6am",854.1316,3450.6608,1916.7172,1243.60451
"014","6am",771.86582,4122.1555,3066.0611,2451.56097
"015","6am",160.27228,1553.3069,1639.3873,1223.0803
"016","6am",329.67868,1714.7232,1720.4668,1434.05977
"017","6am",393.48386,2457.6971,1215.5264,2112.46309
"018","6am",2213.59044,3945.6744,2061.5337,1549.35954
"019","6am",1015.58032,2421.3362,1789.7494,515.72223
"020","6am",3164.72516,2717.9654,761.1257,68.38405
"021","6am",454.43988,1306.5829,1644.0532,842.12424
"022","6am",571.39914,2618.6123,1343.8109,2247.9148
"023","6am",329.21931,1664.9479,1900.3946,1644.09051
"024","6am",1036.79147,3687.6611,783.5397,555.0008
"025","6am",0,927.1515,789.3431,1885.26956
"026","6am",339.43694,1360.6702,1483.5008,3537.08627
"027","6am",80.42715,3204.0094,1425.6887,1438.25076
"028","6am",195.31414,2318.6789,3166.2968,1890.17819
"029","6am",367.6089,2821.7254,2354.8164,1370.79972
"030","6am",150.14263,1337.4699,1773.8678,1407.97576
"031","6am",1413.25071,3424.3306,2371.1894,911.38826
"032","6am",297.05562,3370.2951,2581.488,1293.93811
"033","6am",496.66263,5503.8577,2762.2564,1707.70506
"034","6am",168.97464,914.055,918.6723,474.55741
"035","6am",117.68229,3652.3011,1957.937,1747.91511
"036","6am",229.58916,2496.3282,2495.1402,1364.22614
"037","6am",478.44087,3870.5553,2696.2137,1522.22751
"038","6am",436.57642,1935.8017,2067.2862,1201.42003
"039","6am",88.97998,1393.1989,2298.0119,1088.92486
"040","6am",673.7069,3068.3033,3434.2463,3382.30536
"041","6am",349.21852,2415.8374,1537.4979,1483.85567
"042","6am",205.56532,1361.3913,1334.778,733.33026
"043","6am",1304.49005,2224.4464,2073.5973,1131.26738
"044","6am",548.59031,2139.9334,1468.5202,452.03725
"045","6am",116.34033,3724.233,1296.7596,880.04018
