"district","hour","mode1","mode2","mode3"
"001","4am",19.925154,8.247562,71.827284
"002","4am",16.7981775,9.590172,73.611651
"003","4am",15.8831807,16.996461,67.120358
"004","4am",12.9269141,41.294614,45.778472
"005","4am",13.4806083,33.736085,52.783306
"006","4am",21.8344986,28.366744,49.798758
"007","4am",12.9212592,41.793575,45.285166
"008","4am",15.2448798,56.333185,28.421935
"009","4am",18.3392817,32.208675,49.452043
"010","4am",18.4265408,47.46669,34.106769
"011","4am",20.1121371,61.334544,18.553319
"012","4am",25.2248745,43.731168,31.043958
"013","4am",16.0937054,56.337872,27.568422
"014","4am",19.4545677,55.648105,24.897327
"015","4am",17.1059977,60.136251,22.757752
"016","4am",13.1963071,72.419855,14.383837
"017","4am",26.9946736,49.32824,23.677087
"018","4am",28.1437466,38.022195,33.834058
"019","4am",20.08105,48.330793,31.588157
"020","4am",28.5623977,30.224669,41.212934
"021","4am",21.2404132,56.67061,22.088977
"022","4am",30.0584962,38.931351,31.010153
"023","4am",9.3964191,64.103132,26.500449
"024","4am",16.9080778,62.937199,20.154723
"025","4am",27.4987307,44.179152,28.322117
"026","4am",18.1505719,59.341336,22.508092
"027","4am",5.9354519,74.184396,19.880152
"028","4am",27.9808524,43.704116,28.315031
"029","4am",15.5392728,68.140899,16.319828
"030","4am",11.5842676,73.039102,15.37663
"031","4am",3.8724484,70.375044,25.752508
"032","4am",7.3824498,69.618374,22.999176
"033","4am",6.2415136,77.901253,15.857233
"034","4am",2.7252247,81.762428,15.512347
"035","4am",5.3395863,70.941026,23.719388
"036","4am",10.7918802,74.117457,15.090663
"037","4am",3.6780437,77.24271,19.079246
"038","4am",7.0648198,85.898438,7.036742
"039","4am",13.2708224,77.918921,8.810257
"040","4am",5.7058818,79.001313,15.292806
"041","4am",3.6931788,79.54718,16.759641
"042","4am",7.8726938,76.462537,15.664769
"043","4am",7.713324,76.519642,15.767034
"044","4am",3.3041672,70.094311,26.601522
"045","4am",10.8010898,66.331626,22.867284
"046","4am",6.8437566,73.145956,20.010287
"047","4am",0.9324703,80.223203,18.844327
"048","4am",9.9582772,77.049286,12.992436
"049","4am",8.0092997,79.226303,12.764397
"050","4am",2.206394,86.003587,11.790019
"051","4am",5.9637704,84.572222,9.464007
"052","4am",3.8984909,83.391623,12.709886
"053","4am",2.7403566,80.142291,17.117352
"054","4am",3.8139071,86.037459,10.148634
"055","4am",4.4509229,78.15642,17.392657
"056","4am",4.2038598,61.147434,34.648706
"057","4am",4.9747943,83.522093,11.503113
"058","4am",4.738732,81.469814,13.791454
"059","4am",3.5496183,68.095329,28.355053
"060","4am",3.3844586,75.797522,20.818019
"061","4am",2.9979772,80.136137,16.865886
"062","4am",6.1649265,78.991905,14.843169
"063","4am",5.2521283,84.327467,10.420405
"064","4am",3.9597637,72.211318,23.828919
"065","4am",7.0836995,59.947972,32.968328
"066","4am",0.751647,76.104069,23.144284
"067","4am",3.6939927,77.054246,19.251761
"068","4am",1.5685665,70.370856,28.060578
"069","4am",2.8898477,77.345281,19.764871
"070","4am",1.5509785,70.918832,27.530189
"071","4am",5.9373808,74.907053,19.155566
"072","4am",0.9747709,79.171221,19.854008
"073","4am",9.1542026,39.390201,51.455596
"074","4am",3.9673671,61.313744,34.718889
"075","4am",10.6040337,74.153515,15.242452
"076","4am",5.2956408,66.658012,28.046348
"077","4am",0.9640435,69.161037,29.874919
"078","4am",0,73.777956,26.222044
"079","4am",0,71.070062,28.929938
"080","4am",3.4450402,62.845467,33.709493
"001","5am",19.5814659,10.525829,69.892705
"002","5am",17.731105,9.482639,72.786256
"003","5am",15.6220397,17.545445,66.832515
"004","5am",13.0109367,40.91304,46.076023
"005","5am",13.4806083,33.736085,52.783306
"006","5am",21.8344986,28.366744,49.798758
"007","5am",12.8753277,42.000483,45.12419
"008","5am",14.83172,56.607795,28.560485
"009","5am",20.546303,31.727845,47.725852
"010","5am",18.8964455,47.905834,33.19772
"011","5am",19.8483011,60.94637,19.205329
