"district","hour","resarea1","resarea2","resarea3"
"001","4am",0,100.9116,6164.91177
"002","4am",0,0,3876.57858
"003","4am",0,150.2124,12343.07782
"004","4am",89.94952,0,5416.70839
"005","4am",44.44442,223.7224,5236.4498
"006","4am",29.82601,53.49477,11618.31114
"007","4am",0,102.7581,7514.32415
"008","4am",0,0,3248.64851
"009","4am",103.8542,0,8534.55045
"010","4am",32.77678,0,6031.42254
"011","4am",0,27.44571,7577.34436
"012","4am",0,28.54069,8777.37734
"013","4am",54.15303,178.53983,6919.73636
"014","4am",35.82293,0,10999.31702
"015","4am",21.85929,0,4835.39195
"016","4am",0,0,5371.80124
"017","4am",0,0,7390.90787
"018","4am",0,0,11238.531
"019","4am",103.57402,0,5996.96972
"020","4am",0,0,7165.27532
"021","4am",0,0,5544.42786
"022","4am",127.0373,165.15055,14582.61806
"023","4am",0,0,6455.17332
"024","4am",0,0,6412.54923
"025","4am",42.55212,0,7420.70136
"026","4am",60.70486,40.28394,8122.72929
"027","4am",117.2735,53.49477,6047.45758
"028","4am",0,0,9300.53352
"029","4am",0,7121.75222,58.69429
"030","4am",0,4577.39083,86.64185
"031","4am",8184.7672,0,0
"032","4am",7182.13569,0,47.09582
"033","4am",0,10549.43472,190.11967
"034","4am",0,2462.51021,0
"035","4am",83.09536,6792.20818,0
"036","4am",0,6343.19169,153.18496
"037","4am",0,8798.03818,163.43402
"038","4am",0,5900.81182,0
"039","4am",0,5205.45429,38.051
"040","4am",0,10759.13259,134.46251
"041","4am",0,5886.44668,105.40591
"042","4am",0,3769.2542,0
"043","4am",48.12976,6745.31464,0
"044","4am",4880.04474,0,0
"045","4am",43.14698,6243.36032,0
"046","4am",0,6118.83033,0
"047","4am",37.88057,6728.27993,203.65436
"048","4am",6024.5813,0,0
"049","4am",5278.41679,0,0
"050","4am",3035.70552,55.79515,0
"051","4am",0,3454.09205,0
"052","4am",5906.81991,0,18.55674
"053","4am",7643.46082,0,0
"054","4am",7099.235,0,48.69161
"055","4am",5105.66407,0,0
"056","4am",0,7300.51927,53.35661
"057","4am",45.66374,3830.80253,0
"058","4am",0,7359.24938,0
"059","4am",0,11960.04098,0
"060","4am",0,6766.62682,0
"061","4am",10271.91636,0,0
"062","4am",9594.44793,85.07377,0
"063","4am",3779.08695,0,0
"064","4am",7656.45011,0,0
"065","4am",7945.72783,0,53.19088
"066","4am",7310.53755,74.32005,46.37829
"067","4am",10789.30495,136.0078,37.60901
"068","4am",8096.37044,65.75331,0
"069","4am",4685.39897,0,0
"070","4am",0,11096.39624,0
"071","4am",0,10338.05409,0
"072","4am",63.59414,7386.99944,0
"073","4am",0,12711.0476,107.76393
"074","4am",120.4345,10003.90808,79.16171
"075","4am",164.87457,12216.1127,0
"076","4am",0,6359.03764,0
"077","4am",9179.52671,0,0
"078","4am",9551.6102,0,0
"079","4am",10746.2583,0,0
"080","4am",7875.64744,0,46.97672
"001","5am",76.61134,100.9116,6181.18749
"002","5am",0,38.70125,3876.57858
"003","5am",0,203.74546,12472.39517
"004","5am",89.94952,0,5387.38416
"005","5am",44.44442,223.7224,5236.4498
"006","5am",29.82601,53.49477,11618.31114
"007","5am",0,126.35736,7514.32415
"008","5am",0,0,3234.02937
"009","5am",103.8542,234.46435,8664.46687
"010","5am",32.77678,0,5903.80512
"011","5am",22.71364,137.99414,7523.28434
