"district","hour","sex1","sex2"
"001","4am",53.4627,46.5373
"002","4am",44.00483,55.99517
"003","4am",46.81138,53.18862
"004","4am",42.17785,57.82215
"005","4am",50.13114,49.86886
"006","4am",50.5105,49.4895
"007","4am",45.45089,54.54911
"008","4am",38.62736,61.37264
"009","4am",35.19231,64.80769
"010","4am",42.66339,57.33661
"011","4am",39.6787,60.3213
"012","4am",47.02332,52.97668
"013","4am",49.03231,50.96769
"014","4am",42.98213,57.01787
"015","4am",43.01675,56.98325
"016","4am",41.57469,58.42531
"017","4am",45.40428,54.59572
"018","4am",49.55572,50.44428
"019","4am",47.68185,52.31815
"020","4am",50.72932,49.27068
"021","4am",54.71674,45.28326
"022","4am",44.55631,55.44369
"023","4am",45.46507,54.53493
"024","4am",43.85111,56.14889
"025","4am",48.72141,51.27859
"026","4am",45.85179,54.14821
"027","4am",41.69368,58.30632
"028","4am",41.19738,58.80262
"029","4am",49.26691,50.73309
"030","4am",48.11935,51.88065
"031","4am",43.90699,56.09301
"032","4am",48.53127,51.46873
"033","4am",47.46174,52.53826
"034","4am",47.31706,52.68294
"035","4am",47.1277,52.8723
"036","4am",51.9367,48.0633
"037","4am",49.51994,50.48006
"038","4am",44.66601,55.33399
"039","4am",48.58261,51.41739
"040","4am",49.25065,50.74935
"041","4am",45.68035,54.31965
"042","4am",45.5243,54.4757
"043","4am",48.47718,51.52282
"044","4am",42.56133,57.43867
"045","4am",50.06266,49.93734
"046","4am",41.14453,58.85547
"047","4am",49.88446,50.11554
"048","4am",39.78215,60.21785
"049","4am",42.96003,57.03997
"050","4am",50.52468,49.47532
"051","4am",51.50373,48.49627
"052","4am",44.09465,55.90535
"053","4am",43.69478,56.30522
"054","4am",53.56503,46.43497
"055","4am",47.80696,52.19304
"056","4am",40.98463,59.01537
"057","4am",45.86925,54.13075
"058","4am",47.13539,52.86461
"059","4am",42.08602,57.91398
"060","4am",45.43037,54.56963
"061","4am",43.27849,56.72151
"062","4am",53.04799,46.95201
"063","4am",52.13837,47.86163
"064","4am",49.51929,50.48071
"065","4am",50.36827,49.63173
"066","4am",52.16755,47.83245
"067","4am",47.90231,52.09769
"068","4am",47.24782,52.75218
"069","4am",46.80208,53.19792
"070","4am",50.5555,49.4445
"071","4am",46.6685,53.3315
"072","4am",47.01648,52.98352
"073","4am",45.85188,54.14812
"074","4am",43.36697,56.63303
"075","4am",49.79103,50.20897
"076","4am",50.27384,49.72616
"077","4am",45.85976,54.14024
"078","4am",39.48539,60.51461
"079","4am",47.89563,52.10437
"080","4am",49.40069,50.59931
"001","5am",54.14251,45.85749
"002","5am",44.55833,55.44167
"003","5am",46.8518,53.1482
"004","5am",42.40366,57.59634
"005","5am",50.13114,49.86886
"006","5am",50.5105,49.4895
"007","5am",45.61938,54.38062
"008","5am",38.34993,61.65007
"009","5am",35.81616,64.18384
"010","5am",42.93032,57.06968
"011","5am",39.67084,60.32916
"012","5am",46.20546,53.79454
"013","5am",51.11144,48.88856
"014","5am",42.72535,57.27465
"015","5am",42.49862,57.50138
"016","5am",41.458,58.542
"017","5am",46.60719,53.39281
"018","5am",48.83389,51.16611
"019","5am",47.68185,52.31815
"020","5am",51.93313,48.06687
"021","5am",54.46033,45.53967
"022","5am",44.04507,55.95493
"023","5am",48.06041,51.93959
"024","5am",43.62514,56.37486
"025","5am",48.43904,51.56096
"026","5am",45.85179,54.14821
"027","5am",42.46851,57.53149
"028","5am",41.25266,58.74734
"029","5am",49.45565,50.54435
"030","5am",48.11935,51.88065
"031","5am",43.13928,56.86072
"032","5am",49.33887,50.66113
"033","5am",47.64989,52.35011
"034","5am",45.94676,54.05324
"035","5am",46.97758,53.02242
"036","5am",51.45368,48.54632
"037","5am",49.21378,50.78622
"038","5am",45.02493,54.97507
"039","5am",48.25066,51.74934
"040","5am",49.03408,50.96592
"041","5am",45.68035,54.31965
"042","5am",46.05623,53.94377
"043","5am",48.69647,51.30353
"044","5am",42.29274,57.70726
"045","5am",49.97149,50.02851
"046","5am",41.97701,58.02299
"047","5am",49.1759,50.8241
"048","5am",39.78215,60.21785
"049","5am",43.51094,56.48906
"050","5am",50.24084,49.75916
"051","5am",50.25817,49.74183
"052","5am",44.904,55.096
"053","5am",43.69478,56.30522
"054","5am",53.90535,46.09465
"055","5am",47.41052,52.58948
"056","5am",40.86514,59.13486
"057","5am",45.39827,54.60173
"058","5am",47.27915,52.72085
"059","5am",41.88413,58.11587
"060","5am",45.62536,54.37464
"061","5am",42.44092,57.55908
"062","5am",53.18748,46.81252
"063","5am",50.84399,49.15601
"064","5am",49.51929,50.48071
"065","5am",50.03511,49.96489
"066","5am",52.16755,47.83245
"067","5am",46.34247,53.65753
"068","5am",47.72981,52.27019
"069","5am",45.9986,54.0014
"070","5am",51.49129,48.50871
"071","5am",45.71587,54.28413
"072","5am",47.2104,52.7896
"073","5am",47.35936,52.64064
"074","5am",41.29725,58.70275
"075","5am",50.04969,49.95031
"076","5am",50.00628,49.99372
"077","5am",45.56237,54.43763
"078","5am",38.99609,61.00391
"079","5am",47.89563,52.10437
"080","5am",50.13658,49.86342
"001","6am",53.41349,46.58651
"002","6am",43.99665,56.00335
"003","6am",47.37794,52.62206
"004","6am",42.16886,57.83114
"005","6am",49.89675,50.10325
"006","6am",49.95055,50.04945
"007","6am",45.75498,54.24502
"008","6am",37.65632,62.34368
"009","6am",35.63555,64.36445
"010","6am",42.64454,57.35546
"011","6am",41.0886,58.9114
"012","6am",46.07504,53.92496
"013","6am",53.87886,46.12114
"014","6am",43.81545,56.18455
"015","6am",42.74252,57.25748
"016","6am",42.31481,57.68519
"017","6am",45.99619,54.00381
"018","6am",48.03984,51.96016
"019","6am",47.9964,52.0036
"020","6am",50.78292,49.21708
"021","6am",53.95822,46.04178
"022","6am",42.51222,57.48778
"023","6am",47.56556,52.43444
"024","6am",42.60877,57.39123
"025","6am",47.71958,52.28042
"026","6am",45.11551,54.88449
"027","6am",43.12317,56.87683
"028","6am",40.88422,59.11578
"029","6am",50.57789,49.42211
"030","6am",46.97655,53.02345
"031","6am",44.62984,55.37016
"032","6am",50.20767,49.79233
"033","6am",46.49425,53.50575
"034","6am",45.57352,54.42648
"035","6am",49.92719,50.07281
"036","6am",51.0489,48.9511
"037","6am",48.39264,51.60736
"038","6am",45.4949,54.5051
"039","6am",49.77142,50.22858
"040","6am",48.64097,51.35903
"041","6am",44.62456,55.37544
"042","6am",46.91625,53.08375
"043","6am",49.6252,50.3748
"044","6am",39.4039,60.5961
"045","6am",49.27637,50.72363
"046","6am",41.02811,58.97189
"047","6am",48.50044,51.49956
"048","6am",38.69393,61.30607
"049","6am",41.79753,58.20247
"050","6am",50.13863,49.86137
"051","6am",48.63894,51.36106
"052","6am",43.70132,56.29868
"053","6am",41.72194,58.27806
"054","6am",53.29735,46.70265
"055","6am",48.3085,51.6915
"056","6am",40.86514,59.13486
"057","6am",45.1403,54.8597
"058","6am",47.77,52.23
"059","6am",42.34167,57.65833
"060","6am",43.0828,56.9172
"061","6am",41.1581,58.8419
"062","6am",51.31157,48.68843
"063","6am",49.63807,50.36193
"064","6am",48.44278,51.55722
"065","6am",47.42609,52.57391
"066","6am",50.81545,49.18455
"067","6am",46.34824,53.65176
"068","6am",47.46305,52.53695
"069","6am",44.88598,55.11402
"070","6am",51.72972,48.27028
"071","6am",45.29417,54.70583
"072","6am",48.13192,51.86808
"073","6am",47.80093,52.19907
"074","6am",39.82344,60.17656
"075","6am",50.63019,49.36981
"076","6am",49.30081,50.69919
"077","6am",45.07448,54.92552
"078","6am",37.70521,62.29479
"079","6am",48.13956,51.86044
"080","6am",47.96184,52.03816
"001","7am",48.0402,51.9598
"002","7am",44.28854,55.71146
"003","7am",45.54667,54.45333
"004","7am",39.52711,60.47289
"005","7am",51.86705,48.13295
"006","7am",48.53535,51.46465
"007","7am",44.68158,55.31842
"008","7am",35.51911,64.48089
"009","7am",41.25486,58.74514
"010","7am",44.81364,55.18636
"011","7am",45.24462,54.75538
"012","7am",47.47504,52.52496
"013","7am",53.52733,46.47267
"014","7am",44.31976,55.68024
"015","7am",36.63713,63.36287
"016","7am",40.84452,59.15548
"017","7am",42.88169,57.11831
