"district","hour","sex1","sex2"
"001","4am",3349.878,2915.945
"002","4am",1705.882,2170.697
"003","4am",5848.282,6645.008
"004","4am",2322.59,3184.068
"005","4am",2759.527,2745.09
"006","4am",5910.552,5791.079
"007","4am",3462.032,4155.05
"008","4am",1254.867,1993.781
"009","4am",3040.054,5598.35
"010","4am",2587.193,3477.006
"011","4am",3017.481,4587.309
"012","4am",4140.835,4665.083
"013","4am",3507.001,3645.428
"014","4am",4743.138,6292.002
"015","4am",2089.432,2767.819
"016","4am",2233.31,3138.491
"017","4am",3355.788,4035.12
"018","4am",5569.334,5669.197
"019","4am",2908.852,3191.692
"020","4am",3634.895,3530.38
"021","4am",3033.73,2510.698
"022","4am",6627.665,8247.141
"023","4am",2934.849,3520.324
"024","4am",2811.974,3600.575
"025","4am",3636.202,3827.051
"026","4am",3770.722,4452.996
"027","4am",2592.607,3625.619
"028","4am",3831.576,5468.957
"029","4am",3537.584,3642.863
"030","4am",2244.302,2419.73
"031","4am",3593.685,4591.083
"032","4am",3508.438,3720.793
"033","4am",5097.179,5642.375
"034","4am",1165.187,1297.323
"035","4am",3240.173,3635.131
"036","4am",3374.004,3122.373
"037","4am",4437.716,4523.757
"038","4am",2635.657,3265.155
"039","4am",2547.432,2696.074
"040","4am",5365.166,5528.429
"041","4am",2737.099,3254.753
"042","4am",1715.927,2053.328
"043","4am",3293.27,3500.174
"044","4am",2077.012,2803.033
"045","4am",3147.193,3139.314
"046","4am",2517.564,3601.266
"047","4am",3476.855,3492.96
"048","4am",2396.708,3627.873
"049","4am",2267.609,3010.807
"050","4am",1561.971,1529.53
"051","4am",1778.986,1675.106
"052","4am",2612.774,3312.602
"053","4am",3339.793,4303.668
"054","4am",3828.789,3319.137
"055","4am",2440.863,2664.801
"056","4am",3013.959,4339.917
"057","4am",1778.106,2098.36
"058","4am",3468.811,3890.439
"059","4am",5033.506,6926.535
"060","4am",3074.103,3692.523
"061","4am",4445.53,5826.386
"062","4am",5134.791,4544.73
"063","4am",1970.354,1808.733
"064","4am",3791.42,3865.03
"065","4am",4028.917,3970.002
"066","4am",3876.694,3554.542
"067","4am",5251.493,5711.429
"068","4am",3856.426,4305.698
"069","4am",2192.864,2492.535
"070","4am",5609.839,5486.558
"071","4am",4824.615,5513.439
"072","4am",3503.006,3947.587
"073","4am",5877.667,6941.145
"074","4am",4424.951,5778.553
"075","4am",6164.621,6216.366
"076","4am",3196.932,3162.105
"077","4am",4209.709,4969.818
"078","4am",3771.49,5780.12
"079","4am",5146.988,5599.271
"080","4am",3913.831,4008.793
"001","5am",3442.765,2915.945
"002","5am",1744.583,2170.697
"003","5am",5938.999,6737.141
"004","5am",2322.59,3154.744
"005","5am",2759.527,2745.09
"006","5am",5910.552,5791.079
"007","5am",3485.631,4155.05
"008","5am",1240.248,1993.781
"009","5am",3224.452,5778.333
"010","5am",2548.594,3387.988
"011","5am",3048.304,4635.688
"012","5am",4006.956,4665.083
"013","5am",3765.695,3601.922
"014","5am",4653.579,6238.266
"015","5am",2045.664,2767.819
"016","5am",2185.153,3085.61
"017","5am",3469.794,3974.967
"018","5am",5410.787,5669.197
"019","5am",2908.852,3191.692
"020","5am",3634.895,3364.289
"021","5am",3002.512,2510.698
"022","5am",6627.665,8419.796
"023","5am",3214.756,3474.233
"024","5am",2786.271,3600.575
"025","5am",3636.202,3870.557
"026","5am",3770.722,4452.996
"027","5am",2595.42,3515.979
"028","5am",3825.729,5448.167
"029","5am",3641.75,3721.919
"030","5am",2244.302,2419.73
"031","5am",3483.178,4591.083
"032","5am",3588.793,3684.971
"033","5am",5135.779,5642.375
"034","5am",1145.617,1347.741
"035","5am",3323.082,3750.68
"036","5am",3374.004,3183.358
"037","5am",4383.693,4523.757
"038","5am",2643.331,3227.485
"039","5am",2513.797,2696.074
"040","5am",5371.72,5583.355
"041","5am",2737.099,3254.753
"042","5am",1715.927,2009.794
"043","5am",3322.308,3500.174
"044","5am",2054.298,2803.033
"045","5am",3099.71,3103.247
"046","5am",2605.353,3601.266
"047","5am",3282.304,3392.315
"048","5am",2396.708,3627.873
