OBJECTID,SECT_EGT,Shape_Leng,Shape_Area,CENTROID_X,CENTROID_Y
1,7501,9862.95523128,5501968.48168,600876.445145,2429168.50893
2,7502,12986.5165046,8277527.54781,599370.907045,2428079.5583
3,7503,10857.9824733,6278876.46216,598946.576932,2430655.16316
4,7504,6626.21827416,2993996.97602,601804.667412,2430857.51325
5,7505,8100.25367888,3302744.58827,603098.823285,2429009.52318
6,7506,21275.4799334,16202604.1341,606118.341736,2426312.75902
7,7507,11207.3513651,7056954.83738,601906.056178,2425593.73912
8,7508,9903.11667235,5810341.13861,599307.991223,2425623.90917
9,7509,12519.5833933,8404434.53873,596844.619042,2426866.65255
10,7510,16772.4436143,16772533.0437,594536.222731,2429120.58235
11,7511,10555.2798942,5764871.77397,597869.10398,2432115.94455
12,7512,9719.30485808,5820830.59914,600894.204596,2432716.25058
13,7513,10884.9448775,6546603.12286,603534.758936,2432064.49914
14,7514,10519.8830166,6298397.23496,604719.847174,2429429.56861
15,7701,59197.292233,113955278.848,628801.780839,2427690.58846
16,7702,32021.931891,37788543.5852,617731.608866,2426519.59721
17,7703,105104.987186,313991477.644,625887.638305,2444810.61581
18,7704,91995.7052785,203802716.806,638204.007272,2439585.60363
19,7705,139625.607914,585135641.154,653538.28902,2441856.95662
20,7706,165655.69617,656418616.089,662566.809193,2423400.72693
21,7707,212644.724056,1326148482.56,665263.9497,2395655.9221
22,7708,84510.6293804,93709822.5871,627615.081399,2430306.00518
23,7709,136533.206062,432275206.986,635516.216764,2412568.07247
24,7710,44833.9609096,73330249.5904,622264.096789,2418101.02201
25,7711,120104.183322,438757527.477,634108.384354,2396060.15381
26,7712,60608.0277003,154416367.717,617161.213553,2387640.54139
27,7713,122915.613669,314640430.962,646548.077418,2372492.03297
28,7714,149061.410282,568709737.475,624551.373446,2374028.54257
29,7715,139314.412267,540837405.61,627776.020323,2357411.3197
30,7716,53036.2228633,120660506.512,617703.049505,2401212.70906
31,7801,19866.1438305,19833113.0647,587713.566376,2438162.03762
32,7802,23553.220949,25737133.5756,586172.065167,2433814.43792
