CODE_SEC,CENTROID_X,CENTROID_Y,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7501,2.348442538,48.86084769,18992.2034470411,24396.6432982846,23606.1204811599,22397.9607343523,23104.0084320084,22245.4048968644,24167.6619530091,22818.0821007807,13103.0964363709,9990.83877802724,10038.8857532127,6285.05769952048,7038.31885006701,7256.32515486554,6945.03187301895,6945.03187301895,6413.82150136036,5774.1295083046,5635.27915545442,5635.27915545442,7339.6498885473,7403.91641801402,10588.1615630017,14552.0217087667
7502,2.327935082,48.85106051,19913.869154305,21279.8436711435,18872.5727922242,19015.3261742514,21726.678625804,19882.3032691045,19621.2607537969,14707.9532867328,13070.394043471,13521.0396293009,10665.1647008437,10553.1220594138,10584.8374632817,9060.01483810725,9028.2994342394,9453.04438639732,9721.46830283994,9296.72335068202,8938.8438438697,8938.8438438697,9404.87668665398,11322.0370817873,12546.7026287769,17746.8586267063
7503,2.322153909,48.87420791,27593.9323024259,26608.4332575541,27224.1884792049,26125.0560346076,25296.586892441,26998.4453771272,25898.0368538617,25193.6769989381,14771.2518159885,12457.5817835107,9552.86558661177,8423.55990862935,7227.66870648084,7063.40889146407,8117.07081801963,7830.58325792447,7830.58325792447,7830.58325792447,7437.97503217028,7437.97503217028,8250.64714239144,12171.3982512043,16312.7162943224,23261.8102560085
7504,2.361094129,48.87602577,9215.7774926654,11074.3451841949,13571.7835451816,12245.0223321862,13068.1666359588,14078.2734391632,13921.3958341514,14167.2324908312,10250.1674330752,7583.79132424404,9303.43405555869,9600.89132303313,9600.89132303313,8431.79350862806,8252.25491448082,5426.47197894379,5426.47197894379,5426.47197894379,6602.92648852195,6602.92648852195,6505.24951282476,7511.85330069957,8667.46166852012,8551.06679627532
7505,2.378712327,48.85941215,14445.9804150503,15373.490757127,15210.0349176846,14916.1547730152,15328.2594383466,14649.4556014552,12595.6138082537,12488.8675961024,15781.9597188494,13667.5104686521,11305.9123540007,11612.993678575,11080.9665771225,12401.425734507,13051.4231614792,13051.4231614792,13051.4231614792,13051.4231614792,15804.7808740921,15804.7808740921,16226.9679835871,14611.8821252073,15106.5557258461,15359.7116540013
7506,2.419798784,48.83515122,24212.7964784371,23205.9953893143,22632.1570813567,20515.2446062366,18953.0274132178,16706.7074046573,17485.7093449771,16172.6658112684,14252.7923916393,15684.5253971993,15146.6553426808,15065.9950295953,14741.5737248247,14134.7141745763,13213.2571688357,12700.4375224815,12700.4375224815,12700.4375224815,12981.1255960418,12981.1255960418,12804.680649844,15650.337974808,17458.0826957414,21996.9994591698
7507,2.36245245,48.82871718,23304.7145172565,23380.375651159,22866.9958614931,22650.8101243574,22396.0833530876,22884.5081273328,19337.3285698069,18482.2648086475,19611.9554118838,18574.166179746,19530.0914328181,19185.4781289638,19153.762725096,18947.4790294029,18248.0714302286,19385.0103971573,19385.0103971573,19385.0103971573,19854.8997777072,19575.7157646162,18942.8527695629,19060.8935725323,19124.9103034218,21848.6465727058
7508,2.327086129,48.82899084,10712.0117620377,11755.5008397586,12021.5952926958,12235.8480703574,12718.981595723,13042.4553594316,11036.1381942778,7137.25399687136,7862.98417577256,7698.76608951286,7984.73274835832,7765.375393745,6753.39326130663,6139.57427904594,5913.10367329992,5913.10367329992,5913.10367329992,5913.10367329992,6013.87560872655,5590.76134177847,5590.76134177847,5591.07922913504,5383.11478906153,7712.40050122176
7509,2.293544724,48.84015199,27515.4553160431,29877.5243173116,32044.061129492,30177.1228395787,27625.6018596325,28177.5728907244,27822.8822187482,24464.4705819055,23783.9023541584,20247.0445723215,21532.3208119436,20167.0227480746,20771.6474156502,19788.5081045496,19623.7614807389,20487.086326832,20487.086326832,20487.086326832,19745.6143633701,19745.6143633701,20314.9832338742,21622.2829998147,23876.194044316,26249.3005695996
7510,2.262084367,48.86039397,17357.3233311518,16168.7641039682,16019.6967056064,17858.8753666025,21367.8058129562,18096.3572146625,12506.6096656731,12789.371940721,10826.7200877293,8110.35238524457,8110.35238524457,7842.61622011624,7842.61622011624,7842.61622011624,7842.61622011624,7842.61622011624,7842.61622011624,7842.61622011624,7888.28040986206,7888.28040986206,8846.70566619005,10782.246880205,11686.9045896263,14556.3936943658
