hour,Duncan,Moran
4am,0.2149554234082,0.560962082022612
5am,0.214027811244723,0.560820498171052
6am,0.213776736862726,0.545590252139589
7am,0.209851341665876,0.551016614267876
8am,0.195348951445449,0.515727206246921
9am,0.176822604909996,0.487398967914265
10am,0.173475257120212,0.53429854790511
11am,0.172419312824368,0.487694391086216
12am,0.171373159013222,0.486738239465241
1pm,0.170883508555378,0.508218206818045
2pm,0.172185779090377,0.481312066486915
3pm,0.173631805097746,0.511181465519743
4pm,0.175996967317336,0.509117976544493
5pm,0.187787975103006,0.512305432905306
6pm,0.199782983029942,0.549214925322477
7pm,0.203207611205641,0.553122591838569
8pm,0.213444996991675,0.570446720110455
9pm,0.217561621846813,0.554906342862311
10pm,0.21848311372636,0.539741008122995
11pm,0.217712305481303,0.541622117614555
12pm,0.217904390912495,0.539261642499639
1am,0.215860104101752,0.538390155321071
2am,0.217100118201818,0.544313038185969
3am,0.216253251175435,0.544209955868732
