CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;22,35563267;21,15439856;20,62862618;20,70897247;22,24022908;21,21975669;21,08075423;20,32355693;17,92359032;15,30499225;11,41750709;12,50618487;11,52604605;12,36147;13,56135407;13,42685604;13,73546984;14,17473818;15,5344792;15,5344792;15,67044814;15,64042274;17,2858405;18,65097084
7502;16,79316216;17,04196387;15,92141121;15,83129299;15,99479721;15,36284195;16,32890337;14,49117019;12,69439429;10,05738682;8,002786728;7,157674309;5,981615598;6,166471759;6,192640066;4,941098752;4,911911946;4,871004297;5,004067686;5,262042751;5,315153139;7,624270819;11,92823502;14,54556525
7503;18,88963513;19,83646672;19,36386113;18,60582769;18,30671366;18,70677742;16,73697951;16,58851886;17,59920096;14,84793587;14,1413756;12,24432346;12,33748184;14,42404848;15,21946913;15,5372886;15,84165716;16,22240195;16,04034463;16,04034463;17,23782107;18,83969486;19,83613002;20,64643776
7504;26,99245464;26,4220634;24,75884861;23,45618985;24,61116874;22,80270522;22,4709163;20,49887813;21,79099255;18,97814661;16,17167671;16,27074124;16,2880781;13,16240944;13,4226469;14,79036289;14,92957007;14,92661172;15,59686241;15,99087949;15,38455111;15,4838451;20,4422422;26,09652282
7505;16,54697277;17,53671913;18,2222441;19,92721398;20,91724212;23,86828527;21,69756011;17,66532694;15,28906019;14,49129661;15,08094504;15,02187177;15,65382843;14,56566324;15,36935258;16,46851653;16,26349953;16,21024251;15,24205198;15,24205198;14,92009;14,72040452;15,46867253;16,36806769
7506;21,42503727;22,38392863;20,86204323;21,53228736;22,75122591;24,40292076;25,09649807;21,00527876;20,93710324;17,61600438;15,45817634;16,08810375;16,98994164;15,18137461;14,08930402;14,62225123;14,90251389;14,87242933;14,1409145;14,1409145;14,55482796;16,68618113;17,57763195;20,59286907
7507;21,83646506;22,5314953;23,17215609;19,63928822;20,9491331;19,82935735;19,7134827;19,96856502;17,25362257;14,73734515;13,92224822;14,70430704;15,56671302;14,62927296;14,87195826;15,08729771;14,99240876;14,88788266;14,52294766;14,50085616;15,32905411;17,0122624;17,47693922;21,6511822
7508;16,9469511;15,02791286;17,24876845;19,12887741;15,17209953;13,68983955;16,0695603;15,41985936;14,36835534;15,70296002;15,84771492;13,0062511;13,74900484;14,98917359;14,32535384;13,35806297;13,06089745;12,99995533;13,08434142;13,13794565;13,11548088;12,60283043;14,68500902;18,0009266
7509;13,50182965;14,72650107;17,24047772;15,12922687;16,18645708;15,2205513;14,01370027;12,0722364;10,76029767;14,46240874;12,72621609;13,10732181;12,72932408;13,13896276;12,63793698;12,62482381;12,44795136;12,52235859;12,07908323;11,99435685;12,11516103;11,56559935;11,33062988;13,98426062
7510;15,98319429;15,53874828;16,14122186;18,15206179;16,74354891;18,16086498;15,42345004;15,2697529;13,60295409;11,2544749;8,67357197;8,535645887;10,12783264;10,09735527;10,97781114;11,03508472;10,76456111;10,49697529;10,40234358;9,391014001;9,606269533;10,32255221;12,70978468;14,4524865
7511;17,06032836;17,46182121;18,7342079;18,10506519;18,87803441;18,54457591;17,972149;16,85206351;14,8475299;13,42138617;12,37377901;12,81781673;11,21538434;11,6807926;11,61182506;11,06948645;10,56453612;10,78446781;10,71210171;11,30582222;11,84378806;12,37584018;13,93734745;19,37590157
7512;19,6455429;19,18336268;19,09768353;19,6693802;17,29605666;18,18488192;18,5446933;18,311753;18,50651503;17,3644321;16,21410926;17,17541689;16,09146205;15,42329576;15,01019549;14,75889291;14,58851831;14,25823631;14,53827124;14,57106426;14,57915026;14,43567457;14,50174305;16,64395899
7513;25,55943008;25,06288993;25,57912641;26,30063081;28,29610975;27,36503955;28,08104668;26,15362167;23,60643253;23,08357976;22,43817059;22,76210165;23,22542208;22,58548009;22,71488615;22,67020305;22,536724;22,536724;22,60541053;22,60541053;22,78749277;23,43807782;25,5605018;27,19892655
7514;20,68074809;20,56334873;21,33752293;22,02930629;21,73413473;18,87239223;20,64216268;23,24285605;21,70581684;20,67379293;21,45511992;20,11632201;19,68124631;19,72565005;20,12231988;20,09412505;19,75419455;19,47555642;19,24350517;19,04058858;18,03871849;17,86855076;19,57907609;22,48474883
7701;41,6490893;41,55907677;40,80928022;38,80298636;38,95926834;38,10869862;39,36109296;38,45922092;36,61411286;35,96048659;33,35404502;33,02780871;34,60974738;33,31881944;32,8151556;33,26885056;33,32771386;33,32771386;35,0671891;35,63284848;37,54976941;39,14270296;42,24717447;40,97485352
