CODE_SECT;LIB;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;PARIS CENTRE, RIVE DROITE;40962.2382050542;43352.2815263548;43645.1006495665;45644.5507810102;50505.7559580728;49273.5102620098;49216.4039959678;43467.5560527985;32164.7325053045;22469.2463296572;15287.5852276614;15513.2442214042;13674.1848279459;13053.5704604754;12884.3879871469;12130.8243089698;12130.8243089698;12130.8243089698;12130.8243089698;12130.8243089698;12618.754605225;12917.0322474855;16423.3919663926;25670.2280658118
7502;PARIS CENTRE, RIVE GAUCHE;34494.5883117696;37821.5684348313;35830.0051369;36660.2372186592;38252.5221282831;39150.8923970282;40432.9601431758;32429.8933210316;22620.7350440802;16166.9429530004;11943.4314311722;10765.0319684997;8601.79983207795;8244.58627831917;8244.58627831917;6359.31525689955;6359.31525689955;6196.5051835828;6196.5051835828;6533.69725576134;6629.50529924722;9804.31617624801;16574.5582649566;25523.987311189
7503;PARIS-9E , PARIS-8E;46240.4453538452;51159.0383949678;49226.4431291114;46977.4333417506;45610.0362670836;48334.3286323842;42081.3030117594;40670.6075591718;32087.8540746634;21916.497395357;16778.4960739261;13317.3230800738;12335.968630849;13178.9305864919;12546.0675914386;12374.3420329857;12374.3420329857;12572.3568971443;12216.9919872029;12216.9919872029;13518.3543968313;16439.518447476;20867.6363365187;35784.5694866594
7504;PARIS-10E;29800.5772462111;29512.4136145794;28127.533502005;27966.813714572;27543.5427087955;25796.3568567293;24841.5344436095;22956.1981218487;20624.5898115047;16768.7935301479;13833.2770516156;15525.4248960207;15306.7368910261;11070.5838506099;10898.5970956297;11424.2580718613;11424.2580718613;11424.2580718613;12362.5371330976;12734.2939869817;12035.928359145;12601.6044174818;16725.904045117;24602.8572110158
7505;PARIS-11E;18166.0206664763;19995.2883684567;20638.1490490876;23302.3571248752;24477.702474105;26702.4856183648;24374.970940113;18625.806584008;16633.379001887;15192.8207758121;16144.6639583813;17325.794113496;17910.0200154152;16990.3311506795;17216.0898909803;18718.9148100364;19063.7264799508;19063.7264799508;17561.4942022752;17561.4942022752;17279.0121384517;16616.1827275325;16801.8943375605;17465.8748711926
7506;PARIS-12E;28873.1665485772;30130.9468926001;29149.0175186153;29281.2370167039;30004.0598448734;30256.6745441653;31879.4398473349;24990.3468274134;23271.6777142394;20669.4286259501;18695.3768269197;19375.7918607928;20654.5889627362;17742.124484562;16611.4737360872;17076.2704963176;17076.2704963176;17076.2704963176;15984.6860140729;15984.6860140729;16482.912619321;20345.6593460243;21064.8834096997;25429.3943352615
7507;PARIS-13E;35768.2847211841;37836.5122822051;37820.5872790694;31492.3962719637;32649.7439823221;31398.8448621499;30505.2717820703;29330.5235280493;22490.1681948026;17633.6491669571;17909.1718193977;20045.1777855578;21409.8516676485;20054.5749224194;20382.4501430861;20777.8596458735;20777.8596458735;20777.8596458735;20409.1593455051;20409.1593455051;21404.3380141166;24427.779248512;25002.0342259522;32873.9807639466
7508;PARIS-14E;17291.476108073;15459.2508893777;18116.449820641;20566.101171681;16138.0092880376;14563.2520830653;15875.0302577123;13839.3352894332;12640.39765041;14425.7861558117;15541.1611418209;13666.2897289953;14152.8980734281;15055.3720809803;14638.6480921507;13739.1401993258;13254.2369295307;13254.2369295307;13568.6898916611;13568.6898916611;13568.6898916611;13343.9030044959;15002.2144751621;16728.5405888891
7509;PARIS-15E;25760.1793136967;29816.5225266852;35361.5382612747;29978.7875727597;32029.5512537568;29672.0922425869;26113.8156780035;21874.1036997725;18320.6506377302;23116.7861457813;22563.2163879167;23941.0233182696;22850.7340290824;24005.1307021508;23076.9292291531;22840.4523482568;22627.181414483;22781.7960602918;20670.1418778384;20670.1418778384;20892.5510263036;19779.7921906441;19570.9673539692;24074.0807806237
7510;PARIS-16E;23761.6117742562;22473.0740006967;23246.3063544541;27687.9486320668;25965.2817925472;27965.7133416334;22187.0151177892;20805.148377577;17149.2425645793;13344.6048163865;10431.4817181379;10649.0780664556;12804.239268359;12639.3837283736;14165.6081590793;14543.3049068055;14116.362955226;13630.4193772654;13210.0008529886;11813.7279978778;12279.9507357831;13221.1285036359;16158.1930399099;19125.0165474032
7511;PARIS-17E;23903.6639712662;25176.9859365881;25990.3234386714;25551.6514832384;26018.4217847092;25180.4648094124;22635.3966845859;20135.2630660333;18108.6332147356;16861.0708452307;15545.7969503643;15967.0583623189;14627.4172128965;14627.4172128965;14627.4172128965;14337.5909981207;13845.619753641;13845.619753641;13789.3703895619;14522.2256753097;15468.0821774301;16072.7376189284;18015.6202244222;23986.6034695888
7512;PARIS-18E;24881.5901137918;24989.8546675482;24375.6948834971;25375.6033427122;21947.5399544306;22591.6275077522;22310.4817369655;22076.6603941709;22112.0269321502;21720.4763797292;22074.7032354985;25256.1558359747;23469.0126616498;23012.1309202883;22210.1971613068;22273.1410227474;22273.1410227474;21984.6379672597;21836.3377357311;21836.3377357311;21836.3377357311;21529.0373268846;20796.428639723;21162.8289562307
