CODE_SECT,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7501,26.48366261,26.48810575,27.31109191,27.62623919,26.85958868,27.3768309,25.19909753,25.52686236,24.42758988,25.28938822,24.84073369,28.34874717,28.08402064,26.47188003,23.88259778,22.66922729,23.19027528,23.05069176,21.74116987,21.74116987,21.08343873,22.70518295,21.60889372,25.64151078
7502,31.40540593,33.525967,35.42961648,36.3957988,34.5780519,33.44049875,33.82875384,34.43282181,32.64308362,31.19905929,30.855348,29.70310513,30.89080035,28.91716179,29.74650866,30.00190706,29.62486625,29.08539191,28.71531702,28.63733646,28.50833916,28.11461262,31.03545432,33.44431018
7503,32.12010986,32.67870342,33.30038773,32.51088705,31.58742072,32.04803778,32.25965096,31.47305118,27.71437388,24.53008347,24.78007044,27.72558667,28.42567467,25.57272201,22.76818414,22.74865769,21.68258636,21.15796182,21.82312053,21.82312053,21.3788399,21.25600944,23.87824409,31.40949398
7504,29.69557113,27.01214313,28.23674227,31.40224553,30.78596398,32.14097078,30.77902405,30.06152498,32.1407513,31.5254183,32.42965104,31.85519592,30.76068999,33.46317703,32.13812296,32.45515135,31.61288227,32.31142676,29.02912685,28.89361089,29.3842021,30.1868924,27.43527047,25.73316221
7505,21.11335609,21.84266099,23.43198908,22.09957613,22.46828639,20.91508136,24.32606371,25.71288768,25.04898413,22.2899174,20.54462068,22.4804513,22.49718474,23.58668239,21.58815191,21.47831909,20.827286,20.75908426,20.42851812,20.42851812,20.32391751,20.50619974,20.65313676,21.37356748
7506,33.00634742,32.13734097,34.24854183,35.59952931,36.19978319,35.53487389,35.35639794,36.19195008,34.30498932,31.23602938,30.0871659,28.79255422,27.52344916,27.85677161,30.01981092,30.5362805,30.76336982,30.70126606,31.12321555,31.12321555,31.32071438,30.24130063,31.06834927,31.78329272
7507,27.86085189,29.81163553,28.65206236,27.47347458,26.25488772,28.8828522,29.19515656,28.56513133,26.37330655,25.39587087,28.06244035,29.490344,28.07572896,28.50982096,29.05146042,28.33116109,28.15297716,27.66591863,29.6387026,29.94409459,29.33255461,28.73835189,30.18151038,29.64912082
7508,25.71235995,25.98568971,28.67122924,26.78816461,27.40989051,26.65841918,26.16310107,26.82179337,29.4554079,28.20628642,23.35187755,26.33385601,25.79864484,25.99579473,26.58092103,24.74630808,24.73806613,25.08923818,25.06686047,25.16955496,25.12651717,25.64772745,25.54179682,27.30951943
7509,27.11968779,26.25500108,26.20216898,27.45000221,27.91448234,27.21729628,27.52192592,27.79145634,26.16684504,25.61159503,21.69881738,19.08329181,18.61534358,18.48282064,19.69279557,19.45419382,19.36243788,19.34598247,19.72211492,20.28520852,20.2713974,18.90987131,21.31747203,25.97473515
7510,29.47590284,29.15796379,30.240771,29.08037555,29.40681227,29.50450148,32.03745431,31.13647868,30.54984199,30.75239839,30.66229838,33.47230153,30.9663794,29.69247456,28.99623036,27.78922339,27.92784072,28.20452591,28.19599252,28.62531237,28.64677565,27.75647141,28.86081893,29.18409772
7511,29.91548491,28.93771281,28.47595478,29.35610614,29.76222756,29.48030971,25.21760467,25.89549433,24.47379496,26.04409256,27.96956666,26.67301899,25.78431928,25.07287808,24.28817917,26.38043268,27.45665258,28.02824303,28.89783315,28.57633775,28.30044198,27.88835367,29.63838234,28.09778415
7512,22.81205707,22.42457152,21.60205754,22.88926073,24.34971503,24.07205244,26.70620766,24.90159947,23.96997279,24.92759901,23.03117674,20.61002709,20.82201504,20.13703748,20.92943378,21.40384431,21.38469915,22.68330645,22.46018165,22.28528017,22.67536062,22.92210877,22.50184271,26.04881222
7513,19.30603641,20.94130789,20.98436847,19.84025851,20.27060581,21.25037504,20.06986046,19.58548406,16.92789104,18.88452442,18.64111027,18.17832151,16.76203096,17.70166757,17.89709747,18.63461644,18.20578414,18.20578414,17.22307846,17.22307846,17.53035244,18.27348448,17.11738556,17.27286374
