SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;74749.5843675825;82900.9896826285;86540.6349795506;91476.1611714723;92486.1760312836;97116.3109742964;101250.645647958;92995.7954826769;90350.4435351594;77222.5016220774;75308.7797959072;67081.1921417569;64606.641293731;57334.955269388;52488.2954443685;50790.5380624337;49291.7869239568;47948.7167894334;43345.962593066;43345.962593066;43589.7922125366;43514.8990756864;47468.3576418997;62120.9147586813
7502;86490.6930576145;88425.7277872736;90608.4841397769;91611.5283715228;96481.3335375845;110588.016300543;103796.30215972;99595.4099996891;84335.3112718509;80907.4338512779;80583.5090806858;84407.2936503312;80195.1254074951;77733.3096152618;76259.2693120072;74276.9024335735;75031.9372431805;74718.7092569403;73136.0204416342;73136.0204416342;73136.0204416342;71313.5774579974;66706.5693535438;73518.4677284677
7503;92330.629206756;95856.8358161067;93111.8666798849;97299.2448885889;99539.0548388159;100240.62376595;102338.258505582;102145.449521318;84936.1175578885;77024.316114306;62915.7758340821;56867.1116159886;52001.9092970362;47760.2003082478;43002.3924597271;41320.2582134739;40970.9008053705;40699.6170123957;39887.7879620486;39887.7879620486;39887.7879620486;40101.0924409074;42899.8403277641;59835.2286721238
7504;38602.0979349958;40937.8287617277;39828.037794242;41577.2623985569;36849.0474964155;36893.2670416333;37760.6629401063;41198.9770161322;33352.2010266579;36150.48459429;34663.0689796489;39896.9683496137;40160.0792529124;36460.1332395772;35949.9981735806;35321.7411827304;35479.7843514956;34955.5166408608;37288.1617448349;37288.1617448349;36704.2874508405;36704.2874508405;33979.314224154;36862.1627447484
7505;53993.3510819588;53745.8676777473;50871.21308308;52876.183972169;50922.9309000942;47123.7862296952;48041.277808994;47211.4949730157;49125.8834224287;52611.6991250655;57609.1063264643;60470.0263081871;59682.3356346471;59741.676278662;57566.0777531801;57481.2137817373;60689.4132177774;61074.5199364294;58313.9081194037;58313.9081194037;58767.1895893044;58503.4034181346;54277.2009299196;51074.3250708551
7506;37197.1419146458;38012.8028320732;40088.5614895795;37780.1615215452;35181.9183137203;32965.5888181771;32749.9657250746;34750.5382272392;35495.8086875861;44329.0403726778;50711.7179116226;51317.2727002749;52713.2257240392;52435.2985134287;52682.8274047098;51344.9500033463;49559.1298245356;49790.9200560177;48891.5132096003;48891.5132096003;48489.6684330277;49061.6154831732;44084.1330937843;36811.9677188646
7507;59091.4372535895;56648.4769239973;55763.4235181537;62156.0226645421;59887.7608202259;58327.2702979914;59723.0723082063;57113.2338611487;53870.5750222402;53058.1295328253;55099.1038312433;56889.3847419116;58358.2307422896;59000.4343347713;58606.5097018045;58537.7127062443;59409.3455048272;60788.1801626554;58614.9676241753;58614.9676241753;58327.5139123485;58835.3901092465;55753.4890423734;52094.3320246534
7508;47794.3913587361;48923.9511732373;44778.8453201302;45910.5638445273;48354.4628742509;50415.0703738587;46031.8979883669;44700.9058174587;41557.4229990814;43829.9402851349;51639.5686391149;55972.8735992296;55474.8161289913;53136.092596072;54472.9961420285;57748.2764231577;57208.6899801005;57208.6899801005;58124.4050398223;58124.4050398223;58301.3051857709;59789.3581797184;55681.218045058;43111.4511618243
7509;85772.9209674053;89616.3298201728;83959.3956464581;83602.9869098297;82986.7339401591;84038.4344946596;81122.4963610564;84498.589575682;83604.9281824843;75538.9662150447;94730.2154833931;103689.408382316;102473.289206331;105139.772480129;103940.622386485;102393.516608256;103464.128454565;103464.128454565;96958.5165135158;96958.5165135158;96284.1502495744;97280.3956199354;92458.1856262708;77112.0444082763
7510;63726.5786823391;63814.1829983596;61200.0225067128;62629.2576602685;62140.2398057659;62493.161040954;63072.1814870252;60232.5238161769;59579.8430891653;60652.994201404;64848.834625864;64508.3110969721;66629.7640289972;67525.5792044568;69614.0094122395;72781.7525335584;72554.5591869459;71754.0507262735;70086.0747089341;70086.0747089341;70086.0747089341;68526.1614839913;62595.5077102683;60029.4749459931
