hour,Duncan,Moran
4am,0.167730606202311,0.34255605783674
5am,0.167206374591245,0.340630548397073
6am,0.167534000476426,0.345556483311022
7am,0.166085480779493,0.331931556592592
8am,0.15793872098593,0.259121134087317
9am,0.139661834055249,0.156118496538372
10am,0.134816962591115,0.179835886683838
11am,0.133213029097672,0.149495877348268
12am,0.129198348720054,0.158483574056543
1pm,0.128049772387083,0.155142688365507
2pm,0.129644286558766,0.170104775738856
3pm,0.129357451412355,0.120525555605524
4pm,0.134113617920242,0.136797347541104
5pm,0.13541409031243,0.162704936417808
6pm,0.14538001696669,0.210880944759496
7pm,0.151130457535872,0.265694628292645
8pm,0.154230797952699,0.288827643103223
9pm,0.162943098571357,0.316689815763753
10pm,0.163860595715659,0.305714452747213
11pm,0.164437574328384,0.310829053018758
12pm,0.163645824011484,0.318105701002314
1am,0.165010020620534,0.322009922660212
2am,0.165169842685642,0.319200862838361
3am,0.164353628343336,0.322149390244148
