CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;49720.9305688248;53013.4415132433;54002.6619456711;58414.6601478253;61144.216835012;66779.3170334106;71582.8156834669;69345.1924063695;63808.7153284341;50036.3717000419;48932.202254767;42752.4454478621;38165.9860605548;31907.5707468034;27725.5382588485;26885.0154283892;26524.9174628728;25875.3763843344;24001.7357624554;24001.7357624554;24245.565381926;25007.9081256644;27957.0809853509;37817.7266645112
7502;52486.626964064;61042.4825190687;65241.3072011403;65084.9982783776;62691.7704759985;65669.1032314837;63103.8833193903;57273.0781998004;47954.0742905412;41832.5289920388;38182.7405489109;40194.8658593873;38124.2277889771;36438.8105961875;35854.7763621079;33471.5081222834;33212.8052584205;33455.8111489903;32634.2007744883;32634.2007744883;32634.2007744883;32903.5011892506;37627.5051270302;47092.0758763722
7503;64850.2763951675;67376.561456622;68663.6863780037;71324.5765692062;69084.2345416854;73751.614462081;75318.9548159838;74215.7517928307;54264.0055994919;43447.3037406554;35220.2162770997;28354.9470631627;26838.2048935061;21163.4129564797;19594.4005622653;19689.5453926746;18508.7103142063;18113.1764641197;18930.9462343114;18930.9462343114;18930.9462343114;18638.4687551588;22190.1654785938;43244.0152386166
7504;34498.6638189912;31479.5802447935;31344.2711963616;33477.8498561726;32522.7000483634;31890.3198295993;30914.1473265943;31628.8525582135;25222.741649824;25540.6309546168;23279.3393767628;26916.6229741912;25865.9054379907;23629.1823532129;21590.920353949;22224.3686492935;21601.9941932354;21997.528043322;23728.5635114449;23728.5635114449;23707.6098726033;24660.2853026776;24364.9515205458;28181.5103168198
7505;25741.635876956;27498.1101080574;29253.062944525;30294.7238577443;31541.6473246432;31677.0317657169;33125.5780201295;29492.0568622632;27247.7415982637;27638.3362864097;28301.1046695942;32726.7265258544;32923.4753548779;33382.4434228047;32694.7389740569;31570.5654901516;32019.5891676547;32019.5891676547;29613.7419405088;29613.7419405088;29784.541346586;29472.6859521014;27420.1298472773;27646.7916955796
7506;33465.8813532695;34320.0401094089;37143.4506714607;38891.9756251768;39399.7279588919;34849.9669687286;38018.7949487584;37876.5113200428;29682.075606546;26264.3337008127;23261.1038446242;21780.4078295134;21673.356737986;21065.37566582;19973.0802110681;20347.8592861248;20657.7337665631;20657.7337665631;21818.0873193569;21818.0873193569;21959.986927432;22729.1110101012;25799.6037333882;26376.2677234974
7507;45150.3775735154;47224.3679566289;45750.1694854917;45567.4570156743;45197.1662820699;47913.1610337234;45341.397138611;38817.6331833908;32082.0845543924;29583.3373879558;32262.3680031695;32364.5111494496;32763.602723039;32624.9876380432;32321.3186694373;32361.2476208548;33449.7278262756;33043.911862389;34538.0461868488;34538.0461868488;33581.6923359421;34581.2412888409;36391.6443568802;41187.0530834157
7508;29253.322490169;30100.5320182006;32434.9249657948;32947.4367219737;30972.5002184323;29064.3683657858;26649.3164328424;26349.8753633227;25899.8156119792;28887.6817108689;28984.1370501957;29096.9972250043;27168.7234312819;25505.1066525834;25205.2482784345;26862.2099600625;26029.3007331402;26029.3007331402;26828.5270072748;26828.5270072748;26828.5270072748;26614.4578325685;25140.9984218479;23971.2354821363
7509;62188.4895586846;64162.2717548349;63974.3215491695;62643.7548193828;66099.1911194464;65773.0950507918;61850.6579586622;59085.6069429717;52659.0076871087;44391.9337227925;49725.5490333898;58717.515193867;59338.2390416913;60685.7194492794;60651.6961682343;59306.143614397;59092.8726806231;59092.8726806231;54260.0544707552;54260.0544707552;53585.6882068137;52929.8959299398;52703.5094208071;50253.0252424671
7510;49734.0500480156;45470.7816483218;46314.3349204021;47470.5331602304;46471.2589816452;46746.9905909061;43360.6278838723;41824.8985176074;38688.3005621237;31905.9068787008;34920.1025196935;37095.4014172321;36360.2233382164;36908.0604287932;38053.1111504973;39061.3590932033;38789.0317874326;37988.5233267603;37839.3982548005;36443.1253996897;36443.1253996897;35414.0299127561;35417.3461284593;36886.8742847269
