SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;55067.9791859345;61127.186258594;60386.1346268673;63615.8688388406;63179.3192410025;64510.8305665837;64118.1099545217;59712.1917510323;58823.1592865671;50766.0460381506;46211.871488498;45085.8526004833;46225.8612465987;42897.2449041641;38679.563297516;36477.3468435539;36335.6222904321;35642.0932344472;34105.5491093708;34105.5491093708;34105.5491093708;33720.3856617407;34138.9469177285;46332.2409578884
7502;65699.9093479864;67496.4026801816;67073.0714762427;73127.4299543882;78579.3417682486;82951.0963027249;80326.2751154835;77694.1089515145;67814.3281366617;60250.7847204951;57492.2037583965;58820.5619944809;57504.562632485;55982.4589352959;55208.5771969362;54438.9686818094;52757.6103376598;52019.6373992617;51968.3134686724;51968.3134686724;51968.3134686724;51379.8655745256;48182.6551488556;53711.5759083733
7503;64619.2359067631;64572.0069940831;61575.6995982261;63741.6402695746;64767.674446208;64641.6300939255;63027.8050374078;65097.7520646705;54542.6382069194;48008.4812113807;42712.2350018958;44800.0760171322;40845.9935350613;40271.7535969363;35499.1453859745;33324.1317706052;32974.7743625019;32703.490569527;31417.6451338075;31417.6451338075;31417.6451338075;31412.3343481718;32491.7073464868;43681.3563583229
7504;23496.2524876378;27248.9297122681;27849.1452196668;28456.2021117118;21875.3476508496;22578.636069455;23744.9744460351;25077.900165782;21386.6673095796;23360.854615358;25108.7182162783;27209.069089479;28602.9306248415;25894.8602521488;25743.582417165;23981.5579316548;23883.7151424924;23591.2376633398;24824.8196035417;24824.8196035417;24824.8196035417;24561.9891154259;22300.3926321229;21965.7878171563
7505;38371.4398755566;38928.4099571363;36887.2644985659;38532.7240813288;35643.2144481203;31415.7742887007;29888.1068414947;31349.1011490989;34461.8453002921;34413.1922603441;38024.8920897478;39978.1796044763;40280.4469653165;40540.2370364785;38184.1376533688;39454.6242762089;41254.8895627595;41639.9962814114;41331.232377471;41331.232377471;41331.232377471;41671.0046224334;38769.3117620668;35877.2247751795
7506;26931.5236807882;27199.9902542544;30447.3820700611;27921.4611018261;25997.6900301423;25818.1148221488;26812.4895015043;26599.7932776153;28166.3501191085;35066.851608205;39289.7401888864;40025.5611246751;42348.3017196314;44327.1117487185;45324.7331736869;44574.2119744832;42068.0737941961;42068.0737941961;40854.0268937072;40854.0268937072;40452.1821171346;40279.6061026414;32578.4950839396;27897.6555785559
7507;48140.5197611212;45174.4130183018;45824.3225950383;47663.5891727802;43547.7450600882;43652.7827300632;46688.8209421854;45766.9447845326;40880.1408427412;41483.1604064704;42489.1547342122;46309.5339549546;45162.4556653323;45483.0919701152;44403.7461459738;44876.0059290201;44659.1585221823;46037.9931800104;45967.8913567401;45967.8913567401;45967.8913567401;46533.9024492634;44441.4921240276;43503.1206785429
7508;29247.1119135975;29391.6721780159;26667.9267212527;27108.9780392995;29583.5652540281;33164.6376195322;31740.775464545;27104.8176192329;26084.8881186929;25919.1547157798;31197.3210623817;38476.7452377188;38381.0090162251;36955.7307903644;38011.6645422223;38913.409517021;38373.8230739638;38373.8230739638;38439.5542979179;38439.5542979179;38616.4544438666;39467.1816069409;36556.1080007674;27190.3429234516
7509;51176.9122198402;55591.1368656152;53325.871576555;52430.220026029;50231.9168980635;48946.3519533608;45942.7244636227;48831.6201446617;46862.0863547679;45428.283458643;57367.1090494178;53623.714731568;52704.26443779;56250.2401097742;55836.468051718;56600.8143533606;57671.4261996693;57671.4261996693;55366.3573634632;55366.3573634632;55366.3573634632;55366.3573634632;52545.7711756644;51140.880221475
7510;34104.4756432933;35903.0235223945;35186.9816887207;36401.6634628374;36275.8461149019;37942.0919716108;40676.4419761032;37074.1469563854;35295.5270343276;39003.7140685163;42262.4185115693;44404.2518182884;44922.6707218877;44818.104917923;45761.4844040016;47923.5138670756;47696.3205204631;47696.3205204631;46028.3445031237;46028.3445031237;46028.3445031237;45472.881559181;42672.4631650323;36457.703474614
