hour,Duncan,Moran
4am,0.33642788916119,0.702426748396753
5am,0.336693673780505,0.702753356741399
6am,0.333263565392437,0.702124660299523
7am,0.327038861668798,0.692690856539089
8am,0.314965482658834,0.675808502684238
9am,0.293236364696073,0.641241809964179
10am,0.27113661687623,0.616224657186316
11am,0.268700423251935,0.627733298909627
12am,0.266121918948345,0.613433496512193
1pm,0.267747598496452,0.59588420275147
2pm,0.264782246004834,0.608495652059686
3pm,0.264391068499756,0.615577675808635
4pm,0.270052405187749,0.651881266663462
5pm,0.281142768048031,0.664920667549095
6pm,0.306965087211267,0.670483155283564
7pm,0.32954367010283,0.697164760123061
8pm,0.335984941226991,0.692445099327569
9pm,0.336393299906204,0.690978386681258
10pm,0.337577016021055,0.691559000852613
11pm,0.338588417329667,0.694642546415001
12pm,0.335250440892736,0.694999301013271
1am,0.335310802163772,0.697678873605686
2am,0.334830257530776,0.698783776690031
3am,0.334745249798581,0.699312394070278
