CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7501;183230.055787964;204932.706533906;211575.41109951;220409.539169496;227091.887262406;232205.821134114;233466.048970624;213877.699644972;179454.7405134;146809.916449395;133895.999414161;124044.577807617;118637.256610085;105598.852410771;95008.1232323708;90347.4668553325;88317.505345197;85580.5882016804;78089.6749364887;78089.6749364887;80525.8055853075;82587.4879803105;95010.6647403922;137634.808891186
7502;205408.534646594;221931.983405237;225042.897613423;231568.181016548;239156.030701244;254841.470832119;247615.894451122;223790.714594963;178194.678160821;160746.953888839;149240.906166421;150398.460511868;143803.955497661;133700.219517622;133135.241034768;128702.452150053;129467.208012239;127212.065645684;123829.363869034;124166.555941212;124728.396827482;128593.493185171;138952.311374835;175476.077237016
7503;244792.686802118;257903.986238953;254218.116892502;252487.737370424;249143.768286004;258378.701704364;251427.104800143;245173.23035501;182325.63032245;147606.358155685;118648.259867354;108763.241352698;99987.7348595948;91367.7641133862;82434.3311868798;79642.866606662;78112.6741200904;77499.9715569458;76164.1490270247;76164.1490270247;78422.6401983692;87260.0037760894;105200.138915922;173320.792209891
7504;110403.361391015;111696.097204005;113605.983648569;119229.993866636;111914.809907993;113128.493323587;110549.71728838;111987.582816012;94647.3170634011;88358.4359983502;85540.153295586;95419.2846276825;93975.0951621823;84107.5784765822;81195.5881359009;77241.2290101981;76521.0117649776;76536.1776886712;79262.9748899778;79634.731743862;78233.8612074921;81385.4978220692;81820.3007417567;94276.3807295816
7505;109784.556511552;114019.550736856;113257.999016108;116937.355856792;117021.65293648;111874.335810427;112339.686196484;105437.089565204;108792.684389556;104841.003430851;107053.396972033;115337.11896167;114413.033816943;116646.464189534;112015.713121352;113664.851179343;117217.862285297;117602.969003949;115217.388220929;115217.388220929;115810.374736501;112878.574149147;108618.850796676;106707.005404809
7506;134763.670093495;134609.734460669;139722.735656726;135987.582398246;131878.870922923;123987.922766452;127027.443249125;118971.745668244;111150.417717998;117333.239592397;120941.671389516;120435.522794544;121569.510951259;116867.707553765;117901.308061436;116782.773238018;114586.509538169;114818.299769651;113038.559270992;113038.559270992;113247.045303649;121931.190758674;119839.142583003;123486.408055774
7507;163800.709590357;167927.213797986;163215.659080429;160354.061331354;155852.482429877;158345.246926004;154743.188928957;146883.48163499;130350.412502272;119652.820718053;128637.067384617;136321.811950334;137536.110835033;137085.246667145;137052.900390767;137717.569098767;138589.20189735;139562.220591292;140530.419992121;140744.51276816;139632.477367711;143589.245619879;143057.281988338;151834.576348293
7508;102032.961576471;102870.245766816;105030.396057802;107513.372215912;106366.355275478;106380.005638775;98789.450129001;89750.0746803707;87973.8658601485;91866.6680461373;98065.6278644572;105074.779984063;102937.617912302;100441.642048225;102186.991389716;102852.788105528;101480.292435548;101956.019033342;103701.741347043;103278.627080095;103455.527226043;105880.207436969;102160.063046578;92931.5526854446
7509;190790.285312344;202468.477647758;205107.647398664;198151.484079665;197878.702517837;194947.552601098;186344.899432925;181193.467178198;170261.559650081;159840.497964459;177297.134009604;182653.814953184;179512.548278358;182701.870280803;182600.44554897;180916.9989145;181774.339827035;181928.954472843;171123.432841878;172332.223664116;172449.635419144;171022.630069486;172726.208138842;172151.259451389
7510;148666.226175509;144626.025144368;144018.256800878;152533.353774221;155076.333744769;153988.884215664;143852.4782699;136250.720744875;126069.987811292;118571.545432634;120267.425630011;124760.073312409;126426.252547395;125175.190856578;129038.548591426;131791.511090817;131137.375792624;129850.923753992;126990.62235757;125798.215155377;127832.669000728;128080.035233151;127131.918000842;132330.284815373
