"secteur","hour","cleduc1","cleduc2","cleduc3","cleduc4"
7501,"4am","5635.27915545442","12130.8243089698","16977.6088789986","43345.962593066"
7502,"4am","8938.8438438697","6196.5051835828","35557.9943999471","73136.0204416342"
7503,"4am","7437.97503217028","12216.9919872029","16621.3940456029","39887.7879620486"
7504,"4am","6602.92648852195","12362.5371330976","23009.3495235234","37288.1617448349"
7505,"4am","15804.7808740921","17561.4942022752","23537.2050251581","58313.9081194037"
7506,"4am","12981.1255960418","15984.6860140729","35181.2344512769","48891.5132096003"
7507,"4am","19854.8997777072","20409.1593455051","41651.3932447333","58614.9676241753"
7508,"4am","6013.87560872655","13568.6898916611","25994.7708068328","58124.4050398223"
7509,"4am","19745.6143633701","20670.1418778384","33749.1600871538","96958.5165135158"
7510,"4am","7888.28040986206","13210.0008529886","35806.2663857852","70086.0747089341"
7511,"4am","18331.3862750151","13789.3703895619","37199.3223659555","59406.9510347313"
7512,"4am","27847.5278526325","21836.3377357311","33734.9677929624","66780.1646600295"
7513,"4am","42537.2637850465","31686.3576098786","24141.8585390327","41806.0846277052"
7514,"4am","36910.8938594236","28542.5615256049","37220.1425384582","45649.4922228561"
7701,"4am","14771.4406643854","34607.7120588165","34863.3565177858","14447.2145301894"
7702,"4am","22414.4734313128","37510.8726928677","25525.7026544662","26046.4478049637"
7703,"4am","14954.4880864572","34681.3364885778","20197.054659015","9569.28943399557"
7704,"4am","26467.2157612624","21322.742556747","17955.3461636902","5466.91193490937"
7705,"4am","13320.3509377199","22416.1159987221","10480.2973257056","3434.88275854994"
7706,"4am","14483.0122518669","21233.3062223065","9655.17257791602","2362.23122443524"
7707,"4am","21269.6683389347","21415.2612861917","7363.27329775069","2521.23469167564"
7708,"4am","11017.1444796306","32561.6015784156","18424.1578269891","10973.32280594"
7709,"4am","15715.1729127161","15122.9751694356","16872.8237326267","3824.12826103458"
7710,"4am","9023.76964980771","18841.8103066665","27555.9851165732","9408.8170384452"
7711,"4am","23581.0284535767","24506.5304377849","17982.2841435673","12465.0263275897"
7712,"4am","13162.3809633336","24107.3571134448","9887.30060656092","8238.84424549458"
7713,"4am","11847.2127394527","9468.80120812458","6425.74862294469","1749.98317911069"
7714,"4am","13777.235592292","24345.182803496","17810.2636643862","10244.4742187298"
7715,"4am","11615.2991113369","15318.3991135633","5730.17819081184","1753.3709971851"
7716,"4am","17365.9353558697","31356.6348994307","20427.8716099727","6054.10351413386"
7801,"4am","15422.9553970712","20605.5349225845","17437.3717012409","25591.0648006709"
7802,"4am","6102.07938092155","11598.5768727333","19942.2711665455","25664.8808337874"
7803,"4am","11821.6703019342","20655.8320057953","31225.9667999905","25526.8254457432"
7804,"4am","10352.7895206115","11485.7689779746","13542.5317596503","11195.7936411685"
7805,"4am","11110.907285389","30066.7359319055","24418.4520414198","15219.9349684873"
7806,"4am","21181.9691569503","34458.186802325","17228.9733534777","8381.67254953165"
7807,"4am","16518.8529453989","19254.0738034195","9455.6736466765","2662.2492420439"
7808,"4am","17943.2456805658","23533.3367606657","10443.5683844147","4480.4971818022"
7809,"4am","10608.4072547177","21708.194561711","17011.6750183755","13014.8044383313"
7810,"4am","2758.09600070275","9059.52972208481","7000.0695218005","4841.25190114575"
7811,"4am","8419.84808624685","17888.1795574161","26362.8942477046","23785.9016934235"
7812,"4am","10680.343122267","27702.7209701647","33388.2580351832","51835.5700574155"
7813,"4am","4703.77870431096","13060.8647684943","11313.7393825033","7894.86225946671"
7814,"4am","1746.99030227386","8257.47899377859","7652.55331724517","5006.59335822399"
7815,"4am","7771.70781207639","11894.6387983025","10872.85371409","5608.15390916531"
7816,"4am","15842.4345513336","35312.884070103","32886.9611250978","20001.6915116524"
9101,"4am","14257.453950289","18927.8626279244","14761.216590367","8235.29860003653"
9102,"4am","10121.0695069668","14528.4268764141","12605.4404728293","9193.79058978421"
9103,"4am","17182.4974788339","21858.7900652789","15582.3396408521","8489.73460095945"
9104,"4am","10966.9898176885","19113.6536923207","11531.3216727289","7991.15941541813"
9105,"4am","13379.4070306723","27796.1269644468","22838.2523688197","10920.3307587474"
9106,"4am","22343.6897209668","25844.4480452883","23089.4582294901","10236.0397239088"
9107,"4am","20952.2335564494","29734.9269427039","23624.5134059708","9917.64680458791"
9108,"4am","8763.71579426481","19853.4839625803","14795.3118110465","11727.7067496525"
9109,"4am","13488.1699069366","16993.5378408375","21316.2532192588","11452.0208635347"
9110,"4am","18404.4776782124","19716.113595369","15190.6561996974","7613.16787580407"
