"secteur","hour","cs1","cs2","cs3","cs4","cs5"
7501,"4am","1796.7496570697","5266.52134097782","12919.1190666151","24001.7357624554","34105.5491093708"
7502,"4am","18087.9412900185","9243.99257729003","11894.9157585646","32634.2007744883","51968.3134686724"
7503,"4am","8342.54953438546","7348.23420446514","10124.7739200551","18930.9462343114","31417.6451338075"
7504,"4am","8853.42164448478","9859.94564789038","11996.2244826161","23728.5635114449","24824.8196035417"
7505,"4am","12915.6839074216","15855.1837436362","15501.5462518915","29613.7419405088","41331.232377471"
7506,"4am","11597.9238314971","13310.7668001637","25457.7544262671","21818.0873193569","40854.0268937072"
7507,"4am","15422.5466885415","17475.6877866418","27126.2479733487","34538.0461868488","45967.8913567401"
7508,"4am","10053.6661381957","8741.63826468531","19638.3556389689","26828.5270072748","38439.5542979179"
7509,"4am","20020.8367694371","21143.696754992","20332.4874832307","54260.0544707552","55366.3573634632"
7510,"4am","19356.0527053908","11835.6329263276","11931.1939679274","37839.3982548005","46028.3445031237"
7511,"4am","18884.5732961064","14957.2991965492","13761.2332827112","33384.0264520808","47739.8978378162"
7512,"4am","20044.838790659","31057.2330630564","12293.8427107434","43270.525997618","43532.5574792788"
7513,"4am","27131.7211916046","29313.0476898096","24022.0359796324","30765.8649517867","28938.8947488296"
7514,"4am","21845.9632088191","22812.7148119715","20918.795363312","43943.835981767","38801.780780473"
7701,"4am","7102.53232273228","23417.9507967731","38007.3090938278","20661.9617373826","9499.96982046133"
7702,"4am","12962.3995721628","29949.5124745564","19535.3459812721","37470.3568274601","11579.881728159"
7703,"4am","8500.76408180591","22151.5595735184","23548.5734610799","21576.2173539362","3625.0541977052"
7704,"4am","14997.2434563897","21339.7583481329","21006.1211221224","10442.5058876419","3426.58760232201"
7705,"4am","3000.36681866235","19671.5732486467","14828.8679270832","11696.164136575","454.674889730258"
7706,"4am","7622.43136698096","16292.1778047942","12030.9110881185","10528.920151205","1259.28186542604"
7707,"4am","11641.9135881619","16173.833827777","12756.4838780514","9534.89361263279","2462.31270792963"
7708,"4am","6583.30838946272","14608.9447674719","20736.6046212242","22921.1059190609","8126.26299375565"
7709,"4am","7154.91854009237","17664.5019259359","15417.8747733381","8715.06077497746","2582.74406146913"
7710,"4am","5716.38898252329","22517.9591868674","14460.4742650998","16192.2442940363","5943.31538296579"
7711,"4am","7115.36106763958","23993.8009235858","29971.6825411842","5939.14598193164","11514.8788481774"
7712,"4am","14295.3011610336","13295.2393942687","12885.615381776","11593.4312337466","3326.2957580091"
7713,"4am","5975.28979966948","9054.89557613449","6990.65680011346","5520.293315476","1950.61025823924"
7714,"4am","10850.2405105044","14901.473609016","16228.9352995326","16153.8105550325","8042.69630481854"
7715,"4am","7035.9304176826","12477.9757321341","7874.19840178067","5143.62361527699","1885.51924602275"
7716,"4am","10005.7321000887","21510.9340058708","21823.4308783026","16124.6395621527","5739.80883299219"
7801,"4am","4147.10983016112","24703.1407278201","13100.9965999741","24735.0624113301","12370.617252282"
7802,"4am","16254.0013468129","2782.31371170283","13170.8876804787","19707.4487255468","11393.1567894464"
7803,"4am","10658.42581425","13242.0274663832","25352.2567151538","22868.5501907168","17109.0343669594"
7804,"4am","7865.23497862944","9649.49205292396","9488.89061646288","13667.9698672923","5905.29638409627"
7805,"4am","13304.0575985949","16863.4426049791","20919.909202155","15510.0863480318","14218.5344734407"
7806,"4am","11336.9322719254","26972.2031943888","19752.5220901206","17667.3018438232","5521.8424620267"
7807,"4am","13251.4572050248","11331.3075496922","11492.7340607355","9447.73715803089","2367.61366405556"
7808,"4am","9142.49565513685","17361.8059792754","13529.1803471183","12480.1695411582","3886.99648475975"
7809,"4am","10047.3777752221","11595.3869700002","16631.7630815191","17579.5565203352","6488.99692605888"
7810,"4am","4019.69927912672","4336.06463433164","3693.19453945915","9649.97782546942","1960.01086734689"
7811,"4am","8948.8857292982","12374.8899258652","11536.8554759923","28198.8824188223","15397.310034813"
7812,"4am","19960.7554732556","11839.5290132345","22171.6436177827","38575.4186466509","31059.5454341068"
7813,"4am","8412.47307141227","5988.23803040554","8785.21817093396","8174.96154912963","5612.35429289391"
7814,"4am","3120.35049378368","2464.78562512351","6324.47412765703","7293.57868542043","3460.42703953697"
7815,"4am","6029.31986126833","8159.19863272326","8606.16850611395","9674.1747012095","3678.49253231912"
7816,"4am","11069.378233348","24335.7232119565","22703.3891222251","27517.201342838","18418.2793478191"
9101,"4am","10380.2245415491","14986.3469174996","11520.9061346654","14523.0578902444","4771.29628465853"
9102,"4am","5841.22188956934","11567.3943942204","10643.5487660937","14435.9495406169","3960.61285549406"
9103,"4am","8579.25034378571","18986.6958530585","12576.7259567906","16031.3507117857","6939.33892050384"
9104,"4am","5179.67788482576","9148.6856568711","16740.6039643881","13501.8449759636","5032.31211610773"
9105,"4am","8268.79906438123","22278.0810835552","17373.762987167","17709.6688440433","9303.80514353943"
9106,"4am","14528.1840183972","27241.6843244953","16607.3758942095","14580.420517192","8555.97096535998"
9107,"4am","12204.7216470204","18346.2352814898","20380.3439729366","25589.3983042538","7708.62150401152"
9108,"4am","7246.8728879896","11935.0379390504","12861.0433704826","15141.3605303344","7955.90358968719"
9109,"4am","4045.7945461732","18948.7518603719","19584.610720535","13542.9931351621","7127.83156832534"
9110,"4am","12356.3965273893","22021.8049021294","13574.7903278863","10305.1988715511","2666.22472012681"
9111,"4am","10511.9639453147","14569.9297924715","12704.9755819951","11855.455977102","7790.45715690151"
9112,"4am","5079.32572447491","10089.7559472376","11776.0557504503","14003.6465726636","6332.2002361991"
9113,"4am","6005.57973914297","14806.9840846283","15854.7627989481","25303.0892263635","14193.1126329129"
9114,"4am","5811.26799479407","7887.39650033172","4289.37709332976","11707.7150041595","11884.8455493967"
9201,"4am","14547.4632672041","24215.5812926408","29640.7601160254","26494.8804248312","15060.234236064"
9202,"4am","10859.8391053728","20033.8730134057","19426.7748834065","18847.6613671772","10999.8582554555"
9203,"4am","22640.1858088563","23359.1425717939","17617.9712889827","36077.2536479043","35414.0830169219"
9204,"4am","13862.540818057","14648.5393826883","24693.8003554979","16101.738241055","15261.9473352861"
9205,"4am","5979.66047117233","13933.6793968358","20820.6597818779","23460.0254981061","32716.9217086717"
9206,"4am","11122.5799783979","17652.7414108339","13351.0822036442","26288.1283934693","22984.7465898509"
9207,"4am","13077.0244109885","6200.54632347247","14691.1046728673","23349.4834930547","25320.6880206899"
9208,"4am","10327.766082492","9428.61503682825","14835.8469679439","26083.1473964193","25757.6902045051"
9209,"4am","12952.4630799807","15481.317836119","28709.677700699","38153.2971428796","29575.6159074856"
9210,"4am","12379.1156197883","18574.6095873968","15124.5913844753","30695.1204924864","37005.6013484823"
9211,"4am","9325.51318686524","14576.1061851267","20108.3463955922","14671.2521739104","12605.0723752974"
9212,"4am","6971.39950659544","14922.41465661","16139.0661917346","19587.4225536705","16408.1274892104"
9302,"4am","4373.95431610416","13453.8027014474","15212.7440851367","9381.96613031767","3358.745921699"
9303,"4am","26402.0866605097","28595.5629966188","18146.437589921","18099.8328625736","9466.04525912913"
9304,"4am","20036.471960618","36419.8451522345","25373.7746189555","18635.1258794385","12616.4590472061"
9305,"4am","14536.2715073704","29190.7936320488","15705.082366671","12799.2843891462","6953.03919254963"
9306,"4am","8084.58142780807","23418.5179869131","28008.5026464585","22301.1552916852","10764.4093888897"
9307,"4am","24819.6657855632","19782.7396887398","16826.1900700905","15055.0547877926","2733.48951242792"
9308,"4am","12796.4130540482","22949.1791372688","10543.6758971465","8319.76907504613","4320.34769882744"
9309,"4am","19134.296816554","26176.2163616432","20340.5571722623","15142.5948511408","5957.74871793552"
9310,"4am","22926.1216507942","36046.3239826755","23592.5933565859","16538.970485425","4714.29890548328"
9311,"4am","29972.9453090169","36550.9839524248","28196.8558628223","17257.2404895188","5446.13830202949"
9312,"4am","43552.8403952606","52713.5337742646","29891.8915049537","23887.5262793811","9192.63587035432"
9402,"4am","14308.6876223255","35701.0559583653","18375.2694346609","24544.4600118479","11682.0461037472"
9403,"4am","10631.2260762446","28753.9286910658","23718.3969544572","25701.1109826518","17887.7935674685"
9404,"4am","10160.6643142983","22933.1543300056","14195.1324166828","12577.9445857212","5886.94247355432"
9405,"4am","4921.52193947636","12439.9286533805","17517.1020498184","19423.5128103904","6319.18737886797"
9406,"4am","13048.4082919709","25636.3075683705","15155.3651748967","15325.3169222448","7379.88309173206"
9407,"4am","13260.4285016192","25401.5186517354","20960.5609463111","28524.4236424327","18407.386415675"
9408,"4am","6957.23971725154","12764.9778250233","13200.8624297904","24946.4073199348","15682.5963842563"
9409,"4am","12208.9106369409","20708.352619812","24533.5038005599","44489.2292190517","35861.3819331397"
9410,"4am","7135.02433335361","10346.9175574684","13534.3877483193","9550.91242379841","4782.83505449353"
9411,"4am","9884.39954159067","14141.3815636698","12985.4395447354","7071.82146168206","4022.20310825868"
9412,"4am","5362.69989096163","10040.5050733104","6701.54647130844","8134.06739259986","4070.82113736606"
