"hour","Duncan","Moran"
"min",0.0639,-0.0793225236073434
"max",0.1669,0.230583581647629
"4am",0.101,0.180797067644828
"5am",0.1009,0.177859446620497
"6am",0.1018,0.168710792321466
"7am",0.1103,0.149638768144205
"8am",0.1009,0.223620899070931
"9am",0.1044,0.165517662937003
"10am",0.102,0.178406668009351
"11am",0.102,0.177209476068775
"12am",0.102,0.156485687241967
"1pm",0.1052,0.121480136004657
"2pm",0.103,0.168324026063539
"3pm",0.1024,0.173477253493317
"4pm",0.0998,0.210401331735025
"5pm",0.1099,0.188040559116757
"6pm",0.1089,0.166076089663099
"7pm",0.1072,0.219102413965149
"8pm",0.0999,0.209690592977121
"9pm",0.0953,0.196149628631437
"10pm",0.0977,0.208902368399968
"11pm",0.0943,0.230583581647629
"12pm",0.0959,0.199676684556492
"1am",0.099,0.213124979317209
"2am",0.0993,0.200985431947827
"3am",0.1009,0.195376917849451
