"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819";"188756.352446819"
"4am";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"0";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00";"    0.00";"10512.73";"    0.00";"0";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00";"0";"    0.00";"    0.00";"    0.00";"    0.00";"10607.91";"    0.00";" 2368.94";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"0";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"    0.00";"0";"    0.00";"    0.00"
"5am";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"10512.727";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"10607.913";"    0.000";" 2503.200";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3847.032";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 6479.811";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000"
"6am";"    0.000";"    0.000";"    0.000";" 4213.719";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3188.992";"    0.000";" 6738.233";"    0.000";"    0.000";"0";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"11268.578";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";" 2697.189";"    0.000";"10101.820";"    0.000";" 3849.794";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5288.528";"    0.000";"    0.000";" 4357.252";"    0.000";"    0.000";"    0.000";" 8092.651";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";" 3806.286";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"7am";" 6187.481";" 9576.870";"12627.298";"10452.695";"    0.000";"13134.990";" 9067.366";" 6962.641";" 6726.003";" 6170.412";" 5253.401";" 4344.876";"    0.000";"    0.000";" 8268.890";"    0.000";" 6854.695";"    0.000";"    0.000";"0";"0";"    0.000";"    0.000";"    0.000";" 4234.650";"    0.000";"    0.000";"    0.000";"0";" 3271.316";"    0.000";"    0.000";"11409.750";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4540.829";" 4313.001";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5931.745";"    0.000";" 9989.421";"    0.000";" 8407.368";"    0.000";" 7120.794";" 9412.815";" 5100.623";" 3651.250";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3165.497";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 7970.049";"    0.000";" 4981.152";" 8770.323";" 3681.959";" 5371.136";" 5075.881";" 9897.358";" 4586.768";" 4129.141";"    0.000";" 3628.899";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5524.751";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"8am";"23539.108";"23958.619";"33118.366";"18713.977";" 8065.591";"24623.188";"18472.280";"11445.867";"22658.466";"16044.915";"15648.908";"11438.005";"14870.370";" 5726.461";"16061.115";" 8563.117";"12561.663";" 3425.713";"    0.000";"    0.000";"    0.000";"    0.000";" 6349.125";"    0.000";" 9106.932";" 4198.929";"    0.000";" 2460.897";"    0.000";" 6795.444";"    0.000";"    0.000";"14731.209";"    0.000";" 5411.049";" 7591.992";" 2867.775";"    0.000";" 4167.123";"0";" 5083.536";"21555.814";" 3130.935";"    0.000";"    0.000";"15396.245";" 8463.426";" 3470.920";"    0.000";"    0.000";" 7346.988";" 8267.628";" 2069.806";"    0.000";" 6390.922";" 3322.859";"10723.209";" 3681.600";"16120.861";"    0.000";"13633.413";" 7415.888";"19082.304";"20849.426";"21128.841";"13916.306";" 4410.260";" 6491.644";"13647.212";"11137.004";" 9398.312";" 7465.626";" 4564.801";"15399.916";"10845.092";" 4349.154";" 5343.908";"    0.000";" 6920.273";"13776.297";" 8185.917";" 8740.216";"26402.089";"13466.921";"13107.404";" 9518.237";"15080.268";" 9966.267";" 7263.797";" 5204.420";"12566.988";" 4987.787";" 6336.319";"    0.000";" 5267.512";"    0.000";" 5964.017";" 7821.302";"    0.000";"    0.000";" 9014.850";" 4462.613";" 3177.687";" 8032.388";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"9am";" 78386.929";" 65195.153";"117082.865";" 35128.446";" 25993.498";" 47382.603";" 45303.998";" 27635.658";" 56349.334";" 39209.215";" 39801.415";" 20670.423";" 27864.910";" 18333.151";" 34756.959";" 28079.649";" 18850.364";"  7222.636";"  3633.433";"     0.000";"     0.000";"  3154.966";" 11349.257";"  5034.984";" 15257.462";"  6884.022";"     0.000";"  4030.586";"     0.000";" 19817.822";"  5121.106";"  6806.396";" 17288.883";"  4572.729";" 10801.113";" 12699.879";"  4401.996";"  4574.316";"  7893.448";"     0.000";"  8163.819";" 42177.028";"  5770.496";"     0.000";"  2676.311";" 35469.295";" 23330.488";"  5364.309";"  5134.419";"  3734.314";" 15069.142";" 13709.359";"  5022.449";"  5610.849";" 10822.649";"  6561.603";" 25603.153";"  9425.567";" 28704.786";"  5142.254";" 24102.119";" 15351.046";" 45070.349";" 50252.058";" 69499.306";" 31421.743";" 15674.729";" 18945.148";" 36549.978";" 21367.622";" 18758.787";" 16818.439";"  5871.039";" 26265.997";" 28381.995";"  7648.363";" 12099.799";"  6072.733";"  9881.978";" 25481.610";" 13227.466";" 15650.736";" 52596.356";" 22461.509";" 32738.313";" 14492.479";" 28065.964";" 21237.453";" 15674.014";" 11297.980";" 27140.127";"  8972.191";" 11047.023";"  3669.048";"  7783.703";"  5387.260";" 14074.885";" 18120.308";"  5362.656";"  4031.275";" 15527.261";"  9517.010";"  6986.078";" 13265.509";"  4287.907";"  7528.201";"  7744.967";"  4799.771";"     0.000"
"10am";"123076.996";"101471.414";"180068.610";" 51153.673";" 34094.779";" 65478.749";" 66943.999";" 42067.641";" 82035.553";" 58060.386";" 61188.609";" 32058.181";" 36249.292";" 27108.899";" 42846.254";" 35696.057";" 22253.851";"  7564.336";"     0.000";"     0.000";"  3220.842";"  4533.928";" 11897.971";"  5375.252";" 16959.447";"  8978.583";"     0.000";"  4743.345";"     0.000";" 22052.693";"  5819.129";"  9098.456";" 21047.720";"  4704.061";" 14422.256";" 14635.098";"  5772.417";"  4729.080";"  9679.378";"     0.000";" 10695.633";" 55097.463";"  5245.022";"  3728.844";"  2842.809";" 49661.880";" 30418.602";"  6283.214";"  4902.572";"  4389.807";" 18004.716";" 14708.817";"  6739.987";"  6672.460";" 13899.046";"  7831.019";" 29689.407";" 11809.244";" 38170.924";"  7492.432";" 31799.035";" 22045.712";" 69656.474";" 71017.742";"118110.099";" 42940.211";" 25575.439";" 27067.710";" 54200.786";" 31531.080";" 22144.707";" 20576.425";"  6792.728";" 33238.299";" 41704.801";" 10073.207";" 15167.143";"  7281.675";" 11076.454";" 31843.164";" 14034.366";" 21099.107";" 82931.925";" 29183.159";" 42234.105";" 16071.201";" 30737.778";" 29398.967";" 25483.358";" 14990.954";" 34871.894";" 11295.247";" 12026.096";"  4195.686";"  7946.601";"  6511.898";" 16952.749";" 21980.331";"  7136.919";"  5087.883";" 17958.494";" 11885.838";"  9068.319";" 17434.122";"  4396.846";" 10549.554";"  9760.041";"  5971.235";"  4874.575"
