"district","hour","act1","act2","act3","act4","act5"
"7501","4am",82320.34,847.8466,0,0,334.87708
"7502","4am",131491.27,358.41183,194.48272,0,1060.7151
"7503","4am",77667.72,459.75266,0,0,1497.16723
"7504","4am",76347.88,1711.83653,0,0,3845.64493
"7505","4am",121533.4,0,0,0,544.96559
"7506","4am",114761.91,985.25154,0,0,1435.2376
"7507","4am",142528.88,1500.7552,0,0,1832.16277
"7508","4am",106315.13,2125.8769,0,0,1444.83993
"7509","4am",182988.53,933.82843,0,0,454.23289
"7510","4am",131144.68,381.51435,0,0,0
"7511","4am",134390.29,247.06464,0,0,0
"7512","4am",154262.48,1264.08978,0,0,593.77231
"7513","4am",140949.04,291.86865,0,0,675.03508
"7514","4am",149325.87,0,0,0,1550.28621
"7701","4am",99394.52,916.26431,0,0,0
"7702","4am",111745.54,0,301.0163,0,769.93501
"7703","4am",75292.26,2431.6893,0,0,797.35414
"7704","4am",70114.82,567.50601,72.09649,0,457.78986
"7705","4am",48834.01,221.96994,595.66484,0,0
"7706","4am",47594.73,138.99534,0,0,0
"7707","4am",51725.28,868.40184,0,0,86.89713
"7708","4am",72018.1,183.41423,0,0,774.71047
"7709","4am",50628.24,906.86312,0,0,0
"7710","4am",63831.85,0,0,0,1190.98254
"7711","4am",78044.38,228.33524,0,0,262.15094
"7712","4am",54816.1,579.7852,0,0,0
"7713","4am",28979.92,568.71336,0,0,0
"7714","4am",66525.38,303.43925,0,0,185.73248
"7715","4am",34417.25,0,0,0,0
"7716","4am",74391.82,1325.25026,0,0,161.07783
"7801","4am",78390.17,560.80902,0,0,105.95148
"7802","4am",63128.11,0,0,0,366.72681
"7803","4am",88731.34,769.58767,0,0,546.58165
"7804","4am",45913.53,256.39127,0,0,406.96367
"7805","4am",81138.45,0,0,0,0
"7806","4am",81584.59,0,0,0,167.66988
"7807","4am",48410.69,0,0,0,191.68779
"7808","4am",56243.62,0,0,0,157.02489
"7809","4am",62317.9,0,0,0,289.70849
"7810","4am",23658.95,0,0,0,0
"7811","4am",75220.12,0,0,0,1236.70196
"7812","4am",125212.31,0,0,0,1169.57742
"7813","4am",36918.07,152.6858,0,0,0
"7814","4am",22663.62,0,0,0,0
"7815","4am",34063.37,393.29724,0,0,1902.36243
"7816","4am",104633.72,0,0,0,234.32818
"9101","4am",56929.25,383.02316,0,0,0
"9102","4am",46093.25,387.51872,0,0,283.35454
"9103","4am",62998.14,0,0,0,115.22525
"9104","4am",49892.02,125.54315,0,0,204.32359
"9105","4am",74977.88,274.64897,0,0,0
"9106","4am",80907.14,0,0,0,1064.4787
"9107","4am",85290.56,0,0,0,0
"9108","4am",56096.07,0,0,0,0
"9109","4am",63824.38,227.65214,0,0,1168.75629
"9110","4am",60873.25,572.42462,0,0,0
