"district","hour","cs1","cs2","cs3","cs4","cs5"
"7501","4am",1796.75,5266.521,12919.119,24333.636,34105.5491
"7502","4am",18087.941,9243.993,12540.45,32634.201,51968.3135
"7503","4am",8342.55,7348.234,10124.774,18930.946,31417.6451
"7504","4am",8853.422,9859.946,11996.224,23728.564,24824.8196
"7505","4am",12915.684,15855.184,15501.546,29613.742,41331.2324
"7506","4am",11597.924,13310.767,25457.754,21818.087,40854.0269
"7507","4am",15422.547,17475.688,27620.614,34538.046,45967.8914
"7508","4am",10053.666,8741.638,19866.753,26828.527,38439.5543
"7509","4am",20020.837,21143.697,20332.487,54260.054,55366.3574
"7510","4am",19987.122,11835.633,11931.194,37839.398,46028.3445
"7511","4am",18884.573,14957.299,13761.233,33384.026,48399.9453
"7512","4am",20044.839,31629.949,12293.843,43270.526,43532.5575
"7513","4am",27131.721,29313.048,24022.036,30765.865,28938.8947
"7514","4am",21845.963,22812.715,20918.795,43943.836,38801.7808
"7701","4am",7102.532,23417.951,38007.309,20661.962,9499.9698
"7702","4am",12962.4,29949.512,19535.346,37470.357,11579.8817
"7703","4am",8500.764,22151.56,23548.573,21576.217,3625.0542
"7704","4am",14997.243,21339.758,21006.121,10442.506,3426.5876
"7705","4am",3000.367,19671.573,14828.868,11696.164,454.6749
"7706","4am",7622.431,16292.178,12030.911,10528.92,1259.2819
"7707","4am",11641.914,16173.834,12756.484,9534.894,2462.3127
"7708","4am",6583.308,14608.945,20736.605,22921.106,8126.263
"7709","4am",7154.919,17664.502,15417.875,8715.061,2582.7441
"7710","4am",5716.389,22517.959,14460.474,16192.244,5943.3154
"7711","4am",7115.361,23993.801,29971.683,5939.146,11514.8788
"7712","4am",14295.301,13295.239,12885.615,11593.431,3326.2958
"7713","4am",5975.29,9054.896,6990.657,5520.293,1950.6103
"7714","4am",10850.241,15419.872,16228.935,16153.811,8042.6963
"7715","4am",7035.93,12477.976,7874.198,5143.624,1885.5192
"7716","4am",10005.732,21510.934,21823.431,16124.64,5739.8088
"7801","4am",4147.11,24703.141,13100.997,24735.062,12370.6173
"7802","4am",16254.001,2782.314,13170.888,19707.449,11393.1568
"7803","4am",10658.426,13242.027,25352.257,22868.55,17109.0344
"7804","4am",7865.235,9649.492,9488.891,13667.97,5905.2964
"7805","4am",13304.058,16863.443,20919.909,15510.086,14218.5345
"7806","4am",11336.932,26972.203,19752.522,17667.302,5521.8425
"7807","4am",13251.457,11331.308,11492.734,9447.737,2367.6137
"7808","4am",9142.496,17361.806,13529.18,12480.17,3886.9965
"7809","4am",10047.378,11595.387,16631.763,17579.557,6488.9969
"7810","4am",4019.699,4336.065,3693.195,9649.978,1960.0109
"7811","4am",8948.886,12374.89,11536.855,28198.882,15397.31
"7812","4am",19960.755,11839.529,22171.644,38575.419,31059.5454
"7813","4am",8412.473,5988.238,8785.218,8174.962,5612.3543
"7814","4am",3120.35,2464.786,6324.474,7293.579,3460.427
"7815","4am",6029.32,8370.876,8606.169,9674.175,3678.4925
"7816","4am",11069.378,24569.437,22703.389,27760.993,18418.2793
"9101","4am",10380.225,14986.347,11520.906,14523.058,4771.2963
"9102","4am",5841.222,11567.394,10643.549,14751.347,3960.6129
"9103","4am",8579.25,18986.696,12576.726,16031.351,6939.3389
"9104","4am",5179.678,9631.496,16740.604,13637.795,5032.3121
"9105","4am",8587.216,22278.081,17373.763,17709.669,9303.8051
"9106","4am",14528.184,27241.684,16607.376,14580.421,8555.971
"9107","4am",12204.722,18346.235,20380.344,25589.398,7708.6215
"9108","4am",7992.285,11935.038,12861.043,15141.361,7955.9036
"9109","4am",4045.795,18948.752,21161.378,13542.993,7127.8316
