"district","hour","sex1","sex2"
"7501","4am",42565.85,40937.22
"7502","4am",60439.98,72664.89
"7503","4am",39107.19,40517.45
"7504","4am",40170.94,41734.42
"7505","4am",59428.19,62650.18
"7506","4am",54712.79,62469.61
"7507","4am",65710.03,80151.76
"7508","4am",50028.4,59857.45
"7509","4am",81259.07,103117.51
"7510","4am",56723.27,74802.92
"7511","4am",59162.45,75474.9
"7512","4am",75642.8,80477.55
"7513","4am",68363.41,73552.54
"7514","4am",69167.53,81708.63
"7701","4am",49323.07,50987.71
"7702","4am",52906.32,59910.17
"7703","4am",38072.3,41585.77
"7704","4am",33480.54,37731.68
"7705","4am",22673.87,26977.77
"7706","4am",23498.99,24234.73
"7707","4am",26577.07,26103.51
"7708","4am",32562.6,40413.63
"7709","4am",25335.68,26199.42
"7710","4am",29217.31,35805.52
"7711","4am",34716.72,43818.15
"7712","4am",26928.68,28467.21
"7713","4am",13939.83,15608.8
"7714","4am",32053.87,34960.68
"7715","4am",16239.27,18177.98
"7716","4am",37637.11,38241.04
"7801","4am",39707.43,39349.49
"7802","4am",29619.82,33875.02
"7803","4am",40051.75,49995.76
"7804","4am",22206.42,24370.46
"7805","4am",40240.15,40898.3
"7806","4am",37250.88,44501.38
"7807","4am",21477.71,27124.67
"7808","4am",26406.98,29993.66
"7809","4am",29554.66,33052.95
"7810","4am",11805.45,11853.5
"7811","4am",34333.16,42123.66
"7812","4am",59868.02,66513.87
"7813","4am",18151.94,18918.81
"7814","4am",11381.55,11282.07
"7815","4am",16373.84,19985.19
"7816","4am",48457.39,56410.66
"9101","4am",27237.64,30074.64
"9102","4am",20805.36,25958.76
"9103","4am",31499.22,31614.15
"9104","4am",24578.11,25643.78
"9105","4am",37056.79,38195.74
"9106","4am",39402.08,42569.53
"9107","4am",39464.34,45826.22
"9108","4am",25464.32,30631.74
"9109","4am",31739.84,33480.94
"9110","4am",29280.79,32164.89
"9111","4am",29335.8,28548.03
"9112","4am",23181.68,24340.86
"9113","4am",36968.42,40120.18
"9114","4am",18895.07,23123.68
"9201","4am",52965.11,57499.36
"9202","4am",36448.48,44125.65
"9203","4am",61663.01,76904.13
"9204","4am",41175.23,43654.9
"9205","4am",46806.09,53588.32
"9206","4am",42844.67,49059.71
"9207","4am",37776.3,45086.46
"9208","4am",40136.51,47998.59
"9209","4am",62050.02,67120.16
"9210","4am",53837.78,62389.93
"9211","4am",30484.48,41671.28
"9212","4am",35112.04,39659.62
"9302","4am",21658.06,24216.19
"9303","4am",47694.64,54290.86
"9304","4am",54675.68,61227.47
"9305","4am",39288.19,41658.19
"9306","4am",44072.51,49962.22
