"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";" 95.91458";" 95.17195";" 98.12728";" 99.45541";" 94.87669";" 98.32236";" 97.31181";"100.00000";" 97.40430";" 98.88484";" 99.63910";" 98.74558";" 95.56954";" 99.07698";" 97.91921";"100.00000";" 99.16326";" 99.39949";" 98.83982";"100.00000";"100.00000";" 95.64679";" 94.75820";" 99.59241";" 97.95228";" 97.49443";" 96.49736";" 98.79486";" 99.18258";" 97.49177";" 98.56717";" 94.54633";" 98.22972";"100.00000";" 98.04830";" 97.74673";" 94.37948";" 98.34625";" 98.60432";" 98.66243";" 98.24085";"100.00000";" 99.29153";" 99.42740";" 99.31366";"100.00000";" 96.70047";" 99.30153";"100.00000";" 95.83610";" 99.29328";"100.00000";" 99.35944";" 93.79940";" 95.25096";" 96.28123";" 98.82203";"100.00000";" 98.59441";" 99.27184";" 98.08568";" 98.43735";" 98.90338";" 99.49367";" 98.58748";" 97.50315";" 96.74812";" 96.41966";" 96.96188";" 98.62294";" 96.91945";" 93.60818";" 97.77864";" 96.91246";" 97.96807";"100.00000";" 99.33900";" 97.67388";" 98.04345";" 99.40706"
"5am";" 93.92436";" 94.23120";" 96.71182";" 99.45249";" 94.87669";" 98.32236";" 97.01125";"100.00000";" 93.46193";" 98.86087";" 97.20500";" 98.12468";" 92.18771";" 99.39373";" 97.90029";"100.00000";" 97.63796";" 99.39090";" 98.83982";"100.00000";"100.00000";" 94.54933";" 90.75685";" 98.57282";" 97.38459";" 97.49443";" 95.64816";" 97.82526";" 96.16921";" 97.49177";" 96.16596";" 93.96749";" 97.87794";" 97.97790";" 95.29750";" 96.83767";" 92.32227";" 97.56544";" 96.81817";" 97.43787";" 98.24085";"100.00000";" 98.86892";" 99.03686";" 98.48200";" 98.58556";" 98.09613";" 99.30153";" 98.74454";" 95.81221";" 99.27512";" 99.47924";" 99.35944";" 94.12494";" 95.15841";" 95.02290";" 94.95203";" 99.53995";" 97.36825";" 97.13797";" 98.05742";" 96.64392";" 98.87372";" 99.49367";" 98.57800";" 97.50315";" 97.32577";" 96.32610";" 96.20531";" 95.49560";" 96.86442";" 93.06535";" 96.71258";" 96.24191";" 96.90055";"100.00000";" 99.33537";" 96.61762";" 98.04345";" 99.39822"
"6am";" 92.65968";" 94.17276";" 94.48778";" 99.44510";" 94.08223";" 97.80841";" 96.65887";"100.00000";" 88.41844";" 98.84063";" 92.76523";" 96.91603";" 85.32303";" 97.13079";" 97.83713";" 96.65223";" 97.03096";" 98.67229";" 94.35367";" 99.36874";" 98.88530";" 88.65070";" 87.65779";" 98.50576";" 95.16369";" 96.30880";" 90.64295";" 92.83792";" 92.82424";" 93.94107";" 92.12746";" 86.58672";" 97.31478";" 96.18773";" 88.80574";" 92.31148";" 88.85145";" 97.10897";" 95.27084";" 96.86014";" 96.36540";" 97.21812";" 95.81101";" 97.52316";" 97.83579";" 98.51674";" 96.21616";" 99.23305";" 98.69013";" 93.71562";" 98.17407";" 99.43705";" 97.85803";" 88.88965";" 94.92452";" 94.54280";" 94.12750";" 94.95382";" 94.86703";" 95.41462";" 97.52555";" 94.37747";" 98.82620";" 96.93575";" 94.07322";" 98.37866";" 94.97770";" 94.78278";" 95.46644";" 90.29321";" 94.12129";" 89.13191";" 94.16862";" 93.05725";" 93.61813";" 98.93754";" 98.47587";" 95.55986";" 95.22769";" 97.52198"
"7am";"72.98845";"83.28051";"77.81814";"89.47798";"71.39052";"76.63771";"89.96891";"98.54918";"58.67436";"90.76066";"76.63927";"94.11444";"72.12880";"90.56342";"91.85541";"90.72160";"65.76014";"91.13963";"64.67792";"89.27628";"95.29638";"73.53932";"64.07678";"88.95258";"45.75842";"84.37332";"63.12595";"72.99069";"77.12390";"78.51343";"85.90044";"65.30118";"79.78610";"76.69143";"65.83021";"87.34111";"80.53492";"91.52248";"92.37333";"81.68856";"87.74718";"92.96840";"83.72451";"86.32533";"90.51050";"90.99570";"83.62682";"92.05030";"92.16988";"89.25051";"87.05530";"84.38372";"94.62060";"72.38410";"88.15581";"82.67894";"86.46872";"86.51701";"89.13678";"69.05743";"88.62810";"83.04681";"90.62768";"94.48327";"82.14189";"91.10400";"83.83011";"86.44890";"89.75631";"79.83919";"77.96021";"81.55130";"84.61592";"82.72654";"76.49835";"92.81718";"94.56407";"76.00088";"78.85754";"91.02899"
"8am";"47.00920";"58.32958";"53.71694";"74.24314";"57.81561";"59.11523";"76.35182";"92.94446";"33.16088";"67.19640";"55.27941";"83.85514";"45.96151";"74.55512";"80.00639";"65.43183";"43.40838";"72.05142";"36.95320";"74.28497";"91.70186";"49.53161";"34.98064";"66.01199";"24.91471";"71.63274";"27.62690";"44.69010";"54.21053";"54.59642";"65.54241";"46.39669";"54.87911";"50.81437";"43.97984";"68.88697";"64.77368";"74.75295";"65.72245";"56.01759";"62.33493";"64.49684";"56.87135";"62.34720";"79.48694";"79.19407";"60.20428";"79.93300";"72.92321";"80.53768";"67.65797";"68.14651";"79.13988";"54.55906";"70.65681";"78.00630";"76.12840";"78.65925";"74.14845";"56.16775";"68.93524";"73.93607";"78.21994";"78.73888";"66.58784";"76.17386";"67.32202";"69.57209";"76.24537";"62.53301";"59.41696";"63.73968";"73.34004";"65.32503";"58.66719";"81.72029";"87.10553";"54.34278";"65.81864";"78.40325"
"9am";"33.05186";"36.86546";"40.38016";"71.14902";"43.01885";"47.18211";"65.81743";"87.84757";"29.48064";"53.53059";"47.25256";"81.49881";"41.36061";"66.10801";"72.96682";"57.56086";"32.51311";"66.82482";"32.22072";"73.19701";"83.25677";"35.77690";"25.24867";"60.94122";"15.59421";"59.51346";"17.64335";"28.68236";"48.06369";"46.49116";"59.04124";"27.64417";"40.63046";"45.32733";"35.42186";"52.44663";"59.61583";"64.00654";"61.69661";"53.90105";"52.79161";"56.35744";"43.03580";"50.56439";"79.10590";"76.13321";"55.23438";"68.66124";"75.25398";"66.67237";"68.80158";"61.85888";"81.54715";"48.67403";"62.99584";"68.66721";"63.47880";"76.29318";"58.80688";"46.16054";"69.62562";"58.28292";"75.11768";"77.70251";"61.12221";"69.22952";"67.50783";"67.39158";"73.71757";"54.50632";"59.65215";"55.82511";"60.84101";"64.93028";"49.73331";"74.97662";"83.87429";"46.57402";"62.75919";"76.73993"
"10am";"29.83812";"26.12709";"36.28773";"71.56885";"35.87032";"42.44268";"59.07803";"83.68940";"21.43429";"54.22470";"43.01492";"72.39039";"37.35209";"63.23059";"71.05502";"58.77122";"28.47940";"61.92014";"28.69219";"70.17921";"82.21299";"31.92138";"22.66030";"62.52905";"12.52770";"48.08705";"17.60887";"23.00411";"43.99322";"41.40948";"58.23036";"25.75269";"38.50049";"37.87760";"35.64315";"44.87324";"58.61798";"61.24488";"57.80295";"47.39862";"49.44250";"44.16884";"38.01603";"47.75424";"67.49381";"71.06339";"47.08615";"75.37092";"72.60238";"61.49010";"65.36605";"58.47043";"77.52484";"47.05664";"60.81807";"63.00202";"57.64858";"77.14811";"58.61094";"45.22242";"67.74855";"60.14459";"67.76525";"76.45599";"59.76473";"68.92635";"62.71601";"67.63332";"69.57868";"51.14873";"62.73813";"56.95617";"55.86116";"60.19279";"49.27348";"65.62846";"85.48669";"41.55065";"56.83013";"69.37162"
"11am";"28.58229";"24.64256";"46.11005";"74.55005";"38.03335";"42.65449";"59.21487";"83.10463";"25.78830";"57.06874";"47.81775";"74.18706";"41.55708";"64.37369";"71.17999";"59.47257";"30.62509";"62.09471";"30.01120";"67.52638";"81.84429";"29.88868";"23.27758";"59.60722";"14.52383";"54.19363";"17.57672";"27.16905";"46.77034";"46.46410";"60.32502";"36.65014";"41.82688";"40.50607";"36.18384";"49.58078";"56.63432";"70.74272";"59.99356";"48.71460";"47.51925";"55.82379";"48.48730";"51.67375";"70.98233";"73.21486";"48.70501";"79.52672";"79.78167";"67.54311";"69.11652";"60.12304";"72.11371";"45.57259";"64.78903";"69.15405";"56.58118";"80.38907";"65.14757";"49.76300";"69.90473";"62.58714";"74.62705";"82.20043";"62.27568";"64.56874";"66.17295";"68.33945";"72.87105";"60.30431";"61.19928";"63.79667";"63.56192";"62.21381";"52.72073";"81.10512";"83.81530";"45.41634";"65.22028";"71.91983"
