"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518";"11437.05518"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";" 933.5525";"   0.0000";"1056.4578";"   0.0000";" 885.0015";"1224.5864";"   0.0000";"   0.0000";"2408.9244";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1276.0727";"   0.0000";"1105.9435";"   0.0000";"   0.0000";" 890.3073";" 766.1237";"   0.0000";"4736.7512";"   0.0000";"   0.0000";" 494.7643";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 782.5480";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1102.8369";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1606.2525";"   0.0000";"1442.4223";"   0.0000";"1130.6883";"1570.1838";"   0.0000";"   0.0000";"3373.9667";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1679.0807";"   0.0000";"1670.6679";"   0.0000";"   0.0000";"1895.4421";"1439.3904";"   0.0000";"6941.4020";"   0.0000";"1155.5421";"1185.7326";"   0.0000";" 946.9323";"   0.0000";"   0.0000";"1388.6579";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 976.4393";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1281.8901";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1167.6846";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"2476.4959";" 697.2014";"1718.0973";"   0.0000";"1242.9483";"1744.8587";"   0.0000";"   0.0000";"3706.2730";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2011.9261";"   0.0000";"1935.6335";"   0.0000";"   0.0000";"2149.8520";"1727.7431";"   0.0000";"9494.3467";"   0.0000";"1117.6531";"1783.9461";"   0.0000";" 956.0762";"   0.0000";"   0.0000";"1400.1538";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 994.3982";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1281.8901";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1167.6846";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";" 2724.8061";"  839.1217";" 1856.8122";"    0.0000";" 1432.6143";" 1861.4082";"    0.0000";"    0.0000";" 3922.9992";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1964.2096";"    0.0000";" 1886.2504";"    0.0000";"    0.0000";" 2249.5952";" 1804.2402";"    0.0000";"11437.0552";"    0.0000";" 1159.7565";" 1799.9814";"    0.0000";"  963.9049";"    0.0000";"    0.0000";" 1448.0603";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  956.7891";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1281.8901";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1220.8755";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"11am";"3034.3351";"1205.0433";"1213.5254";"   0.0000";"1516.2955";"1737.1628";"   0.0000";"   0.0000";"3929.2077";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1933.8464";"   0.0000";"1954.4420";"   0.0000";"   0.0000";"2440.2138";"1669.6425";"   0.0000";"9579.5578";"   0.0000";"1138.7005";"1709.6139";"   0.0000";" 963.9049";"   0.0000";"   0.0000";"1458.0680";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 861.6886";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1317.8875";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1220.8755";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"12am";"2770.1395";"2025.9454";"1440.3980";"   0.0000";" 909.9964";"1824.4634";"   0.0000";"   0.0000";"3409.9776";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1710.8677";"   0.0000";"1413.7586";"   0.0000";"   0.0000";"2231.0250";"1460.6644";"   0.0000";"8411.1211";"   0.0000";"1103.8596";"2019.3263";"   0.0000";" 894.8393";"   0.0000";"   0.0000";"1382.4957";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 581.8347";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1255.2241";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1024.1722";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"1pm";"2531.1233";"1313.6091";"1600.3348";"   0.0000";"1210.9595";"1534.4544";"   0.0000";"   0.0000";"3589.0113";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1585.9476";"   0.0000";"1717.6821";"   0.0000";"   0.0000";"2195.9108";"1734.8166";"   0.0000";"9326.7309";"   0.0000";"1152.2682";"2883.5435";"   0.0000";" 954.0543";"   0.0000";"   0.0000";"1563.5406";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 508.0774";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1266.5833";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1060.3022";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"2pm";" 2090.1328";" 1413.0310";" 1253.5665";"    0.0000";" 1193.4819";" 1656.9706";"  574.2981";"    0.0000";" 4101.0944";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1524.6312";"    0.0000";" 1755.1069";"    0.0000";"    0.0000";" 2005.0385";" 1869.3204";"    0.0000";"10074.7411";"    0.0000";" 1132.8305";" 3356.1498";"    0.0000";"  954.0543";"    0.0000";"    0.0000";" 1556.6505";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1266.5833";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1125.5089";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
