"variable","CODE_SEC","RES_SEC","W_IND"
"h7","001","005",67.90654
"h7","001","006",195.42531
"h7","001","008",27.52326
"h7","001","010",42.10345
"h7","001","012",59.91865
"h7","001","014",66.94311
"h7","001","022",47.58125
"h7","001","025",47.58125
"h7","001","026",130.87888
"h7","001","028",99.0293
"h7","001","051",39.15356
"h7","001","073",109.5079
"h7","003","012",165.78384
"h7","003","014",60.54472
"h7","003","024",90.71771
"h7","003","025",26.04719
"h7","003","035",249.1869
"h7","003","036",150.2124
"h7","003","045",58.23811
"h7","003","046",52.09525
"h7","003","053",180.4343
"h7","003","057",23.19742
"h7","005","003",145.91577
"h7","005","006",60.42982
"h7","005","007",56.37663
"h7","005","015",13.85169
"h7","005","016",51.64835
"h7","005","017",51.4957
"h7","005","029",54.10825
"h7","005","035",53.97085
"h7","005","038",41.28761
"h7","005","040",101.74252
"h7","005","052",71.95139
"h7","005","059",72.5685
"h7","005","064",66.28484
"h7","005","066",43.36955
"h7","006","001",100.51884
"h7","006","003",51.07899
"h7","006","005",130.09211
"h7","006","007",108.79573
"h7","006","011",69.86714
"h7","006","012",63.31429
"h7","006","014",88.2186
"h7","006","021",35.33337
"h7","006","022",148.73291
"h7","006","026",60.72036
"h7","006","027",26.56533
"h7","006","029",38.556
"h7","006","037",117.5361
"h7","006","038",66.70137
"h7","006","039",30.8699
"h7","006","055",87.68534
"h7","009","002",19.38204
"h7","009","005",63.10472
"h7","009","006",140.54768
"h7","009","007",83.45332
"h7","009","008",50.75196
"h7","009","010",53.11253
"h7","009","011",57.31356
"h7","009","013",107.591
"h7","009","014",52.92406
"h7","009","015",67.71709
"h7","009","017",27.78411
"h7","009","018",95.91082
"h7","009","020",85.45114
"h7","009","021",20.8422
"h7","009","022",46.76122
"h7","009","024",43.13703
"h7","009","025",128.06612
"h7","009","026",118.04326
"h7","009","027",36.0405
"h7","009","028",47.64195
"h7","009","029",38.556
"h7","009","030",107.1409
"h7","009","032",47.70793
"h7","009","033",118.7151
"h7","009","034",23.57009
"h7","009","035",33.24292
"h7","009","042",28.35333
"h7","009","046",78.1308
"h7","009","048",40.40793
"h7","009","049",34.20997
"h7","009","052",40.90296
"h7","009","054",71.13016
"h7","009","063",27.11861
"h7","009","067",115.4509
"h7","009","073",155.2316
"h7","009","078",103.4789
"h7","017","002",37.31206
"h7","017","005",47.58125
"h7","017","006",101.8459
"h7","017","010",53.11253
"h7","017","014",47.58125
"h7","017","018",156.1446
"h7","017","019",22.40934
"h7","017","020",71.85699
"h7","017","021",20.8422
"h7","017","022",47.58125
"h7","017","025",47.58125
"h7","017","026",65.93698
"h7","017","028",99.0293
"h7","017","040",49.61467
"h7","017","047",56.69001
"h7","017","048",115.61692
"h7","017","049",61.14029
"h7","017","054",71.13016
"h7","017","055",55.34931
"h7","017","057",47.71641
"h7","019","002",21.40786
"h7","019","006",73.91516
"h7","019","014",77.80946
"h7","019","015",49.61783
"h7","019","016",57.1343
"h7","019","017",27.78411
"h7","019","020",211.55315
"h7","019","021",61.56517
"h7","019","033",188.269
"h7","019","038",48.15804
"h7","019","040",87.38997
"h7","019","047",40.19349
"h7","019","048",21.85929
"h7","019","052",40.90296
"h7","019","063",35.71262
"h7","019","079",62.67106
"h7","022","001",83.83869
"h7","022","005",64.96284
"h7","022","006",221.77296
"h7","022","019",22.40934
"h7","022","021",75.21802
"h7","022","025",26.04719
"h7","022","026",46.97672
"h7","022","030",19.85232
"h7","022","037",62.90187
"h7","022","039",57.03571
"h7","022","044",31.67055
"h7","022","048",35.94917
"h7","022","062",141.6719
"h7","023","002",23.63287
"h7","023","010",24.2678
"h7","023","011",45.15165
"h7","023","019",30.93318
"h7","023","020",124.144
"h7","023","022",148.89865
"h7","023","026",95.56312
"h7","023","032",74.76183
"h7","023","043",24.59754
"h7","023","059",121.009
"h7","023","060",53.16403
"h7","025","001",37.4604
"h7","025","002",66.64778
"h7","025","003",198.20164
"h7","025","004",43.3867
"h7","025","005",128.23863
"h7","025","006",269.32673
"h7","025","007",275.61028
"h7","025","010",24.2678
"h7","025","014",79.47003
"h7","025","015",48.43709
"h7","025","016",38.51143
"h7","025","017",71.52866
"h7","025","018",483.4503
"h7","025","020",318.19321
"h7","025","021",110.55139
"h7","025","022",984.84558
"h7","025","024",32.09109
"h7","025","026",236.49328
"h7","025","028",47.58125
"h7","025","030",80.93465
"h7","025","031",68.27689
"h7","025","042",79.20724
"h7","025","046",316.94702
"h7","025","049",69.53275
"h7","025","051",32.9148
"h7","025","052",122.70888
"h7","025","053",188.30762
"h7","025","065",135.7668
"h7","025","079",147.8613
"h7","028","001",74.9208
"h7","028","010",42.10345
"h7","028","012",59.91865
"h7","028","015",38.33849
"h7","028","016",29.27661
"h7","028","022",53.40467
"h7","028","025",26.04719
"h7","028","026",65.93698
"h7","028","041",52.72224
"h7","028","046",52.09525
"h7","033","011",45.60628
"h7","033","018",149.966
"h7","033","027",26.56533
"h7","033","031",136.04655
"h7","033","032",93.99146
"h7","033","043",117.85279
"h7","033","044",24.31997
"h7","033","055",48.56968
"h7","033","072",139.6299
"h7","060","029",38.556
"h7","060","037",118.4976
"h7","060","053",38.00889
"h7","060","054",129.3337
"h7","060","058",144.60784
"h7","060","059",157.66759
"h7","060","061",476.16528
"h8","001","002",43.01491
"h8","001","003",191.15508
"h8","001","005",100.38796
"h8","001","006",364.50297
"h8","001","008",27.52326
"h8","001","010",42.10345
"h8","001","012",59.91865
"h8","001","014",66.94311
"h8","001","015",13.85169
"h8","001","017",51.4957
"h8","001","022",142.74375
"h8","001","025",47.58125
"h8","001","026",130.87888
"h8","001","028",99.0293
"h8","001","051",39.15356
"h8","001","061",76.46108
"h8","001","073",109.5079
"h8","003","002",21.40786
"h8","003","004",66.11448
"h8","003","012",165.78384
"h8","003","014",60.54472
"h8","003","018",149.966
"h8","003","024",90.71771
"h8","003","025",26.04719
"h8","003","029",28.19048
"h8","003","035",304.26585
"h8","003","036",150.2124
"h8","003","045",58.23811
"h8","003","046",52.09525
"h8","003","053",180.4343
"h8","003","057",23.19742
"h8","003","072",65.20666
"h8","005","003",145.91577
"h8","005","006",60.42982
"h8","005","007",56.37663
"h8","005","010",19.60917
"h8","005","015",13.85169
"h8","005","016",51.64835
"h8","005","017",51.4957
"h8","005","019",21.86649
"h8","005","023",66.68441
"h8","005","029",54.10825
"h8","005","035",105.74413
"h8","005","038",41.28761
"h8","005","039",26.4228
"h8","005","040",101.74252
"h8","005","052",71.95139
"h8","005","059",72.5685
"h8","005","064",66.28484
"h8","005","066",43.36955
"h8","005","068",59.33065
"h8","006","001",74.9208
"h8","006","003",51.07899
"h8","006","005",130.09211
"h8","006","007",108.79573
"h8","006","010",41.5159
"h8","006","011",69.86714
"h8","006","012",63.31429
"h8","006","014",88.2186
"h8","006","015",23.47329
