"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463";"7125.73463"
"4am";"   0.00000";"   0.00000";" 282.53250";" 154.02801";" 132.46990";" 543.80051";"   0.00000";" 166.27973";" 177.42982";"  94.94893";" 176.72023";" 459.65447";" 485.15261";" 408.09628";"  65.49629";" 291.57799";" 216.69595";"1554.64408";" 645.78011";"1744.64350";" 319.31173";" 290.73022";" 261.35281";" 419.55786";"   0.00000";" 339.43694";"  43.63998";"  97.65707";" 159.09773";"  60.80280";" 784.79384";" 148.04301";" 357.77957";"  65.55139";" 117.68229";" 238.38695";" 198.80542";" 311.98556";"  88.97998";" 386.69144";" 209.61064";" 169.07278";" 671.80840";" 426.92356";"  92.80706";" 135.95012";" 376.10371";" 437.39570";" 155.03816";" 174.16023";" 161.55377";" 230.51563";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  63.15540";" 341.67029";" 973.66192";" 760.85200";" 783.91144";" 133.31190";"  85.25128";" 340.28493";" 645.94387";" 348.03332";" 877.66074";" 490.93033";" 211.64228";" 981.42895";"1230.16780";" 616.90016";" 737.47966";"1081.46717";"1220.45247";" 988.26610";"1354.88379";"1243.27539";"1558.99834";"1666.81716"
"5am";"   0.00000";"   0.00000";" 282.53250";" 154.02801";" 132.46990";" 543.80051";"   0.00000";" 166.27973";" 177.42982";"  94.94893";" 176.72023";" 459.65447";" 485.15261";" 408.09628";"  65.49629";" 291.57799";" 216.69595";"1554.64408";" 645.78011";"1744.64350";" 288.09424";" 290.73022";" 261.35281";" 419.55786";"   0.00000";" 339.43694";"  43.63998";"  97.65707";" 159.09773";"  60.80280";" 784.79384";" 148.04301";" 357.77957";"  65.55139";" 117.68229";" 238.38695";" 198.80542";" 311.98556";"  88.97998";" 386.69144";" 209.61064";" 169.07278";" 671.80840";" 426.92356";"  92.80706";" 135.95012";" 376.10371";" 437.39570";" 155.03816";" 174.16023";" 161.55377";" 230.51563";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  63.15540";" 341.67029";" 973.66192";" 760.85200";" 783.91144";" 133.31190";"  85.25128";" 340.28493";" 645.94387";" 348.03332";" 877.66074";" 490.93033";" 211.64228";" 981.42895";"1230.16780";" 616.90016";" 737.47966";"1081.46717";"1220.45247";" 954.23424";"1354.88379";"1243.27539";"1558.99834";"1666.81716"
"6am";"   0.00000";"   0.00000";" 282.53250";" 154.02801";" 132.46990";" 543.80051";"   0.00000";" 166.27973";" 214.84565";"  94.94893";" 176.72023";" 459.65447";" 485.15261";" 408.09628";"  65.49629";" 291.57799";" 179.28012";"1554.64408";" 727.42731";"1627.00759";" 288.09424";" 351.47022";" 261.35281";" 419.55786";"   0.00000";" 339.43694";"  43.63998";"  97.65707";" 159.09773";"  60.80280";" 784.79384";" 148.04301";" 357.77957";"  65.55139";" 117.68229";" 156.95454";" 198.80542";" 311.98556";"  88.97998";" 386.69144";" 209.61064";" 144.32149";" 671.80840";" 426.92356";"  92.80706";" 135.95012";" 376.10371";" 437.39570";" 155.03816";" 174.16023";" 161.55377";" 230.51563";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  63.15540";" 341.67029";" 973.66192";" 681.47166";" 783.91144";" 133.31190";"  55.64557";" 369.89064";" 645.94387";" 348.03332";" 877.66074";" 490.93033";" 211.64228";" 981.42895";"1230.16780";" 616.90016";" 634.40806";"1081.46717";"1323.52407";" 954.23424";"1354.88379";"1243.27539";"1558.99834";"1666.81716"
"7am";"   0.00000";"   0.00000";" 282.53250";" 154.02801";" 132.46990";" 579.69168";"   0.00000";" 166.27973";" 214.84565";"  94.94893";" 176.72023";" 459.65447";" 440.29910";" 408.09628";"  65.49629";" 291.57799";" 145.78760";"1554.64408";" 639.91550";"1646.34706";" 288.09424";" 290.73022";" 261.35281";" 341.55276";"   0.00000";" 278.30317";"  43.63998";" 200.19137";" 159.09773";"  60.80280";" 784.79384";" 226.04811";" 357.77957";"  65.55139";" 193.15170";" 156.95454";" 145.39175";" 235.69331";"  88.97998";" 386.69144";" 209.61064";" 144.32149";" 567.94619";" 426.92356";" 143.66315";" 135.95012";" 317.27757";" 437.39570";" 188.53068";" 174.16023";" 161.55377";" 230.51563";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  63.15540";" 341.67029";" 973.66192";" 681.47166";" 783.91144";" 133.31190";"  55.64557";" 369.89064";" 645.94387";" 348.03332";" 936.31593";" 570.31067";" 268.53819";" 981.42895";"1230.16780";" 447.12487";" 737.47966";"1192.58727";"1220.45247";" 954.23424";"1289.92997";"1243.27539";"1558.99834";"1617.14842"
"8am";"  33.12514";"   0.00000";" 400.67419";" 154.02801";" 132.46990";" 579.69168";"   0.00000";" 166.27973";" 260.10841";"  94.94893";" 176.72023";" 430.91102";" 309.72667";" 328.12738";"  65.49629";" 371.54689";" 105.97223";"1284.28310";" 786.54902";"1529.59276";" 288.09424";" 171.18657";" 328.84078";" 306.67822";" 195.10737";" 278.30317";"  43.63998";" 200.19137";" 159.09773";"  60.80280";" 784.79384";" 226.04811";" 368.69314";"  43.72425";" 224.57286";" 156.95454";" 145.39175";" 246.39783";"  63.48845";" 525.62773";" 148.69637";" 144.32149";" 539.34591";" 426.92356";" 143.66315";" 167.16044";" 254.64609";" 437.39570";" 188.53068";" 143.15252";" 133.65766";" 230.51563";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  32.77686";" 356.54950";" 973.66192";" 681.47166";" 783.91144";" 133.31190";"  55.64557";" 369.89064";" 554.08754";" 348.03332";" 882.58758";" 524.38955";" 333.55308";" 970.14241";"1101.90722";" 447.12487";" 788.15629";"1192.58727";"1169.77584";" 920.20238";"1217.06408";"1335.13172";"1558.99834";"1617.14842"
"9am";"  78.57787";"  50.61578";" 518.01084";" 154.02801";" 132.46990";" 500.69613";" 102.53430";" 166.27973";" 222.37860";"  94.94893";" 176.72023";" 439.41723";" 465.75765";" 243.17625";"  50.07919";" 320.87042";" 223.26418";"1363.15406";" 776.91865";"1332.25298";" 256.78606";" 134.20303";" 453.97530";" 496.03977";" 195.10737";" 278.30317";"  37.75475";"  97.65707";" 159.09773";"  60.80280";" 784.79384";" 226.04811";" 357.77957";"  54.63782";"  87.65059";" 122.34419";" 145.39175";" 312.04444";"  72.24364";" 554.96585";" 171.85589";" 144.32149";" 595.03339";" 426.92356";" 122.76671";" 141.75800";" 208.87912";" 483.16267";" 188.53068";" 170.40427";" 133.65766";" 230.51563";" 468.92177";" 427.90160";" 264.50987";" 415.53544";"  32.77686";" 323.49027";"1006.59197";" 682.10692";" 750.34613";" 133.31190";"  55.64557";" 378.74830";" 452.19286";" 406.85946";" 882.58758";" 570.31067";" 314.87933";" 971.72893";" 968.89333";" 701.42988";" 857.45312";"1192.58727";" 893.68996";" 920.20238";"1217.06408";"1278.96512";"1500.34342";"1604.11078"
"10am";" 176.51087";"  30.03563";" 518.95323";" 154.02801";" 132.46990";" 414.48737";" 102.53430";" 166.27973";" 222.37860";"  94.94893";" 176.72023";" 437.86725";" 450.75418";" 243.17625";"  50.07919";" 320.87042";" 353.41139";"1131.41449";" 914.14667";"1377.45840";" 249.67474";" 163.76676";" 453.97530";" 320.14274";" 195.10737";" 231.80096";"  37.75475";" 136.07657";" 117.49561";"  70.42192";" 733.08006";" 244.29438";" 427.85182";"  54.63782";" 120.22715";" 199.30195";" 145.39175";" 320.83007";" 119.27726";" 568.25824";" 171.85589";" 126.07522";" 595.03339";" 398.98063";" 122.76671";" 109.18144";" 254.64609";" 403.22336";" 152.70775";" 170.40427";" 133.65766";" 230.51563";" 468.92177";" 427.90160";" 232.80813";" 415.53544";"  32.77686";" 297.40699";" 848.59130";" 713.17340";" 935.06534";"  88.33714";"  55.64557";" 378.74830";" 452.19286";" 306.11769";" 896.97044";" 570.31067";" 314.87933";" 918.00058";" 968.89333";" 497.92427";" 915.05559";"1035.20388";"1286.99861";" 833.28922";"1289.92997";"1278.96512";"1527.61336";"1576.84084"
"11am";" 176.51087";"   0.00000";" 301.63532";" 154.02801";" 132.46990";" 457.59175";" 102.53430";" 114.63785";" 277.13777";" 173.78263";" 254.69522";" 407.48871";" 335.89629";" 426.00590";"  50.07919";" 371.54689";" 236.43190";"1356.59128";" 445.03679";"1634.48627";" 236.31376";" 230.44686";" 579.91501";" 264.30679";" 195.10737";" 231.80096";"  43.63998";"  97.65707";" 159.09773";"  95.16493";" 733.08006";" 286.75297";" 443.69125";"  49.71196";" 209.32161";" 122.34419";" 145.39175";" 244.72832";"  76.17288";" 502.46821";" 209.61064";" 144.32149";" 580.88204";" 398.98063";" 122.76671";" 141.75800";" 286.06725";" 403.22336";" 164.08948";" 147.58725";"  99.29553";" 230.51563";" 468.92177";" 427.90160";" 264.50987";" 471.22292";"  32.77686";" 330.46622";" 794.06598";" 681.47166";" 989.21837";"  88.33714";"  55.64557";" 378.74830";" 497.15993";" 306.11769";" 896.97044";" 570.31067";" 333.55308";" 918.00058";" 993.33453";" 509.66864";" 893.04458";"1047.19582";"1279.16260";" 806.99096";"1289.92997";"1205.55053";"1527.61336";"1576.84084"
"12am";"  15.41710";"  33.12514";" 320.73814";" 154.02801";" 132.46990";" 457.59175";" 102.53430";" 114.63785";" 277.13777";" 173.78263";" 176.72023";" 407.48871";" 385.07210";" 426.00590";"  50.07919";" 371.54689";" 266.30097";"1342.22663";" 666.81281";"1498.30745";" 254.30186";" 200.75030";" 595.66668";" 341.55276";" 195.10737";" 278.30317";"  43.63998";"  97.65707";" 159.09773";"  60.80280";" 733.08006";" 226.04811";" 378.67601";"  65.55139";" 200.46395";" 122.34419";" 145.39175";" 274.42488";"  20.28160";" 483.97774";" 209.61064";" 126.07522";" 567.28884";" 371.03770";" 122.76671";" 110.54768";" 376.10371";" 403.22336";" 130.59696";" 165.30257";" 161.55377";" 186.23545";" 564.15948";" 427.90160";" 264.50987";" 471.22292";"  63.15540";" 356.54950";" 874.14990";" 681.47166";" 989.21837";" 133.31190";"  55.64557";" 369.89064";" 497.15993";" 306.11769";" 936.31593";" 570.31067";" 333.55308";" 918.00058";" 993.33453";" 509.66864";" 806.36326";"1192.58727";"1220.45247";" 931.77102";"1289.92997";"1145.95891";"1650.85467";"1585.71518"
"1pm";"  48.54224";"   0.00000";" 320.73814";" 154.02801";" 132.46990";" 498.03403";" 102.53430";" 114.63785";" 308.57101";" 173.78263";" 176.72023";" 459.65447";" 363.19977";" 426.00590";"  50.07919";" 371.54689";" 108.76889";"1097.11259";" 691.59264";"1542.03743";" 278.20375";" 200.75030";" 546.66941";" 381.69237";" 195.10737";" 278.30317";"  43.63998";" 139.57270";" 159.09773";" 170.77920";" 772.38880";" 262.32453";" 357.77957";"  65.55139";" 148.29819";" 122.34419";" 145.39175";" 274.42488";"  81.87062";" 513.01558";" 209.61064";" 126.07522";" 498.88794";" 392.91003";" 122.76671";" 141.75800";" 344.89339";" 343.91836";" 164.08948";" 174.16023";" 132.51593";" 186.23545";" 527.88306";" 388.59286";" 264.50987";" 471.22292";"  63.15540";" 356.54950";" 915.32740";" 681.47166";" 804.49916";" 133.31190";"  55.64557";" 369.89064";" 497.15993";" 264.20206";" 871.30582";" 524.38955";" 333.55308";" 918.00058";"1190.47871";" 509.66864";" 802.48977";"1134.98480";"1278.05494";" 960.01856";"1289.92997";"1213.91335";"1558.99834";"1603.96145"
