"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432"
"4am";"18.42869";"12.68280";"21.90974";"33.12187";"19.37693";"15.91911";"15.04583";"29.88389";"26.47784";"31.33445";"52.14310";"37.85749";"37.84428";"38.74842";"28.43954";"22.61334";"32.46078";"40.82425";"33.66051";"47.06655";"29.87054";"34.72134";"21.43650";"56.00268";"20.82548";"18.69320";"39.07632";"24.70902";"30.28196";"23.41423";"33.29765";"28.28109";"34.99127";"27.09639";"32.32690";"25.37570";"41.63167";"21.67961";"23.45978";"24.97198";"23.45455";"28.85959";"27.22097";"49.37989";"46.63169";"34.22205";"35.92995";"36.67612";"33.05903";"37.07583";"38.01907";"26.56619";"26.86589";"44.77241";"37.67702";"37.39159";"24.76235";"58.10567";"51.80480";"40.32853";"36.90846";"39.40645";"27.60718";"32.50999";"38.81132";"38.60050";"39.58497";"42.84800";"41.22189";"40.41460";"60.21942";"54.94186";"49.30386";"47.06592";"53.96707";"46.85275";"28.04867";"38.43205";"41.32053";"31.97417"
"5am";"17.93851";"12.49718";"22.04408";"33.33409";"19.37693";"15.91911";"15.38196";"30.03279";"28.55678";"30.39237";"52.78311";"37.74150";"38.13129";"38.39855";"28.72560";"22.07520";"34.02776";"39.78824";"33.66051";"48.36489";"30.09825";"34.96565";"25.78846";"57.35586";"21.90827";"18.69320";"40.66811";"23.13728";"29.70679";"23.41423";"33.31082";"28.62369";"35.24608";"28.83806";"32.71671";"26.16832";"42.22694";"21.79747";"22.77256";"24.04065";"23.45455";"28.49060";"27.55429";"49.12699";"46.68244";"35.29233";"34.50496";"36.67612";"32.36205";"37.29564";"36.19445";"26.75627";"26.86589";"44.89857";"36.34971";"37.98707";"23.72729";"56.99721";"50.77261";"42.55552";"36.92374";"39.51711";"27.51528";"32.50999";"38.36058";"38.60050";"39.18411";"43.23711";"42.66524";"42.15795";"60.05288";"52.89031";"49.98827";"45.64114";"53.52866";"47.11732";"27.64652";"38.76458";"41.32053";"32.48659"
"6am";"17.50352";"12.68555";"24.48098";"32.90544";"19.52821";"14.37787";"15.44058";"29.68231";"28.83664";"29.23888";"54.59375";"36.88292";"40.65423";"36.39861";"27.12823";"24.98715";"34.97084";"39.44241";"34.18725";"48.47779";"31.16739";"32.95821";"24.62078";"55.95193";"22.50999";"18.41822";"41.22801";"25.87173";"32.10696";"22.22024";"32.76260";"33.99067";"36.73638";"30.31569";"32.56400";"27.93879";"42.29942";"23.12571";"20.73439";"24.72858";"24.38433";"28.77539";"29.88310";"44.17779";"46.67430";"33.48020";"35.88222";"36.85111";"33.21415";"36.60434";"34.52501";"26.65454";"28.06590";"45.24487";"36.26064";"37.98707";"22.90114";"56.89515";"48.72145";"42.86879";"34.34763";"39.95797";"26.66342";"32.02146";"34.50875";"36.84342";"38.54354";"43.60331";"41.75440";"43.73146";"60.71684";"51.11422";"49.95790";"46.43408";"52.63743";"45.49451";"28.94336";"38.71133";"42.19641";"29.80038"
"7am";"16.59244";"12.59102";"23.72991";"28.45705";"20.07212";"17.62426";"14.85356";"26.55185";"26.41068";"32.46292";"50.47479";"38.64191";"41.01669";"41.42995";"25.44815";"26.83453";"32.09002";"40.22456";"32.63202";"46.90442";"34.40962";"30.48763";"25.01845";"53.45179";"18.43585";"21.40730";"42.46919";"25.66292";"32.89307";"25.15426";"33.48015";"32.62609";"37.29955";"36.10189";"33.45398";"26.71452";"44.87799";"22.21075";"23.34550";"25.90207";"26.41396";"28.39330";"32.25895";"48.12758";"45.40384";"36.26389";"38.63564";"36.48633";"36.94554";"36.69377";"42.42194";"30.13853";"35.62077";"43.72019";"34.45387";"39.58854";"26.25652";"59.64271";"50.66747";"41.57997";"36.22715";"41.07466";"25.81564";"30.12321";"38.55559";"39.60683";"41.42481";"45.63827";"42.31904";"44.02141";"60.76891";"50.84290";"48.47308";"43.48133";"54.64773";"44.70746";"30.59180";"39.58050";"41.52412";"29.45268"
"8am";"19.35969";"16.94205";"26.08265";"30.75950";"21.78928";"18.85514";"17.12303";"29.03649";"26.16680";"37.35512";"45.05699";"40.29633";"38.67925";"44.68913";"29.10663";"31.58833";"31.54278";"40.39472";"27.37673";"47.61700";"38.25621";"20.30888";"23.22376";"49.82142";"16.42253";"21.68137";"29.39804";"24.34631";"31.70207";"29.43658";"36.41593";"30.43587";"40.73403";"29.63572";"37.99160";"29.49629";"48.79323";"20.62398";"27.60024";"25.12864";"29.49531";"30.36588";"28.56613";"41.58416";"48.22689";"38.61857";"37.33469";"37.54227";"41.83828";"45.30668";"47.95666";"32.77515";"40.79178";"43.76954";"35.18920";"41.10182";"28.93190";"64.16959";"51.38535";"41.75616";"39.98486";"46.97138";"25.60997";"32.19203";"42.06977";"39.27703";"45.53447";"46.93099";"45.29484";"47.79600";"57.97606";"50.73842";"46.43004";"45.25396";"52.56270";"46.36372";"32.92384";"38.12230";"40.31561";"31.00450"
"9am";"16.05120";"14.70554";"25.94767";"28.49572";"26.49377";"18.41324";"20.68898";"30.57689";"28.59813";"40.14147";"44.66079";"38.37082";"40.66941";"43.15669";"36.81061";"27.19037";"35.12121";"40.84581";"26.30441";"44.83785";"39.92894";"20.70184";"22.27788";"50.94065";"14.97073";"18.49694";"25.70215";"25.48361";"30.81566";"37.38666";"35.13493";"31.53655";"39.76826";"30.97235";"39.42891";"34.28434";"46.78570";"23.33076";"23.85924";"25.99663";"27.84689";"24.08678";"29.45058";"45.00627";"48.34855";"39.42865";"34.15877";"38.03399";"44.68870";"41.36338";"47.20506";"31.52667";"39.67513";"41.85957";"36.47415";"40.44583";"32.77004";"63.14289";"52.26139";"42.95008";"38.36532";"47.95132";"23.61838";"37.84575";"40.87207";"36.89933";"45.07205";"45.23626";"48.53540";"48.27980";"60.30308";"46.39767";"47.43754";"42.76907";"52.85499";"46.34413";"34.72518";"35.45209";"41.78293";"29.59927"
"10am";"15.42651";"17.46416";"27.46629";"30.76915";"21.26981";"17.55630";"22.31661";"31.24923";"26.94661";"40.31224";"44.89506";"42.17319";"40.44459";"42.98912";"33.76152";"27.67129";"38.32845";"39.87526";"26.63944";"38.89577";"39.17919";"23.83566";"21.12795";"56.08363";"14.37870";"20.12186";"25.78115";"24.57331";"30.39962";"34.93259";"36.29409";"32.15264";"39.82971";"30.46412";"38.10271";"33.79480";"49.48975";"21.76699";"26.72006";"24.92873";"28.90209";"25.01421";"31.01788";"44.70568";"46.08244";"41.46361";"34.20399";"37.93553";"45.02295";"40.35790";"50.58394";"30.52703";"37.95252";"40.26366";"39.38793";"41.08209";"32.70464";"60.16918";"52.95195";"46.03893";"40.37428";"48.82256";"27.63163";"37.44761";"41.91156";"38.21575";"47.56361";"46.96961";"49.67439";"46.08928";"59.70100";"46.36120";"48.45256";"46.20524";"49.76070";"46.63208";"35.07772";"37.10309";"41.39207";"27.86813"
"11am";"13.52308";"21.35498";"28.57335";"30.91415";"26.81073";"21.89345";"23.05862";"32.14684";"22.58559";"34.54369";"43.58005";"42.36696";"38.14185";"45.41721";"34.61394";"29.13997";"33.25872";"40.41969";"25.84289";"41.87749";"36.58257";"23.83307";"21.05360";"59.36400";"14.28708";"22.96031";"26.10228";"22.06287";"29.59554";"36.23786";"39.41496";"29.04106";"38.96292";"30.00061";"35.24861";"32.13993";"50.37831";"21.55051";"26.77354";"23.65836";"31.88270";"29.18685";"30.14751";"41.86476";"47.20260";"39.67706";"36.18041";"37.80505";"42.37879";"43.74681";"50.67571";"34.48717";"38.45510";"36.71540";"40.62861";"39.48940";"29.06471";"63.00018";"54.40394";"46.07499";"36.76392";"50.72655";"27.96571";"38.01740";"40.11120";"36.27197";"47.18335";"46.18872";"50.81773";"49.98319";"59.48637";"44.79426";"46.88928";"48.08268";"49.51171";"46.08110";"34.11241";"36.63865";"38.26189";"28.97048"
