"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"6am";"  0.0000";"  0.0000";"604.8958";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"873.9408";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";"   0.0000";"   0.0000";" 813.7354";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 859.6246";"   0.0000";" 739.7252";"   0.0000";" 870.3374";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 774.7480";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1016.8933";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1212.1625";"   0.0000";"   0.0000";" 882.8345";"   0.0000";" 621.7250";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 517.3448";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"   0.0000";"   0.0000";"1272.9529";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1356.5583";"   0.0000";"1142.1030";"   0.0000";"1255.1489";"   0.0000";"   0.0000";"   0.0000";" 660.5568";"   0.0000";"1036.2542";"   0.0000";"   0.0000";" 787.4689";"1038.6123";"   0.0000";"   0.0000";"   0.0000";"1611.6274";" 994.7228";" 556.5247";"   0.0000";"   0.0000";"1419.4975";" 465.7818";"   0.0000";"1385.9377";"   0.0000";" 665.4910";"   0.0000";"   0.0000";" 538.1735";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 686.9470";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1084.8714";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1319.0272";"   0.0000";"   0.0000";" 712.4974";"   0.0000";"   0.0000"
"9am";"   0.0000";"   0.0000";"1633.6179";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1861.6553";" 864.4953";"1429.8523";"   0.0000";"1514.4561";" 735.5240";"   0.0000";"   0.0000";"1291.5013";" 840.4114";"1055.3888";"   0.0000";"   0.0000";"1179.6681";"1190.6177";"   0.0000";"   0.0000";"   0.0000";"1845.4957";"1576.8300";" 697.9218";"   0.0000";"   0.0000";"1995.4942";" 985.5104";"   0.0000";"1659.1246";"   0.0000";" 890.4192";"   0.0000";"   0.0000";" 771.9067";"   0.0000";"   0.0000";" 748.3898";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1333.7250";" 834.3011";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1291.6199";"   0.0000";"   0.0000";"1210.7725";"   0.0000";"1935.4270";"   0.0000";"   0.0000";" 784.5051";"   0.0000";"   0.0000"
"10am";"   0.0000";" 843.6632";"1821.3595";"   0.0000";"   0.0000";" 681.7463";"   0.0000";"   0.0000";"2065.5333";" 676.9121";"1433.7920";"   0.0000";"1582.1934";" 693.7769";"   0.0000";"   0.0000";"1758.9871";" 759.7350";"1111.4835";"   0.0000";"   0.0000";"1536.6240";"1133.5461";" 693.0633";"   0.0000";"   0.0000";"1915.2115";"1519.4625";" 666.9901";"   0.0000";"   0.0000";"2216.4732";"1246.2920";"   0.0000";"1478.1044";" 592.2206";"1075.6220";"   0.0000";"   0.0000";" 806.2151";"   0.0000";"   0.0000";" 876.6688";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1133.2030";" 948.7387";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1354.0971";"   0.0000";"   0.0000";"1372.7390";"   0.0000";"2118.3440";"   0.0000";"   0.0000";"1188.3357";"   0.0000";"   0.0000"
"11am";"   0.0000";"1080.7763";"1365.0889";"   0.0000";"   0.0000";" 793.7179";" 504.6550";"   0.0000";"1487.0674";"   0.0000";" 841.2505";"   0.0000";"1221.6349";" 708.3901";"   0.0000";"   0.0000";"1310.4535";" 739.8692";" 879.8842";"   0.0000";"   0.0000";"1431.6287";"1207.8302";" 898.4547";"   0.0000";"   0.0000";"1665.9126";"1221.0274";" 566.7795";"   0.0000";"   0.0000";"1480.5726";"1148.1535";"   0.0000";"1445.2880";"   0.0000";"1007.3832";"   0.0000";"   0.0000";" 570.9826";"   0.0000";"   0.0000";" 743.4510";"   0.0000";"   0.0000";"   0.0000";" 677.3230";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 850.9438";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1540.9990";"   0.0000";"   0.0000";" 881.4877";"1053.9326";"1663.8499";"   0.0000";"   0.0000";" 744.3705";"   0.0000";"   0.0000"
