"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154"
"4am";" 3.1377423";" 8.9634958";" 3.8285299";"11.5216466";" 2.9517148";" 5.2867605";" 4.8135221";" 6.2274503";" 2.1441998";" 2.5026710";" 8.1850882";" 6.6575751";" 6.1310303";" 4.8213354";" 4.3848338";" 1.0024316";" 7.7972931";" 9.6902953";"11.8597503";"20.0569968";" 5.0355656";" 9.4108376";" 6.3326691";" 9.7531164";" 6.2654745";" 3.3253977";" 5.4264637";" 0.7810867";" 4.2925095";" 5.6906213";" 5.3834688";" 6.4654606";" 4.2002770";" 4.7432015";" 4.1331314";" 5.1603740";" 2.1039634";" 4.4306152";" 5.3244160";" 5.6970242";" 4.2536881";" 5.0964335";" 3.0043743";" 3.6364740";" 4.4265588";" 3.1700415";" 1.8086847";" 5.4964394";" 4.5412507";" 3.6492328";" 4.7434178";" 3.7905235";" 6.2755576";" 4.2285767";" 3.5137874";" 3.1309554";" 5.9102304";" 6.1687579";" 5.8909669";" 6.0837819";" 3.6260470";" 3.6263173";" 1.2733780";" 3.3410642";" 2.5624242";" 4.0676120";" 3.8079660";" 7.4437222";" 3.3747057";" 3.3803396";" 8.3013414";" 7.2312253";" 9.1959134";"10.8218795";"11.3160051";" 8.2631912";" 5.1544313";" 5.4493080";" 1.0305722";" 2.6540247"
"5am";" 3.0542832";" 8.8303469";" 3.7582764";"11.5953079";" 2.9517148";" 5.2867605";" 4.7942993";" 6.2583211";" 2.0835697";" 2.5640391";" 8.0944576";" 6.7707243";" 5.9352330";" 4.8923575";" 4.4289378";" 1.0239678";" 7.7296900";" 9.8599456";"11.8597503";"20.6263951";" 5.0739525";" 9.0987446";" 6.0522395";" 9.7955649";" 6.1797876";" 3.3253977";" 5.5297781";" 0.7841326";" 4.2109789";" 5.6906213";" 5.4614799";" 6.4224014";" 4.1838135";" 4.6826114";" 4.0052722";" 5.1055629";" 2.1179095";" 4.4547030";" 5.3643605";" 5.6603088";" 4.2536881";" 5.1639771";" 2.9906146";" 3.6546426";" 4.4914254";" 3.1184610";" 1.8946664";" 5.4964394";" 4.4456301";" 3.6708676";" 4.8830562";" 3.8176448";" 6.2755576";" 4.2839250";" 3.5886216";" 3.1808169";" 5.8266957";" 6.3319738";" 5.8919393";" 5.9502013";" 3.6840383";" 3.6365008";" 1.3104631";" 3.3410642";" 2.5813003";" 4.0676120";" 3.9278043";" 7.6499462";" 3.4928688";" 3.2909771";" 8.4574301";" 7.3889822";" 9.1754028";"11.1131622";"11.2531261";" 8.3098521";" 5.1832405";" 5.4963017";" 1.0305722";" 2.6957988"
"6am";" 2.9802193";" 8.9654733";" 3.6490143";"11.7826939";" 2.9903433";" 5.4765669";" 4.8127414";" 6.3356198";" 1.9987994";" 2.5999775";" 7.9898310";" 6.8651172";" 5.6586821";" 4.9620518";" 4.5767818";" 0.9857035";" 7.9420938";" 9.7742456";"11.9663050";"21.4137902";" 5.2654647";" 8.0087465";" 6.0478523";"10.1159536";" 5.9354981";" 3.4114485";" 5.5049410";" 0.7560578";" 4.3596132";" 5.5575370";" 5.4288056";" 5.9543625";" 4.2940206";" 4.7160037";" 3.7690506";" 5.0524957";" 2.1452786";" 4.6482457";" 5.5124483";" 5.6667386";" 4.3466383";" 5.3105410";" 2.9851011";" 3.8507894";" 4.6425395";" 3.2057934";" 1.9092246";" 5.8173999";" 4.5567844";" 3.7113378";" 5.0616306";" 4.0141641";" 6.5558642";" 4.3172653";" 3.6774992";" 3.1808169";" 5.8950808";" 6.2673319";" 6.4908018";" 6.1318320";" 3.9713965";" 3.7995486";" 1.3589287";" 3.4144023";" 2.7038375";" 4.3330553";" 3.8964216";" 7.8255152";" 3.5483577";" 3.1900325";" 8.5652346";" 7.4255104";" 8.8114476";"10.8509120";"12.2243484";" 8.8949737";" 5.3680716";" 5.6908608";" 1.0348414";" 2.8700832"
"7am";" 2.8250963";" 8.7983907";" 3.5845186";"10.9578472";" 3.1396685";" 5.4515312";" 5.2465137";" 7.1188417";" 1.8050966";" 2.7017577";" 7.7565997";" 7.2125669";" 5.9792508";" 5.7323499";" 5.4341046";" 1.1152646";" 8.1202277";" 9.6650386";"11.4841479";"20.8827226";" 7.3909985";" 5.5691521";" 5.5565138";"10.2266778";" 7.7760996";" 3.7988336";" 4.6267157";" 0.6995381";" 4.1732697";" 5.1701138";" 6.1453139";" 5.3382193";" 4.6130006";" 4.2866094";" 3.3762400";" 5.5641392";" 1.5511770";" 5.9810075";" 6.4328214";" 6.1326450";" 4.7503408";" 6.3180636";" 2.9729150";" 4.3229350";" 5.1310070";" 3.6967133";" 2.0377885";" 6.0647417";" 5.1725947";" 4.3311181";" 5.7562308";" 4.8770244";" 8.2971456";" 4.7058149";" 3.9849339";" 3.3993294";" 7.3552151";" 6.7830042";" 6.4100636";" 6.3053472";" 4.4565367";" 4.6662699";" 1.5495633";" 3.9422772";" 2.7492145";" 5.0485745";" 4.4079806";" 8.0551316";" 3.8726144";" 3.6210588";" 8.9438290";" 8.2017366";" 9.1788494";"11.0405437";"11.2275174";" 8.7410919";" 6.2003036";" 5.8306295";" 1.0719357";" 3.1544626"
"8am";" 2.1125084";" 6.8233808";" 4.5864674";"12.3186063";" 3.2378556";" 4.9732578";" 7.6019926";" 7.8040751";" 1.4654644";" 2.7008300";" 7.0829910";" 8.5220902";" 3.9570605";" 4.4411574";" 5.5497492";" 1.3438769";" 7.3564585";" 8.0535573";" 8.3201617";"22.7912277";" 7.3422690";" 4.5390182";" 5.2408489";" 9.4522799";" 6.6320046";" 4.5364964";" 3.5770942";" 0.5966779";" 3.3715984";" 4.3432553";" 8.1389283";" 4.6571516";" 5.1822728";" 3.1113869";" 1.6095672";" 6.2925254";" 1.7027314";" 6.2596425";" 7.2064670";" 5.4829572";" 5.1168114";" 7.2597412";" 2.8255496";" 3.8753838";" 6.5751126";" 4.3949952";" 2.0483015";" 6.8901849";" 5.9103513";" 3.9250234";" 7.0786106";" 5.4089775";" 9.6081721";" 6.6733029";" 4.4920416";" 3.4518796";" 6.7626544";" 6.8973302";" 6.6013430";" 6.4121476";" 5.1981012";" 5.6939888";" 1.8863819";" 4.8346030";" 2.3825669";" 5.2721538";" 5.3959417";" 7.9674704";" 3.9161009";" 3.8855823";" 7.6729676";" 9.9208604";" 9.2709668";"10.4771928";"10.9072465";" 9.3287458";" 7.2641199";" 5.7534038";" 1.1029433";" 3.5862593"
"9am";" 2.3790404";" 4.3640684";" 3.7579957";"13.6322774";" 3.3686467";" 8.2876424";" 5.2651800";" 5.9647683";" 1.0339202";" 2.6116244";" 6.7156395";" 9.5039886";" 3.0429291";" 3.8148572";" 6.3763261";" 1.4565670";" 9.2437855";" 7.9787769";" 9.6768639";"21.9281596";" 7.5546950";" 3.9935977";" 6.5340403";"11.4881257";" 4.0572221";" 2.9102225";" 2.9749964";" 0.8330566";" 3.2702334";" 4.9114156";" 9.1841309";" 3.2303138";" 4.8483186";" 3.5016860";" 3.1022759";" 6.5957882";" 1.6708341";" 5.0026640";" 6.7863625";" 5.4745751";" 4.7192105";" 8.3769895";" 2.8459102";" 4.0673585";" 7.2306286";" 4.0709515";" 1.9273255";" 7.6232841";" 6.4572122";" 2.1635437";" 7.6722472";" 5.3950990";"11.4279895";" 6.4525464";" 5.0191413";" 4.4759954";" 6.7207125";" 6.0740450";" 6.9016264";" 5.4743988";" 5.5522731";" 5.4112569";" 2.2281852";" 5.5893429";" 2.3844689";" 5.5137838";" 5.6526158";" 8.8234374";" 4.7413054";" 4.3567035";" 6.4069117";"14.6775117";" 9.6192526";"11.0065446";" 7.2654557";" 9.0846992";" 7.6915916";" 5.4629292";" 1.0947101";" 3.4254976"
"10am";" 3.2167388";" 4.2301502";" 4.0601529";"12.9754748";" 4.7250145";" 6.9135123";" 6.7662945";" 6.9625486";" 1.4067704";" 2.9090378";" 7.2310456";"10.0467057";" 2.2761640";" 4.8055182";" 7.5139155";" 1.4065283";" 9.1279730";" 8.2905903";"10.0783920";"19.9488775";" 7.4768646";" 3.4023028";" 6.3409652";"10.5090201";" 4.0690403";" 4.3644562";" 2.8513519";" 0.8201771";" 4.6610699";" 2.9568206";" 7.8002976";" 4.9858492";" 6.1056333";" 2.8484266";" 3.1740962";" 7.1303584";" 2.3926919";" 5.3747429";" 6.9145688";" 5.3326820";" 4.2961455";" 8.7566529";" 3.0404133";" 3.3496851";" 6.8622663";" 3.9727523";" 1.9097519";" 5.4136907";" 6.7483270";" 2.2076104";" 5.5713735";" 5.7184446";"10.5221692";" 5.8902648";" 2.7766285";" 3.6140768";" 5.8910054";" 7.2930708";" 6.5738271";" 7.3238330";" 5.3654112";" 5.4689085";" 1.1966660";" 5.9128385";" 3.2805676";" 4.8603826";" 5.1657580";" 7.6708921";" 4.4575788";" 4.8317709";" 9.6580920";" 7.7841469";"10.4623930";" 8.6533681";"10.1970200";" 9.4019779";" 7.8802838";" 5.1240275";" 1.0968809";" 3.3017268"
"11am";" 2.5530785";" 3.0945417";" 2.0842984";"12.8739951";"10.8737276";" 6.3985299";" 5.7379077";" 7.0392941";" 1.7951889";" 3.0389074";" 6.9022176";" 8.4620914";" 4.3383662";" 6.1778631";" 4.7728072";" 1.3441820";" 7.9675233";" 7.7998795";" 8.6029981";"21.4305935";" 7.2116788";" 2.5430322";" 6.9568171";" 9.8835073";" 5.4291591";" 4.5504423";" 3.5397376";" 0.5268888";" 5.3325780";" 3.3891376";" 7.1817812";" 4.8929633";" 6.0344001";" 2.7013521";" 3.2910363";" 3.6489952";" 2.5271060";" 5.4801255";" 6.4352795";" 5.2489251";" 4.2134151";" 8.2535601";" 4.6452985";" 3.0864222";" 6.8371851";" 3.9604783";" 2.3814135";" 7.9892723";" 6.5780661";" 4.8780421";" 7.5594312";" 5.8678820";" 9.0312876";" 5.7986100";" 5.2883361";" 3.3918003";" 5.5897281";" 6.7647900";" 7.7920495";" 5.5553739";" 4.9341630";" 5.8713713";" 1.0883278";" 5.7212438";" 3.4185964";" 5.4345324";" 5.4833688";" 7.5465495";" 4.6665467";" 4.2734647";" 9.3241503";" 7.9714630";" 9.1685610";"10.0791825";"10.4939838";" 9.5972604";" 7.2943390";" 4.9116289";" 1.1460465";" 3.3681932"
