"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671"
"4am";" 106.66152";" 230.06083";" 374.49745";" 531.84386";" 117.92794";" 375.62176";" 283.31471";" 184.56213";" 154.11353";" 133.44286";" 578.99227";" 533.34955";" 399.92956";" 475.90835";" 192.71979";"  48.15660";" 480.12147";" 892.92598";" 650.27074";"1206.75494";" 207.78259";" 473.70266";" 319.56016";" 578.48315";" 196.58887";" 199.21478";" 310.27336";"  53.56276";" 277.72561";" 230.66820";" 416.48855";" 429.43680";" 412.01295";" 113.07985";" 256.95050";" 293.14202";" 172.61217";" 245.78261";" 240.50452";" 539.98057";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 168.25184";" 117.65228";" 288.80281";" 218.29013";" 109.19066";" 143.46735";" 205.57150";" 438.48569";" 260.29317";" 164.46023";" 219.23860";" 200.71693";" 414.58824";" 664.48993";" 385.45283";" 344.31528";" 328.73723";"  44.77672";" 238.62146";" 186.89871";" 281.98985";" 397.76161";" 573.95240";" 149.24736";" 355.56136";" 816.03601";" 506.32694";"1104.05238";"1072.80122";"1298.37817";" 500.81137";" 465.03746";" 488.27524";" 103.53861";" 199.16422"
"5am";" 106.66152";" 230.06083";" 374.49745";" 531.84386";" 117.92794";" 375.62176";" 283.31471";" 184.56213";" 154.11353";" 133.44286";" 578.99227";" 533.34955";" 399.92956";" 475.90835";" 192.71979";"  48.15660";" 480.12147";" 892.92598";" 650.27074";"1206.75494";" 207.78259";" 473.70266";" 319.56016";" 578.48315";" 196.58887";" 199.21478";" 310.27336";"  53.56276";" 277.72561";" 230.66820";" 416.48855";" 429.43680";" 412.01295";" 113.07985";" 256.95050";" 293.14202";" 172.61217";" 245.78261";" 240.50452";" 539.98057";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 168.25184";" 117.65228";" 288.80281";" 218.29013";" 109.19066";" 143.46735";" 205.57150";" 438.48569";" 260.29317";" 164.46023";" 219.23860";" 200.71693";" 414.58824";" 664.48993";" 385.45283";" 344.31528";" 328.73723";"  44.77672";" 238.62146";" 186.89871";" 281.98985";" 397.76161";" 573.95240";" 149.24736";" 355.56136";" 816.03601";" 506.32694";"1104.05238";"1072.80122";"1298.37817";" 500.81137";" 465.03746";" 488.27524";" 103.53861";" 199.16422"
"6am";" 106.66152";" 230.06083";" 374.49745";" 531.84386";" 117.92794";" 375.62176";" 283.31471";" 184.56213";" 154.11353";" 133.44286";" 578.99227";" 533.34955";" 399.92956";" 475.90835";" 192.71979";"  48.15660";" 480.12147";" 892.92598";" 650.27074";"1206.75494";" 207.78259";" 473.70266";" 319.56016";" 578.48315";" 196.58887";" 199.21478";" 310.27336";"  53.56276";" 277.72561";" 230.66820";" 416.48855";" 429.43680";" 412.01295";" 113.07985";" 256.95050";" 293.14202";" 172.61217";" 245.78261";" 240.50452";" 539.98057";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 168.25184";" 117.65228";" 288.80281";" 218.29013";" 109.19066";" 143.46735";" 205.57150";" 438.48569";" 260.29317";" 164.46023";" 219.23860";" 200.71693";" 414.58824";" 664.48993";" 385.45283";" 344.31528";" 328.73723";"  44.77672";" 238.62146";" 186.89871";" 281.98985";" 397.76161";" 573.95240";" 149.24736";" 355.56136";" 816.03601";" 506.32694";"1000.98078";"1072.80122";"1401.44977";" 500.81137";" 465.03746";" 488.27524";" 103.53861";" 199.16422"
"7am";" 106.66152";" 230.06083";" 374.49745";" 490.72053";" 117.92794";" 375.62176";" 283.31471";" 184.56213";" 154.11353";" 133.44286";" 578.99227";" 533.34955";" 399.92956";" 456.48696";" 192.71979";"  48.15660";" 480.12147";" 892.92598";" 650.27074";"1206.75494";" 268.32731";" 378.11330";" 319.56016";" 578.48315";" 292.17823";" 199.21478";" 310.27336";"  53.56276";" 277.72561";" 230.66820";" 416.48855";" 429.43680";" 412.01295";" 113.07985";" 256.95050";" 293.14202";" 119.19850";" 245.78261";" 240.50452";" 539.98057";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 168.25184";" 117.65228";" 288.80281";" 218.29013";" 109.19066";" 143.46735";" 205.57150";" 438.48569";" 260.29317";" 164.46023";" 219.23860";" 200.71693";" 414.58824";" 664.48993";" 385.45283";" 344.31528";" 328.73723";"  44.77672";" 238.62146";" 186.89871";" 281.98985";" 397.76161";" 573.95240";" 149.24736";" 355.56136";" 816.03601";" 506.32694";"1104.05238";"1072.80122";"1298.37817";" 500.81137";" 465.03746";" 488.27524";" 103.53861";" 199.16422"
"8am";" 106.66152";" 230.06083";" 524.46345";" 531.84386";" 117.92794";" 301.70660";" 357.22987";" 184.56213";" 154.11353";" 133.44286";" 578.99227";" 533.34955";" 291.22946";" 337.55417";" 169.24650";"  48.15660";" 465.76396";" 742.26948";" 688.20988";"1225.77172";" 200.80884";" 378.11330";" 387.04813";" 521.52723";" 383.03625";" 199.21478";" 388.08282";"  53.56276";" 241.00226";" 173.66997";" 486.91438";" 429.43680";" 422.92652";" 102.16628";" 125.22400";" 293.14202";" 119.19850";" 245.78261";" 240.50452";" 539.98057";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 168.25184";" 117.65228";" 288.80281";" 218.29013";"  78.79640";" 143.46735";" 205.57150";" 438.48569";" 317.29140";" 164.46023";" 219.23860";" 170.33839";" 344.16241";" 664.48993";" 385.45283";" 344.31528";" 328.73723";"  44.77672";" 238.62146";" 143.58728";" 281.98985";" 397.76161";" 528.03128";" 149.24736";" 355.56136";" 690.71521";" 631.64774";"1104.05238";"1015.19875";"1355.98064";" 500.81137";" 465.03746";" 531.58667";" 103.53861";" 199.16422"
"9am";" 146.80113";" 210.67879";" 431.36290";" 531.84386";" 117.92794";" 520.17531";" 234.35052";" 132.92025";" 116.38372";" 133.44286";" 578.99227";" 563.72809";" 230.72272";" 290.58173";" 154.40842";"  48.15660";" 678.48684";" 732.15776";" 826.89502";" 990.79599";" 200.80884";" 378.11330";" 524.56816";" 678.40810";" 250.00254";" 138.49442";" 352.62332";"  89.02226";" 241.00226";" 173.66997";" 515.87645";" 335.13498";" 449.45730";" 113.07985";" 256.95050";" 303.50643";" 119.19850";" 208.22193";" 206.15533";" 570.37483";" 222.55950";" 169.62551";" 189.61475";" 166.14608";" 256.08009";" 142.84940";" 117.65228";" 288.80281";" 218.29013";"  38.40222";" 143.46735";" 205.57150";" 438.48569";" 317.29140";" 164.46023";" 284.57835";" 170.33839";" 237.01150";" 738.58161";" 321.96163";" 344.31528";" 283.76247";"  44.77672";" 256.25616";" 143.58728";" 281.98985";" 397.76161";" 573.95240";" 149.24736";" 413.16383";" 544.02861";" 970.09558";"1212.74471";" 957.59628";" 967.57229";" 472.56383";" 465.03746";" 531.58667";" 103.53861";" 199.16422"
"10am";" 209.10028";" 253.57208";" 474.74960";" 445.07046";" 161.31464";" 471.21112";" 283.31471";" 132.92025";" 164.60154";" 133.44286";" 598.56238";" 629.01058";" 165.44023";" 351.08847";" 192.71979";"  48.15660";" 716.31764";" 657.12304";" 873.91650";" 907.58362";" 200.80884";" 334.23772";" 524.56816";" 549.33813";" 250.00254";" 198.12366";" 343.28186";"  89.02226";" 312.81860";" 106.59398";" 435.20060";" 524.45930";" 591.60241";"  93.50974";" 256.95050";" 313.89562";" 164.17326";" 208.22193";" 206.15533";" 586.73119";" 206.20314";" 206.41268";" 221.59775";" 138.20315";" 256.08009";" 142.84940";" 117.65228";" 193.43606";" 218.29013";"  38.40222";" 101.72101";" 205.57150";" 389.52467";" 260.29317";"  86.76215";" 219.23860";" 142.89268";" 311.10318";" 664.48993";" 448.62073";" 344.31528";" 283.76247";"  23.68684";" 256.25616";" 186.89871";" 238.00631";" 358.41612";" 504.94373";" 149.24736";" 482.17250";" 816.03601";" 494.58257";"1306.42148";" 764.13859";"1310.20431";" 472.56383";" 465.03746";" 532.25878";" 103.53861";" 199.16422"
"11am";" 168.96067";" 187.04592";" 224.28505";" 459.13293";" 433.08634";" 471.21112";" 266.58285";" 132.92025";" 210.73937";" 153.01297";" 518.38322";" 533.34955";" 291.22946";" 464.75692";" 130.93513";"  48.15660";" 569.56214";" 645.97898";" 678.04973";"1173.63272";" 200.80884";" 238.64836";" 564.70777";" 521.52723";" 345.59190";" 198.12366";" 411.90470";"  53.56276";" 358.91624";" 106.59398";" 435.20060";" 467.46107";" 591.60241";"  82.59617";" 273.30451";" 159.96709";" 179.73881";" 208.22193";" 206.15533";" 556.33693";" 206.20314";" 206.41268";" 316.86455";" 138.20315";" 256.08009";" 142.84940";" 158.29650";" 288.80281";" 218.29013";"  91.55596";" 143.46735";" 205.57150";" 389.52467";" 260.29317";" 164.46023";" 219.23860";" 142.89268";" 311.10318";" 716.13181";" 321.96163";" 344.31528";" 328.73723";"  23.68684";" 256.25616";" 186.89871";" 281.98985";" 358.41612";" 504.94373";" 149.24736";" 424.57003";" 816.03601";" 506.32694";"1061.94584";"1009.31096";"1316.02019";" 472.56383";" 465.03746";" 488.27524";" 103.53861";" 199.16422"
