"variable","CODE_SEC","RES_SEC","W_IND"
"h7","035","003",62.67414
"h7","035","014",53.73612
"h7","035","018",98.81243
"h7","035","019",138.96184
"h7","035","020",26.98352
"h7","035","022",95.58936
"h7","035","027",31.53803
"h7","035","033",89.92434
"h7","035","037",132.42625
"h7","035","038",40.28394
"h7","035","047",53.63564
"h7","035","048",32.77678
"h7","035","080",64.15805
"h8","003","004",71.71201
"h8","003","006",63.01476
"h8","003","012",50.61578
"h8","003","013",41.40562
"h8","003","014",100.6669
"h8","003","018",46.58908
"h8","003","019",32.23989
"h8","003","020",26.98352
"h8","003","027",79.574
"h8","003","033",68.82892
"h8","003","039",37.50611
"h8","013","011",67.62881
"h8","013","012",230.07712
"h8","013","020",89.32718
"h8","013","031",35.79166
"h8","013","036",34.61035
"h8","013","047",129.42225
"h8","013","053",90.04911
"h8","013","054",43.16443
"h8","013","061",54.15303
"h8","013","067",71.84915
"h8","032","008",20.96324
"h8","032","017",60.11206
"h8","032","019",67.2324
"h8","032","031",35.79166
"h8","032","037",57.65409
"h8","032","044",299.35672
"h8","032","046",57.7367
"h8","032","050",54.49394
"h8","032","051",46.97391
"h8","032","054",90.66033
"h8","032","069",47.74912
"h8","032","074",87.78898
"h8","035","003",62.67414
"h8","035","014",53.73612
"h8","035","018",98.81243
"h8","035","019",138.96184
"h8","035","020",26.98352
"h8","035","022",95.58936
"h8","035","027",31.53803
"h8","035","037",132.42625
"h8","035","038",40.28394
"h8","035","048",32.77678
"h8","035","071",65.66786
"h8","035","080",64.15805
"h9","003","004",105.95307
"h9","003","013",41.40562
"h9","003","014",100.6669
"h9","003","018",46.58908
"h9","003","019",32.23989
"h9","003","020",53.96704
"h9","003","027",100.77891
"h9","003","032",45.33591
"h9","003","033",68.82892
"h9","003","039",71.8553
"h9","013","011",67.62881
"h9","013","012",230.07712
"h9","013","020",89.32718
"h9","013","031",35.79166
"h9","013","036",34.61035
"h9","013","047",129.42225
"h9","013","053",150.75397
"h9","013","054",43.16443
"h9","013","059",143.7556
"h9","013","061",54.15303
"h9","013","067",71.84915
"h9","022","001",24.4043
"h9","022","017",47.15959
"h9","022","018",98.76983
"h9","022","021",33.22805
"h9","022","026",72.37045
"h9","022","029",36.72335
"h9","022","030",74.41993
"h9","022","042",37.26434
"h9","022","045",48.06012
"h9","022","048",36.72776
"h9","022","050",22.15005
"h9","022","066",50.34957
"h9","032","008",20.96324
"h9","032","017",60.11206
"h9","032","019",67.2324
"h9","032","031",90.19848
"h9","032","033",54.47304
"h9","032","037",57.65409
"h9","032","044",299.35672
"h9","032","046",57.7367
"h9","032","050",54.49394
"h9","032","051",46.97391
"h9","032","053",36.27642
"h9","032","054",90.66033
"h9","032","061",126.6904
"h9","032","069",47.74912
"h9","032","074",87.78898
"h9","035","003",62.67414
"h9","035","015",19.42814
"h9","035","018",98.81243
"h9","035","019",138.96184
"h9","035","020",26.98352
"h9","035","022",95.58936
"h9","035","027",31.53803
"h9","035","037",132.42625
"h9","035","038",40.28394
"h9","035","048",32.77678
"h9","035","071",65.66786
"h9","035","080",64.15805
"h9","075","034",32.39762
"h9","075","044",80.47339
"h9","075","067",378.94751
"h9","075","071",146.6866
"h9","075","072",98.91266
"h9","075","073",103.0716
"h9","075","074",443.9614
"h10","003","004",67.73223
"h10","003","006",43.09636
"h10","003","012",44.19044
"h10","003","013",41.40562
"h10","003","014",86.60845
"h10","003","018",132.4826
"h10","003","019",32.23989
"h10","003","020",53.96704
