"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"  0.0000";"  0.0000";"801.0457";"  0.0000";"  0.0000";"747.4812";"  0.0000";"  0.0000";"644.4674";"  0.0000";"529.3731";"  0.0000";"690.9246";"  0.0000";"  0.0000";"  0.0000";"628.3287";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"934.3078";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"919.9838";"  0.0000";"  0.0000";"628.6939";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8am";" 886.7351";"   0.0000";"1537.1924";"   0.0000";"   0.0000";"1091.4682";"   0.0000";"   0.0000";"1933.5542";"   0.0000";"1093.5466";"   0.0000";"1191.2747";"   0.0000";"   0.0000";"   0.0000";" 998.2305";"1174.1597";"1411.3089";"   0.0000";"   0.0000";"1799.1623";"1000.8727";" 763.0271";" 970.4499";"   0.0000";"2294.2160";" 938.8523";" 910.4083";"   0.0000";"   0.0000";"1532.4472";" 633.5441";"   0.0000";"1512.6410";"   0.0000";" 642.4411";"   0.0000";"   0.0000";" 876.6026";"   0.0000";"   0.0000";" 797.9885";"   0.0000";"   0.0000";"   0.0000";" 987.5087";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 707.0562";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 957.2147";" 877.2322";"   0.0000";" 875.3785";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"1479.7571";" 823.3016";"1985.3370";"   0.0000";"   0.0000";" 998.0203";"   0.0000";"   0.0000";"2427.9851";"   0.0000";"1348.6244";"   0.0000";"1172.7595";" 615.5506";"   0.0000";"   0.0000";"1294.9799";"1357.0247";"1696.4658";"   0.0000";"   0.0000";"2130.7837";"1411.2537";" 755.1343";"1092.0401";"   0.0000";"2716.1988";"1924.3059";"1089.1854";"   0.0000";"   0.0000";"2357.5126";"1242.9113";"   0.0000";"1722.9223";" 672.2036";" 685.1701";"   0.0000";"   0.0000";" 971.5330";"   0.0000";"   0.0000";"1013.9952";"   0.0000";"   0.0000";"   0.0000";"1292.6087";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 695.1797";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 922.5534";" 909.5145";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1075.8812";" 899.6011";"   0.0000";"1186.3437";"   0.0000";"1161.4798";"   0.0000";"   0.0000";"1149.2127";"   0.0000";"   0.0000"
"10am";"1538.2918";"1724.6807";"1933.8615";"   0.0000";"   0.0000";"1387.0615";"   0.0000";"   0.0000";"2603.9640";"   0.0000";"1264.0966";"   0.0000";"1239.6957";"   0.0000";"   0.0000";"   0.0000";"1412.8138";"1214.4884";"1641.1901";"   0.0000";"   0.0000";"2257.8627";"1616.6836";"   0.0000";"1062.1288";"   0.0000";"2865.4234";"2278.9993";"1200.3712";" 682.3139";"   0.0000";"2308.7275";"1398.9151";"   0.0000";"1446.0155";" 559.0154";" 654.9814";"   0.0000";"   0.0000";"1455.2640";"   0.0000";" 391.0892";"1122.5733";" 635.9258";"   0.0000";"   0.0000";"1292.9838";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 927.7816";"1019.0196";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1196.4586";"   0.0000";"   0.0000";"1263.4813";"   0.0000";"1267.4792";"   0.0000";"   0.0000";"1444.0457";"   0.0000";"   0.0000"
"11am";"1535.9336";"1710.6476";"1707.0396";"   0.0000";"   0.0000";"1472.7073";"   0.0000";"   0.0000";"2267.0507";"   0.0000";"1002.2998";"   0.0000";"1078.2939";"   0.0000";"   0.0000";"   0.0000";"1350.8600";"1237.2591";"1718.4591";"   0.0000";"   0.0000";"2150.7944";"1635.1013";"   0.0000";"1031.9134";"   0.0000";"2957.8563";"1912.0652";"1175.7920";"   0.0000";"   0.0000";"1932.7265";"1193.4570";"   0.0000";"1598.2009";"   0.0000";" 632.9529";"   0.0000";"   0.0000";"1446.1836";"   0.0000";"   0.0000";" 860.5554";" 926.1671";"   0.0000";"   0.0000";"1267.5999";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 700.5245";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1139.2586";"   0.0000";"   0.0000";"1061.1325";"   0.0000";"1168.0269";"   0.0000";"   0.0000";"1203.2112";"   0.0000";"   0.0000"
