"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657"
"4am";" 147.67323";" 382.71238";" 523.62905";"1056.51596";" 199.75416";" 548.03928";" 528.81817";" 386.80413";" 247.46151";" 332.99858";" 990.03041";"1005.45490";" 667.06458";" 978.86168";" 509.63101";" 154.67796";" 863.05524";"1866.97555";"1542.54143";"3066.01347";" 404.49797";" 935.08178";" 509.68512";"1465.50588";" 264.98879";" 168.47128";" 560.64521";"  86.83722";" 515.61498";" 437.08141";" 518.51537";" 811.32984";" 874.09554";" 228.73019";" 713.75128";" 815.71503";" 343.04902";" 545.50747";" 380.00709";"1171.72791";" 765.75149";" 324.67617";" 229.66095";" 303.84087";" 471.37244";" 291.60736";" 235.30456";" 873.92310";" 350.24381";" 178.26722";" 233.95037";" 435.78500";"1026.75191";" 613.86131";" 270.50961";" 320.45236";" 433.78711";"1126.00155";"1223.53612";" 742.71292";" 589.44834";" 697.47445";"  85.38505";" 608.23713";" 422.94136";" 648.44825";" 501.33691";"1112.50023";" 290.36692";" 713.28363";"1961.51764";"1218.58519";"2439.49631";"1698.82964";"2376.12267";"1399.77308";" 465.03746";" 686.91870";" 103.53861";"  96.55482"
"5am";" 147.67323";" 421.41363";" 523.62905";"1056.51596";" 199.75416";" 548.03928";" 528.81817";" 386.80413";" 247.46151";" 332.99858";" 990.03041";"1005.45490";" 667.06458";" 978.86168";" 509.63101";" 154.67796";" 863.05524";"1769.09703";"1542.54143";"3066.01347";" 404.49797";" 935.08178";" 509.68512";"1465.50588";" 264.98879";" 168.47128";" 560.64521";"  86.83722";" 515.61498";" 437.08141";" 518.51537";" 811.32984";" 874.09554";" 228.73019";" 713.75128";" 815.71503";" 440.92754";" 545.50747";" 341.30584";"1171.72791";" 765.75149";" 305.89387";" 229.66095";" 303.84087";" 471.37244";" 291.60736";" 235.30456";" 873.92310";" 314.37719";" 178.26722";" 233.95037";" 435.78500";"1026.75191";" 613.86131";" 270.50961";" 320.45236";" 433.78711";"1126.00155";"1223.53612";" 742.71292";" 589.44834";" 697.47445";"  85.38505";" 608.23713";" 422.94136";" 648.44825";" 501.33691";"1052.63066";" 290.36692";" 857.03726";"1961.51764";"1174.39198";"2439.49631";"1599.26922";"2376.12267";"1399.77308";" 465.03746";" 686.91870";" 103.53861";"  96.55482"
"6am";" 147.67323";" 421.41363";" 523.62905";"1056.51596";" 199.75416";" 585.70918";" 528.81817";" 386.80413";" 284.87734";" 251.93217";"1071.09682";"1005.45490";" 796.38294";" 997.64398";" 509.63101";" 277.09026";" 825.63941";"1769.09703";"1532.29837";"2929.99504";" 404.49797";" 957.49112";" 509.68512";"1388.32652";" 264.98879";" 168.47128";" 560.64521";" 124.50712";" 415.97770";" 437.08141";" 554.79179";" 811.32984";" 874.09554";" 228.73019";" 740.73480";" 734.28262";" 510.40846";" 470.16767";" 378.91633";"1171.72791";" 765.75149";" 281.14258";" 229.66095";" 303.84087";" 471.37244";" 291.60736";" 235.30456";" 801.43322";" 314.37719";" 178.26722";" 233.95037";" 435.78500";" 990.47549";" 613.86131";" 270.50961";" 320.45236";" 396.17662";"1088.86150";"1259.40274";" 742.71292";" 589.44834";" 697.47445";"  85.38505";" 554.90398";" 287.17456";" 648.44825";" 501.33691";"1006.70954";" 290.36692";" 857.03726";"1961.51764";"1174.39198";"2233.35311";"1784.15004";"2320.89387";"1081.72248";" 465.03746";" 686.91870";" 103.53861";"  96.55482"
"7am";" 225.31127";" 421.41363";" 610.91827";" 949.20779";" 199.75416";" 612.27451";" 528.81817";" 371.78678";" 479.72839";" 251.93217";" 981.98459";" 838.57373";" 697.40454";"1038.76731";" 414.82701";" 224.20910";" 790.38994";"1722.64695";"1382.26036";"2287.26291";" 336.97950";" 879.14964";" 418.17610";"1193.55647";" 742.68117";" 236.85533";" 881.55959";" 124.50712";" 415.97770";" 447.14644";" 580.30190";" 780.55268";"1071.05727";" 228.73019";" 866.78514";" 734.28262";" 487.06891";" 508.95093";" 341.30584";"1103.06522";" 765.75149";" 232.91235";" 338.36105";" 285.00093";" 423.44743";" 246.59648";" 268.34482";" 798.26428";" 314.37719";" 178.26722";" 233.95037";" 377.82306";" 869.96633";" 528.84966";" 270.50961";" 320.45236";" 396.17662";" 975.21032";"1259.40274";" 856.90205";" 598.95371";" 609.72611";"  61.69821";" 554.90398";" 287.17456";" 554.72913";" 451.48996";" 927.19401";" 347.26283";" 906.88421";"1753.13109";"1063.27188";"2368.29574";"1959.83645";"2435.22786";"1081.72248";" 465.03746";" 686.91870";" 103.53861";"  96.55482"
"8am";" 502.08749";" 421.96874";" 922.77272";" 927.70288";" 221.62065";" 609.29622";" 607.19363";" 371.78678";" 570.12996";" 291.78275";" 947.64752";" 814.89611";" 645.69415";" 786.69562";" 421.75580";" 224.20910";" 713.55100";"1700.54066";"1366.09312";"2203.27838";" 269.46103";" 935.63134";" 653.56767";" 999.00994";" 943.97689";" 170.91835";"1050.27918";" 408.99227";" 456.85155";" 357.57420";" 537.92779";" 801.16903";" 858.02900";" 187.33294";" 860.36546";" 734.28262";" 389.19039";" 508.95093";" 341.30584";"1166.90402";" 637.14453";" 187.87178";" 268.26059";" 266.16099";" 331.63423";" 246.59648";" 268.34482";" 691.40261";" 314.37719";" 117.47870";" 192.20403";" 377.82306";" 829.42118";" 567.52950";" 270.50961";" 320.45236";" 365.79808";" 779.03163";"1329.82857";" 832.35491";" 598.95371";" 565.55754";"  61.69821";" 554.90398";" 367.68672";" 508.35084";" 451.48996";" 881.27289";" 347.26283";" 906.88421";"1562.14243";"1123.38602";"1985.35517";"2017.87462";"2804.57033";"1081.72248";" 465.03746";" 587.59697";" 103.53861";"  96.55482"
"9am";" 830.02130";" 450.80843";"1060.06296";" 809.06342";" 221.62065";" 747.21620";" 484.31428";" 363.78488";" 485.94505";" 291.78275";" 900.75464";" 876.37761";" 538.60100";" 635.90851";" 340.96952";" 224.20910";"1142.17374";"1729.39072";"1649.23981";"1432.43138";" 269.46103";" 868.87142";" 849.05121";"1245.32741";"1321.93063";" 170.91835";" 998.50103";" 664.71775";" 440.83225";" 357.57420";" 595.85193";" 571.73981";" 920.23262";" 209.16008";"1183.23710";" 603.99285";" 379.84929";" 401.29261";" 263.13805";"1197.29828";" 637.14453";" 274.15846";" 229.66095";" 285.00093";" 312.79429";" 221.19404";" 319.35823";" 560.08669";" 314.37719";" 129.58598";" 192.20403";" 377.82306";" 828.42027";" 567.52950";" 270.50961";" 536.12601";" 279.51140";" 568.39566";"1403.92025";" 705.37251";" 565.38840";" 432.24564";"  61.69821";" 581.39634";" 367.68672";" 424.51958";" 451.48996";" 927.19401";" 347.26283";"1028.61697";"1308.67196";"1504.48744";"2177.91889";"1910.79699";"2273.62458";"1025.22740";" 506.95309";" 587.59697";" 183.41278";"  96.55482"
"10am";" 881.00881";" 519.14072";"1070.14565";" 650.71511";" 303.41535";" 728.64627";" 583.33706";" 363.78488";" 678.07958";" 291.78275";" 870.26616";" 969.68842";" 473.31851";" 696.41525";" 379.28089";" 224.20910";"1180.00454";"1617.63265";"1547.56451";"1608.90683";" 269.46103";" 819.44848";" 811.11207";"1044.47142";"1321.09731";" 266.50771";" 950.58944";" 664.71775";" 505.46462";" 235.89686";" 486.21401";" 934.21580";"1139.35299";" 148.07759";"1047.46927";" 532.18920";" 478.33372";" 437.11554";" 301.83930";"1213.65464";" 659.35830";" 364.42263";" 291.82108";" 265.70859";" 353.19537";" 221.19404";" 319.35823";" 493.63295";" 278.55426";" 129.58598";" 150.45769";" 348.77028";" 814.02547";" 510.53127";" 176.96066";" 320.45236";" 252.06569";" 642.48734";"1329.82857";" 847.88248";" 565.38840";" 476.41421";"  23.68684";" 581.39634";" 367.68672";" 378.46813";" 461.99142";" 858.18534";" 347.26283";"1047.77869";"1727.36596";" 882.28783";"2323.50419";"1717.33930";"2564.34807";"1025.22740";" 506.95309";" 675.56405";" 103.53861";"  96.55482"
"11am";" 728.53586";" 440.29027";" 724.51148";" 791.23950";" 604.51128";" 814.12208";" 530.64508";" 316.92983";" 827.25992";" 260.93472";" 790.08700";" 865.76994";" 538.60100";" 810.08370";" 336.92437";" 170.56890";" 904.11420";"1683.92238";"1289.02278";"2102.39230";" 269.46103";" 669.03333";" 865.83766";" 995.78144";"1222.97084";" 266.50771";"1077.06918";" 586.47142";" 551.56226";" 235.89686";" 548.00054";" 877.21757";"1125.86893";" 139.73451";"1008.07167";" 378.26067";" 449.73070";" 401.29261";" 345.65790";"1086.76704";" 659.35830";" 249.08317";" 337.28109";" 330.32465";" 312.79429";" 221.19404";" 436.72700";" 588.99970";" 289.93599";" 159.98024";" 192.20403";" 377.82306";" 780.46016";" 510.53127";" 270.50961";" 320.45236";" 338.35237";" 712.91317";"1442.91132";" 620.36086";" 598.95371";" 565.55754";"  23.68684";" 581.39634";" 328.86191";" 508.35084";" 461.99142";" 904.10646";" 347.26283";" 945.98301";"1623.33294";"1042.25843";"1872.04806";"1900.63072";"2727.66928";"1025.22740";" 465.03746";" 686.91870";" 103.53861";"  96.55482"
