"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251";"4557.29251"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"   0.0000";"   0.0000";" 720.7093";"   0.0000";" 669.8758";" 856.1052";"   0.0000";"   0.0000";"1299.3287";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1184.2342";"   0.0000";" 914.1346";"   0.0000";"   0.0000";" 813.4505";" 659.6254";"   0.0000";" 932.2454";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";" 882.7478";"   0.0000";"1674.2796";"   0.0000";"   0.0000";"1455.8221";"   0.0000";"   0.0000";"2514.6846";"   0.0000";" 926.4575";"   0.0000";" 939.2615";" 687.6042";"   0.0000";"   0.0000";"1529.2187";" 819.8263";"2277.9257";"   0.0000";"   0.0000";"1865.5594";"1696.4821";"   0.0000";"2041.0075";"   0.0000";"2169.5992";" 687.0679";"1075.8907";"   0.0000";"   0.0000";"1325.6408";" 618.5450";"   0.0000";"1278.3734";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1006.8916";"   0.0000";"   0.0000";" 905.9661";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 726.5990";"   0.0000";"   0.0000";" 774.4109";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"1448.5927";"1053.8269";"1995.9082";"   0.0000";" 926.7996";"1484.4751";"   0.0000";"   0.0000";"2863.5834";"   0.0000";"1066.1340";"   0.0000";" 921.5884";" 677.2390";"   0.0000";"   0.0000";"1772.6029";" 929.4958";"2579.2130";"   0.0000";"   0.0000";"2183.4369";"1965.5413";"   0.0000";"2717.0077";" 545.4236";"2974.4268";"1691.2298";"1335.4779";"   0.0000";"   0.0000";"1842.6973";"1266.2422";"   0.0000";"1312.8955";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1136.2941";"   0.0000";"   0.0000";"1027.2114";"   0.0000";"   0.0000";"   0.0000";"1240.0110";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 759.7157";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 894.7406";"   0.0000";"   0.0000";"1001.0005";"   0.0000";"1278.4833";"   0.0000";"   0.0000";"1148.4420";"   0.0000";"   0.0000"
"10am";"1510.7682";"1923.2115";"1968.7406";" 648.0463";" 833.2442";"1796.3613";"   0.0000";"   0.0000";"3263.5027";"   0.0000";" 998.3636";"   0.0000";" 983.5221";" 665.0290";"   0.0000";"   0.0000";"1900.0881";" 778.0206";"2537.0033";"   0.0000";"   0.0000";"2204.0866";"2233.8205";"   0.0000";"2762.1790";" 551.6602";"3012.1754";"1930.3023";"1416.3207";" 764.4260";"   0.0000";"1879.3357";"1355.3702";"   0.0000";"1272.8540";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1595.5270";"   0.0000";"   0.0000";"1258.5326";" 628.5601";"   0.0000";"   0.0000";"1276.7505";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1146.3579";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1056.0559";"   0.0000";"   0.0000";"1233.0893";"   0.0000";"1185.2999";"   0.0000";"   0.0000";"1443.2750";"   0.0000";"   0.0000"
"11am";"1600.8122";"1999.3576";"1851.2700";" 662.4251";" 759.7792";"1940.8214";"   0.0000";"   0.0000";"2954.9254";"   0.0000";" 824.9550";"   0.0000";" 943.4956";"   0.0000";"   0.0000";"   0.0000";"1879.1646";" 749.0108";"2619.7235";"   0.0000";"   0.0000";"2263.8710";"2136.8709";"   0.0000";"2708.4026";" 576.6802";"3060.0583";"1699.2576";"1391.7415";"   0.0000";"   0.0000";"1598.9854";"1133.1099";"   0.0000";"1305.1491";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1590.1818";"   0.0000";"   0.0000";"1042.0371";" 864.5745";"   0.0000";"   0.0000";"1306.1840";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 948.6841";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 911.5849";"   0.0000";"   0.0000";" 988.5308";"   0.0000";"1173.6365";"   0.0000";"   0.0000";"1202.4405";"   0.0000";"   0.0000"
