"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","004",41.12333
"h7","003","006",63.02648
"h7","003","009",84.16911
"h7","003","012",132.92387
"h7","003","013",108.7001
"h7","003","016",47.01312
"h7","003","023",46.09082
"h7","003","028",51.44195
"h7","003","034",19.57011
"h7","003","039",45.21488
"h7","003","045",58.23811
"h7","003","057",23.19742
"h7","005","006",60.42982
"h7","005","017",33.12514
"h7","005","029",54.10825
"h7","005","036",81.43241
"h7","005","037",40.67797
"h7","005","038",41.28761
"h7","005","040",175.51683
"h7","005","055",44.44442
"h7","005","059",72.5685
"h7","005","064",66.28484
"h7","006","003",69.10185
"h7","006","004",43.6206
"h7","006","005",52.58473
"h7","006","007",59.3548
"h7","006","010",47.38675
"h7","006","011",67.41326
"h7","006","013",66.87162
"h7","006","014",88.2186
"h7","006","023",49.9326
"h7","006","025",41.24449
"h7","006","026",60.72036
"h7","006","029",38.556
"h7","006","037",53.41367
"h7","006","038",35.89117
"h7","006","053",60.70486
"h7","006","063",21.08988
"h7","009","005",15.52347
"h7","009","006",69.95049
"h7","009","007",30.26244
"h7","009","013",107.591
"h7","009","014",53.73612
"h7","009","015",77.16882
"h7","009","018",95.91082
"h7","009","022",46.76122
"h7","009","026",35.16219
"h7","009","027",109.42702
"h7","009","028",86.61594
"h7","009","032",47.70793
"h7","009","035",33.24292
"h7","009","038",39.28466
"h7","009","041",30.90329
"h7","009","046",78.1308
"h7","009","049",34.20997
"h7","009","052",98.8649
"h7","009","056",53.64306
"h7","009","073",155.2316
"h7","017","002",37.31206
"h7","017","003",78.92997
"h7","017","005",38.88597
"h7","017","006",256.5174
"h7","017","010",53.11253
"h7","017","013",52.47557
"h7","017","015",48.27878
"h7","017","019",42.26127
"h7","017","021",20.8422
"h7","017","037",80.04775
"h7","017","038",40.28394
"h7","017","040",49.61467
"h7","017","042",30.94051
"h7","017","047",31.21032
"h7","017","048",57.80846
"h7","017","049",25.00939
"h7","017","054",71.13016
"h7","017","066",43.98354
"h7","017","070",125.5897
"h7","019","002",21.40786
"h7","019","004",27.77684
"h7","019","017",60.90925
