"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309"
"4am";"32.069639";"25.339942";"24.121714";"14.119411";"26.037224";"25.414122";"22.512527";"11.070817";"20.313428";"12.661319";" 5.162007";" 8.617505";"10.063785";" 7.207203";"16.312511";"24.521338";"18.557889";" 8.154974";" 4.874891";" 0.000000";"13.332083";" 9.431785";"10.107306";" 7.257742";"28.331178";"22.422820";"15.382989";"14.891936";"10.504784";"19.208116";"13.678752";"12.295979";"17.909368";"13.476977";"19.498459";"11.221072";"13.468726";" 9.636661";"19.885054";"15.842340";"19.148711";"15.315489";"11.015560";" 8.836342";" 7.826148";"15.262364";" 8.986901";" 5.000430";" 5.575200";" 7.171887";"21.877787";"15.521471";" 8.572689";" 9.088680";"15.037586";"10.759385";"17.678487";" 8.730792";" 5.543383";" 5.552701";" 9.552607";"13.215610";"12.915917";" 4.368234";" 3.693552";" 8.354629";" 4.831188";" 1.072863";" 7.523260";" 6.051636";" 3.272114";" 6.465747";" 8.157936";"10.311335";" 8.356881";" 3.644242";"18.112723";"11.664512";"12.042287";"18.565615"
"5am";"31.255780";"24.997555";"23.705290";"14.203695";"26.037224";"25.414122";"22.427378";"11.123264";"18.534889";"12.953301";" 5.108026";" 8.751603";" 9.760300";" 7.305111";"16.463882";"25.015238";"18.401654";" 8.287088";" 4.874891";" 0.000000";"13.426755";" 9.156207";" 9.683237";" 7.286950";"27.976057";"22.422820";"15.654362";"14.947254";"11.194372";"19.208116";"13.865963";"11.717540";"17.844901";"13.310239";"18.951417";"11.116714";"12.651753";" 9.685898";"20.017586";"16.507542";"19.148711";"15.494444";"10.967976";" 8.877805";" 7.931562";"15.046487";" 9.384362";" 5.000430";" 5.468095";" 7.213032";"22.439685";"15.623056";" 8.572689";" 9.190941";"15.330653";"10.923423";"17.459200";" 8.941271";" 5.544255";" 5.438385";" 9.693665";"13.250362";"13.265216";" 4.368234";" 3.718789";" 8.354629";" 4.975837";" 1.101109";" 7.278250";" 5.899777";" 3.330563";" 6.598137";" 8.240599";"10.584362";" 8.313829";" 3.663850";"18.213045";"11.761185";"12.042287";"18.847577"
"6am";"30.531829";"25.345020";"23.055812";"14.417783";"26.327930";"25.839323";"21.723896";"11.254487";"17.837804";"13.200477";" 5.045625";" 8.863184";" 8.187103";" 7.400973";"16.969604";"24.136807";"18.892267";" 8.301089";" 4.916339";" 0.000000";"12.198088";" 8.105979";" 9.169844";" 7.629326";"29.523342";"22.133507";"15.883244";"13.715182";"10.179903";"18.808824";"14.676514";"11.091299";"16.621100";"13.402148";"17.932153";"11.069578";"13.153856";"10.080353";"20.747222";"16.524465";"18.736463";"15.880864";"11.384935";" 9.323839";" 8.176182";"15.778567";" 8.800203";" 4.821283";" 6.399511";" 7.289956";"22.219275";"14.503239";" 9.244257";" 8.006082";"16.071239";"10.923423";"17.793906";" 8.858026";" 6.147785";" 5.593744";"10.345971";"14.057766";"13.824964";" 3.895915";" 6.137987";" 8.916220";" 4.937998";" 1.125097";" 7.562826";" 5.918531";" 3.434882";" 6.628742";" 6.390630";"10.338559";" 8.363236";" 4.015996";"17.022476";"12.160736";"11.488553";"20.020639"
"7am";"27.550493";"22.644947";"20.969856";"13.820749";"31.059475";"21.778872";"21.797065";" 6.970215";"20.259730";"13.088607";" 3.475225";" 9.861351";" 7.588974";" 7.316165";"16.222267";"24.027768";"17.055676";" 8.063593";" 5.214147";" 3.153326";"12.269463";"14.890911";"10.238122";" 5.283176";"19.871462";"21.352607";"13.949920";"15.807814";"10.274742";"16.118960";"13.298555";"11.885918";"13.565798";"13.474312";"14.751359";"12.109983";"14.650986";" 7.223162";"19.453637";"13.134067";"18.638805";"17.356590";"12.428608";" 8.665636";" 7.605866";"14.320954";" 6.608578";" 7.562875";" 5.913047";" 8.535331";"20.269537";"13.978008";" 7.825257";" 6.126818";"14.290713";"10.584976";"15.120324";" 9.047898";" 5.259188";" 9.096794";" 8.033259";"15.612000";"15.622773";" 4.657308";" 6.560994";"10.898337";" 5.804778";" 1.184678";" 8.303741";" 5.331998";" 2.798389";" 9.754210";" 5.509830";"11.456318";" 6.829589";" 3.978785";"17.152799";"12.107151";"10.151053";"18.921684"
"8am";"28.959863";"18.024583";"16.586725";"13.266835";"29.495123";"14.411241";"19.000368";" 5.861855";"18.618856";"17.018599";" 7.844077";" 9.410440";" 7.103424";" 5.091262";"12.780962";"17.193170";"17.751595";" 8.332695";"10.784539";" 3.073005";"11.163045";"21.577407";"11.348472";" 2.057868";"20.013786";"22.631190";"18.739044";"13.077518";"10.128729";"14.443156";"14.231564";"13.762739";" 9.468654";"14.111315";"10.032588";"11.960817";"15.749686";"11.964631";"17.303411";"14.135131";"14.897323";"10.195375";"15.732029";"14.983883";" 8.449384";"15.761649";" 7.164629";" 6.210357";" 6.198006";" 6.712635";"18.001926";"11.362492";" 7.292691";" 4.798139";"13.783342";" 9.996963";"16.072805";" 9.831598";" 3.480547";"10.402028";" 4.148967";"10.798898";" 9.630167";" 4.737097";" 6.799468";" 9.640162";" 4.137623";" 1.270924";" 6.642664";" 5.797369";" 1.790539";" 9.199924";" 6.568768";"12.255194";" 5.576269";" 4.276970";"14.927348";"11.385506";"10.722174";"17.733639"
"9am";"27.0351147";"18.5620903";"14.3502965";"10.2870241";"27.0531710";"18.1651328";"18.1172499";" 6.2076195";"17.8738337";"16.2572506";" 8.9725347";" 9.0170898";" 7.2010256";" 5.6173365";"12.3602833";"14.3236518";"16.5508236";" 8.0297359";"10.6416258";" 3.7886954";"11.0019041";"21.7077237";"13.4350416";" 0.6580575";"18.9050797";"25.5299805";"21.3152711";"11.8749853";"10.1714161";"11.1074088";"13.0282472";"12.4711490";"11.5000307";"12.1336916";" 9.8576178";"15.2308219";"16.8029081";"11.2374397";"18.4596472";"13.6776244";"18.7748724";"10.4588215";"16.1586347";"13.0801319";" 4.2402144";"14.0057217";" 6.7047249";" 3.9148489";" 5.8482536";" 6.3469523";"18.6873221";"12.1156904";" 5.2988702";" 4.6983064";"13.0183726";" 9.8694467";"13.8266408";" 7.2926858";" 4.6735022";" 9.2245166";" 3.4012494";" 9.7530166";"10.3256291";" 5.0997326";" 6.8046818";" 9.2272040";" 4.3175419";" 1.2940958";" 8.1242018";" 4.5703015";" 1.8953142";" 9.6360549";" 7.7260682";"11.3366565";" 5.6277174";" 4.4127492";"14.8652961";"10.3470212";" 9.7416529";"17.5737902"
"10am";"26.959495";"17.656658";"14.373540";"12.579507";"31.404628";"16.608423";"15.864214";" 5.903069";"16.423481";"18.648182";" 6.663864";" 9.265376";" 8.044395";" 6.211557";"13.643430";"14.623779";"15.733500";" 7.417444";" 9.949564";" 5.065072";"11.165832";"22.723025";"13.190891";" 1.466527";"18.977651";"27.206590";"21.222790";"13.071621";" 9.454188";"11.241892";"12.103560";"12.352012";"11.160263";"11.979101";" 9.283226";"12.131138";"12.395816";"11.040359";"19.837015";"12.396863";"18.021733";"11.228010";"15.524847";"13.102322";" 5.895624";"12.246009";" 5.906237";" 4.217458";" 4.932368";" 6.475265";"11.463545";"12.252423";" 7.440791";" 5.283257";"10.905201";"11.424328";"10.291225";" 7.366969";" 6.069439";" 8.558393";" 2.843945";" 8.784758";"11.548413";" 5.297383";" 9.009331";" 9.457795";" 3.444240";" 1.279292";" 8.347889";" 4.178043";" 2.119506";"10.018145";" 7.465247";"11.547244";" 6.340973";" 4.565350";"16.193530";" 9.549233";" 9.759172";"18.597825"
"11am";"28.448728";"12.244927";"16.098814";"12.235482";"29.435449";"12.528788";"15.303032";" 8.234217";"18.557233";"19.942654";" 7.324362";" 9.947036";" 9.302733";" 4.169478";"12.379138";"14.079250";"17.310947";" 6.461532";"10.068474";" 4.917815";"10.498391";"23.860418";"12.618800";" 0.000000";"21.153405";"25.918281";"20.052404";"12.924398";"10.016491";"12.601629";"12.422786";" 9.583632";"13.169452";"13.471369";" 8.300178";"15.218484";"12.565866";"12.514986";"21.032806";"13.620857";"16.896312";"12.323301";"19.598103";"10.871350";" 5.985724";"12.680471";" 5.898804";" 3.009821";" 5.850963";" 6.004637";"13.661146";"11.241655";" 7.520706";" 5.206654";"12.493942";" 9.936504";"10.578094";" 7.369967";" 5.429666";" 8.696781";" 3.945915";" 8.722797";"10.502896";" 5.128735";" 7.967359";"11.003686";" 3.652683";" 1.259194";" 7.233385";" 4.293987";" 1.808501";" 9.649864";" 8.971029";"11.696377";" 4.642044";" 3.950949";"16.784390";"10.426357";"10.154228";"17.672271"
