"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","004",41.12333
"h7","003","006",63.02648
"h7","003","013",169.20684
"h7","003","014",79.9689
"h7","003","016",21.14288
"h7","003","026",46.50221
"h7","003","034",51.04798
"h7","003","035",140.1371
"h7","003","039",45.21488
"h7","003","042",20.61635
"h7","003","045",58.23811
"h7","003","057",23.19742
"h7","003","074",99.56042
"h7","006","001",25.59804
"h7","006","002",19.63369
"h7","006","003",172.76239
"h7","006","005",34.61902
"h7","006","011",67.41326
"h7","006","023",49.9326
"h7","006","029",38.556
"h7","006","037",53.41367
"h7","006","038",104.37127
"h7","006","039",30.8699
"h7","006","063",21.08988
"h7","006","066",50.34957
"h7","009","007",30.26244
"h7","009","008",35.12276
"h7","009","013",40.16138
"h7","009","014",52.92406
"h7","009","015",26.14454
"h7","009","017",27.78411
"h7","009","018",95.91082
"h7","009","021",20.8422
"h7","009","025",86.7782
"h7","009","026",35.16219
"h7","009","028",47.64195
"h7","009","030",78.60021
"h7","009","033",142.61
"h7","009","038",39.28466
"h7","009","044",80.98913
"h7","009","046",45.01088
"h7","009","048",40.40793
"h7","009","053",90.04911
"h7","009","064",31.59028
"h7","009","067",115.4509
"h7","009","080",63.69139
"h7","011","005",52.2224
"h7","011","006",63.02648
"h7","011","010",31.18977
"h7","011","014",121.09946
"h7","011","037",43.90732
"h7","011","041",37.06222
"h7","011","043",39.0766
"h7","011","044",53.0462
"h7","011","054",46.73358
"h7","011","055",31.08747
"h7","011","067",107.9014
"h7","017","003",78.92997
"h7","017","005",17.60338
"h7","017","006",256.5174
"h7","017","013",52.47557
"h7","017","015",79.38174
"h7","017","019",42.26127
"h7","017","020",71.85699
"h7","017","042",30.94051
"h7","017","047",31.21032
"h7","017","048",35.94917
"h7","017","055",55.34931
"h7","017","057",47.71641
"h7","017","070",125.5897
"h7","017","072",40.25747
"h7","019","002",21.40786
"h7","019","004",27.77684
"h7","019","014",77.80946
"h7","019","016",57.1343
"h7","019","018",46.58908
"h7","019","020",52.28701
"h7","019","021",61.56517
"h7","019","022",42.67212
"h7","019","033",188.269
