"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104"
"4am";"53.2493951";"43.1871302";"36.2884990";"25.0285683";"39.4149918";"40.7416861";"47.5310034";"31.1774212";"35.3025287";"25.5637686";" 8.7557146";"16.2562555";"18.2915678";"22.9298568";"25.6929290";"28.0232024";"34.5329091";"15.5789482";"10.1050204";" 0.9543813";"19.7714207";"34.3701927";"30.7662816";"10.1284194";"53.6745979";"52.2484784";"24.9628078";"26.4690251";"18.4057530";"30.7930011";"11.1351763";"19.8303221";"17.6042178";"20.0660090";"23.6493185";"20.9998006";"18.2979267";"20.2745030";"22.5572628";"32.8902811";"26.2038314";"20.2145711";"16.9021140";" 9.2947486";"13.9988731";"16.4828082";"12.9313089";"15.1607970";"18.2734056";"11.7427460";"20.9191165";"29.0636716";"20.5617766";"10.8993581";"12.7486335";" 9.6436366";"30.0308015";" 9.5967830";" 7.4207026";" 2.4269728";"11.0738904";"22.6991976";"18.2095585";"16.1597219";"11.6968538";"21.4640487";"11.0209786";" 5.3017934";"12.9979635";" 8.4457066";" 2.6209636";" 7.1052378";"17.8946606";"10.5603708";" 8.7377504";" 4.5074097";"15.5448172";"16.0968451";"14.3902280";"18.2797326"
"5am";"51.8980389";"42.6114384";"36.5140495";"24.5810385";"39.4149918";"40.7416861";"47.3512278";"31.3251205";"35.6338529";"26.1532937";" 8.6641526";"16.5092216";"17.7399641";"23.2413521";"25.9313452";"28.5876354";"33.2918379";"15.8313323";"10.1050204";" 0.9770288";"19.9118196";"33.3838110";"29.4754305";" 8.7407057";"53.0018066";"52.2484784";"23.7508627";"26.5653877";"19.6558750";"30.7930011";"11.2875751";"19.7066359";"17.5408491";"19.8177507";"22.9858225";"20.8044981";"18.4089023";"21.1504505";"22.7076044";"32.6989632";"26.2038314";"20.4507705";"16.8291009";" 9.3383621";"14.1874292";"16.2496686";"13.5032177";"15.1607970";"18.4672332";"11.8101138";"21.4563929";"29.2538870";"20.5617766";"11.0219922";"12.9970907";" 9.7906647";"29.6582946";" 9.8281388";" 7.4218702";" 2.3770076";"11.2374125";"22.7588869";"18.7020193";"16.1597219";"11.7767729";"21.4640487";"11.3509542";" 5.4413791";"11.0794484";" 8.2337721";" 2.6677808";" 7.2507210";"16.3083327";"10.8399913";" 8.6927370";" 4.5316619";"15.6309159";"16.2306771";"14.3902280";"18.5622176"
"6am";"51.478585";"42.510137";"35.532584";"24.345610";"39.574776";"40.256301";"46.738530";"31.202285";"34.112844";"26.068905";" 8.558309";"16.719709";"16.658882";"23.546340";"26.727880";"27.583757";"34.186840";"15.858081";" 8.980971";" 1.018802";"19.827750";"33.146593";"29.683945";" 9.153908";"52.342948";"52.629776";"23.392368";"24.967785";"19.823710";"30.152886";"11.223774";"17.154665";"16.309708";"19.164286";"23.380867";"20.716285";"17.767594";"21.297679";"22.363915";"32.033770";"25.643807";"20.173787";"16.799834";" 9.807535";"14.624989";"17.040290";"12.632316";"16.049808";"17.919472";"11.936064";"21.192438";"31.624129";"20.944390";" 9.861079";"13.624948";" 9.790665";"28.558595";" 9.736637";" 8.229791";" 2.444912";"11.993600";"23.169105";"19.491182";"16.084863";"12.520845";"21.975537";"11.264636";" 4.845622";"11.512649";" 8.184463";" 2.751341";" 7.284353";"15.022392";"10.588252";" 8.744395";" 4.967217";"16.183093";"14.337207";"13.370643";"19.739047"
"7am";"50.473693";"34.244359";"33.669583";"28.084450";"42.422082";"38.173666";"45.128025";"28.969682";"34.644998";"24.647580";" 7.515878";"15.665860";"13.039385";"20.491980";"26.612088";"30.648859";"33.161226";"14.954780";"16.236627";" 1.058916";"19.941825";"34.445972";"27.300308";" 8.800023";"41.793469";"44.779659";"19.007594";"24.325863";"17.383903";"29.669090";"10.393388";"13.500714";"14.597017";"18.952068";"20.129091";"22.237858";"17.621643";"19.008374";"20.085236";"29.634472";"23.959944";"21.648651";"17.222930";"12.089525";"13.647505";"13.254315";" 9.758505";"17.089540";"19.145524";"11.194725";"18.632801";"28.552712";"16.614831";" 8.206644";" 9.501269";"10.161914";"27.388659";" 7.778569";" 7.356359";" 5.494743";"10.637403";"23.253813";"19.918516";"17.758667";"12.114831";"22.732553";"10.139632";" 5.102228";"12.640521";" 6.727842";" 2.895004";" 7.432803";"14.501232";"12.997270";" 9.224515";" 4.082118";"17.244288";"14.353500";"13.348291";"20.510192"
"8am";"45.697000";"31.647336";"30.360569";"24.293504";"39.614224";"33.729339";"38.418244";"24.540455";"30.006575";"25.502015";"12.543560";"15.244829";"15.785112";"17.685889";"20.725815";"24.919462";"33.455685";"11.749165";"22.111589";" 3.289004";"13.153224";"39.844167";"26.269560";"11.111078";"42.487976";"42.792749";"25.446227";"22.346986";"23.545252";"26.122428";"12.683392";"11.706871";" 9.473982";"19.495249";"16.641199";"21.823653";"15.266473";"27.122973";"24.940513";"30.019450";"22.987851";"20.073582";"18.491880";"20.790119";"10.344995";"11.434605";" 9.185972";"16.001925";"14.542337";" 9.606047";"19.485455";"18.926876";"12.495065";" 9.721144";"11.198135";"11.954191";"27.496164";" 7.468209";" 5.005105";" 6.792836";" 7.445996";"17.260712";"16.841665";"18.790360";"10.145332";"19.508617";" 5.137117";" 5.253917";"10.626803";" 7.500653";" 4.014702";" 6.819587";"12.157623";"13.793537";"11.252630";" 4.388047";"17.858116";"14.484045";"11.478258";"15.736639"
"9am";"45.305630";"31.097799";"26.627992";"24.319881";"32.474877";"38.341056";"39.408707";"22.466354";"27.858159";"22.050808";"14.026535";"13.657929";"15.232185";"19.130843";"18.777075";"24.497522";"30.087242";"11.203068";"22.587518";" 3.451666";"12.985142";"40.074245";"24.759316";"11.374437";"37.438723";"42.963954";"27.974536";"23.065764";"23.661116";"24.378440";"13.491826";"14.041862";"12.353356";"19.827483";"17.975751";"22.750586";"19.646903";"25.516565";"30.359980";"29.248235";"26.001389";"18.312022";"17.980430";"21.768494";" 9.064252";"11.206745";"12.052839";"10.707258";"12.463871";" 7.327955";"19.098811";"19.657927";"10.069739";" 8.463801";"12.961653";"11.211854";"28.690513";" 5.164979";" 5.551700";" 6.190376";" 8.740151";"15.584312";"17.831036";"11.437753";"12.852402";"19.397110";" 4.809935";" 5.349709";"12.928181";" 6.871980";" 4.249627";" 7.341835";"12.817378";"14.479050";"11.079656";" 4.527352";"16.260658";"17.046229";"10.811505";"13.017178"
"10am";"42.445322";"31.479879";"27.225969";"24.385983";"36.391249";"38.236696";"31.399722";"23.066135";"28.392480";"24.402571";"13.817138";"11.805504";"15.735707";"21.077758";"20.255106";"23.155110";"27.663980";"14.114939";"22.183886";" 4.699246";"11.893857";"39.303946";"25.041291";" 8.635718";"36.702898";"43.418827";"27.419896";"23.259140";"23.365409";"23.459691";"13.614060";"15.682669";"11.608887";"22.896079";"17.919567";"19.737890";"17.046617";"24.280435";"28.548396";"29.060658";"24.716488";"19.450944";"14.470895";"23.719820";"10.963382";" 9.510605";"11.087675";"12.870217";"12.825115";" 8.804915";"14.283559";"19.872569";"12.380523";" 7.802816";"10.845752";"10.628858";"26.060276";" 6.661050";" 6.622507";" 7.334369";" 7.788571";"15.514632";"19.272727";"13.688451";"14.751655";"20.073316";" 4.877185";" 5.288512";"13.416150";"10.050201";" 3.463346";" 7.491717";"10.493101";"13.404703";"10.786135";" 4.683916";"15.376966";"15.501975";"11.099742";"15.483376"
"11am";"45.467805";"23.530551";"27.708475";"24.937421";"33.235724";"33.156920";"32.132766";"24.945257";"30.370869";"24.877028";"11.451919";"11.876835";"18.160994";"16.608160";"16.799746";"26.913325";"33.777872";"12.679702";"24.536596";" 5.078808";" 9.711537";"37.297215";"25.141075";" 8.702140";"41.750859";"43.895876";"28.143260";"23.894231";"26.338610";"23.576931";"12.644684";"15.377284";"10.058613";"25.252528";"17.720622";"21.528851";"17.103147";"23.413746";"31.651399";"30.702404";"24.711021";"21.568658";"17.496180";"22.406060";" 9.686890";"10.014894";"10.829002";"11.474378";"13.321955";" 8.830741";"15.856192";"16.783648";"12.885740";" 8.196402";"12.434211";"10.276212";"21.857898";" 6.114441";" 5.102467";" 7.558275";" 7.084869";"13.509291";"19.432033";"15.351556";"13.940836";"24.180783";" 5.172349";" 5.205428";"11.170217";" 8.904617";" 2.351126";" 7.434321";"12.048347";"12.716587";"11.260008";" 4.780228";"15.481505";"15.269340";"11.424913";"15.796654"
