"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461"
"4am";"1899.55112";"1237.13040";"3853.54107";"1236.86202";"1842.27137";"3256.92814";"2954.44544";" 966.66594";"2705.16019";"1447.30116";" 656.20408";"1420.35572";"1265.88900";"2451.56097";"1223.08030";"1434.05977";"2172.61553";"1549.35954";" 585.20315";"  68.38405";" 875.35229";"2008.41242";"1642.60283";" 645.71851";"1839.60582";"3590.41324";"1538.30797";"1943.74095";"1287.50818";"1407.97576";" 911.38826";"1406.98579";"1880.94520";" 494.12752";"1625.96243";"1364.22614";"1639.76361";"1196.36027";"1145.96057";"3456.07967";"1545.57953";" 761.93857";"1131.26738";" 452.03725";" 880.04018";"1008.55507";" 901.28829";" 913.37454";" 964.54651";" 363.02707";" 722.56554";"1722.13201";"1571.63134";" 779.07812";" 650.90240";" 704.88772";"1164.13389";" 706.25119";" 878.15445";" 164.22419";"1137.50076";"2197.17376";" 688.15505";"1231.17219";" 919.33354";"1595.04409";"1208.22126";" 429.59335";" 609.00645";" 937.16907";" 270.95663";" 529.38239";"2290.41446";"1063.73315";"1081.81977";" 286.62788";"1415.17830";"1495.58312";"1479.98255";"1396.78692"
"5am";"1899.55112";"1237.13040";"3944.25878";"1207.53779";"1842.27137";"3256.92814";"2954.44544";" 966.66594";"2860.39179";"1447.30116";" 656.20408";"1420.35572";"1265.88900";"2451.56097";"1223.08030";"1434.05977";"2112.46309";"1549.35954";" 585.20315";"  68.38405";" 875.35229";"2008.41242";"1642.60283";" 555.00080";"1839.60582";"3590.41324";"1438.25076";"1943.74095";"1410.96989";"1407.97576";" 911.38826";"1406.98579";"1880.94520";" 494.12752";"1625.96243";"1364.22614";"1639.76361";"1241.70397";"1145.96057";"3456.07967";"1545.57953";" 761.93857";"1131.26738";" 452.03725";" 880.04018";"1008.55507";" 901.28829";" 913.37454";" 993.87074";" 363.02707";" 722.56554";"1722.13201";"1571.63134";" 779.07812";" 650.90240";" 704.88772";"1164.13389";" 706.25119";" 878.15445";" 164.22419";"1137.50076";"2197.17376";" 688.15505";"1231.17219";" 919.33354";"1595.04409";"1208.22126";" 429.59335";" 502.54002";" 937.16907";" 270.95663";" 529.38239";"2066.43466";"1063.73315";"1081.81977";" 286.62788";"1415.17830";"1495.58312";"1479.98255";"1396.78692"
"6am";"1928.87535";"1217.49671";"3944.25878";"1178.21356";"1829.31544";"3118.99776";"2905.63293";" 951.64859";"2845.30792";"1415.61822";" 656.20408";"1420.35572";"1243.60451";"2451.56097";"1223.08030";"1434.05977";"2112.46309";"1549.35954";" 515.72223";"  68.38405";" 842.12424";"2247.91480";"1644.09051";" 555.00080";"1885.26956";"3537.08627";"1438.25076";"1890.17819";"1370.79972";"1407.97576";" 911.38826";"1293.93811";"1707.70506";" 474.55741";"1747.91511";"1364.22614";"1522.22751";"1201.42003";"1088.92486";"3382.30536";"1483.85567";" 733.33026";"1131.26738";" 452.03725";" 880.04018";"1008.55507";" 832.10016";" 880.59776";" 924.33799";" 363.02707";" 683.41198";"1722.13201";"1484.57738";" 688.02249";" 650.90240";" 704.88772";"1099.88342";" 706.25119";" 878.15445";" 164.22419";"1137.50076";"2108.30815";" 688.15505";"1185.50845";" 919.33354";"1530.19550";"1208.22126";" 374.40228";" 502.54002";" 959.53802";" 270.95663";" 529.38239";"1779.11206";"1063.73315";"1081.81977";" 286.62788";"1415.17830";"1277.56402";"1369.58016";"1396.78692"
"7am";"2172.31411";" 970.61922";"3944.95843";"1323.76065";"2105.96548";"3105.49418";"2546.77154";" 776.00498";"3851.18324";"1254.93188";" 581.90086";"1196.12343";" 909.96745";"1691.71416";" 993.39189";"1364.60558";"2244.27488";"1431.68830";"1099.87583";"  65.03452";" 748.42747";"2619.42278";"1737.35876";" 521.47623";"2521.80972";"2562.96802";"1357.20222";"1983.20757";"1214.88083";"1454.17842";" 716.57117";"1103.00716";"1494.29096";" 506.09158";"1628.06956";"1338.61277";"1414.39558";" 831.30862";" 846.39600";"2820.97894";"1247.21987";" 652.15685";"1123.02553";" 495.28888";" 720.90955";" 632.82708";" 595.40663";" 868.19261";" 837.24148";" 290.80097";" 505.95243";"1242.55698";" 894.52283";" 485.29127";" 408.17562";" 677.29932";" 841.32889";" 510.02201";" 779.27914";" 414.54509";" 857.82781";"1696.82943";" 603.05775";"1094.89416";" 832.17217";"1295.01918";" 925.15994";" 374.40228";" 502.54002";" 703.91854";" 270.95663";" 470.72720";"1798.64570";"1312.27323";"1183.55304";" 237.75716";"1293.36248";"1277.80226";"1365.41592";"1316.79254"
"8am";"2510.9054";"1198.2243";"3865.4883";"1081.8451";"1951.3955";"2490.8131";"1852.2339";" 601.4961";"4115.6280";"1321.4263";"1060.2042";" 974.8113";"1198.3699";"1416.9640";" 681.8379";" 956.6641";"2502.6298";"1110.7092";"2141.6002";" 188.8266";" 375.8616";"3816.3383";"2156.5903";" 634.1450";"3698.6252";"2054.2492";"2903.4242";"2187.1454";"1780.2872";"1316.3132";" 773.6478";"1099.8667";" 912.8617";" 646.4669";"1333.0567";"1101.5198";"1093.2485";"1083.0652";" 877.3529";"3331.5486";"1089.0760";" 533.8850";"1252.1981";" 952.5088";" 433.0629";" 463.2580";" 550.6044";" 704.5502";" 537.0998";" 194.0970";" 431.9653";" 732.9457";" 570.2341";" 508.1816";" 428.9007";" 789.8587";" 780.4843";" 396.4600";" 512.5026";" 511.4644";" 512.7009";"1011.2839";" 399.7677";" 927.4356";" 636.4975";"1056.1017";" 381.8670";" 359.3707";" 413.0385";" 728.2296";" 370.8531";" 440.6375";"1493.4284";"1395.0304";"1535.2670";" 237.7572";"1143.2483";"1429.7281";"1152.4597";" 869.2313"
"9am";"3285.0455";"1684.0627";"3437.8008";" 971.2864";"1555.4429";"2913.5584";"1794.5315";" 519.9873";"4038.5172";"1184.0844";"1241.6898";" 828.6849";"1166.4778";"1505.8021";" 509.3587";" 872.5495";"2538.6109";"1054.5634";"2299.4202";" 161.8431";" 350.4639";"4284.3456";"2197.0363";" 696.0582";"3859.8364";"2142.5698";"3443.7495";"2718.8018";"1832.3490";"1142.9175";" 773.6478";"1481.2371";"1337.1992";" 646.7120";"1510.1330";"1085.5282";"1433.1924";"1079.0757";" 977.0533";"3428.9619";"1320.2758";" 439.5365";"1208.9322";" 946.3903";" 340.8135";" 418.2471";" 771.9989";" 420.5122";" 421.3490";" 131.0238";" 393.4431";" 763.1776";" 397.6740";" 451.8543";" 428.9007";" 741.5493";" 787.1967";" 214.3701";" 603.7572";" 458.0507";" 564.8816";" 830.5500";" 358.3254";" 524.3898";" 805.7157";"1004.5996";" 343.4744";" 359.3707";" 416.7337";" 690.0500";" 370.8531";" 492.1884";"1664.0353";"1321.1105";"1609.7785";" 237.7572";" 983.1275";"1774.5922";"1100.8005";" 752.9457"
"10am";"3217.2435";"2061.3818";"3553.5642";" 859.0032";"1761.0420";"3048.3194";"1346.9977";" 457.4723";"4306.1114";"1173.3776";"1175.6391";" 755.1747";"1148.7144";"1612.0536";" 578.4680";" 851.9708";"2461.3634";"1152.1997";"2254.7297";" 230.9449";" 331.6239";"4317.3852";"2290.9383";" 467.1412";"3990.2745";"2069.9870";"3426.5734";"2769.3191";"1649.0550";"1118.7307";" 767.5416";"1676.9464";"1319.2193";" 759.0631";"1471.8297";" 892.1576";"1197.0346";" 969.4962";" 902.6724";"3576.6678";"1275.7179";" 539.8111";"1063.5093";"1029.4782";" 433.0629";" 363.1945";" 710.7955";" 469.1919";" 421.3490";" 154.3122";" 283.2362";" 728.6946";" 472.2174";" 370.4452";" 342.4076";" 671.9924";" 674.2094";" 300.6900";" 680.9083";" 560.6148";" 520.2017";" 818.2600";" 381.4849";" 604.1626";" 876.8919";" 995.9802";" 343.4744";" 359.3707";" 459.3437";"1059.0204";" 300.7809";" 483.0811";"1359.5081";"1240.5489";"1516.5951";" 237.7572";" 907.4375";"1715.6310";"1128.0705";" 929.3434"
"11am";"3525.4725";"1666.9608";"3300.9363";" 915.3931";"1775.3591";"2841.9649";"1525.8843";" 489.5491";"4614.8320";"1307.6279";" 886.5239";" 768.1092";"1224.8780";"1306.2521";" 519.1113";"1032.9901";"2775.1735";"1080.1533";"2276.8530";" 299.3290";" 284.0200";"3973.9640";"2254.0818";" 477.8293";"4323.0330";"2013.5049";"3403.6431";"2663.0760";"1863.9846";"1015.9019";" 773.6478";"1495.8678";"1155.5597";" 780.2990";"1502.3351";" 969.1535";"1243.9315";" 917.4471";"1055.6178";"3642.8253";"1298.7241";" 610.9625";"1204.1007";"1073.2017";" 376.8807";" 392.4712";" 752.3833";" 423.1010";" 442.0830";" 166.8949";" 332.0580";" 600.0633";" 570.2341";" 394.8561";" 390.7082";" 690.5491";" 612.9257";" 300.6900";" 478.5475";" 546.3623";" 512.9385";" 767.9295";" 422.9272";" 699.8470";" 796.6262";"1270.3860";" 343.4744";" 359.3707";" 369.8667";" 934.3728";" 210.5413";" 479.2335";"1463.3978";"1322.5961";"1548.5230";" 237.7572";" 986.9955";"1626.2184";"1114.8524";" 929.3434"
