"hour","act1","act2","act3","act4","act5"
"4am",0.3128,0.3974,0.9723,0.5031,0
"5am",0.2817,0.3495,0.9488,0.4752,0
"6am",0.2677,0.3082,0.9054,0.9522,0.391
"7am",0.2728,0.2277,0.646,0.73,0.3252
"8am",0.2776,0.2148,0.5554,0.4262,0.2559
"9am",0.2935,0.2111,0.5664,0.4127,0.1919
"10am",0.3037,0.2173,0.5682,0.3932,0.1984
"11am",0.3188,0.2221,0.5674,0.4727,0.2475
"12am",0.3549,0.2416,0.5915,0.5651,0.282
"1pm",0.3298,0.2267,0.5896,0.5948,0.2242
"2pm",0.3103,0.2128,0.5858,0.5228,0.1909
"3pm",0.3045,0.2161,0.5771,0.485,0.1876
"4pm",0.3035,0.2391,0.5724,0.5131,0.1972
"5pm",0.304,0.2702,0.682,0.5262,0.237
"6pm",0.2821,0.2846,0.7064,0.4904,0.2446
"7pm",0.2668,0.2718,0.8183,0.6302,0.2512
"8pm",0.2895,0.2999,0.872,0.8858,0.3036
"9pm",0.325,0.3162,0.8935,0.8964,0.3542
"10pm",0.347,0.3599,0.9298,0.9479,0.3915
"11pm",0.3337,0.3989,0.9699,0.9731,0.4177
"12pm",0.3082,0.4658,0.9956,0.9894,0.4074
"1am",0.3007,0.4644,0.9893,0.4207,0
"2am",0.3068,0.4648,0.9893,0.4216,0
"3am",0.2969,0.4749,0.9893,0.4136,0
