"hour","resarea1","resarea2","resarea3"
"4am",0.9896,0.9877,0.9869
"5am",0.9854,0.9814,0.981
"6am",0.9716,0.9669,0.9696
"7am",0.8825,0.8866,0.903
"8am",0.7599,0.762,0.7927
"9am",0.697,0.7084,0.746
"10am",0.6861,0.6937,0.7307
"11am",0.704,0.7035,0.7392
"12am",0.74,0.7425,0.7742
"1pm",0.7083,0.7135,0.755
"2pm",0.6965,0.6947,0.7343
"3pm",0.7028,0.6836,0.7336
"4pm",0.7591,0.7385,0.7854
"5pm",0.8566,0.8309,0.8568
"6pm",0.9094,0.8899,0.9051
"7pm",0.9374,0.9251,0.938
"8pm",0.9488,0.9429,0.9537
"9pm",0.9605,0.952,0.9612
"10pm",0.973,0.9649,0.9711
"11pm",0.9826,0.9773,0.9794
"12pm",0.9869,0.9834,0.9855
"1am",0.9891,0.9859,0.987
"2am",0.9897,0.9864,0.988
"3am",0.9898,0.9867,0.9882
