"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064";"89.9263810527064"
"4am";"19.9251540";"16.7981775";"15.8831807";"12.9269141";"13.4806083";"21.8344986";"12.9212592";"15.2448798";"18.3392817";"18.4265408";"20.1121371";"25.2248745";"16.0937054";"19.4545677";"17.1059977";"13.1963071";"26.9946736";"28.1437466";"20.0810500";"28.5623977";"21.2404132";"30.0584962";" 9.3964191";"16.9080778";"27.4987307";"18.1505719";" 5.9354519";"27.9808524";"15.5392728";"11.5842676";" 3.8724484";" 7.3824498";" 6.2415136";" 2.7252247";" 5.3395863";"10.7918802";" 3.6780437";" 7.0648198";"13.2708224";" 5.7058818";" 3.6931788";" 7.8726938";" 7.7133240";" 3.3041672";"10.8010898";" 6.8437566";" 0.9324703";" 9.9582772";" 8.0092997";" 2.2063940";" 5.9637704";" 3.8984909";" 2.7403566";" 3.8139071";" 4.4509229";" 4.2038598";" 4.9747943";" 4.7387320";" 3.5496183";" 3.3844586";" 2.9979772";" 6.1649265";" 5.2521283";" 3.9597637";" 7.0836995";" 0.7516470";" 3.6939927";" 1.5685665";" 2.8898477";" 1.5509785";" 5.9373808";" 0.9747709";" 9.1542026";" 3.9673671";"10.6040337";" 5.2956408";" 0.9640435";" 0.0000000";" 0.0000000";" 3.4450402"
"5am";"19.5814659";"17.7311050";"15.6220397";"13.0109367";"13.4806083";"21.8344986";"12.8753277";"14.8317200";"20.5463030";"18.8964455";"19.8483011";"25.6727424";"15.5639624";"19.7441606";"17.3054684";"12.4743753";"26.7737098";"28.6151947";"20.0810500";"28.4851764";"21.3771461";"29.6580515";" 9.0334119";"15.2587141";"27.3092315";"18.1505719";" 5.9913309";"28.0713705";"15.9031092";"11.5842676";" 3.9322288";" 7.3326763";" 6.2165788";" 2.6839539";" 5.1756248";"10.6798546";" 3.7063156";" 7.1060727";"13.3692885";" 5.6684361";" 3.6931788";" 7.9715362";" 7.6759887";" 2.7776535";"10.9740917";" 6.7397949";" 0.9800575";" 9.9582772";" 7.8371735";" 2.2203822";" 6.0752129";" 3.9263591";" 2.7403566";" 3.8657491";" 4.5503808";" 4.2758940";" 4.9037287";" 4.8727734";" 3.5502265";" 3.3009170";" 3.0500619";" 6.1829997";" 5.4229406";" 3.9597637";" 7.1390856";" 0.7516470";" 3.7914090";" 1.6145316";" 2.9999557";" 1.5041407";" 6.0661081";" 0.9991273";" 6.7805630";" 4.0905872";"10.5361346";" 5.3284380";" 0.9702422";" 0.0000000";" 0.0000000";" 3.5050238"
"6am";"19.2708913";"17.9351504";"16.6711670";"13.2247608";"13.5456066";"21.5673385";"13.3149091";"14.5049938";"21.5747597";"18.6494962";"18.4455661";"25.4131944";"14.8175614";"20.0284248";"16.9183364";"12.0194631";"25.5664844";"28.1105605";"19.7823468";"28.8474634";"22.0545259";"29.8011400";" 9.0846483";"15.4939255";"26.1365447";"18.3689043";" 5.8925411";"27.2324807";"14.8198140";"11.3117810";" 3.9071767";" 6.2301285";" 5.4981001";" 2.7066744";" 4.8725003";"10.6293356";" 2.1001483";" 6.3408336";"13.0529546";" 5.6749931";" 5.0924596";" 8.1855483";" 7.6115506";" 2.9202001";"11.3789281";" 4.5256735";" 0.9951181";" 5.8814726";" 6.6475354";" 2.2465791";" 6.3711374";" 2.1414306";" 2.9444907";" 3.9269908";" 3.4663316";" 4.2758940";" 3.9965003";" 4.8196290";" 2.7282327";" 3.4146236";" 3.2944426";" 4.4920965";" 4.7688341";" 3.4379757";" 4.6291333";" 0.0000000";" 3.7586568";" 0.8567777";" 3.0518889";" 1.4516661";" 3.4003996";" 0.4303659";" 3.4673957";" 3.9796042";"10.6140712";" 3.5324323";" 1.0102596";" 0.0000000";" 0.0000000";" 2.7350914"
"7am";"21.9038935";"19.6174667";"22.8843743";"11.5735997";"15.9448277";"25.5853688";"13.6500442";"16.0033352";"29.5419626";"17.1378179";"16.1866997";"24.7833097";"11.6124957";"15.9878033";"15.8243586";"13.1091349";"28.6345648";"20.5250960";"23.5881009";"21.8374960";"19.9544580";"24.9094348";"14.5481497";"14.6466152";"32.9579986";"15.0950042";" 4.3343828";"23.6196940";"13.4591356";"12.2858630";" 0.9797866";" 5.4336267";" 7.5465232";" 0.0000000";" 5.2985818";"10.9736835";" 1.2425718";" 3.7663093";"15.5030992";" 5.2886214";" 3.2868304";" 4.5305411";" 5.8158543";" 2.0616570";" 8.3555990";" 4.5184339";" 0.0000000";" 4.0621220";" 2.8520329";" 1.8833120";" 2.4175643";" 0.0000000";" 0.0000000";" 0.9952085";" 1.0800878";" 3.0912213";" 4.3356124";" 3.8611447";" 1.5130160";"14.1451691";" 0.0000000";" 3.7810008";" 4.2818051";" 1.3499541";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 1.8525064";" 1.2271063";" 2.7748661";" 0.5105437";" 2.7038367";" 6.7269254";"15.6592669";" 3.4942622";" 0.0000000";" 3.7189597";" 5.4433953";" 1.3030142"
"8am";"24.0207147";"29.8569888";"31.4719267";" 9.8352669";"17.2543882";"27.2968896";"19.6378994";"13.0817596";"30.5016927";"21.1243102";"14.4179841";"20.3152676";" 9.3914412";"12.2856716";"15.6167819";"18.7856198";"31.8278134";"19.3550091";"19.4272044";"20.9286852";"19.8683301";"21.7748659";"14.9466718";"12.9315702";"30.6904886";"20.0997259";" 7.1478125";"24.7524274";"11.9167894";"18.2788652";" 1.0780357";" 4.7269839";"12.7689545";" 0.0000000";" 5.5246329";" 4.7081256";" 0.0000000";" 2.7255804";"11.2645807";"10.9877761";" 5.2330351";" 6.0812802";" 8.2584409";" 8.9572095";" 8.5759184";" 5.4200737";" 1.7869760";" 1.8514534";" 0.7632626";" 2.4987486";" 3.0058790";" 0.0000000";" 0.0000000";" 2.4009740";" 1.2378408";" 3.3251527";" 3.3960109";" 1.6410247";" 0.9578159";"13.3350608";" 0.0000000";" 1.5561829";" 1.7255626";" 0.0000000";" 4.7182238";" 0.0000000";" 0.0000000";" 0.0000000";" 0.5482575";" 1.3459405";" 1.7513311";" 0.4978131";" 3.1902155";" 6.5617588";"13.4981968";" 3.8035073";" 0.0000000";" 3.3137387";" 6.5436524";" 1.5165537"
"9am";"28.6942593";"28.9464015";"32.4115535";"13.7771884";"13.2489129";"28.1216753";"23.5314539";"12.9211119";"31.9682070";"26.4704883";"13.7545431";"18.3059664";" 8.9335045";"11.8311679";"21.0546909";"18.2344083";"26.3710451";"14.3303508";"19.7077719";"17.6026667";"19.7553945";"22.1525564";"15.7289796";"14.2798455";"32.5461039";"17.9816913";" 6.6310546";"21.9043374";"10.8337950";"18.4019945";" 1.1557784";" 3.7396142";"12.0266543";" 0.0000000";" 4.2590926";" 3.2616901";" 0.0000000";" 3.6261756";"11.3073009";"11.2152964";" 4.8091916";" 4.4607811";" 8.3217895";" 7.3167452";" 5.5092616";" 5.1750227";" 1.6591529";" 3.5509824";" 2.0872012";" 1.1500427";" 3.2690071";" 0.0000000";" 0.0000000";" 2.3407812";" 0.0000000";" 3.3213750";" 2.0996602";" 2.2475878";" 1.8735228";"13.4947312";" 0.0000000";" 1.7387665";" 2.1250628";" 0.0000000";" 5.5840931";" 0.0000000";" 0.7200307";" 0.0000000";" 0.0000000";" 1.2907893";" 2.6950480";" 0.4708581";" 2.4661521";" 8.1576833";"14.1107311";" 3.9469222";" 0.0000000";" 3.6345909";" 7.3118672";" 1.4373609"
"10am";"28.1618782";"32.4365404";"29.9761435";"11.1267717";"13.2916974";"25.6990143";"26.5134335";"12.6877096";"31.1086268";"22.5347586";"11.7612535";"18.2268471";" 8.7131775";"12.2407760";"17.9424129";"16.3249885";"25.4595951";"13.1752738";"19.6976343";"24.5401674";"20.2468827";"21.6074887";"18.3362882";"19.7137055";"35.1380706";"15.8069878";" 6.9868854";"25.6144277";"11.3909123";"15.1992434";" 1.1781731";" 2.9014228";"11.7946407";" 0.0000000";" 5.6622690";" 3.0418784";" 0.0000000";" 3.8681695";"10.9800590";"10.5979694";" 5.3600335";" 4.6614043";" 9.2809895";" 5.4255429";" 5.0523405";" 5.0426674";" 1.5811976";" 1.5349287";" 2.1583287";" 1.1355211";" 1.4960674";" 0.0000000";" 0.0000000";" 2.7011291";" 0.0000000";" 2.9727717";" 0.0000000";" 2.0138378";" 1.9930986";"13.0003015";" 0.0000000";" 1.7603297";" 2.1705020";" 2.4423505";" 7.1528659";" 0.0000000";" 0.7184887";" 0.0000000";" 0.0000000";" 1.2164872";" 2.7112810";" 0.4885610";" 2.4434640";" 7.8507859";"13.6284554";" 5.2145470";" 0.0000000";" 3.3899129";" 7.3289961";" 1.3772203"
"11am";"26.2383588";"32.1643647";"27.3012645";"12.3171149";"13.3807736";"26.2706738";"24.3014072";"10.4241828";"30.7166794";"19.1768847";"11.3466426";"19.1861654";" 8.7303001";" 6.9991185";"20.0703167";"18.3837603";"25.3645358";"13.7788908";"18.9477643";"19.5126356";"15.5752747";"21.7099595";"17.9358642";"18.3632594";"33.4171778";"18.0081179";" 6.8443753";"27.8117454";"10.9305346";"16.5258270";" 1.0743438";" 3.2053540";"12.8733033";" 0.0000000";" 7.7943532";" 3.0563825";" 0.0000000";" 3.9514075";"11.7343910";"10.9824240";" 5.2244577";" 4.5625528";"11.9183848";" 4.8570562";" 2.7233162";" 4.8981808";" 0.0000000";" 2.7725403";" 2.1330517";" 1.0323687";" 1.4049132";" 0.0000000";" 1.3109370";" 2.6528693";" 0.0000000";" 3.4887119";" 0.9639573";" 1.8054923";" 1.1514447";"12.5034954";" 0.0000000";" 1.6119431";" 1.9044368";" 2.3384421";" 7.5001997";" 0.0000000";" 0.7712985";" 0.0000000";" 1.3066898";" 1.2135514";" 1.8195794";" 1.4640053";" 4.2028326";" 7.6779440";"13.8373831";" 5.3420814";" 0.0000000";" 3.5464666";" 7.6569754";" 1.4094277"
