"variable","CODE_SEC","RES_SEC","W_IND"
"h6","013","006",63.01476
"h6","013","012",133.87896
"h6","013","020",52.139
"h6","013","023",25.44392
"h6","013","024",77.17936
"h6","013","027",42.78683
"h6","013","029",40.17017
"h6","013","043",72.26512
"h6","013","045",51.01715
"h6","013","046",25.77596
"h6","013","047",169.58582
"h6","013","051",24.41093
"h6","013","059",143.7556
"h6","013","061",54.15303
"h6","022","001",37.4604
"h6","022","003",60.97095
"h6","022","005",12.95593
"h6","022","019",22.40934
"h6","022","020",37.93914
"h6","022","023",46.09082
"h6","022","026",72.37045
"h6","022","027",35.4595
"h6","022","028",72.92888
"h6","022","029",40.17017
"h6","022","030",74.41993
"h6","022","039",57.03571
"h6","022","041",93.28884
"h6","022","045",36.06718
"h6","022","047",122.82377
"h6","022","048",95.36675
"h6","022","059",143.7556
"h6","022","062",141.6719
"h6","022","063",30.65608
"h6","022","066",50.34957
"h6","035","014",53.73612
"h6","035","019",99.35517
"h6","035","020",88.79649
"h6","035","022",95.58936
"h6","035","027",31.53803
"h6","035","031",51.01341
"h6","035","045",47.48277
"h6","035","048",64.85873
"h6","035","055",35.42684
"h6","035","062",88.86561
"h6","035","072",51.08986
"h6","035","077",64.95382
"h6","035","080",64.15805
"h6","070","005",17.60338
"h6","070","040",73.49347
"h6","070","061",53.73994
"h6","070","069",22.36895
"h6","070","071",323.01962
"h6","070","072",157.99225
"h6","070","074",187.3494
"h6","070","075",72.6525
"h6","070","076",44.19321
"h7","003","004",38.408
"h7","003","006",63.02648
"h7","003","008",15.09608
"h7","003","010",23.81396
"h7","003","012",77.66259
"h7","003","014",79.9689
"h7","003","016",47.01312
"h7","003","019",32.23989
"h7","003","022",66.6253
"h7","003","023",46.09082
"h7","003","026",46.50221
"h7","003","027",45.3437
"h7","003","034",51.04798
"h7","003","039",45.21488
"h7","003","044",27.94293
"h7","003","045",58.23811
"h7","003","049",35.82293
"h7","003","050",59.17931
"h7","003","054",46.73358
"h7","003","058",53.53306
"h7","003","060",42.29204
"h7","003","074",99.56042
"h7","005","006",154.6715
"h7","005","011",47.74214
"h7","005","015",13.85169
"h7","005","017",33.12514
"h7","005","035",53.97085
"h7","005","036",81.43241
"h7","005","037",40.67797
"h7","005","040",125.90216
"h7","005","042",24.75129
"h7","005","055",44.44442
"h7","005","064",66.28484
"h7","006","001",37.4604
"h7","006","003",52.58155
"h7","006","005",77.50738
"h7","006","007",112.54568
"h7","006","011",102.34683
"h7","006","026",114.04733
"h7","006","029",38.556
"h7","006","037",53.41367
"h7","006","038",73.56107
"h7","006","041",45.27916
"h7","006","042",24.75129
"h7","006","046",35.78451
"h7","006","055",158.53902
"h7","006","063",21.08988
"h7","006","066",50.34957
"h7","009","008",34.15165
"h7","009","014",106.66018
"h7","009","015",51.02428
"h7","009","017",27.78411
"h7","009","025",23.52702
"h7","009","026",203.58015
"h7","009","027",140.96505
"h7","009","028",43.30797
"h7","009","029",82.06438
"h7","009","031",43.92417
"h7","009","033",351.24944
"h7","009","035",65.75331
"h7","009","037",54.48146
"h7","009","038",40.28394
"h7","009","040",73.77431
"h7","009","041",30.90329
"h7","009","042",68.84658
"h7","009","044",80.98913
"h7","009","046",45.01088
"h7","009","049",35.82293
"h7","009","053",224.814
"h7","009","054",42.30286
"h7","009","056",53.64306
"h7","009","064",31.59028
"h7","009","069",103.8542
"h7","009","078",103.4789
"h7","011","004",27.77684
"h7","011","005",52.2224
"h7","011","010",213.09246
"h7","011","013",112.44903
"h7","011","014",207.70791
"h7","011","016",82.91679
"h7","011","020",60.74
"h7","011","028",128.22372
"h7","011","029",64.55819
"h7","011","037",43.90732
"h7","011","038",60.85685
"h7","011","041",37.06222
"h7","011","044",94.59978
"h7","011","054",46.73358
"h7","011","055",31.08747
"h7","011","056",44.51998
"h7","011","058",48.37958
"h7","011","067",107.9014
"h7","011","069",24.49813
"h7","011","075",70.04445
"h7","013","004",41.05452
"h7","013","011",53.52111
"h7","013","012",133.87896
"h7","013","017",94.3121
"h7","013","019",33.04026
"h7","013","020",89.32718
"h7","013","023",96.01666
"h7","013","024",77.17936
"h7","013","027",42.78683
"h7","013","029",40.17017
"h7","013","031",35.79166
"h7","013","032",47.72834
"h7","013","035",63.07598
"h7","013","036",41.75859
"h7","013","037",57.65409
"h7","013","043",132.64831
"h7","013","044",18.83994
"h7","013","045",102.03133
"h7","013","046",25.77596
"h7","013","047",169.58582
"h7","013","049",35.82293
"h7","013","050",41.54461
"h7","013","051",24.41093
"h7","013","055",34.98414
"h7","013","060",42.29204
"h7","013","061",54.15303
"h7","013","070",105.9994
"h7","014","004",123.15193
"h7","014","006",73.9289
"h7","014","012",52.16576
"h7","014","016",21.14288
"h7","014","017",59.45268
"h7","014","022",47.74699
"h7","014","029",29.64449
"h7","014","031",35.79166
"h7","014","042",18.7823
"h7","014","047",53.63564
"h7","014","062",88.86561
"h7","014","065",87.16137
"h7","017","003",78.92997
"h7","017","005",17.60338
"h7","017","006",256.5174
